Name,RA_h,RA,DEC,hcam_us,hcam_gs,hcam_rs,hcam_is,hcam_zs,Type,SpecType,fname,Gaia_DR3_ID,Variability
HD271747,05:59:58.62,89.99425,-66.102475,12.824,11.689,11.303,11.194,11.196,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
HD271759,06:00:41.34,90.17225,-66.053897,11.803,10.862,10.877,10.991,11.090,Secondary,A2,V2.SPSS347.ascii,5476400477145058816,Constant
HD271783,06:02:11.36,90.547333,-66.583092,13.209,12.148,11.783,11.697,11.755,Secondary,F5,V2.SPSS348.ascii,5284204302730217984,
WD0604-203,06:06:13.39,91.555792,-20.352,11.773,11.831,12.269,12.608,12.903,Secondary,DA,V2.SPSS109.ascii,2941993086693170176,Constant
WD0621-376,06:23:12.63,95.802625,-37.691114,11.372,11.792,12.325,12.741,13.069,Secondary,DA1,V2.SPSS110.ascii,5575007845317435648,Constant
HILT600,06:45:13.37,101.30571,2.1374167,10.751,10.458,10.452,10.535,10.631,Primary,B1,V2.SPSS024.ascii,3126052883671520896,Constant
WD0644+375,06:47:37.99,101.90829,37.515853,11.832,11.882,12.258,12.606,12.906,Secondary,DA2,V2.SPSS112.ascii,943770757800160384,
WD0646-253,06:48:56.09,102.23371,-25.396389,13.220,13.419,13.863,14.247,14.507,Secondary,DA2,V2.SPSS173.ascii,2921786919133198848,Constant
G193-26,07:03:26.29,105.85954,54.868333,13.955,13.223,12.812,12.635,12.567,Secondary,G,V2.SPSS174.ascii,987911506794398976,Constant
WD0721-276,07:23:20.10,110.83375,-27.789333,13.973,14.297,14.771,15.149,15.470,Secondary,DA1,V2.SPSS175.ascii,5612710511362093184,Constant
LTT3218,08:41:32.56,130.38567,-32.943028,12.248,11.875,11.903,12.025,12.186,Primary,DA,V2.SPSS008.ascii,5639391810273308416,Constant
G114-25,08:59:03.37,134.76404,-6.3961639,12.976,12.169,11.741,11.551,11.519,Secondary,F7,V2.SPSS115.ascii,5757389920689415040,Constant
WD0859-039,09:02:17.30,135.57208,-4.1154028,12.859,12.986,13.385,13.739,14.055,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,150.19737,-7.5584722,13.195,13.337,13.756,14.101,14.393,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,158.05667,-35.628278,13.140,12.358,12.034,11.914,11.902,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,158.42817,-11.693986,12.638,12.808,13.220,13.569,13.871,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,159.26587,-0.13869444,12.451,12.925,13.470,13.904,14.246,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,159.90308,43.102569,10.451,10.880,11.393,11.781,12.108,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,166.99979,-5.1571944,13.197,12.957,13.245,13.544,13.814,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,174.51092,57.489969,15.855,15.089,14.989,15.010,15.068,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,176.42883,-64.841517,11.745,11.516,11.477,11.557,11.688,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,181.69679,11.670178,11.068,10.872,11.193,11.496,11.713,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,183.54387,-17.238942,12.822,10.641,9.738,9.355,9.146,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,189.348,25.066631,9.924,10.236,10.731,11.138,11.464,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,190.422,-0.44061111,15.035,13.088,12.342,12.061,11.914,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,191.13942,-0.43102778,13.799,12.779,12.448,12.366,12.367,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,194.25971,22.031256,12.723,13.081,13.575,13.986,14.326,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,195.50658,-2.0892833,14.208,13.148,12.584,12.337,12.224,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,196.76796,20.810706,15.809,13.219,11.850,10.787,10.313,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,200.89692,36.133197,10.999,11.389,11.885,12.310,12.653,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,204.37642,-0.22149167,9.755,8.856,8.730,8.706,8.795,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,204.85042,46.186492,13.354,10.933,9.673,8.743,8.320,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,209.71321,-2.9145333,9.924,10.041,10.423,10.754,11.023,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,212.61229,32.143361,13.924,13.833,14.169,14.493,14.790,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,217.46275,39.473731,15.865,15.006,15.042,15.150,15.233,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,227.44175,-4.7518361,13.170,12.310,11.816,11.608,11.548,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,227.86525,32.071611,14.267,14.009,14.276,14.567,14.825,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,229.411,2.0404444,16.234,14.558,13.813,13.474,13.313,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,233.88146,27.850611,14.780,13.824,13.305,13.090,13.014,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,234.20042,-0.251975,10.163,9.152,8.973,8.945,8.987,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
LTT6248,15:38:59.66,234.74858,-28.593575,12.720,11.993,11.659,11.526,11.512,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,236.53438,39.237889,14.612,13.761,13.322,13.148,13.088,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,236.56117,62.444333,13.777,12.984,12.563,12.391,12.333,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,239.57758,2.0516972,11.966,11.042,10.615,10.441,10.373,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,239.80654,47.611639,14.936,13.723,13.279,13.133,13.116,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,242.0925,42.095333,14.163,13.758,13.959,14.201,14.435,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,244.48025,-15.59775,12.919,13.198,13.649,14.002,14.285,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,245.891,-39.229489,10.712,10.810,11.237,11.583,11.883,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,247.07029,44.6773,12.554,11.601,11.096,10.889,10.804,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
WD1626+368,16:28:25.03,247.10429,36.770944,14.028,13.805,13.856,13.995,14.168,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,263.17346,23.736567,10.090,9.191,8.728,8.529,8.457,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,265.76867,66.917111,14.495,13.558,13.531,13.605,13.665,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,268.81762,66.169917,15.568,13.731,13.006,12.738,12.605,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,269.30521,67.061361,12.811,11.842,11.816,11.905,11.970,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,269.65829,66.781167,16.856,14.518,13.602,13.233,13.038,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
BD+661071,18:02:10.92,270.5455,66.207331,11.579,10.688,10.475,10.449,10.479,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,271.372,64.464444,13.127,12.238,12.372,12.536,12.649,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,273.03987,63.495083,12.715,11.731,11.781,11.911,12.005,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,279.10813,-44.310261,11.488,10.472,10.077,9.924,9.943,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,280.12196,19.601847,15.621,14.453,13.845,13.607,13.490,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,281.91283,1.9598944,12.513,12.726,13.156,13.396,13.418,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,286.77317,20.888047,14.176,11.573,10.171,9.093,8.575,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,286.805,20.877011,14.177,11.570,10.173,9.080,8.562,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,289.68683,-59.776056,14.292,14.219,14.582,14.888,15.203,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,290.14554,-7.6666806,12.228,12.219,12.359,12.544,12.750,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,290.41833,14.678611,13.128,12.881,13.159,13.469,13.753,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,297.95671,5.6127333,12.159,11.059,10.500,10.268,10.164,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,302.27183,-60.428222,12.721,13.086,13.594,13.972,14.326,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,302.73687,-30.218511,12.390,12.126,12.420,12.699,12.979,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,308.59117,25.063811,11.348,11.346,11.721,12.078,12.388,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,309.57017,-53.073722,14.089,14.214,14.522,14.783,15.018,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,310.06708,0.55548333,11.677,10.806,10.406,10.266,10.216,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,311.08946,-68.08925,13.354,13.202,13.496,13.776,14.071,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,312.27788,37.470528,13.221,12.918,13.160,13.430,13.693,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,318.18354,50.104944,12.463,12.792,13.270,13.662,13.994,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,318.30792,-81.817778,13.999,13.660,13.734,13.883,14.061,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,319.73446,54.211458,12.530,12.249,12.526,12.828,13.097,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,324.15125,22.075833,14.454,14.329,14.650,14.966,15.232,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,325.67083,20.999511,13.425,13.245,13.250,13.354,13.480,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,328.10575,2.3887667,12.749,12.622,12.950,13.259,13.552,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,334.95146,-65.488364,14.633,14.484,14.589,14.742,14.920,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,343.17096,-20.592469,13.228,12.325,11.905,11.725,11.729,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,343.79167,-63.174167,14.046,13.968,14.328,14.614,14.901,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,348.09008,10.784514,12.395,12.812,13.323,13.733,14.079,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
Feige110,23:19:58.40,349.99333,-5.1656139,11.168,11.547,12.059,12.446,12.787,Primary,O,V2.SPSS023.ascii,2633603478379307904,Constant
WD2329+407,23:31:35.65,352.89854,41.025194,13.953,13.744,14.040,14.347,14.623,Secondary,DA3,V2.SPSS214.ascii,1923682286712356992,
WD2331-475,23:34:02.20,353.50917,-47.240694,12.760,13.149,13.662,14.042,14.317,Secondary,DA1,V2.SPSS215.ascii,6528109879126984960,
WD2352+401,23:54:56.25,358.73438,40.458361,15.229,14.990,14.917,14.977,15.110,Secondary,DQ6,V2.SPSS281.ascii,1921351390779081600,Constant
