#RESOURCE=yCat_22470025
#Name: J/ApJS/247/25
#Title: The SPTpol Extended Cluster Survey (Bleem+, 2020)
#Table	J_ApJS_247_25_cand:
#Name: J/ApJS/247/25/cand
#Title: Galaxy cluster candidates in the SPTpol Extended Cluster Survey (Tables 8 and 9)
#Column	SPT-CL	(A10)	SPT candidate name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	Xi	(F5.2)	[4/24] SPT detection significance, {xi} (1)	[ucd=stat.likelihood;obs]
#Column	Thetac	(F5.2)	[0.25/3] Filter scale that maximizes detection significance ({theta}_c_)	[ucd=instr.scale]
#Column	z	(F6.3)	[0.04/1.4]? Redshift for confirmed systems	[ucd=src.redshift]
#Column	e_z	(F6.3)	[0.004/0.2]? z uncertainty	[ucd=stat.error;src.redshift]
#Column	M500c	(F5.2)	[2.8/14.5]? Mass; in 10^+14^h_70_^-1^M_{sun}_ (2)	[ucd=phys.mass]
#Column	E_M500c	(F5.2)	[0.4/1.5]? Plus 1 sigma in M500c	[ucd=stat.error;stat.max]
#Column	e_M500c	(F5.2)	[0.6/1.7]? Minus 1 sigma in M500c	[ucd=stat.error]
#Column	lambda	(I3)	[19/204]? Richness (3) [NULL integer written as an empty string]	[ucd=src.class.richness]
#Column	e_lambda	(I2)	[2/47]? Richness uncertainty [NULL integer written as an empty string]	[ucd=stat.error]
#SPT-CL	Xi	Thetac	z	e_z	M500c	E_M500c	e_M500c	lambda	e_lambda
# 	 	arcmin	 	 	 	 	 	 	
#----------	-----	-----	------	------	-----	-----	-----	---	--
J0241-2805	 7.35	 0.25	 0.340	 0.020	 5.89	 0.79	 0.89	109	19
J0244-3011	 5.33	 0.25	 1.370	 0.030	 3.07	 0.56	 0.65	 20	 3
J0245-2709	 9.35	 0.50	 0.710	 0.010	 6.29	 0.73	 0.86	102	 4
J0246-2033	 7.05	 1.50	 0.317	 0.007	 5.73	 0.79	 0.92	120	10
J0249-3915	 6.99	 0.50	 0.660	 0.010	 4.78	 0.66	 0.76	 63	 4
J0252-2100	 7.85	 0.75	 0.710	 0.020	 5.56	 0.71	 0.83	 94	32
J0253-3818	 5.53	 0.75	 0.440	 0.010	 4.18	 0.77	 0.77	 84	43
J0253-3247	 5.91	 0.25	 0.970	 0.030	 3.82	 0.61	 0.71	 53	 5
J0254-2413	 5.21	 0.25	 0.930	 0.020	 3.76	 0.66	 0.79	 42	 5
J0256-3455	 7.22	 1.00	 0.610	 0.009	 4.95	 0.68	 0.78	100	 6
J0257-2325	12.71	 1.00	 0.505	      	 8.04	 0.88	 1.01	102	 5
J0257-2209	 9.50	 1.00	 0.322	      	 7.03	 0.83	 0.96	 42	 5
J0257-3449	 7.42	 1.25	 0.630	 0.010	 5.01	 0.67	 0.77	 89	 5
J0258-3453	 5.49	 0.75	 0.354	 0.009	 4.28	 0.73	 0.84	 52	 3
J0258-2004	 5.10	 1.25	 0.720	 0.010	 3.91	 0.73	 0.84	116	 5
J0300-3617	 9.53	 0.50	 0.487	 0.007	 6.22	 0.72	 0.85	 63	 3
J0302-2240	 5.67	 0.75	 0.525	 0.007	 4.58	 0.77	 0.85	 55	 4
J0302-2805	 5.98	 1.00	 0.290	 0.020	 5.09	 0.82	 0.88	   	
J0302-3306	 5.38	 0.75	 0.752	      	 3.73	 0.72	 0.76	 85	12
J0304-3656	 7.23	 1.00	 0.219	      	 5.49	 0.74	 0.86	111	 5
J0304-3803	 5.76	 0.50	      	      	     	     	     	   	
J0305-3229	 5.67	 1.00	 0.530	 0.007	 4.17	 0.75	 0.77	 69	 5
J0307-2840	 9.48	 1.25	 0.253	      	 7.15	 0.82	 0.95	102	 4
J0307-3424	 5.41	 1.50	 0.750	 0.010	 3.76	 0.66	 0.76	104	 5
J0309-3209	 6.56	 0.75	 0.535	 0.006	 4.71	 0.69	 0.79	 76	 4
J0312-3510	 5.46	 0.25	 0.760	 0.010	 3.79	 0.66	 0.75	 79	 5
J0315-2718	 8.38	 0.75	 0.628	 0.010	 5.96	 0.77	 0.86	106	 5
J0319-2355	 5.69	 0.50	 0.588	 0.007	 4.50	 0.76	 0.84	113	 5
J0319-2244	 7.83	 1.25	 0.458	 0.008	 5.94	 0.78	 0.89	109	 5
J0319-3345	 5.97	 1.00	 0.410	 0.010	 4.52	 0.73	 0.81	 61	 4
J0319-2853	 5.34	 1.50	 0.355	      	 4.55	 0.82	 0.85	105	16
J0323-2916	 5.10	 1.00	 0.295	 0.006	 4.47	 0.77	 0.92	101	13
J0328-2140	 8.98	 0.25	 0.577	 0.007	 6.35	 0.76	 0.88	 77	 7
J0329-2330	18.86	 0.25	 1.227	      	 8.44	 0.87	 1.01	 61	10
J0330-2500	 5.53	 0.25	 0.930	 0.020	 3.96	 0.68	 0.77	106	10
J0330-2016	 5.29	 0.25	      	      	     	     	     	   	
J0330-2458	 5.36	 0.25	 0.950	 0.020	 3.83	 0.69	 0.78	 45	 5
J0331-3529	 5.55	 1.00	 0.850	 0.010	 3.72	 0.65	 0.73	 60	 5
J0331-2100	 5.88	 0.50	 0.188	      	 5.14	 0.88	 0.88	 56	 4
J0332-2524	 5.69	 0.25	 0.810	 0.010	 4.18	 0.74	 0.84	 58	 4
J0333-3707	 5.07	 0.50	 1.050	 0.040	 3.25	 0.55	 0.70	   	
J0336-2033	 6.73	 1.50	 0.840	 0.010	 4.81	 0.67	 0.79	110	 6
J0336-3929	 8.92	 1.25	 0.400	 0.010	 6.08	 0.71	 0.86	102	 4
J0337-2330	 5.48	 1.00	 0.800	 0.010	 4.10	 0.75	 0.77	 87	 5
J0339-3345	 5.31	 0.25	 0.850	 0.010	 3.60	 0.63	 0.73	 44	 4
J0340-2201	 6.39	 0.50	 0.920	 0.020	 4.48	 0.71	 0.79	 76	 5
J0343-3917	 8.84	 0.75	 0.804	 0.010	 5.42	 0.64	 0.76	 92	 5
J0346-2537	 5.48	 0.75	 0.577	 0.007	 4.38	 0.75	 0.86	 94	 4
J0347-3333	 5.42	 0.75	 0.451	 0.010	 4.10	 0.74	 0.81	 51	 7
J0347-2332	 7.57	 1.50	 0.390	 0.030	 5.92	 0.79	 0.88	   	
J0348-2144	 9.86	 1.25	 0.347	 0.008	 7.16	 0.79	 0.96	191	 6
J0349-2717	 5.85	 0.25	 0.850	 0.010	 4.21	 0.77	 0.78	 91	 6
J0351-3937	 5.32	 1.25	 0.278	 0.006	 4.25	 0.73	 0.83	 72	 5
J0352-2644	 6.36	 0.25	 0.808	 0.010	 4.65	 0.66	 0.78	139	 7
J0352-3858	 5.88	 1.50	 0.229	 0.004	 4.67	 0.80	 0.80	 78	 4
J0354-3745	10.58	 0.75	 0.251	      	 7.01	 0.78	 0.94	 94	 3
J0355-3634	 6.73	 1.25	 0.320	      	 5.08	 0.73	 0.83	 88	 4
J0355-3939	 6.13	 0.75	 0.910	 0.020	 3.99	 0.63	 0.72	 44	 4
J0355-3741	 5.48	 0.75	 0.473	      	 4.11	 0.73	 0.81	 71	 3
J0356-3416	 5.37	 0.50	 0.324	 0.007	 4.22	 0.74	 0.83	 89	 3
J0356-3431	 7.08	 1.00	 0.356	 0.009	 5.22	 0.73	 0.84	 92	 3
J0358-2415	 9.06	 1.00	 0.630	 0.010	 6.31	 0.74	 0.87	 97	17
J0358-2955	16.33	 0.50	 0.425	      	 8.81	 0.88	 1.08	123	 4
J0400-2926	10.85	 0.75	 0.780	 0.010	 6.97	 0.76	 0.91	 96	 5
J0402-2359	 5.98	 0.50	 0.950	 0.020	 4.31	 0.76	 0.75	 35	 5
J0404-2422	 7.06	 0.75	 0.270	 0.005	 5.96	 0.82	 0.93	 97	 6
J0404-3526	 7.08	 1.00	 0.572	 0.007	 5.45	 0.75	 0.85	107	12
J0407-2657	 5.85	 1.25	 0.216	 0.004	 5.23	 0.92	 0.91	 58	 3
J0411-2158	 6.15	 1.00	 0.640	 0.010	 4.84	 0.80	 0.86	 81	 4
J0416-2404	13.84	 0.75	 0.396	      	 8.98	 0.94	 1.12	165	 5
J0425-2230	 6.21	 2.00	 0.760	 0.010	 4.71	 0.80	 0.76	102	 6
J0425-3742	 8.82	 1.00	 0.321	 0.007	 6.78	 0.78	 0.94	 96	 3
J0429-3051	 5.40	 0.50	 0.225	 0.004	 4.80	 0.90	 0.91	 91	 4
J0431-3442	 5.69	 1.25	 0.460	 0.008	 4.73	 0.80	 0.88	 81	 5
J0438-2538	 5.26	 0.50	      	      	     	     	     	   	
J0445-2301	 5.05	 1.50	      	      	     	     	     	   	
J0446-3703	10.64	 0.50	 0.600	 0.007	 7.12	 0.79	 0.94	204	 6
J0454-3736	 5.89	 0.50	 0.509	 0.006	 4.78	 0.82	 0.83	 84	 4
J0454-2016	13.58	 0.50	 0.720	 0.010	 8.16	 0.82	 1.02	111	 5
J0454-2948	 5.08	 0.75	 0.690	 0.020	 4.06	 0.73	 0.87	 51	 4
J0455-3417	 5.24	 0.75	 0.613	 0.009	 4.21	 0.74	 0.86	111	 5
J0455-2225	 5.04	 0.25	      	      	     	     	     	   	
J0500-2038	 6.78	 0.75	 0.770	 0.010	 5.07	 0.74	 0.82	103	 6
J0502-2902	 9.54	 0.75	 0.605	 0.008	 6.74	 0.79	 0.93	 93	 5
J0504-2759	12.30	 0.50	 0.590	 0.007	 7.95	 0.82	 1.01	106	 5
J0505-3219	 5.65	 0.75	 0.145	 0.005	 5.11	 0.89	 0.89	 48	 3
J0509-2833	 7.21	 0.25	 0.750	 0.010	 5.35	 0.73	 0.82	 84	 5
J0512-3604	 5.31	 0.75	 0.518	 0.006	 4.39	 0.77	 0.88	 96	 5
J0512-3848	 7.54	 1.50	 0.326	 0.007	 6.07	 0.87	 0.88	119	 4
J0516-2236	 5.58	 0.50	 0.302	 0.006	 4.91	 0.88	 0.91	 85	 4
J0519-2701	 5.04	 0.25	      	      	     	     	     	   	
J0521-3917	 5.42	 0.25	 0.430	 0.010	 4.54	 0.81	 0.90	 72	 4
J0521-2754	 5.47	 1.50	 0.317	      	 4.82	 0.88	 0.88	100	47
J0525-3035	 6.56	 1.25	 0.199	      	 5.67	 0.81	 0.93	 98	 6
J0528-2942	 6.27	 2.00	 0.157	      	 5.59	 0.90	 0.90	 68	 3
J0528-3927	13.02	 2.25	 0.284	      	 8.75	 0.94	 1.11	111	 7
J0530-2227	 7.26	 1.50	 0.172	 0.004	 6.25	 0.83	 0.96	 90	 4
J0531-2641	 5.77	 0.25	      	      	     	     	     	   	
J0532-3701	14.37	 1.00	 0.275	      	 9.34	 0.96	 1.17	202	 6
J0540-3918	 5.92	 0.25	 0.479	 0.008	 4.84	 0.84	 0.86	 49	 6
J0540-2127	 5.53	 1.25	 0.528	 0.007	 4.60	 0.82	 0.87	 69	 5
J0542-3559	11.63	 0.75	 0.410	 0.010	 7.92	 0.85	 1.03	141	 5
J0543-2941	 6.52	 0.25	 1.190	 0.150	 4.36	 0.65	 0.73	   	
J0543-3620	 5.36	 0.25	 0.840	 0.010	 3.98	 0.73	 0.83	 77	 5
J0544-3949	 8.15	 0.50	 0.518	 0.007	 6.11	 0.77	 0.89	 73	 4
J0545-3237	 5.20	 1.50	 0.420	 0.010	 4.45	 0.77	 0.90	 64	 9
J0547-3152	 9.69	 1.25	 0.148	      	 7.50	 0.85	 1.02	120	 4
J0552-2103	 5.14	 2.75	 0.099	      	 4.85	 0.84	 0.97	 61	24
J0553-3342	20.93	 1.25	 0.410	 0.030	11.33	 1.16	 1.37	   	
J0556-3539	 5.07	 0.25	      	      	     	     	     	   	
J0600-2007	18.81	 1.25	 0.460	 0.030	10.66	 1.09	 1.29	   	
J1000-3016	 7.28	 1.00	 0.210	 0.020	 7.09	 0.94	 1.08	   	
J1000-2037	 5.13	 2.25	 0.570	 0.040	 4.88	 0.87	 1.01	   	
J1023-2715	 8.89	 0.75	 0.253	      	 8.01	 0.96	 1.13	   	
J1039-2502	 6.17	 0.50	 0.830	 0.030	 5.27	 0.88	 0.89	   	
J1042-2847	 6.63	 0.50	 0.720	 0.040	 5.76	 0.91	 0.91	   	
J1101-2244	 5.38	 2.25	 0.142	      	 5.69	 0.98	 1.11	   	
J1105-1954	 5.25	 0.75	 0.510	 0.040	 5.03	 0.98	 0.99	   	
J1115-2550	 5.61	 0.50	 0.520	 0.040	 5.34	 0.94	 0.96	   	
J1131-1955	10.63	 1.50	 0.307	      	 8.89	 0.95	 1.18	   	
J1144-2835	 5.14	 0.50	 0.575	      	 4.86	 0.94	 1.00	   	
J1150-2805	24.00	 1.75	 0.390	 0.050	14.45	 1.47	 1.69	   	
J1153-2137	 5.65	 1.00	 0.460	 0.040	 5.48	 0.91	 1.02	   	
J1154-2609	 6.92	 0.25	 0.340	 0.020	 6.63	 0.88	 1.03	   	
J1157-2143	 5.05	 0.25	      	      	     	     	     	   	
J1159-2258	 5.81	 0.25	 0.700	 0.040	 4.42	 0.77	 0.80	   	
J1200-2002	 7.28	 0.50	 0.670	 0.040	 5.34	 0.73	 0.82	   	
J1203-2131	 8.48	 1.50	 0.199	      	 6.68	 0.82	 0.96	   	
J1210-2218	 5.82	 0.75	 0.260	 0.020	 5.02	 0.81	 0.89	   	
J1213-3013	 5.15	 3.00	      	      	     	     	     	   	
J1221-3010	11.63	 0.75	 0.710	 0.040	 7.23	 0.76	 0.93	   	
J1223-3014	 6.40	 0.25	 0.470	 0.040	 5.10	 0.77	 0.86	   	
J1227-2227	 6.24	 2.25	 0.270	 0.020	 5.28	 0.79	 0.90	   	
J1229-2021	 5.28	 1.75	 0.410	 0.040	 4.40	 0.80	 0.90	   	
J1231-2548	 6.42	 0.75	 0.470	 0.040	 5.12	 0.76	 0.86	   	
J1238-2854	 6.92	 0.25	 0.720	 0.040	 5.06	 0.74	 0.80	   	
J1239-2149	 5.19	 1.50	      	      	     	     	     	   	
J1240-2255	 5.01	 0.50	 0.780	 0.080	 3.81	 0.66	 0.81	   	
J1245-2259	 5.11	 1.00	 1.040	 0.040	 3.55	 0.63	 0.77	   	
J1246-2548	 5.79	 1.50	 0.320	 0.020	 4.91	 0.81	 0.89	   	
J1250-3010	 5.93	 0.50	 0.430	 0.040	 4.83	 0.83	 0.84	   	
J1252-2220	 5.28	 0.25	 1.270	 0.160	 3.41	 0.64	 0.72	   	
J1253-2610	 5.31	 1.00	 0.490	 0.040	 4.32	 0.84	 0.85	   	
J1256-2851	 5.93	 0.75	 0.360	 0.040	 4.95	 0.85	 0.87	   	
J1257-2926	10.20	 0.75	 0.530	 0.040	 6.97	 0.77	 0.92	   	
J1259-1953	 5.85	 0.75	 1.050	 0.050	 3.98	 0.71	 0.72	   	
J1302-2405	 7.64	 0.25	 0.670	 0.040	 5.50	 0.73	 0.84	   	
J1304-2349	 5.31	 3.00	 0.340	 0.020	 4.55	 0.79	 0.90	   	
J1307-2052	 6.22	 0.50	 0.530	 0.040	 4.91	 0.81	 0.82	   	
J1309-2417	 8.06	 0.50	 0.780	 0.050	 5.59	 0.68	 0.82	   	
J1314-2515	15.39	 1.75	 0.247	      	 9.66	 0.97	 1.18	   	
J1315-2117	 6.31	 1.50	 0.610	 0.040	 4.84	 0.78	 0.84	   	
J1315-2806	 8.23	 0.50	 1.390	 0.070	 4.76	 0.61	 0.70	   	
J1323-2442	 5.46	 1.75	 0.300	 0.020	 4.69	 0.84	 0.86	   	
J1325-2014	 6.99	 1.25	 0.192	      	 5.86	 0.85	 0.92	   	
J1333-2318	 5.50	 1.00	 0.126	      	 4.95	 0.88	 0.90	   	
J1335-2046	 6.47	 1.25	 0.510	 0.040	 5.10	 0.82	 0.80	   	
J1336-2820	 5.17	 0.25	      	      	     	     	     	   	
J1342-2442	 6.44	 0.75	 0.810	 0.030	 4.65	 0.74	 0.78	   	
J1342-2757	 5.46	 0.75	 0.650	 0.040	 4.26	 0.75	 0.84	   	
J1347-2052	 5.21	 0.75	 0.970	 0.030	 3.72	 0.64	 0.77	   	
J1354-2011	 6.02	 0.50	 0.340	 0.020	 5.02	 0.78	 0.89	   	
J2205-2955	 7.83	 0.50	 1.310	 0.060	 4.90	 0.65	 0.73	   	
J2211-2155	 5.42	 1.00	 0.440	 0.040	 4.67	 0.84	 0.89	   	
J2215-3537	13.73	 0.25	 1.160	      	 7.57	 0.79	 0.92	   	
J2215-3245	 5.66	 0.25	 0.690	 0.050	 4.62	 0.84	 0.84	   	
J2217-3543	 5.86	 1.25	 0.149	      	 5.48	 0.95	 0.95	   	
J2218-3854	 8.03	 0.50	 0.138	      	 6.99	 0.88	 1.01	   	
J2220-3509	 7.47	 1.00	 0.154	      	 6.61	 0.86	 1.01	   	
J2223-3302	 6.25	 1.00	 0.580	 0.040	 5.19	 0.80	 0.89	   	
J2229-3631	 6.27	 0.75	 0.400	 0.040	 5.45	 0.84	 0.94	   	
J2234-3159	 6.94	 1.50	 0.570	 0.040	 5.65	 0.82	 0.90	   	
J2234-3744	16.63	 1.50	 0.153	      	11.05	 1.16	 1.38	   	
J2234-3033	 6.15	 1.00	 0.251	      	 5.60	 0.86	 0.98	   	
J2239-3040	 5.47	 0.25	      	      	     	     	     	   	
J2239-3231	 5.67	 1.00	 0.450	 0.040	 4.95	 0.88	 0.90	   	
J2244-3704	 9.02	 1.50	 0.440	 0.040	 7.00	 0.82	 0.98	   	
J2245-2113	 8.21	 0.50	 0.690	 0.040	 6.01	 0.78	 0.87	   	
J2246-3210	 5.12	 1.00	 0.500	 0.040	 4.47	 0.81	 0.94	   	
J2247-3300	 6.66	 0.50	 1.240	 0.160	 4.51	 0.71	 0.74	   	
J2251-2247	 5.63	 0.25	 1.010	 0.100	 4.08	 0.71	 0.81	   	
J2251-3324	 5.74	 1.00	 0.240	 0.020	 5.29	 0.93	 0.95	   	
J2252-2134	 5.90	 0.50	 0.160	 0.020	 5.41	 0.87	 0.96	   	
J2253-3344	 5.37	 1.75	 0.224	      	 5.04	 0.87	 0.99	   	
J2256-2241	 7.00	 0.75	 0.620	 0.040	 5.47	 0.74	 0.86	   	
J2258-2256	 5.82	 1.00	 0.550	 0.040	 4.80	 0.85	 0.84	   	
J2258-3447	 9.01	 2.00	 0.317	      	 7.23	 0.82	 1.01	   	
J2259-3951	 6.56	 0.75	 0.531	 0.008	 5.46	 0.83	 0.89	 94	18
J2259-2505	 5.50	 0.50	 0.430	 0.040	 4.72	 0.82	 0.95	   	
J2305-2248	14.36	 1.00	 0.700	 0.040	 8.57	 0.87	 1.06	   	
J2306-2215	 7.07	 0.50	 0.810	 0.060	 5.22	 0.77	 0.77	   	
J2315-2127	 5.69	 0.50	 0.540	 0.040	 4.73	 0.85	 0.85	   	
J2315-3747	 6.45	 1.50	 0.181	      	 5.92	 0.87	 0.95	   	
J2317-3648	 9.88	 0.25	 0.820	 0.030	 6.75	 0.75	 0.90	   	
J2317-3239	 9.77	 0.50	 1.050	 0.040	 6.30	 0.71	 0.84	   	
J2318-3513	 5.52	 0.25	 0.980	 0.070	 4.12	 0.74	 0.83	   	
J2319-2245	 6.66	 0.25	 0.590	 0.040	 5.33	 0.75	 0.87	   	
J2321-2725	 5.59	 0.25	 0.670	 0.040	 4.47	 0.76	 0.88	   	
J2322-3805	 9.12	 0.50	 0.360	 0.030	 7.22	 0.83	 1.00	   	
J2332-2944	 5.01	 0.25	      	      	     	     	     	   	
J2334-2413	 6.19	 0.25	 0.730	 0.050	 4.78	 0.77	 0.85	   	
J2335-3256	 5.44	 1.25	 0.510	 0.040	 4.71	 0.87	 0.88	   	
J2335-2950	10.32	 0.50	 0.700	 0.040	 6.99	 0.77	 0.93	   	
J2336-3210	 5.65	 1.00	 0.660	 0.040	 4.64	 0.85	 0.86	   	
J2336-3205	 5.12	 0.75	 0.630	 0.040	 4.33	 0.78	 0.90	   	
J2337-3822	 5.11	 0.75	 0.730	 0.050	 4.20	 0.74	 0.88	   	
J2339-3555	 5.84	 1.25	 0.610	 0.040	 4.85	 0.83	 0.85	   	
J2344-3153	 5.95	 0.25	 0.770	 0.050	 4.67	 0.83	 0.84	   	
J2346-3820	 5.87	 1.00	 1.060	 0.140	 4.28	 0.72	 0.81	   	
J2346-3316	 5.65	 0.75	 0.670	 0.040	 4.63	 0.85	 0.87	   	
J2347-3634	 7.79	 0.75	 0.460	 0.050	 6.30	 0.81	 0.95	   	
J2351-2604	11.08	 1.25	 0.230	      	 8.22	 0.89	 1.07	   	
J2351-2547	 5.47	 1.25	 0.610	 0.040	 4.49	 0.81	 0.85	   	
J2357-3446	 5.55	 2.25	 0.050	      	 5.37	 0.97	 0.96	   	
J0000-3838	 4.37	 2.25	 0.305	 0.007	 4.25	 0.71	 0.95	 49	 3
J0000-2805	 4.79	 2.50	 0.230	 0.030	 5.05	 0.91	 1.09	   	
J0001-3446	 4.23	 0.25	 0.730	 0.020	 3.72	 0.57	 0.83	 45	 7
J0011-2841	 4.13	 0.25	 0.089	 0.006	 4.79	 0.74	 1.05	 22	 5
J0019-2026	 4.95	 1.25	 0.277	      	 5.12	 0.98	 1.05	   	
J0020-2634	 4.14	 0.25	 0.233	 0.006	 4.62	 0.74	 1.02	 22	 4
J0023-3252	 4.28	 0.75	 0.660	 0.010	 3.83	 0.61	 0.84	 45	 4
J0025-3618	 4.53	 0.25	 0.215	 0.005	 4.48	 0.77	 0.99	 21	 2
J0027-3729	 4.32	 0.25	 0.830	 0.020	 3.66	 0.56	 0.81	 23	 4
J0033-3413	 4.52	 0.25	 0.233	 0.005	 4.46	 0.77	 0.97	 33	 3
J0036-2104	 4.23	 0.25	 0.356	 0.009	 4.52	 0.74	 1.00	 72	 7
J0036-3144	 4.49	 1.75	 0.410	 0.010	 4.23	 0.73	 0.94	 72	 4
J0042-2238	 4.17	 0.75	 0.710	 0.010	 4.06	 0.62	 0.88	 61	 4
