gage_height_ft	SHIFT	discharge_cfs	STOR
1.30	0.09	129.72	
1.31	0.09	132.00	
1.32	0.09	134.49	
1.33	0.09	136.99	
1.34	0.09	139.53	
1.35	0.09	142.09	
1.36	0.09	144.67	
1.37	0.09	147.27	
1.38	0.09	149.90	
1.39	0.09	152.55	
1.40	0.09	155.23	*
1.41	0.09	157.93	
1.42	0.09	160.66	
1.43	0.09	163.40	
1.44	0.09	166.18	
1.45	0.09	168.97	
1.46	0.09	171.79	
1.47	0.09	174.64	
1.48	0.09	177.51	
1.49	0.09	180.40	
1.50	0.09	183.32	
1.51	0.09	186.26	
1.52	0.09	189.23	
1.53	0.09	192.21	
1.54	0.09	195.23	
1.55	0.09	198.27	
1.56	0.09	201.33	
1.57	0.09	204.41	
1.58	0.09	207.52	
1.59	0.09	210.66	
1.60	0.09	213.82	
1.61	0.09	217.00	
1.62	0.09	220.28	
1.63	0.09	223.58	
1.64	0.09	226.91	
1.65	0.09	230.27	
1.66	0.09	233.65	
1.67	0.09	237.06	
1.68	0.09	240.49	
1.69	0.09	243.95	
1.70	0.09	247.43	*
1.71	0.09	250.94	
1.72	0.09	254.48	
1.73	0.09	258.04	
1.74	0.09	261.63	
1.75	0.09	265.25	
1.76	0.09	268.89	
1.77	0.09	272.56	
1.78	0.09	276.25	
1.79	0.09	279.97	
1.80	0.09	283.72	
1.81	0.09	287.49	
1.82	0.09	291.29	
1.83	0.09	295.11	
1.84	0.09	298.96	
1.85	0.09	302.84	
1.86	0.09	306.74	
1.87	0.09	310.67	
1.88	0.09	314.62	
1.89	0.09	318.61	
1.90	0.09	322.61	
1.91	0.09	326.65	
1.92	0.09	330.71	
1.93	0.09	334.80	
1.94	0.09	338.91	
1.95	0.09	343.05	
1.96	0.09	347.22	
1.97	0.09	351.41	
1.98	0.09	355.63	
1.99	0.09	359.87	
2.00	0.09	364.14	
2.01	0.09	368.44	
2.02	0.09	372.77	
2.03	0.09	377.12	
2.04	0.09	381.50	
2.05	0.09	385.90	
2.06	0.09	390.33	
2.07	0.09	394.79	
2.08	0.09	399.28	
2.09	0.09	403.79	
2.10	0.09	408.32	
2.11	0.09	412.89	
2.12	0.09	417.48	
2.13	0.09	422.10	
2.14	0.09	426.74	
2.15	0.09	431.41	
2.16	0.09	436.11	
2.17	0.09	440.83	
2.18	0.09	445.59	
2.19	0.09	450.36	
2.20	0.09	455.17	
2.21	0.09	460.00	
2.22	0.09	464.36	
2.23	0.09	468.73	
2.24	0.09	473.13	
2.25	0.09	477.55	
2.26	0.09	481.98	
2.27	0.09	486.44	
2.28	0.09	490.91	
2.29	0.09	495.40	
2.30	0.09	499.91	*
2.31	0.09	504.44	
2.32	0.09	509.00	
2.33	0.09	513.56	
2.34	0.09	518.15	
2.35	0.09	522.76	
2.36	0.09	527.39	
2.37	0.09	532.04	
2.38	0.09	536.70	
2.39	0.09	541.39	
2.40	0.09	546.09	
2.41	0.09	550.81	
2.42	0.09	555.56	
2.43	0.09	560.32	
2.44	0.09	565.10	
2.45	0.09	569.90	
2.46	0.09	574.72	
2.47	0.09	579.56	
2.48	0.09	584.41	
2.49	0.09	589.29	
2.50	0.09	594.19	
2.51	0.09	598.80	
2.52	0.09	603.44	
2.53	0.09	608.09	
2.54	0.09	612.76	
2.55	0.09	617.45	
2.56	0.09	622.15	
2.57	0.09	626.87	
2.58	0.09	631.61	
2.59	0.08	636.36	
2.60	0.08	641.13	
2.61	0.08	645.92	
2.62	0.08	650.72	
2.63	0.08	655.54	
2.64	0.08	660.38	
2.65	0.08	665.24	
2.66	0.08	670.11	
2.67	0.08	674.99	
2.68	0.08	679.90	
2.69	0.08	684.82	
2.70	0.08	689.76	
2.71	0.08	694.71	
2.72	0.08	699.68	
2.73	0.08	704.67	
2.74	0.08	709.68	
2.75	0.08	714.70	
2.76	0.07	719.74	
2.77	0.07	724.79	
2.78	0.07	729.86	
2.79	0.07	734.95	
2.80	0.07	740.05	
2.81	0.07	745.18	
2.82	0.07	750.31	
2.83	0.07	755.47	
2.84	0.07	760.64	
2.85	0.07	765.83	
2.86	0.07	771.03	
2.87	0.07	776.25	
2.88	0.07	781.49	
2.89	0.07	786.74	
2.90	0.07	792.01	
2.91	0.07	797.30	
2.92	0.06	802.60	
2.93	0.06	807.93	
2.94	0.06	813.26	
2.95	0.06	818.62	
2.96	0.06	823.99	
2.97	0.06	829.37	
2.98	0.06	834.78	
2.99	0.06	840.19	
3.00	0.06	845.63	
3.01	0.06	851.08	
3.02	0.06	856.55	
3.03	0.06	862.04	
3.04	0.06	867.54	
3.05	0.06	873.06	
3.06	0.06	878.59	
3.07	0.06	884.15	
3.08	0.06	889.71	
3.09	0.05	895.30	
3.10	0.05	900.90	
3.11	0.05	906.52	
3.12	0.05	912.15	
3.13	0.05	917.80	
3.14	0.05	923.47	
3.15	0.05	929.15	
3.16	0.05	934.85	
3.17	0.05	940.57	
3.18	0.05	946.30	
3.19	0.05	952.05	
3.20	0.05	957.81	
3.21	0.05	963.59	
3.22	0.05	969.39	
3.23	0.05	975.21	
3.24	0.05	981.04	
3.25	0.04	986.88	
3.26	0.04	992.49	
3.27	0.04	997.81	
3.28	0.04	1003.14	
3.29	0.04	1008.49	
3.30	0.04	1013.84	*
3.31	0.04	1019.21	
3.32	0.04	1024.59	
3.33	0.04	1029.99	
3.34	0.04	1035.39	
3.35	0.04	1040.81	
3.36	0.04	1046.24	
3.37	0.04	1051.67	
3.38	0.04	1057.13	
3.39	0.04	1062.59	
3.40	0.04	1068.06	
3.41	0.04	1073.55	
3.42	0.03	1079.05	
3.43	0.03	1084.56	
3.44	0.03	1090.08	
3.45	0.03	1095.61	
3.46	0.03	1101.16	
3.47	0.03	1106.71	
3.48	0.03	1112.28	
3.49	0.03	1117.86	
3.50	0.03	1123.45	
3.51	0.03	1129.05	
3.52	0.03	1134.67	
3.53	0.03	1140.29	
3.54	0.03	1145.93	
3.55	0.03	1151.58	
3.56	0.03	1157.24	
3.57	0.03	1162.91	
3.58	0.03	1168.60	
3.59	0.02	1174.29	
3.60	0.02	1180.00	
3.61	0.02	1185.72	
3.62	0.02	1191.45	
3.63	0.02	1197.19	
3.64	0.02	1202.94	
3.65	0.02	1208.71	
3.66	0.02	1214.48	
3.67	0.02	1220.27	
3.68	0.02	1226.07	
3.69	0.02	1231.88	
3.70	0.02	1237.70	
3.71	0.02	1243.53	
3.72	0.02	1249.37	
3.73	0.02	1255.23	
3.74	0.02	1261.10	
3.75	0.01	1266.97	
3.76	0.01	1272.86	
3.77	0.01	1278.77	
3.78	0.01	1284.68	
3.79	0.01	1290.60	
3.80	0.01	1296.54	
3.81	0.01	1302.48	
3.82	0.01	1308.44	
3.83	0.01	1314.41	
3.84	0.01	1320.39	
3.85	0.01	1326.38	
3.86	0.01	1332.38	
3.87	0.01	1338.40	
3.88	0.01	1344.42	
3.89	0.01	1350.46	
3.90	0.01	1356.51	
3.91	0.01	1362.57	
3.92	0.00	1368.64	
3.93	0.00	1374.72	
3.94	0.00	1380.81	
3.95	0.00	1386.91	
3.96	0.00	1393.03	
3.97	0.00	1399.15	
3.98	0.00	1405.29	
3.99	0.00	1411.44	
4.00	0.00	1417.60	
4.01	0.00	1424.17	
4.02	0.00	1430.74	
4.03	0.00	1437.33	
4.04	0.00	1443.94	
4.05	0.00	1450.55	
4.06	0.00	1457.18	
4.07	0.00	1463.82	
4.08	0.00	1470.47	
4.09	0.00	1477.14	
4.10	0.00	1483.82	
4.11	0.00	1490.51	
4.12	0.00	1497.21	
4.13	0.00	1503.93	
4.14	0.00	1510.66	
4.15	0.00	1517.40	
4.16	0.00	1524.15	
4.17	0.00	1530.92	
4.18	0.00	1537.69	
4.19	0.00	1544.48	
4.20	0.00	1551.29	
4.21	0.00	1558.10	
4.22	0.00	1564.93	
4.23	0.00	1571.77	
4.24	0.00	1578.62	
4.25	0.00	1585.49	
4.26	0.00	1592.37	
4.27	0.00	1599.26	
4.28	0.00	1606.16	
4.29	0.00	1613.07	
4.30	0.00	1620.00	*
4.31	0.00	1626.68	
4.32	0.00	1633.37	
4.33	0.00	1640.07	
4.34	0.00	1646.78	
4.35	0.00	1653.51	
4.36	0.00	1660.24	
4.37	0.00	1666.98	
4.38	0.00	1673.74	
4.39	0.00	1680.50	
4.40	0.00	1687.28	
4.41	0.00	1694.07	
4.42	0.00	1700.87	
4.43	0.00	1707.67	
4.44	0.00	1714.49	
4.45	0.00	1721.32	
4.46	0.00	1728.16	
4.47	0.00	1735.01	
4.48	0.00	1741.88	
4.49	0.00	1748.75	
4.50	0.00	1755.63	
4.51	0.00	1762.53	
4.52	0.00	1769.43	
4.53	0.00	1776.35	
4.54	0.00	1783.27	
4.55	0.00	1790.21	
4.56	0.00	1797.15	
4.57	0.00	1804.11	
4.58	0.00	1811.08	
4.59	0.00	1818.06	
4.60	0.00	1825.05	
4.61	0.00	1832.05	
4.62	0.00	1839.06	
4.63	0.00	1846.08	
4.64	0.00	1853.11	
4.65	0.00	1860.15	
4.66	0.00	1867.20	
4.67	0.00	1874.26	
4.68	0.00	1881.34	
4.69	0.00	1888.42	
4.70	0.00	1895.52	
4.71	0.00	1902.62	
4.72	0.00	1909.73	
4.73	0.00	1916.86	
4.74	0.00	1924.00	
4.75	0.00	1931.14	
4.76	0.00	1938.30	
4.77	0.00	1945.47	
4.78	0.00	1952.64	
4.79	0.00	1959.83	
4.80	0.00	1967.03	
4.81	0.00	1974.24	
4.82	0.00	1981.46	
4.83	0.00	1988.69	
4.84	0.00	1995.93	
4.85	0.00	2003.18	
4.86	0.00	2010.44	
4.87	0.00	2017.71	
4.88	0.00	2024.99	
4.89	0.00	2032.28	
4.90	0.00	2039.58	
4.91	0.00	2046.89	
4.92	0.00	2054.21	
4.93	0.00	2061.55	
4.94	0.00	2068.89	
4.95	0.00	2076.24	
4.96	0.00	2083.61	
4.97	0.00	2090.98	
4.98	0.00	2098.36	
4.99	0.00	2105.76	
5.00	0.00	2113.16	
5.01	0.00	2120.57	
5.02	0.00	2128.00	
5.03	0.00	2135.43	
5.04	0.00	2142.88	
5.05	0.00	2150.33	
5.06	0.00	2157.80	
5.07	0.00	2165.27	
5.08	0.00	2172.76	
5.09	0.00	2180.26	
5.10	0.00	2187.76	
5.11	0.00	2195.28	
5.12	0.00	2202.80	
5.13	0.00	2210.34	
5.14	0.00	2217.89	
5.15	0.00	2225.44	
5.16	0.00	2233.01	
5.17	0.00	2240.59	
5.18	0.00	2248.17	
5.19	0.00	2255.77	
5.20	0.00	2263.38	
5.21	0.00	2270.99	
5.22	0.00	2278.62	
5.23	0.00	2286.26	
5.24	0.00	2293.91	
5.25	0.00	2301.56	
5.26	0.00	2309.23	
5.27	0.00	2316.91	
5.28	0.00	2324.60	
5.29	0.00	2332.29	
5.30	0.00	2340.00	*
5.31	0.00	2347.57	
5.32	0.00	2355.14	
5.33	0.00	2362.72	
5.34	0.00	2370.32	
5.35	0.00	2377.92	
5.36	0.00	2385.53	
5.37	0.00	2393.15	
5.38	0.00	2400.78	
5.39	0.00	2408.42	
5.40	0.00	2416.07	
5.41	0.00	2423.73	
5.42	0.00	2431.39	
5.43	0.00	2439.07	
5.44	0.00	2446.76	
5.45	0.00	2454.45	
5.46	0.00	2462.15	
5.47	0.00	2469.87	
5.48	0.00	2477.59	
5.49	0.00	2485.32	
5.50	0.00	2493.06	
5.51	0.00	2500.81	
5.52	0.00	2508.57	
5.53	0.00	2516.34	
5.54	0.00	2524.12	
5.55	0.00	2531.90	
5.56	0.00	2539.70	
5.57	0.00	2547.50	
5.58	0.00	2555.32	
5.59	0.00	2563.14	
5.60	0.00	2570.97	
5.61	0.00	2578.81	
5.62	0.00	2586.66	
5.63	0.00	2594.52	
5.64	0.00	2602.39	
5.65	0.00	2610.27	
5.66	0.00	2618.15	
5.67	0.00	2626.05	
5.68	0.00	2633.95	
5.69	0.00	2641.87	
5.70	0.00	2649.79	
5.71	0.00	2657.72	
5.72	0.00	2665.66	
5.73	0.00	2673.61	
5.74	0.00	2681.57	
5.75	0.00	2689.54	
5.76	0.00	2697.52	
5.77	0.00	2705.50	
5.78	0.00	2713.50	
5.79	0.00	2721.50	
5.80	0.00	2729.51	
5.81	0.00	2737.54	
5.82	0.00	2745.57	
5.83	0.00	2753.61	
5.84	0.00	2761.66	
5.85	0.00	2769.71	
5.86	0.00	2777.78	
5.87	0.00	2785.85	
5.88	0.00	2793.94	
5.89	0.00	2802.03	
5.90	0.00	2810.13	
5.91	0.00	2818.25	
5.92	0.00	2826.37	
5.93	0.00	2834.50	
5.94	0.00	2842.63	
5.95	0.00	2850.78	
5.96	0.00	2858.94	
5.97	0.00	2867.10	
5.98	0.00	2875.27	
5.99	0.00	2883.46	
6.00	0.00	2891.65	
6.01	0.00	2899.85	
6.02	0.00	2908.06	
6.03	0.00	2916.27	
6.04	0.00	2924.50	
6.05	0.00	2932.73	
6.06	0.00	2940.98	
6.07	0.00	2949.23	
6.08	0.00	2957.49	
6.09	0.00	2965.76	
6.10	0.00	2974.04	
6.11	0.00	2982.33	
6.12	0.00	2990.63	
6.13	0.00	2998.93	
6.14	0.00	3007.25	
6.15	0.00	3015.57	
6.16	0.00	3023.90	
6.17	0.00	3032.24	
6.18	0.00	3040.59	
6.19	0.00	3048.95	
6.20	0.00	3057.32	
6.21	0.00	3065.69	
6.22	0.00	3074.08	
6.23	0.00	3082.47	
6.24	0.00	3090.87	
6.25	0.00	3099.28	
6.26	0.00	3107.70	
6.27	0.00	3116.13	
6.28	0.00	3124.57	
6.29	0.00	3133.01	
6.30	0.00	3141.47	
6.31	0.00	3149.93	
6.32	0.00	3158.40	
6.33	0.00	3166.88	
6.34	0.00	3175.37	
6.35	0.00	3183.87	
6.36	0.00	3192.37	
6.37	0.00	3200.89	
6.38	0.00	3209.41	
6.39	0.00	3217.94	
6.40	0.00	3226.48	
6.41	0.00	3235.03	
6.42	0.00	3243.59	
6.43	0.00	3252.16	
6.44	0.00	3260.73	
6.45	0.00	3269.32	
6.46	0.00	3277.91	
6.47	0.00	3286.51	
6.48	0.00	3295.12	
6.49	0.00	3303.74	
6.50	0.00	3312.36	
6.51	0.00	3321.00	
6.52	0.00	3329.64	
6.53	0.00	3338.29	
6.54	0.00	3346.95	
6.55	0.00	3355.62	
6.56	0.00	3364.30	
6.57	0.00	3372.99	
6.58	0.00	3381.68	
6.59	0.00	3390.39	
6.60	0.00	3399.10	
6.61	0.00	3407.82	
6.62	0.00	3416.55	
6.63	0.00	3425.28	
6.64	0.00	3434.03	
6.65	0.00	3442.79	
6.66	0.00	3451.55	
6.67	0.00	3460.32	
6.68	0.00	3469.10	
6.69	0.00	3477.89	
6.70	0.00	3486.68	
6.71	0.00	3495.49	
6.72	0.00	3504.30	
6.73	0.00	3513.13	
6.74	0.00	3521.96	
6.75	0.00	3530.80	
6.76	0.00	3539.64	
6.77	0.00	3548.50	
6.78	0.00	3557.36	
6.79	0.00	3566.24	
6.80	0.00	3575.12	
6.81	0.00	3584.01	
6.82	0.00	3592.91	
6.83	0.00	3601.81	
6.84	0.00	3610.73	
6.85	0.00	3619.65	
6.86	0.00	3628.58	
6.87	0.00	3637.52	
6.88	0.00	3646.47	
6.89	0.00	3655.43	
6.90	0.00	3664.39	
6.91	0.00	3673.37	
6.92	0.00	3682.35	
6.93	0.00	3691.34	
6.94	0.00	3700.34	
6.95	0.00	3709.34	
6.96	0.00	3718.36	
6.97	0.00	3727.38	
6.98	0.00	3736.42	
6.99	0.00	3745.46	
7.00	0.00	3754.50	
7.01	0.00	3763.56	
7.02	0.00	3772.63	
7.03	0.00	3781.70	
7.04	0.00	3790.78	
7.05	0.00	3799.87	
7.06	0.00	3808.97	
7.07	0.00	3818.08	
7.08	0.00	3827.19	
7.09	0.00	3836.32	
7.10	0.00	3845.45	
7.11	0.00	3854.59	
7.12	0.00	3863.74	
7.13	0.00	3872.89	
7.14	0.00	3882.06	
7.15	0.00	3891.23	
7.16	0.00	3900.41	
7.17	0.00	3909.60	
7.18	0.00	3918.80	
7.19	0.00	3928.00	
7.20	0.00	3937.22	
7.21	0.00	3946.44	
7.22	0.00	3955.67	
7.23	0.00	3964.91	
7.24	0.00	3974.16	
7.25	0.00	3983.41	
7.26	0.00	3992.67	
7.27	0.00	4001.95	
7.28	0.00	4011.23	
7.29	0.00	4020.51	
7.30	0.00	4029.81	
7.31	0.00	4039.11	
7.32	0.00	4048.43	
7.33	0.00	4057.75	
7.34	0.00	4067.08	
7.35	0.00	4076.41	
7.36	0.00	4085.76	
7.37	0.00	4095.11	
7.38	0.00	4104.47	
7.39	0.00	4113.84	
7.40	0.00	4123.22	
7.41	0.00	4132.60	
7.42	0.00	4142.00	
7.43	0.00	4151.40	
7.44	0.00	4160.81	
7.45	0.00	4170.23	
7.46	0.00	4179.66	
7.47	0.00	4189.09	
7.48	0.00	4198.53	
7.49	0.00	4207.98	
7.50	0.00	4217.44	
7.51	0.00	4226.91	
7.52	0.00	4236.38	
7.53	0.00	4245.87	
7.54	0.00	4255.36	
7.55	0.00	4264.86	
7.56	0.00	4274.36	
7.57	0.00	4283.88	
7.58	0.00	4293.40	
7.59	0.00	4302.93	
7.60	0.00	4312.47	
7.61	0.00	4322.02	
7.62	0.00	4331.58	
7.63	0.00	4341.14	
7.64	0.00	4350.71	
7.65	0.00	4360.29	
7.66	0.00	4369.88	
7.67	0.00	4379.48	
7.68	0.00	4389.08	
7.69	0.00	4398.69	
7.70	0.00	4408.31	
7.71	0.00	4417.94	
7.72	0.00	4427.57	
7.73	0.00	4437.22	
7.74	0.00	4446.87	
7.75	0.00	4456.53	
7.76	0.00	4466.20	
7.77	0.00	4475.87	
7.78	0.00	4485.56	
7.79	0.00	4495.25	
7.80	0.00	4504.95	
7.81	0.00	4514.66	
7.82	0.00	4524.37	
7.83	0.00	4534.10	
7.84	0.00	4543.83	
7.85	0.00	4553.57	
7.86	0.00	4563.31	
7.87	0.00	4573.07	
7.88	0.00	4582.83	
7.89	0.00	4592.60	
7.90	0.00	4602.38	
7.91	0.00	4612.17	
7.92	0.00	4621.96	
7.93	0.00	4631.77	
7.94	0.00	4641.58	
7.95	0.00	4651.40	
7.96	0.00	4661.22	
7.97	0.00	4671.06	
7.98	0.00	4680.90	
7.99	0.00	4690.75	
8.00	0.00	4700.61	
8.01	0.00	4710.47	
8.02	0.00	4720.35	
8.03	0.00	4730.23	
8.04	0.00	4740.12	
8.05	0.00	4750.02	
8.06	0.00	4759.92	
8.07	0.00	4769.84	
8.08	0.00	4779.76	
8.09	0.00	4789.69	
8.10	0.00	4799.62	
8.11	0.00	4809.57	
8.12	0.00	4819.52	
8.13	0.00	4829.48	
8.14	0.00	4839.45	
8.15	0.00	4849.42	
8.16	0.00	4859.41	
8.17	0.00	4869.40	
8.18	0.00	4879.40	
8.19	0.00	4889.41	
8.20	0.00	4899.42	
8.21	0.00	4909.44	
8.22	0.00	4919.47	
8.23	0.00	4929.51	
8.24	0.00	4939.56	
8.25	0.00	4949.61	
8.26	0.00	4959.67	
8.27	0.00	4969.74	
8.28	0.00	4979.82	
8.29	0.00	4989.91	
8.30	0.00	5000.00	*
