Data for Z=14, E=0.001-433 keV
                   µ 
    E           Total
1.802122E+00  6.8660E+02
1.820795E+00  6.6811E+02
1.829705E+00  6.5951E+02
1.837061E+00  6.5255E+02
1.848094E+00  7.6827E+03
1.875678E+00  7.4743E+03
1.946430E+00  6.9514E+03
2.080733E+00  5.8993E+03
2.224304E+00  4.9453E+03
2.377781E+00  4.1308E+03
2.541848E+00  3.4679E+03
2.717235E+00  2.9162E+03
2.904724E+00  2.4527E+03
3.105150E+00  2.0554E+03
3.319406E+00  1.7175E+03
3.548445E+00  1.4354E+03
3.793288E+00  1.1949E+03
4.055024E+00  9.9011E+02
4.334821E+00  8.2049E+02
4.633924E+00  6.8002E+02
4.953664E+00  5.6369E+02
5.295467E+00  4.6729E+02
5.660855E+00  3.8744E+02
6.051453E+00  3.2127E+02
6.469004E+00  2.6648E+02
6.915365E+00  2.2105E+02
7.392525E+00  1.8341E+02
7.902609E+00  1.5221E+02
8.447890E+00  1.2565E+02
9.030794E+00  1.0350E+02
9.653919E+00  8.4770E+01
1.032004E+01  6.9456E+01
1.103212E+01  5.6935E+01
1.179334E+01  4.6699E+01
1.260708E+01  3.8324E+01
1.347697E+01  3.1473E+01
1.440688E+01  2.5868E+01
1.540095E+01  2.1280E+01
1.646362E+01  1.7525E+01
1.759961E+01  1.4450E+01
1.881398E+01  1.1932E+01
2.011215E+01  9.8679E+00
2.149988E+01  8.1768E+00
2.298338E+01  6.7902E+00
2.456923E+01  5.6527E+00
2.626450E+01  4.7193E+00
2.807676E+01  3.9368E+00
3.001405E+01  3.2925E+00
3.208502E+01  2.7666E+00
3.429889E+01  2.3369E+00
3.666551E+01  1.9853E+00
3.919543E+01  1.6975E+00
4.189992E+01  1.4576E+00
4.479101E+01  1.2614E+00
4.788159E+01  1.1009E+00
5.118542E+01  9.6932E-01
5.471721E+01  8.6116E-01
5.849270E+01  7.7205E-01
6.252870E+01  6.9839E-01
6.684318E+01  6.3733E-01
7.145536E+01  5.8650E-01
7.638578E+01  5.4397E-01
8.165640E+01  5.0815E-01
8.729069E+01  4.7780E-01
9.331374E+01  4.5189E-01
9.975239E+01  4.2962E-01
1.066353E+02  4.1027E-01
1.139931E+02  3.9329E-01
1.218587E+02  3.7825E-01
1.302669E+02  3.6477E-01
1.392553E+02  3.5259E-01
1.488640E+02  3.4143E-01
1.591356E+02  3.3111E-01
1.701159E+02  3.2146E-01
1.818539E+02  3.1236E-01
1.944018E+02  3.0376E-01
2.078156E+02  2.9550E-01
2.221548E+02  2.8754E-01
2.374835E+02  2.7984E-01
2.538699E+02  2.7234E-01
2.713869E+02  2.6506E-01
2.901126E+02  2.5791E-01
3.101304E+02  2.5088E-01
3.315294E+02  2.4402E-01
3.544049E+02  2.3724E-01
3.788588E+02  2.3058E-01
4.050001E+02  2.2402E-01
4.329451E+02  2.1756E-01
