Spectrum #,Particle #,x,y,Cluster_ID,Pb_at%,Mo_at%,O_at%,An er w%,Pb_w%,Mo_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
81,24,-0.199,-0.003,0,16.14,16.18,67.68,2.92,57.57,26.71,18.64,0.996557,53.2,0,28.3 min. ref. bckgrnd counts
82,24,-0.266,-0.015,0,15.0,15.0,70.0,-1.41,54.07,25.04,19.49,0.996586,44.3,0,31.8 min. ref. bckgrnd counts
83,25,0.098,-0.059,0,17.06,16.55,66.39,0.59,57.49,25.83,17.27,0.996468,52.2,0,31.7 min. ref. bckgrnd counts
84,25,0.041,-0.122,0,16.73,15.72,67.54,0.6,57.59,25.06,17.95,0.996437,50.3,0,24.6 min. ref. bckgrnd counts
85,25,-0.012,-0.023,0,16.18,16.53,67.3,-3.11,53.99,25.54,17.35,0.996177,59.0,0,31.9 min. ref. bckgrnd counts
86,25,0.04,-0.062,0,19.46,15.71,64.83,2.12,62.62,23.4,16.1,0.996821,49.9,0,31.3 min. ref. bckgrnd counts
87,25,0.11,-0.145,0,14.51,15.99,69.5,0.35,53.38,27.23,19.74,0.996781,43.7,0,36.6 min. ref. bckgrnd counts
88,26,0.169,-0.098,0,16.33,16.53,67.15,-1.31,55.25,25.9,17.55,0.997251,41.3,0,31.7 min. ref. bckgrnd counts
89,26,-0.169,-0.047,0,18.5,14.76,66.74,4.32,63.29,23.39,17.64,0.996901,48.9,0,46.1 min. ref. bckgrnd counts
90,26,-0.007,0.059,,15.75,16.54,67.71,7.38,59.05,28.72,19.61,0.997138,50.8,0,9.5 min. ref. bckgrnd counts
91,26,-0.167,-0.201,0,16.27,16.29,67.44,-1.75,55.09,25.53,17.63,0.996784,47.7,0,47.1 min. ref. bckgrnd counts
92,26,0.061,-0.108,0,16.54,15.62,67.84,1.03,57.6,25.19,18.24,0.997332,43.9,0,31.4 min. ref. bckgrnd counts
93,27,-0.004,0.169,0,15.98,15.09,68.94,-2.06,55.32,24.19,18.43,0.99672,46.9,0,28.2 min. ref. bckgrnd counts
94,28,-0.298,0.303,0,14.67,16.23,69.1,-0.68,52.94,27.13,19.25,0.996552,44.9,0,37.2 min. ref. bckgrnd counts
95,28,-0.393,0.254,,13.58,10.74,75.68,-5.43,52.64,19.28,22.65,0.99337,91.8,0,31.0 min. ref. bckgrnd counts
96,28,-0.359,0.312,,13.34,13.72,72.94,-5.98,49.53,23.58,20.91,0.993773,84.2,0,36.0 min. ref. bckgrnd counts
97,28,-0.333,0.253,,13.84,12.28,73.89,-5.03,52.09,21.4,21.48,0.993892,87.6,0,36.8 min. ref. bckgrnd counts
98,30,-0.118,0.004,0,18.18,16.56,65.27,0.19,58.97,24.87,16.35,0.997642,41.9,0,22.2 min. ref. bckgrnd counts
99,30,-0.068,0.031,0,15.31,15.69,69.01,-2.68,53.4,25.34,18.59,0.996385,48.5,0,30.7 min. ref. bckgrnd counts
100,30,0.033,-0.067,0,17.52,15.35,67.13,0.42,59.02,23.94,17.46,0.995788,59.1,0,44.1 min. ref. bckgrnd counts
101,30,-0.011,0.033,,12.92,15.04,72.03,12.31,57.03,30.74,24.54,0.995232,71.7,6,excessive X-ray absorption
102,30,-0.049,0.06,0,15.41,15.54,69.04,0.28,55.32,25.83,19.13,0.996391,53.7,0,38.0 min. ref. bckgrnd counts
