0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-144,2001,1.0,0.00,1.00,1.00,100.0,1.03,1.03,0.00,0.00,9.2,0.00,0.00,0.00,0.40,0.40,0.37,-0.40,-0.40,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-288,2001,1.5,0.00,4.00,1.33,33.3,3.91,1.30,0.00,0.00,11.9,0.00,0.00,0.00,0.27,0.27,0.06,-0.27,-0.27,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-078,1999,1.1,0.00,5.45,0.00,0.0,5.45,0.00,0.00,,14.6,0.00,0.00,0.00,0.45,0.45,0.08,-0.45,-0.45,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-078,1999,13.0,0.15,2.62,0.54,20.6,2.61,0.54,0.06,0.29,15.3,0.00,0.00,0.00,0.25,0.25,0.10,-0.10,-0.10,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,25-027,2000,13.6,0.44,2.50,1.18,47.1,2.50,1.18,0.15,0.31,14.9,0.00,0.07,0.07,0.39,0.34,0.13,0.05,0.03,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-055,2000,14.3,0.00,1.75,0.63,36.0,1.75,0.63,0.00,0.00,16.5,0.00,0.00,0.00,0.15,0.15,0.08,-0.15,-0.15,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-110,2001,2.9,0.34,1.38,1.03,75.0,1.39,1.04,0.25,0.33,18.6,0.00,0.00,0.00,0.21,0.21,0.16,0.14,0.14,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-258,1989,28.5,0.21,0.67,0.32,47.4,0.67,0.32,0.32,0.67,18.7,0.00,0.00,0.00,0.09,0.09,0.14,0.12,0.12,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-220,2004,21.1,0.00,0.24,0.09,40.0,0.24,0.09,0.00,0.00,23.3,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-287,1999,23.9,0.46,2.18,1.13,51.9,2.17,1.13,0.21,0.41,13.7,0.04,0.00,0.00,0.43,0.43,0.20,0.03,0.03,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-109,1995,0.1,0.00,10.0,0.00,0.0,11.25,0.00,0.00,,24.7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-297,1994,30.1,0.20,2.16,0.63,29.2,2.16,0.63,0.05,0.16,19.2,0.07,0.10,0.10,0.30,0.22,0.10,-0.10,-0.12,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-128,2003,5.4,0.00,1.11,0.56,50.0,1.11,0.55,0.00,0.00,21.7,0.00,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-102,2003,12.2,0.00,0.41,0.16,40.0,0.41,0.16,0.00,0.00,11.9,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-087,1998,7.2,0.00,0.83,0.42,50.0,0.83,0.42,0.00,0.00,25.9,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-351,1998,23.1,0.04,0.61,0.17,28.6,0.61,0.17,0.07,0.25,25.7,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.02,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-063,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-069,2000,4.8,0.21,1.25,0.63,50.0,1.25,0.62,0.17,0.33,16.3,0.00,0.00,0.00,0.13,0.13,0.10,0.08,0.08,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-296,1998,19.8,0.05,0.56,0.10,18.2,0.56,0.10,0.09,0.50,22.0,0.00,0.00,0.00,0.06,0.06,0.11,-0.01,-0.01,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-358,2003,1.1,0.91,0.91,0.91,100.0,0.90,0.90,1.00,1.00,15.1,0.00,0.00,0.00,0.09,0.09,0.08,0.82,0.82,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-287,2003,7.9,0.38,1.65,0.51,30.8,1.64,0.50,0.23,0.75,15.6,0.13,0.00,0.00,0.19,0.19,0.11,0.19,0.19,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-257,1999,25.6,0.00,1.33,0.39,29.4,1.33,0.39,0.00,0.00,17.3,0.00,0.00,0.00,0.12,0.12,0.09,-0.12,-0.12,Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-257,1995,14.9,0.07,0.40,0.13,33.3,0.40,0.13,0.17,0.50,10.3,0.00,0.00,0.00,0.06,0.06,0.16,0.01,0.01,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-087,2001,24.5,0.29,2.57,1.14,44.4,2.57,1.14,0.11,0.25,18.4,0.00,0.00,0.00,0.32,0.32,0.13,-0.04,-0.04,Matches
35,Seth Antwi,gh GHA,MF,St. Louis,26-025,1999,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-116,1996,18.9,0.00,0.48,0.11,22.2,0.48,0.11,0.00,0.00,19.8,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-103,2007,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-270,1995,28.3,0.46,4.28,1.38,32.2,4.27,1.38,0.08,0.26,20.0,0.39,0.11,0.11,0.52,0.43,0.10,-0.06,-0.08,Matches
39,César Araujo,uy URU,MF,Orlando City,24-246,2001,20.0,0.10,0.95,0.30,31.6,0.95,0.30,0.11,0.33,19.6,0.15,0.00,0.00,0.04,0.04,0.05,0.06,0.06,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-229,2001,28.5,0.14,1.61,0.56,34.8,1.62,0.56,0.09,0.25,15.3,0.00,0.00,0.00,0.19,0.19,0.11,-0.05,-0.05,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-285,1995,15.7,0.19,2.55,0.57,22.5,2.54,0.57,0.08,0.33,14.8,0.06,0.00,0.13,0.39,0.29,0.12,-0.20,-0.10,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-302,1995,0.8,0.00,1.25,0.00,0.0,1.20,0.00,0.00,,12.5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-268,1996,31.7,0.03,0.35,0.06,18.2,0.35,0.06,0.09,0.50,27.6,0.00,0.00,0.00,0.01,0.01,0.03,0.02,0.02,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-307,2002,19.7,0.00,0.66,0.00,0.0,0.66,0.00,0.00,,19.0,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-169,1997,25.2,0.00,1.11,0.24,21.4,1.11,0.24,0.00,0.00,21.6,0.00,0.00,0.00,0.09,0.09,0.08,-0.09,-0.09,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-255,2003,13.6,0.00,0.29,0.07,25.0,0.29,0.07,0.00,0.00,18.2,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
47,Tomás Avilés,ar ARG,DF,Inter Miami,21-304,2004,13.3,0.15,0.30,0.15,50.0,0.30,0.15,0.50,1.00,19.2,0.00,0.00,0.00,0.05,0.05,0.15,0.11,0.11,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-337,1997,19.7,0.00,0.66,0.10,15.4,0.66,0.10,0.00,0.00,11.9,0.05,0.00,0.00,0.07,0.07,0.10,-0.07,-0.07,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-243,2001,17.2,0.06,0.17,0.06,33.3,0.17,0.06,0.33,1.00,8.0,0.00,0.00,0.00,0.03,0.03,0.17,0.03,0.03,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-131,2002,29.2,0.07,1.13,0.21,18.2,1.13,0.21,0.06,0.33,18.9,0.00,0.00,0.00,0.06,0.06,0.05,0.01,0.01,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-049,1992,8.3,0.12,1.93,0.84,43.8,1.93,0.84,0.06,0.14,12.6,0.00,0.00,0.00,0.30,0.30,0.16,-0.18,-0.18,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-268,2006,10.0,0.10,0.70,0.50,71.4,0.70,0.50,0.14,0.20,13.1,0.00,0.00,0.00,0.08,0.08,0.11,0.02,0.02,Matches
53,Corey Baird,us USA,FW,San Diego FC,29-308,1996,2.9,0.00,1.03,0.00,0.0,1.03,0.00,0.00,,19.1,0.00,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-308,1996,4.7,0.00,1.70,0.64,37.5,1.71,0.64,0.00,0.00,13.7,0.00,0.00,0.00,0.19,0.19,0.11,-0.19,-0.19,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-331,2004,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-248,2005,6.0,0.00,0.50,0.17,33.3,0.50,0.17,0.00,0.00,18.7,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-325,2001,6.7,0.30,2.84,0.75,26.3,2.85,0.75,0.11,0.40,15.9,0.00,0.00,0.00,0.28,0.28,0.10,0.01,0.01,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-082,1993,0.2,0.00,10.0,5.00,50.0,12.00,6.00,0.00,0.00,25.4,0.00,0.00,0.00,2.50,2.50,0.25,-2.50,-2.50,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-253,1996,27.3,0.18,2.09,0.88,42.1,2.09,0.88,0.09,0.21,18.3,0.04,0.00,0.00,0.22,0.22,0.10,-0.03,-0.03,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-243,2006,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
61,Jesús Barea,es ESP,FW,Real Salt Lake,23-220,2002,2.9,0.00,3.79,1.72,45.5,3.76,1.71,0.00,0.00,11.5,0.00,0.00,0.00,0.55,0.55,0.15,-0.55,-0.55,Matches
62,Tai Baribo,il ISR,FW,Philadelphia Union,27-323,1998,20.7,0.77,2.61,1.06,40.7,2.60,1.06,0.28,0.68,10.9,0.00,0.05,0.05,0.66,0.62,0.24,0.11,0.10,Matches
63,Tom Barlow,us USA,"FW,MF",Chicago Fire,30-149,1995,4.1,0.73,1.95,0.98,50.0,1.93,0.97,0.38,0.75,11.7,0.00,0.00,0.00,0.37,0.37,0.18,0.37,0.37,Matches
64,Luis Barraza,us USA,GK,D.C. United,29-026,1996,23.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
65,Leonardo Barroso,pt POR,DF,Chicago Fire,20-175,2005,11.6,0.09,0.95,0.34,36.4,0.95,0.34,0.09,0.25,20.9,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,Matches
66,Jacob Bartlett,us USA,MF,Sporting KC,20-058,2005,21.5,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,19.7,0.00,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
67,Lucas Bartlett,us USA,DF,D.C. United,28-131,1997,28.9,0.00,0.38,0.10,27.3,0.38,0.10,0.00,0.00,11.9,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
68,Ethan Bartlow,us USA,DF,Houston Dynamo,25-305,2000,14.7,0.00,0.68,0.14,20.0,0.68,0.14,0.00,0.00,14.4,0.00,0.00,0.00,0.08,0.08,0.12,-0.08,-0.08,Matches
69,Cole Bassett,us USA,"MF,FW",Colorado Rapids,24-129,2001,24.4,0.12,1.72,0.57,33.3,1.72,0.57,0.05,0.14,17.8,0.12,0.04,0.04,0.21,0.18,0.10,-0.09,-0.10,Matches
70,Sam Bassett,us USA,"FW,MF",Colorado Rapids,22-235,2003,3.8,0.00,1.05,0.00,0.0,1.06,0.00,0.00,,12.1,0.00,0.00,0.00,0.26,0.26,0.26,-0.26,-0.26,Matches
71,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,28-007,1997,19.4,0.10,0.88,0.21,23.5,0.87,0.21,0.12,0.50,19.8,0.05,0.00,0.00,0.11,0.11,0.12,-0.01,-0.01,Matches
72,Zorhan Bassong,ca CAN,"MF,DF",Sporting KC,26-211,1999,18.5,0.05,0.54,0.22,40.0,0.54,0.22,0.10,0.25,18.0,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.03,Matches
73,Andy Batioja,co COL,FW,Houston Dynamo,19-307,2006,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
74,Josh Bauer,us USA,DF,Nashville SC,27-135,1998,9.4,0.21,0.85,0.32,37.5,0.85,0.32,0.25,0.67,11.6,0.00,0.00,0.00,0.07,0.07,0.09,0.14,0.14,Matches
75,Timo Baumgartl,de GER,DF,St. Louis,29-275,1996,19.5,0.00,0.51,0.05,10.0,0.51,0.05,0.00,0.00,10.1,0.00,0.00,0.00,0.06,0.06,0.11,-0.06,-0.06,Matches
76,Tanner Beason,us USA,DF,NE Revolution,28-256,1997,21.6,0.00,0.14,0.09,66.7,0.14,0.09,0.00,0.00,10.8,0.00,0.00,0.00,0.00,0.00,0.04,-0.00,-0.00,Matches
77,Adam Beaudry,us USA,GK,Colorado Rapids,19-230,2006,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
78,Simon Becher,us USA,"FW,MF",St. Louis,26-137,1999,13.9,0.22,3.09,1.29,41.9,3.10,1.30,0.07,0.17,12.5,0.00,0.00,0.00,0.61,0.61,0.20,-0.40,-0.40,Matches
79,Alejandro Bedoya,us USA,"MF,DF",Philadelphia Union,38-219,1987,8.3,0.12,1.57,0.36,23.1,1.56,0.36,0.08,0.33,11.3,0.00,0.00,0.00,0.18,0.18,0.11,-0.06,-0.06,Matches
80,Jon Bell,jm JAM,DF,Seattle Sounders,28-100,1997,14.7,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,12.7,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
81,Ben Bender,us USA,"MF,FW",Philadelphia Union,24-272,2001,3.6,0.00,1.39,0.00,0.0,1.40,0.00,0.00,,20.9,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
82,Ramiro Benetti,br BRA,"MF,DF",FC Dallas,32-196,1993,25.6,0.00,0.23,0.12,50.0,0.23,0.12,0.00,0.00,28.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
83,Christian Benteke,be BEL,FW,D.C. United,35-001,1990,20.9,0.43,3.59,1.63,45.3,3.60,1.63,0.09,0.21,13.0,0.00,0.10,0.14,0.57,0.46,0.13,-0.14,-0.13,Matches
84,Gustav Berggren,se SWE,MF,NY Red Bulls,28-088,1997,3.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
85,Sebastian Berhalter,us USA,MF,Vancouver W'caps,24-201,2001,25.5,0.16,2.12,0.71,33.3,2.12,0.71,0.07,0.22,23.7,0.27,0.00,0.00,0.10,0.10,0.05,0.06,0.06,Matches
86,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-291,1994,14.4,0.28,3.26,1.04,31.9,3.26,1.04,0.06,0.20,20.8,0.14,0.07,0.07,0.26,0.20,0.06,0.02,0.01,Matches
87,Juan Berrocal,es ESP,DF,Atlanta Utd,26-214,1999,6.4,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,5.2,0.00,0.00,0.00,0.03,0.03,0.16,-0.03,-0.03,Matches
88,Miguel Berry,es ESP,FW,LA Galaxy,28-079,1997,7.6,0.00,1.05,0.53,50.0,1.06,0.53,0.00,0.00,9.7,0.00,0.00,0.00,0.14,0.14,0.14,-0.14,-0.14,Matches
89,Pep Biel,es ESP,"MF,FW",Charlotte,29-090,1996,22.3,0.45,2.47,1.03,41.8,2.47,1.03,0.18,0.43,17.0,0.18,0.00,0.00,0.30,0.30,0.12,0.15,0.15,Matches
90,David Bingham,us USA,GK,Charlotte,36-046,1989,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
91,Guilherme Biro,br BRA,DF,Austin,25-217,2000,29.1,0.10,0.79,0.24,30.4,0.79,0.24,0.13,0.43,14.9,0.00,0.00,0.00,0.05,0.05,0.07,0.05,0.05,Matches
92,Tristan Blackmon,us USA,DF,Vancouver W'caps,29-114,1996,23.0,0.09,0.48,0.09,18.2,0.48,0.09,0.18,1.00,13.4,0.00,0.00,0.00,0.07,0.06,0.12,0.02,0.03,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,35-013,1990,20.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
94,Emmanuel Boateng,gh GHA,FW,San Diego FC,31-321,1994,2.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
95,Wiktor Bogacz,pl POL,FW,NY Red Bulls,21-143,2004,3.5,0.29,1.71,0.86,50.0,1.70,0.85,0.17,0.33,12.0,0.00,0.00,0.00,0.14,0.14,0.09,0.14,0.14,Matches
96,Luca Bombino,us USA,DF,San Diego FC,19-147,2006,23.6,0.04,0.72,0.17,23.5,0.72,0.17,0.06,0.25,19.5,0.00,0.00,0.00,0.05,0.05,0.07,-0.00,-0.00,Matches
97,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-199,1993,26.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
98,Denis Bouanga,ga GAB,FW,LAFC,31-023,1994,29.5,0.81,4.54,2.03,44.8,4.54,2.03,0.13,0.28,18.4,0.41,0.24,0.27,0.74,0.53,0.12,0.07,0.05,Matches
99,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-220,2000,14.8,0.20,2.77,1.15,41.5,2.78,1.15,0.07,0.18,17.8,0.00,0.00,0.00,0.31,0.31,0.11,-0.11,-0.11,Matches
100,Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,21-023,2004,2.3,0.00,1.74,0.87,50.0,1.76,0.88,0.00,0.00,11.8,0.00,0.00,0.00,0.26,0.26,0.16,-0.26,-0.26,Matches
101,Michael Boxall,nz NZL,DF,Minnesota Utd,37-108,1988,29.5,0.03,0.17,0.03,20.0,0.17,0.03,0.20,1.00,9.1,0.00,0.00,0.00,0.03,0.03,0.17,0.01,0.01,Matches
102,Tyler Boyd,us USA,MF,Nashville SC,30-339,1994,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
103,Chris Brady,us USA,GK,Chicago Fire,21-276,2004,27.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
104,Claudio Bravo,ar ARG,DF,Portland Timbers,28-266,1997,3.7,0.00,0.81,0.81,100.0,0.82,0.82,0.00,0.00,10.8,0.00,0.00,0.00,0.08,0.08,0.12,-0.08,-0.08,Matches
105,David Brekalo,si SVN,DF,Orlando City,27-001,1998,26.7,0.04,0.94,0.19,20.0,0.94,0.19,0.04,0.20,10.9,0.00,0.00,0.00,0.12,0.12,0.12,-0.08,-0.08,Matches
106,Luke Brennan,us USA,"FW,MF",Atlanta Utd,20-283,2005,5.9,0.00,0.85,0.17,20.0,0.85,0.17,0.00,0.00,14.0,0.00,0.00,0.00,0.10,0.10,0.13,-0.10,-0.10,Matches
107,Brenner,br BRA,"FW,MF",FC Cincinnati,25-322,2000,5.7,0.70,3.16,1.58,50.0,3.14,1.57,0.22,0.44,16.6,0.00,0.00,0.00,0.70,0.70,0.22,0.00,0.00,Matches
108,Sebastian Breza,ca CAN,GK,CF Montréal,27-264,1998,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
109,Yannick Bright,it ITA,MF,Inter Miami,24-092,2001,15.0,0.07,0.40,0.13,33.3,0.40,0.13,0.17,0.50,22.6,0.00,0.00,0.00,0.01,0.01,0.04,0.05,0.05,Matches
110,Andrew Brody,us USA,DF,Sporting KC,30-215,1995,5.5,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,12.2,0.00,0.00,0.00,0.04,0.04,0.18,-0.04,-0.04,Matches
111,Brandt Bronico,us USA,MF,Charlotte,30-167,1995,25.8,0.08,0.70,0.16,22.2,0.70,0.15,0.11,0.50,15.5,0.00,0.00,0.00,0.10,0.10,0.16,-0.03,-0.03,Matches
112,Lachlan Brook,au AUS,FW,Real Salt Lake,24-299,2001,1.1,0.00,4.55,0.00,0.0,4.50,0.00,0.00,,24.7,0.91,0.00,0.00,0.27,0.27,0.07,-0.27,-0.27,Matches
113,Javain Brown,jm JAM,DF,Real Salt Lake,26-270,1999,2.2,0.00,1.82,0.45,25.0,1.86,0.46,0.00,0.00,7.0,0.00,0.00,0.00,0.14,0.14,0.07,-0.14,-0.14,Matches
114,Tristan Brown,us USA,"DF,FW",Columbus Crew,18-048,2007,0.5,0.00,2.00,0.00,0.0,2.20,0.00,0.00,,19.6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
115,Gastón Brugman,uy URU,MF,Nashville SC,33-088,1992,14.2,0.00,1.06,0.21,20.0,1.06,0.21,0.00,0.00,21.9,0.07,0.00,0.00,0.09,0.09,0.09,-0.09,-0.09,Matches
116,Snyder Brunell,us USA,"MF,FW",Seattle Sounders,18-256,2007,3.3,0.61,1.52,0.61,40.0,1.54,0.61,0.40,1.00,14.2,0.00,0.00,0.00,0.42,0.42,0.29,0.18,0.18,Matches
117,Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-221,1999,14.8,0.14,2.09,0.54,25.8,2.09,0.54,0.06,0.25,12.9,0.00,0.00,0.00,0.37,0.37,0.18,-0.24,-0.24,Matches
