0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
11,Drake Callender,us USA,GK,Inter Miami,28-058,1997,2.1,2.38,0.00,0.00,0.00,0.00,2.24,0.36,-0.14,-0.17,4.76,8.10,58.8,27.1,4.76,22.8,30.7,4.29,44.4,39.4,7.14,0.00,0.0,1.43,1.46,15.8,Matches
12,Roman Celentano,us USA,GK,FC Cincinnati,25-081,2000,30.0,1.20,0.13,0.00,0.07,0.07,1.24,0.28,0.11,+0.11,3.37,9.80,34.4,24.0,4.70,30.0,31.5,6.93,37.5,34.9,14.7,0.70,4.8,0.40,0.40,10.5,Matches
13,Michael Collodi,us USA,GK,FC Dallas,24-193,2001,8.2,0.98,0.12,0.12,0.00,0.00,1.27,0.26,0.29,+0.29,6.59,20.9,31.6,27.3,3.90,50.4,40.4,7.80,90.6,59.7,17.9,1.46,8.2,1.59,1.59,13.5,Matches
14,Carlos Coronel,py PAR,GK,NY Red Bulls,28-340,1996,31.0,1.35,0.06,0.03,0.13,0.06,1.54,0.33,0.25,+0.25,3.03,12.1,25.0,27.0,4.90,33.1,32.1,5.58,57.2,46.3,11.7,0.77,6.6,1.87,1.87,16.6,Matches
15,Maxime Crépeau,ca CAN,GK,Portland Timbers,31-207,1994,15.0,1.47,0.00,0.00,0.13,0.00,1.36,0.29,-0.11,-0.10,4.20,11.7,36.0,29.3,5.00,29.2,31.6,6.07,51.6,43.9,10.6,0.60,5.7,0.67,0.67,12.4,Matches
16,Daniel,br BRA,GK,SJ Earthquakes,31-212,1994,27.7,1.81,0.04,0.00,0.18,0.07,1.83,0.35,0.10,+0.10,3.61,11.3,32.1,25.3,4.37,33.8,34.1,5.88,46.0,39.4,12.4,0.65,5.2,1.59,1.59,16.4,Matches
17,C.J. dos Santos,us USA,GK,San Diego FC,25-102,2000,30.0,1.27,0.17,0.00,0.10,0.03,1.31,0.29,0.07,+0.07,1.20,3.57,33.6,29.6,4.57,9.7,21.9,4.33,16.2,26.8,9.10,0.60,6.6,1.53,1.53,15.6,Matches
18,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-314,1992,6.3,2.06,0.16,0.00,0.16,0.00,1.49,0.34,-0.57,-0.57,3.97,11.9,33.3,22.7,5.56,42.0,36.4,5.40,44.1,40.0,9.84,0.16,1.6,1.59,1.59,17.6,Matches
19,Jordan Farr,us USA,GK,D.C. United,31-060,1994,2.8,2.86,0.00,0.00,0.36,0.36,1.96,0.33,-0.54,-0.54,7.50,16.4,45.7,25.4,3.57,52.1,39.6,5.36,60.0,47.6,14.6,0.36,2.4,3.21,3.27,19.2,Matches
20,Matt Freese,us USA,GK,NYCFC,27-093,1998,30.7,1.37,0.10,0.00,0.13,0.10,1.37,0.30,0.10,+0.10,1.69,6.55,25.9,24.5,5.96,19.4,27.2,4.40,40.7,35.3,11.8,0.65,5.5,1.50,1.50,17.3,Matches
21,Stefan Frei,ch SUI,GK,Seattle Sounders,39-228,1986,26.0,1.19,0.12,0.08,0.19,0.12,1.14,0.26,0.06,+0.06,3.54,9.88,35.8,22.8,4.00,34.6,33.6,6.54,30.6,33.4,11.8,0.62,5.2,0.62,0.62,12.7,Matches
22,Jeffrey Gal,us USA,GK,Chicago Fire,32-242,1993,6.6,1.36,0.15,0.00,0.00,0.15,0.94,0.29,-0.27,-0.27,2.88,7.88,36.5,22.6,4.09,21.5,26.4,6.21,48.8,39.0,11.1,1.06,9.6,0.45,0.46,11.5,Matches
23,Pedro Gallese,pe PER,GK,Orlando City,35-284,1990,32.0,1.53,0.09,0.06,0.09,0.03,1.62,0.32,0.12,+0.12,3.94,9.69,40.6,18.7,2.59,39.5,34.2,5.56,41.6,34.2,14.2,0.66,4.6,1.22,1.22,15.0,Matches
24,Luka Gavran,ca CAN,GK,Toronto FC,25-209,2000,3.0,1.00,0.00,0.00,0.00,0.00,0.70,0.23,-0.30,-0.31,3.33,14.0,23.8,29.0,3.67,43.7,37.9,6.67,20.0,24.3,15.3,1.00,6.5,1.00,1.00,11.2,Matches
25,Thomas Gillier,cl CHI,GK,CF Montréal,21-190,2004,8.0,1.50,0.00,0.00,0.38,0.00,1.60,0.36,0.10,+0.11,1.25,6.50,19.2,32.1,4.00,18.3,26.7,2.25,27.8,31.4,11.6,0.75,6.5,1.25,1.25,14.3,Matches
26,Blake Gillingham,us USA,GK,Houston Dynamo,23-054,2002,3.3,1.21,0.00,0.30,0.00,0.00,1.85,0.41,0.64,+0.64,2.42,11.8,20.5,25.2,5.45,32.5,33.3,5.15,70.6,54.5,13.3,0.61,4.5,1.21,1.22,13.3,Matches
27,Brad Guzan,us USA,GK,Atlanta Utd,41-086,1984,26.0,1.88,0.23,0.08,0.19,0.00,1.68,0.29,-0.21,-0.21,4.12,9.77,42.1,25.5,4.73,27.0,30.7,7.00,41.2,36.9,11.2,0.31,2.7,1.27,1.27,15.4,Matches
28,Nicholas Hagen,gt GUA,GK,Columbus Crew,29-124,1996,3.0,3.33,0.00,0.00,0.33,0.00,3.10,0.43,-0.23,-0.24,0.00,0.67,0.0,17.3,4.33,3.8,18.7,5.33,0.0,21.3,7.67,0.67,8.7,1.33,1.33,18.3,Matches
29,Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-147,2001,10.0,1.40,0.20,0.00,0.00,0.20,1.42,0.26,0.22,+0.22,4.80,18.2,26.4,24.9,3.50,53.0,40.9,7.20,69.4,52.6,12.7,1.60,12.6,2.30,2.30,15.0,Matches
30,Thomas Hasal,ca CAN,GK,LAFC,26-148,1999,1.5,3.33,0.00,0.00,0.67,0.00,2.07,0.31,-1.27,-1.30,0.67,10.7,6.3,25.3,8.67,23.7,28.9,6.67,70.0,50.5,10.7,2.00,18.8,0.00,0.00,7.1,Matches
31,Jayden Hibbert,ca CAN,GK,Atlanta Utd,21-121,2004,8.0,1.75,0.00,0.00,0.13,0.00,1.75,0.31,0.00,0.00,2.63,9.25,28.4,27.1,4.50,26.3,30.2,5.25,40.5,41.0,12.5,0.88,7.0,1.13,1.13,12.9,Matches
32,Aljaž Ivačič,si SVN,GK,NE Revolution,31-340,1993,24.0,1.46,0.17,0.00,0.17,0.00,1.30,0.29,-0.15,-0.15,3.46,11.5,30.0,18.3,2.38,39.5,35.7,8.25,52.5,43.4,12.2,0.38,3.1,0.46,0.46,11.2,Matches
33,Jacob Jackson,us USA,GK,FC Dallas,25-223,2000,3.8,1.05,0.00,0.00,0.26,0.26,1.50,0.24,0.71,+0.72,6.84,23.4,29.2,21.8,2.89,63.9,46.2,10.3,92.3,64.8,27.9,0.79,2.8,0.79,0.79,11.2,Matches
34,Sean Johnson,us USA,GK,Toronto FC,36-187,1989,31.0,1.32,0.13,0.03,0.10,0.00,1.67,0.33,0.35,+0.35,3.65,11.0,33.1,22.6,3.77,34.1,33.0,7.45,44.2,37.2,12.7,0.48,3.8,0.68,0.68,12.5,Matches
35,Kim Joonhong,kr KOR,GK,D.C. United,22-184,2003,8.0,2.38,0.25,0.00,0.38,0.00,2.10,0.38,-0.28,-0.28,7.38,16.9,43.7,26.6,3.75,47.9,39.0,6.88,60.0,48.5,11.6,0.63,5.4,1.88,1.88,19.1,Matches
36,Kristijan Kahlina,hr CRO,GK,Charlotte,33-133,1992,32.0,1.38,0.25,0.03,0.06,0.00,1.63,0.27,0.26,+0.26,2.94,7.81,37.6,26.5,5.25,21.1,27.9,5.44,40.8,37.4,14.3,0.66,4.6,0.66,0.66,12.9,Matches
37,Hugo Lloris,fr FRA,GK,LAFC,38-343,1986,31.5,1.08,0.10,0.03,0.16,0.06,1.00,0.29,-0.02,-0.02,4.35,11.4,38.1,21.7,3.68,40.0,35.6,5.62,49.2,40.2,12.3,0.54,4.4,0.76,0.76,14.5,Matches
38,Evan Louro,us USA,GK,FC Cincinnati,29-319,1996,4.0,1.00,0.00,0.00,0.00,0.00,1.38,0.28,0.38,+0.38,5.00,14.5,34.5,20.8,1.25,38.6,34.0,12.0,54.2,42.9,16.0,0.25,1.6,2.00,2.00,15.6,Matches
39,Benjamin Lundt,de GER,GK,St. Louis,30-071,1995,9.0,1.56,0.11,0.00,0.22,0.00,1.57,0.29,0.01,+0.01,5.56,12.7,43.9,23.3,4.78,32.9,34.6,9.00,55.6,43.4,14.0,0.67,4.8,0.67,0.67,13.2,Matches
40,J.T. Marcinkowski,us USA,GK,LA Galaxy,28-209,1997,3.0,1.00,0.00,0.00,0.00,0.00,0.90,0.38,-0.10,-0.11,1.33,8.67,15.4,32.7,5.00,23.5,27.8,4.67,21.4,29.3,13.7,1.00,7.3,0.67,0.67,12.6,Matches
41,AJ Marcucci,us USA,GK,NY Red Bulls,26-126,1999,2.0,1.00,0.00,0.00,0.00,0.00,0.70,0.28,-0.30,-0.31,2.50,12.0,20.8,29.5,5.00,32.2,32.7,5.00,50.0,44.7,8.50,0.50,5.9,2.00,2.00,27.2,Matches
42,Jimmy Maurer,us USA,GK,Houston Dynamo,37-051,1988,1.3,0.77,0.00,0.00,0.00,0.00,0.62,0.17,-0.15,-0.12,4.62,15.4,30.0,27.7,3.08,38.9,33.3,4.62,100.0,61.8,12.3,0.77,6.3,0.77,0.75,14.5,Matches
43,John McCarthy,us USA,GK,NY Red Bulls,33-153,1992,1.0,3.00,0.00,0.00,0.00,0.00,2.40,0.41,-0.60,-0.56,3.00,14.0,21.4,26.0,5.00,42.3,37.8,5.00,60.0,52.2,9.00,0.00,0.0,3.00,3.00,19.5,Matches
44,John McCarthy,us USA,GK,LA Galaxy,33-153,1992,11.0,2.36,0.27,0.18,0.27,0.18,1.88,0.32,-0.30,-0.30,2.45,11.2,22.0,22.3,4.18,39.2,34.7,4.91,50.0,42.7,12.3,0.73,5.9,0.82,0.82,12.0,Matches
45,Novak Mićović,rs SRB,GK,LA Galaxy,24-040,2001,20.0,1.85,0.00,0.00,0.10,0.05,1.74,0.36,-0.07,-0.06,1.85,9.85,18.8,25.1,3.60,32.1,31.1,5.55,32.4,33.0,12.3,1.25,10.1,0.25,0.25,9.3,Matches
46,David Ochoa,us USA,GK,LAFC,24-322,2001,1.0,1.00,0.00,0.00,0.00,0.00,0.90,0.94,-0.10,-0.06,0.00,1.00,0.0,18.0,7.00,5.6,19.8,5.00,0.0,15.8,13.0,0.00,0.0,0.00,0.00,5.0,Matches
47,Javier Otero,ve VEN,GK,Orlando City,23-016,2002,2.0,1.00,0.50,0.00,0.00,0.00,1.30,0.25,0.30,+0.30,2.50,4.50,55.6,16.0,5.00,25.0,26.0,5.50,9.1,20.1,19.5,2.00,10.3,0.50,0.50,9.2,Matches
48,Maarten Paes,id IDN,GK,FC Dallas,27-204,1998,22.0,1.95,0.32,0.00,0.14,0.00,1.85,0.34,-0.10,-0.10,5.50,12.7,43.2,24.8,4.05,35.5,33.4,6.55,59.7,44.6,16.8,0.82,4.9,1.41,1.41,14.6,Matches
49,James Pantemis,ca CAN,GK,Portland Timbers,28-286,1997,19.0,1.37,0.16,0.16,0.16,0.05,1.36,0.25,0.05,+0.05,4.95,11.4,43.3,32.5,3.89,28.2,31.9,6.89,32.8,34.6,15.2,0.63,4.2,1.26,1.26,13.8,Matches
50,John Pulskamp,us USA,GK,Sporting KC,24-229,2001,34.0,2.06,0.21,0.00,0.32,0.06,1.77,0.30,-0.23,-0.23,4.18,14.5,28.8,21.0,3.76,43.4,38.0,7.71,69.8,52.4,12.0,0.59,4.9,0.85,0.85,13.9,Matches
51,Andrew Rick,us USA,GK,Philadelphia Union,19-308,2006,13.7,1.31,0.22,0.07,0.22,0.00,1.23,0.37,-0.08,-0.08,5.55,16.1,34.5,17.9,2.34,57.6,40.4,7.74,74.5,51.8,10.7,0.22,2.0,0.73,0.73,14.4,Matches
52,Rocco Ríos Novo,ar ARG,GK,Inter Miami,23-183,2002,8.8,1.02,0.00,0.00,0.23,0.00,1.26,0.37,0.24,+0.24,3.18,5.57,57.1,33.4,4.43,12.2,25.7,4.20,35.1,34.2,10.8,0.34,3.2,1.14,1.14,15.4,Matches
53,Tomas Romero,sv SLV,GK,NYCFC,24-350,2000,3.3,0.61,0.00,0.00,0.00,0.30,1.00,0.35,0.70,+0.71,1.82,6.06,30.0,24.2,3.64,11.3,23.8,6.97,47.8,39.4,14.8,0.91,6.1,0.30,0.31,8.8,Matches
54,Patrick Schulte,us USA,GK,Columbus Crew,24-266,2001,25.0,1.44,0.08,0.00,0.08,0.04,1.46,0.36,0.06,+0.07,2.28,8.00,28.5,32.5,4.72,20.1,26.1,4.96,29.8,30.7,8.88,0.32,3.6,2.08,2.08,17.7,Matches
55,Jonathan Sirois,ca CAN,GK,CF Montréal,24-160,2001,23.0,1.70,0.00,0.00,0.22,0.00,1.52,0.31,-0.18,-0.18,3.48,9.48,36.7,35.0,4.35,21.8,28.0,4.22,44.3,37.4,9.26,0.70,7.5,1.22,1.22,14.7,Matches
56,Pablo Sisniega,mx MEX,GK,San Diego FC,30-150,1995,4.0,0.75,0.25,0.00,0.25,0.25,0.93,0.21,0.42,+0.43,0.75,3.00,25.0,31.8,7.00,7.1,19.2,2.50,30.0,36.6,7.50,1.50,20.0,2.00,2.00,16.9,Matches
57,Alec Smir,us USA,GK,Minnesota Utd,26-235,1999,1.8,1.67,0.00,0.00,0.00,0.00,1.67,0.35,0.00,-0.01,5.56,21.1,26.3,22.2,1.67,70.0,50.3,6.11,90.9,55.5,17.8,0.00,0.0,1.11,1.12,17.2,Matches
58,Wessel Speel,nl NED,GK,Minnesota Utd,24-048,2001,2.2,2.73,0.45,0.00,0.45,0.00,2.45,0.46,-0.27,-0.28,5.00,18.6,26.8,25.5,0.45,64.3,43.5,9.09,25.0,31.1,14.1,0.45,3.2,0.00,0.00,11.2,Matches
59,Dayne St. Clair,ca CAN,GK,Minnesota Utd,28-209,1997,30.0,1.00,0.07,0.03,0.17,0.10,1.22,0.25,0.32,+0.32,5.43,17.4,31.2,27.0,3.13,51.9,40.0,6.47,52.1,44.3,18.3,0.60,3.3,0.57,0.57,13.1,Matches
60,Zack Steffen,us USA,GK,Colorado Rapids,30-246,1995,23.0,1.70,0.00,0.00,0.26,0.04,1.83,0.33,0.17,+0.17,4.48,13.7,32.7,23.7,4.96,41.0,37.0,7.48,53.5,47.0,15.7,0.65,4.1,1.22,1.22,14.4,Matches
61,Brad Stuver,us USA,GK,Austin,34-232,1991,34.0,1.32,0.15,0.06,0.06,0.06,1.38,0.25,0.11,+0.11,5.06,15.2,33.3,30.9,4.74,33.3,33.0,7.32,66.7,49.3,15.1,0.82,5.4,0.82,0.82,12.8,Matches
62,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,29-263,1996,34.0,1.12,0.12,0.00,0.18,0.00,1.09,0.28,-0.03,-0.03,3.18,9.35,34.0,30.6,3.53,21.8,28.7,5.38,49.7,44.5,12.1,0.71,5.9,1.79,1.79,15.5,Matches
63,Andrew Tarbell,us USA,GK,Houston Dynamo,32-058,1993,3.4,2.06,0.00,0.00,0.00,0.00,1.79,0.41,-0.26,-0.27,3.53,9.71,36.4,24.7,4.41,32.1,30.9,3.82,46.2,40.2,9.12,0.29,3.2,1.18,1.18,20.3,Matches
64,Andrew Thomas,ru RUS,GK,Seattle Sounders,27-094,1998,8.0,2.13,0.50,0.00,0.25,0.13,1.86,0.27,-0.14,-0.14,1.38,6.88,20.0,18.4,5.25,27.9,30.6,6.38,27.5,32.1,13.3,1.13,8.5,0.25,0.25,10.2,Matches
65,Matt Turner,us USA,GK,NE Revolution,31-163,1994,10.0,1.60,0.00,0.00,0.00,0.10,1.87,0.36,0.37,+0.37,6.20,16.8,36.9,28.9,5.90,38.4,36.5,8.30,68.7,50.7,12.1,1.70,14.0,1.00,1.00,11.5,Matches
66,Óscar Ustari,ar ARG,GK,Inter Miami,39-154,1986,23.1,1.77,0.04,0.00,0.26,0.04,1.55,0.31,-0.18,-0.18,3.90,7.40,52.6,33.6,5.45,17.9,26.7,4.81,28.8,30.9,11.0,0.39,3.6,2.29,2.29,18.5,Matches
67,Joe Willis,us USA,GK,Nashville SC,37-116,1988,34.0,1.32,0.09,0.12,0.12,0.03,1.32,0.31,0.03,+0.03,2.94,8.26,35.6,28.2,5.06,23.7,28.3,5.24,30.3,30.8,11.7,0.85,7.3,0.59,0.59,11.9,Matches
