0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,30_Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,40.0,0.00,30.0,10.0,0.00,0.00,40.0,0.00,0.00,,0.00,,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,78.0,3.47,17.1,33.7,27.6,1.84,78.0,1.02,0.41,40.0,0.41,40.0,47.3,241.0,147.6,2.65,2.04,0.41,0.61,0.41,56.9,10.0,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,59.8,3.33,17.9,37.9,4.29,0.95,59.8,0.00,0.00,,0.00,,31.4,152.4,86.2,1.43,0.71,0.00,0.00,0.00,41.4,1.19,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,65.2,13.6,40.2,25.0,0.24,0.00,65.2,0.00,0.00,,0.00,,39.3,174.5,93.3,0.24,0.00,0.00,0.48,0.00,40.7,0.24,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,13.9,68.7,3.17,21.4,32.8,14.8,1.01,68.7,0.94,0.50,53.8,0.22,23.1,40.3,199.3,96.3,2.23,1.51,0.43,0.94,0.50,44.6,4.82,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,34.0,0.49,4.34,11.6,18.8,2.70,34.0,1.48,0.57,38.9,0.74,50.0,17.3,98.6,43.9,1.64,0.98,0.49,1.39,0.49,21.6,6.64,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,75.7,0.26,7.43,38.1,31.6,2.51,75.6,5.81,3.14,54.0,2.08,35.8,53.8,355.6,169.5,4.32,4.32,0.86,2.31,2.08,61.3,5.61,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,83.6,3.64,20.0,47.3,19.1,1.82,83.6,2.73,0.91,33.3,0.00,0.0,47.3,228.2,122.7,0.91,1.82,0.00,0.91,0.00,60.9,0.91,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,30.0,0.00,1.74,13.9,14.3,3.48,30.0,0.43,0.00,0.0,0.43,100.0,21.7,61.7,11.3,0.00,0.87,0.00,2.61,1.74,25.7,5.65,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,59.0,0.95,7.62,23.8,27.6,3.81,59.0,2.38,0.48,20.0,1.90,80.0,36.4,195.5,74.0,1.67,2.14,1.19,2.62,2.38,43.3,9.29,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,60.7,6.07,21.8,37.1,2.14,0.36,60.7,0.00,0.00,,0.00,,32.5,116.4,53.9,0.00,0.00,0.00,0.00,0.36,37.1,0.36,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,44.3,1.46,3.78,23.7,17.4,4.63,44.0,3.17,1.34,42.3,1.46,46.2,24.8,112.0,44.8,1.46,0.61,0.49,3.90,1.71,33.8,8.05,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,52.0,1.88,8.50,28.2,15.7,1.08,52.0,1.36,0.89,65.5,0.23,17.2,27.4,137.2,63.4,0.99,1.41,0.23,1.22,0.56,29.4,1.17,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,72.1,4.19,28.0,37.0,7.52,1.48,72.1,0.57,0.33,58.3,0.19,33.3,41.8,193.4,92.8,0.95,0.86,0.24,1.00,0.29,45.3,2.10,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,40.0,4.33,16.0,12.7,11.7,0.33,40.0,0.67,0.67,100.0,0.00,0.0,19.3,103.3,53.3,1.33,0.67,0.00,0.67,0.00,19.0,2.00,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,56.5,2.36,13.7,35.8,7.83,0.20,56.5,1.77,1.03,58.3,0.59,33.3,32.6,157.9,76.7,0.94,1.28,0.05,1.87,0.59,35.0,0.84,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,27.6,41.0,1.30,6.52,15.1,20.0,3.48,41.0,3.33,1.52,45.7,1.49,44.6,28.2,191.2,86.2,2.72,1.38,1.34,1.99,0.91,30.0,9.17,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,52.2,1.61,11.7,30.7,10.6,0.92,52.2,1.38,1.03,75.0,0.34,25.0,29.1,136.1,49.4,0.34,0.69,0.11,2.07,1.15,31.6,2.53,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,32.0,0.50,5.00,9.50,18.5,5.00,32.0,3.50,1.00,28.6,2.00,57.1,22.5,159.5,54.5,1.50,1.50,1.00,2.50,2.00,23.5,7.50,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,5.3,52.5,3.40,17.5,23.0,12.8,0.57,52.5,1.32,0.57,42.9,0.75,57.1,30.0,136.6,64.3,1.13,1.13,0.19,0.19,0.38,31.1,4.72,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,2.8,44.3,0.36,1.79,15.7,27.1,3.21,44.3,3.21,2.14,66.7,0.71,22.2,32.5,211.8,85.4,3.21,2.86,0.36,2.86,2.14,35.4,15.4,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,50.6,1.11,15.1,29.5,6.98,0.16,50.6,1.59,0.63,40.0,0.79,50.0,29.0,132.7,40.2,0.32,1.11,0.00,1.11,0.63,33.5,1.11,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,30.7,1.31,2.02,11.5,17.9,4.76,30.7,2.74,0.95,34.8,1.67,60.9,18.2,108.8,48.5,1.07,2.02,0.48,2.26,1.55,21.9,6.67,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,63.7,2.28,15.7,36.8,11.7,0.96,63.7,0.86,0.43,50.0,0.23,26.9,35.5,151.2,71.8,0.69,1.16,0.10,0.73,0.46,43.7,1.25,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,51.6,0.35,4.96,21.3,26.6,2.98,51.5,6.52,3.05,46.7,2.91,44.6,35.9,264.7,129.8,4.47,3.55,1.28,2.48,1.13,39.6,8.51,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,59.5,2.63,23.7,34.2,2.11,0.53,59.5,0.53,0.53,100.0,0.00,0.0,36.8,183.7,92.1,0.53,0.00,0.00,0.53,0.00,43.2,0.53,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,4.6,52.6,2.17,10.4,25.7,16.5,3.26,52.6,1.09,0.87,80.0,0.22,20.0,27.0,97.0,37.8,0.43,1.52,0.43,1.09,0.43,35.9,3.26,Matches
48,Max Arfsten,us USA,"DF,MF",Columbus Crew,21,2001,3.1,55.8,1.94,10.0,21.6,24.5,4.52,55.8,3.23,1.94,60.0,1.29,40.0,36.5,228.1,122.3,4.84,2.90,1.94,3.55,0.97,39.0,10.3,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,58.0,2.12,12.3,26.1,20.1,2.72,58.0,1.41,0.65,46.2,0.54,38.5,28.2,169.2,82.6,2.07,1.85,0.38,0.71,0.49,35.1,6.14,Matches
50,Xavier Arreaga,ec ECU,"DF,MF",Seattle Sounders,28,1994,3.9,59.5,5.13,32.1,25.6,2.05,1.54,59.5,0.77,0.51,66.7,0.00,0.0,33.3,182.6,100.5,0.26,0.00,0.00,0.00,0.51,40.5,0.00,Matches
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,61.0,4.08,15.5,38.3,7.92,1.15,61.0,2.00,1.08,53.8,0.85,42.3,32.2,155.3,59.6,1.15,1.08,0.15,1.23,1.00,37.3,1.00,Matches
52,Paul Arriola,us USA,"FW,MF",FC Dallas,27,1995,18.4,41.3,0.60,4.84,17.6,19.5,4.02,41.3,1.41,0.54,38.5,0.65,46.2,26.6,132.3,68.1,1.85,1.41,0.60,2.50,0.92,31.4,7.45,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,68.5,2.91,18.0,43.4,7.64,0.15,68.5,0.50,0.20,40.0,0.25,50.0,40.6,163.3,51.7,0.20,0.60,0.00,1.26,0.85,48.7,0.50,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,63.9,3.47,21.4,34.9,8.15,0.46,63.9,1.62,1.09,67.3,0.43,26.5,38.8,153.0,55.0,0.26,0.92,0.13,0.73,0.86,44.6,0.76,Matches
55,Yamil Asad,ar ARG,"MF,FW",D.C. United,28,1994,5.8,58.1,0.52,5.00,26.4,27.1,3.10,58.1,2.59,0.86,33.3,1.72,66.7,31.2,167.6,76.2,2.24,1.72,0.52,1.90,1.90,40.2,8.45,Matches
56,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,30,1992,16.1,44.8,0.93,4.84,17.3,23.7,4.22,44.8,4.47,1.93,43.1,2.24,50.0,28.2,158.9,87.8,2.55,1.68,0.81,3.04,1.37,33.0,8.63,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,69.1,2.20,14.9,39.6,15.3,1.74,69.1,2.29,1.28,56.0,0.83,36.0,37.8,195.8,81.1,2.20,1.47,0.46,2.39,1.83,42.8,3.12,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,66.5,3.01,23.2,30.5,12.9,0.75,66.5,1.80,0.90,50.0,0.53,29.2,34.7,160.7,86.5,1.13,1.20,0.08,1.50,0.68,41.4,3.98,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,69.6,5.67,33.8,33.5,2.68,0.82,69.6,0.52,0.21,40.0,0.21,40.0,39.2,178.5,83.8,0.41,0.41,0.00,0.82,0.10,49.1,0.31,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,63.3,2.78,11.1,35.0,18.9,2.22,63.3,4.44,1.11,25.0,2.22,50.0,41.1,203.9,95.6,1.67,1.67,0.00,2.78,0.56,37.8,2.78,Matches
61,Edison Azcona,do DOM,"MF,DF",Inter Miami,19,2003,0.6,90.0,1.67,8.33,26.7,58.3,8.33,90.0,10.0,5.00,50.0,0.00,0.0,60.0,423.3,253.3,8.33,8.33,0.00,11.7,1.67,63.3,23.3,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,28.0,0.98,3.14,12.4,12.8,4.51,28.0,0.98,0.39,40.0,0.49,50.0,17.0,122.2,49.7,1.96,0.78,1.47,1.76,0.59,20.8,6.47,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,33.2,0.77,4.59,14.5,14.8,3.01,33.2,2.24,1.00,44.8,1.12,50.0,20.0,97.9,43.6,1.20,1.08,0.39,1.47,0.69,23.7,5.68,Matches
64,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,17,2005,5.5,43.3,0.00,4.91,18.9,19.6,4.73,43.3,5.09,1.27,25.0,3.09,60.7,28.9,205.8,98.9,3.82,1.45,1.82,2.55,0.55,32.0,6.18,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,70.9,2.89,17.5,33.2,20.4,0.66,70.9,0.53,0.00,0.0,0.53,100.0,31.4,192.0,102.9,2.50,1.84,0.26,1.05,0.53,44.1,6.58,Matches
66,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,17,2005,7.1,70.0,2.82,18.5,30.7,21.3,2.11,70.0,4.08,2.11,51.7,1.83,44.8,42.3,235.9,113.9,3.52,2.68,0.70,0.70,1.13,44.8,7.46,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,22.3,0.48,0.71,8.81,13.0,4.64,22.1,1.90,0.48,25.0,1.31,68.8,13.2,61.1,29.6,1.19,0.95,1.19,2.14,0.36,15.6,5.24,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,57.3,3.03,18.8,31.5,7.88,0.30,57.3,1.52,0.91,60.0,0.61,40.0,31.5,132.4,49.4,0.30,0.30,0.00,0.30,2.73,35.2,0.91,Matches
69,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,25,1998,1.7,29.4,1.76,2.35,16.5,10.6,2.35,29.4,0.59,0.00,0.0,0.59,100.0,14.7,45.9,2.35,0.00,0.59,0.00,1.18,1.18,23.5,4.12,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,28.4,0.68,2.29,11.8,14.4,3.56,28.4,0.93,0.34,36.8,0.59,63.2,14.9,61.5,26.0,0.93,0.44,0.39,2.29,0.83,20.2,4.98,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,47.9,30.6,47.2,0.71,0.00,0.00,47.9,0.08,0.08,100.0,0.00,0.0,27.1,110.1,68.7,0.00,0.00,0.00,0.00,0.00,28.9,0.00,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,31.3,70.4,2.20,16.5,31.0,23.8,3.13,70.4,3.04,1.31,43.2,1.31,43.2,36.3,206.5,99.3,2.68,1.53,0.96,1.79,0.54,42.2,7.60,Matches
73,Michael Barrios,co COL,"FW,MF",Colorado Rapids,31,1991,9.3,32.4,0.43,3.33,11.1,18.8,3.98,32.4,3.76,0.86,22.9,2.37,62.9,20.5,129.4,70.1,2.37,1.72,1.61,2.15,0.97,22.6,8.82,Matches
74,Michael Barrios,co COL,"FW,MF",LA Galaxy,31,1991,1.3,46.9,0.77,5.38,9.23,32.3,10.8,46.9,1.54,0.00,0.0,0.77,50.0,28.5,116.9,63.1,3.85,0.00,1.54,5.38,3.08,33.1,11.5,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,11.9,52.7,7.23,26.6,24.9,1.76,0.76,52.7,0.50,0.17,33.3,0.34,66.7,23.8,153.4,83.9,0.42,0.25,0.00,0.67,0.08,24.5,0.25,Matches
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,22.1,60.2,11.0,37.9,20.1,2.49,0.95,60.2,0.45,0.36,80.0,0.05,10.0,38.4,186.1,112.1,0.54,0.36,0.09,0.18,0.09,42.1,0.32,Matches
77,Cole Bassett,us USA,"MF,FW",Colorado Rapids,21,2001,21.1,47.5,1.28,7.54,23.6,16.7,2.18,47.5,1.80,1.14,63.2,0.57,31.6,28.9,137.9,69.4,2.09,1.33,0.43,1.85,0.57,34.1,3.46,Matches
78,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,25,1997,22.2,61.4,0.32,6.04,34.6,21.5,2.16,61.1,2.07,1.04,50.0,0.90,43.5,42.9,202.6,97.3,1.80,1.98,0.18,1.31,1.08,49.7,4.32,Matches
79,Jesús Batiz,hn HON,"MF,FW",Toronto FC,23,1999,0.7,41.4,0.00,8.57,18.6,15.7,2.86,41.4,4.29,4.29,100.0,0.00,0.0,28.6,214.3,128.6,4.29,1.43,1.43,2.86,1.43,31.4,11.4,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,5.8,58.1,7.41,31.6,25.0,1.90,0.52,58.1,0.17,0.00,0.0,0.00,0.0,35.0,128.6,56.6,0.17,0.00,0.00,0.34,0.00,40.5,0.17,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,15.6,52.8,13.3,35.3,16.3,1.28,0.71,52.8,0.06,0.06,100.0,0.00,0.0,26.6,102.8,43.7,0.06,0.06,0.00,0.71,0.00,30.5,0.00,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,30.2,26.5,30.2,0.00,0.00,0.00,30.2,0.00,0.00,,0.00,,14.6,70.6,40.6,0.00,0.00,0.00,0.00,0.00,10.8,0.00,Matches
83,Simon Becher,us USA,"FW,MF",Vancouver W'caps,23,1999,6.8,26.2,1.18,1.91,10.3,14.6,6.32,26.2,1.62,0.44,27.3,1.03,63.6,14.7,53.5,21.8,0.88,0.44,1.03,3.09,0.88,19.6,7.06,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,22.3,49.9,1.52,8.39,23.6,18.2,3.54,49.9,0.81,0.58,72.2,0.22,27.8,26.0,138.7,72.0,1.97,1.26,0.36,0.99,0.67,33.5,6.41,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,6.7,52.1,4.18,17.6,27.3,7.46,0.60,52.1,0.15,0.00,0.0,0.15,100.0,28.2,96.6,32.5,0.60,0.30,0.00,1.04,0.00,32.5,2.54,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,1.6,51.3,6.88,29.4,21.3,0.63,0.63,51.3,0.00,0.00,,0.00,,25.0,91.9,35.0,0.00,0.00,0.00,0.63,0.00,28.1,0.00,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,0.2,50.0,5.00,10.0,0.00,40.0,5.00,50.0,5.00,5.00,100.0,0.00,0.0,30.0,145.0,75.0,5.00,0.00,5.00,15.0,5.00,30.0,5.00,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,0.1,60.0,0.00,20.0,40.0,0.00,0.00,60.0,0.00,0.00,,0.00,,10.0,30.0,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.00,Matches
89,Ben Bender,us USA,"MF,FW",Charlotte,21,2001,10.1,47.3,0.99,5.64,22.5,19.5,2.97,47.3,2.57,1.09,42.3,1.29,50.0,28.7,166.4,73.8,2.48,0.79,0.30,2.18,0.89,34.0,9.31,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,23.2,20.8,23.0,0.13,0.00,0.00,23.2,0.00,0.00,,0.00,,9.47,48.4,33.0,0.00,0.00,0.00,0.00,0.00,5.39,0.00,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31.0,35.4,1.19,2.06,15.3,18.3,6.61,35.4,1.19,0.68,56.8,0.45,37.8,16.7,71.8,27.9,1.13,0.77,0.65,2.23,1.19,28.9,5.29,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,14.4,61.8,3.13,13.4,37.2,11.8,0.69,61.8,0.42,0.28,66.7,0.07,16.7,28.8,115.3,56.0,0.83,0.97,0.00,0.56,0.56,36.3,1.60,Matches
93,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,28,1994,28.9,50.1,0.48,4.15,18.5,28.4,4.15,50.0,5.81,2.21,38.1,3.11,53.6,34.6,272.0,113.2,4.05,2.77,1.90,2.98,1.94,37.7,9.13,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,11.5,19.7,0.35,1.83,9.65,8.43,2.61,19.7,2.00,0.87,43.5,1.04,52.2,10.9,56.4,20.5,0.70,0.52,0.43,2.00,0.70,13.0,2.96,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,0.3,43.3,0.00,0.00,23.3,20.0,6.67,43.3,0.00,0.00,,0.00,,30.0,90.0,36.7,0.00,3.33,0.00,6.67,0.00,33.3,6.67,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,36.9,25.6,36.6,0.37,0.00,0.00,36.9,0.00,0.00,,0.00,,19.8,100.9,62.1,0.00,0.00,0.00,0.00,0.00,15.9,0.00,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,17.9,51.6,6.76,27.8,20.9,3.07,2.35,51.6,0.00,0.00,,0.00,,25.5,96.4,47.1,0.11,0.06,0.00,0.06,0.00,31.6,0.34,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,14.9,40.0,0.67,5.44,12.5,22.9,6.04,40.0,3.49,1.54,44.2,1.68,48.1,26.4,197.2,99.7,5.17,2.01,2.55,2.55,0.60,29.3,10.3,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,28.0,66.8,7.89,35.9,28.9,2.46,1.36,66.8,0.57,0.25,43.8,0.25,43.8,39.2,188.1,108.8,0.64,0.46,0.00,0.46,0.21,46.4,0.11,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,25.4,22.7,25.4,0.00,0.00,0.00,25.4,0.08,0.04,50.0,0.00,0.0,13.1,81.7,51.6,0.00,0.00,0.00,0.08,0.00,7.84,0.00,Matches
101,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,34,1988,4.9,47.3,0.00,3.06,16.7,28.0,3.67,47.3,1.84,0.82,44.4,0.82,44.4,36.1,218.2,115.3,3.88,1.63,1.43,1.02,1.22,41.8,12.2,Matches
102,Latif Blessing,gh GHA,"FW,MF",Toronto FC,26,1996,1.7,40.0,0.59,7.06,18.2,15.3,1.76,40.0,0.59,0.00,0.0,0.59,100.0,21.2,94.7,36.5,0.59,1.76,0.00,1.18,1.76,30.0,6.47,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,11.5,50.7,2.00,10.6,30.5,10.2,1.04,50.7,2.70,1.57,58.1,0.87,32.3,29.8,125.0,50.8,0.78,0.70,0.09,1.57,0.70,31.5,1.48,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,21.3,45.3,2.58,11.5,27.3,7.37,0.19,45.3,1.64,1.13,68.6,0.38,22.9,22.3,113.6,42.3,0.38,0.85,0.05,1.64,0.94,23.0,0.80,Matches
105,Emmanuel Boateng,gh GHA,"FW,MF",NE Revolution,29,1994,16.0,42.3,1.31,6.50,16.2,20.1,2.50,42.3,1.88,1.06,56.7,0.63,33.3,28.6,161.5,77.5,2.88,1.25,0.88,1.31,0.25,31.4,9.25,Matches
