0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Yellow CardsYellow Cards,Red CardsRed Cards,Second Yellow CardSecond Yellow Card,Fouls CommittedFouls Committed,Fouls DrawnFouls Drawn,OffsidesOffsides,CrossesCrosses,InterceptionsInterceptions,Tackles WonTackles in which the tackler's team won possession of the ball,Penalty Kicks WonPenalty Kicks Won,Penalty Kicks ConcededPenalty Kicks Conceded,Own GoalsOwn Goals,Ball RecoveriesNumber of loose balls recovered,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,24_Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,0.47,0.00,0.00,0.94,2.34,0.00,2.66,0.94,0.31,0.16,0.16,0.00,4.84,0.78,1.56,33.3,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,1.43,0.00,0.00,6.19,1.90,0.48,0.00,0.00,0.00,0.00,0.00,0.00,2.86,4.29,3.33,56.3,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,22,2000,12.5,0.16,0.00,0.00,1.36,3.20,0.00,1.84,1.44,2.16,0.00,0.00,0.00,7.84,0.48,0.80,37.5,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,23.8,0.13,0.00,0.00,1.26,1.47,0.08,2.02,1.76,1.55,0.00,0.00,0.00,6.51,2.06,2.02,50.5,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.50,0.50,0.00,0.50,0.00,4.00,1.50,0.50,75.0,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,0.00,0.00,0.00,1.45,0.48,1.29,0.81,0.00,0.16,0.00,0.00,0.00,2.10,0.81,1.77,31.3,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,0.6,0.00,0.00,0.00,3.33,1.67,0.00,0.00,0.00,1.67,0.00,0.00,0.00,3.33,0.00,6.67,0.0,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,0.20,0.00,0.00,0.20,0.82,0.00,2.86,0.20,1.02,0.00,0.00,0.00,4.90,0.00,0.41,0.0,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,0.48,0.00,0.00,1.19,0.00,0.00,0.71,0.95,0.24,0.00,0.24,0.00,3.81,0.71,1.19,37.5,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0.24,0.00,0.00,1.67,0.24,0.00,0.00,1.19,0.71,0.00,0.00,0.00,4.76,0.95,0.95,50.0,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,13.9,0.22,0.00,0.00,1.01,0.22,0.22,1.94,1.01,1.15,0.00,0.00,0.00,5.47,0.50,0.36,58.3,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,0.33,0.00,0.00,2.46,0.90,0.25,2.70,0.41,0.98,0.00,0.00,0.00,4.34,1.23,1.72,41.7,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,0.20,0.03,0.03,0.76,1.85,0.00,4.03,0.30,0.46,0.00,0.00,0.00,5.18,0.07,0.33,16.7,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,0.91,0.00,0.00,1.82,3.64,0.00,0.00,0.00,1.82,0.00,0.00,0.00,7.27,0.91,0.00,100.0,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,0.43,0.00,0.00,0.87,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.48,0.87,0.43,66.7,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,0.00,0.00,0.00,1.19,0.48,0.00,6.19,0.71,0.00,0.00,0.00,0.00,4.52,0.00,0.71,0.0,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,0.00,0.00,0.00,0.71,0.36,0.00,0.00,2.50,0.71,0.00,0.00,0.00,4.29,1.79,1.79,50.0,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,0.24,0.00,0.00,0.61,1.95,1.10,0.12,0.00,0.37,0.12,0.00,0.00,4.02,2.80,3.17,46.9,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,0.19,0.00,0.00,1.50,0.80,0.00,2.30,1.27,1.08,0.00,0.00,0.00,8.31,0.66,0.89,42.4,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,0.33,0.00,0.00,1.29,0.24,0.00,0.67,2.14,1.19,0.00,0.00,0.00,7.00,0.76,1.10,41.0,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,0.00,0.00,0.00,2.33,1.67,0.00,2.33,0.33,0.67,0.00,0.00,0.00,3.33,0.33,1.00,25.0,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,0.54,0.00,0.00,1.63,1.87,0.00,0.89,1.63,1.48,0.00,0.00,0.00,9.41,0.94,0.69,57.6,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,27.6,0.18,0.00,0.00,0.72,1.09,0.40,1.74,0.62,0.62,0.00,0.00,0.00,4.57,0.04,0.62,5.6,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,0.23,0.00,0.00,1.15,0.34,0.11,0.00,1.61,1.72,0.00,0.00,0.00,8.97,0.57,1.49,27.8,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,0.00,0.00,0.00,4.00,1.50,1.50,2.50,0.50,1.00,0.00,0.00,0.00,4.00,3.00,5.00,37.5,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,5.3,0.38,0.00,0.00,1.89,0.38,0.00,1.51,0.94,0.94,0.00,0.00,0.00,6.42,0.19,0.57,25.0,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,2.8,0.36,0.00,0.00,1.43,1.43,0.36,3.93,1.07,1.07,0.00,0.00,0.00,2.86,2.14,0.71,75.0,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,0.32,0.00,0.00,2.22,0.32,0.00,0.16,1.75,1.59,0.00,0.00,0.00,7.94,0.79,0.79,50.0,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,0.24,0.00,0.00,2.38,1.79,0.60,1.07,0.24,0.95,0.00,0.00,0.00,1.55,2.26,1.43,61.3,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,0.26,0.00,0.00,1.55,3.30,0.03,0.36,0.76,1.02,0.00,0.00,0.00,7.36,0.56,0.96,37.0,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,0.21,0.07,0.07,0.92,2.48,0.14,1.84,0.57,0.85,0.00,0.00,0.00,4.18,0.35,0.28,55.6,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,0.53,0.00,0.00,0.53,0.00,0.00,0.00,1.05,1.05,0.00,0.00,0.00,4.74,1.58,2.11,42.9,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,4.6,0.22,0.00,0.00,1.30,0.22,0.00,0.65,0.65,0.43,0.00,0.00,0.00,5.65,0.87,1.74,33.3,Matches
48,Max Arfsten,us USA,"DF,MF",Columbus Crew,21,2001,3.1,0.32,0.00,0.00,0.97,0.97,0.65,2.90,2.26,0.97,0.00,0.00,0.00,4.19,0.32,1.61,16.7,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,0.16,0.00,0.00,1.03,1.36,0.11,1.96,1.58,1.41,0.05,0.00,0.00,5.43,1.14,0.71,61.8,Matches
50,Xavier Arreaga,ec ECU,"DF,MF",Seattle Sounders,28,1994,3.9,0.00,0.00,0.00,1.54,1.03,0.00,0.00,0.26,1.54,0.00,0.00,0.00,4.36,2.56,2.05,55.6,Matches
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,0.38,0.00,0.00,1.00,1.31,0.31,0.46,1.08,0.77,0.00,0.00,0.00,7.54,3.69,1.31,73.8,Matches
52,Paul Arriola,us USA,"FW,MF",FC Dallas,27,1995,18.4,0.22,0.00,0.00,1.14,1.03,0.16,1.79,0.54,0.87,0.00,0.00,0.05,3.59,0.65,0.98,40.0,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,0.20,0.00,0.00,1.46,0.55,0.00,0.15,1.36,1.61,0.00,0.00,0.00,6.78,0.80,1.16,41.0,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,0.20,0.00,0.00,1.16,0.66,0.00,0.43,1.45,1.45,0.00,0.03,0.00,7.69,0.26,0.56,32.0,Matches
55,Yamil Asad,ar ARG,"MF,FW",D.C. United,28,1994,5.8,0.52,0.00,0.00,2.07,2.41,0.00,1.72,0.69,0.69,0.00,0.00,0.00,6.03,0.69,1.55,30.8,Matches
56,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,30,1992,16.1,0.31,0.00,0.00,1.99,1.43,0.68,2.61,0.62,0.87,0.00,0.00,0.00,4.35,3.11,3.48,47.2,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,0.28,0.00,0.00,0.64,0.18,0.09,0.83,1.47,2.57,0.00,0.00,0.00,7.80,2.20,1.83,54.5,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,0.45,0.00,0.00,1.13,1.43,0.00,1.73,1.43,1.35,0.00,0.00,0.00,5.79,0.83,0.75,52.4,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,0.62,0.00,0.00,2.27,0.21,0.00,0.21,1.96,1.55,0.00,0.00,0.00,6.70,0.31,0.62,33.3,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,0.56,0.00,0.00,0.56,2.78,0.00,0.56,2.22,2.78,0.00,0.00,0.00,11.1,0.56,1.11,33.3,Matches
61,Edison Azcona,do DOM,"MF,DF",Inter Miami,19,2003,0.6,0.00,0.00,0.00,1.67,6.67,0.00,3.33,0.00,1.67,0.00,0.00,0.00,8.33,0.00,1.67,0.0,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,0.00,0.00,0.00,1.76,1.27,0.78,0.29,0.10,0.69,0.20,0.00,0.10,2.65,2.45,1.57,61.0,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,0.15,0.00,0.00,0.93,0.93,0.58,0.58,0.31,0.66,0.04,0.00,0.00,4.02,0.42,1.27,25.0,Matches
64,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,17,2005,5.5,0.00,0.00,0.00,1.82,2.55,0.18,2.18,0.18,1.09,0.00,0.00,0.00,4.00,0.73,1.09,40.0,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,0.39,0.00,0.00,0.79,1.05,0.00,1.71,0.53,1.71,0.00,0.00,0.00,5.92,1.45,1.32,52.4,Matches
66,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,17,2005,7.1,0.00,0.00,0.00,0.56,0.85,0.28,3.94,0.85,1.97,0.00,0.00,0.00,5.77,1.13,1.27,47.1,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,0.00,0.00,0.00,1.07,0.48,0.83,0.36,0.24,0.00,0.00,0.00,0.00,1.90,2.02,2.38,45.9,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,0.30,0.00,0.00,3.03,0.61,0.00,0.91,1.52,1.82,0.00,0.30,0.00,5.76,0.61,0.91,40.0,Matches
69,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,25,1998,1.7,1.18,0.00,0.00,1.18,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,1.76,2.94,3.53,45.5,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,0.20,0.00,0.00,2.34,0.54,0.44,0.24,0.24,0.29,0.00,0.00,0.00,3.27,3.56,4.63,43.5,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,0.13,0.00,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.29,0.17,0.04,80.0,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,31.3,0.19,0.00,0.00,1.05,1.15,0.10,7.00,1.15,1.09,0.03,0.03,0.00,6.07,0.32,0.58,35.7,Matches
73,Michael Barrios,co COL,"FW,MF",Colorado Rapids,31,1991,9.3,0.32,0.00,0.00,1.08,1.08,0.11,2.26,0.54,0.32,0.11,0.00,0.00,3.01,0.65,2.37,21.4,Matches
74,Michael Barrios,co COL,"FW,MF",LA Galaxy,31,1991,1.3,0.00,0.00,0.00,2.31,1.54,0.00,2.31,0.00,2.31,0.00,0.00,0.00,4.62,0.77,0.00,100.0,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,11.9,0.34,0.00,0.00,2.10,0.50,0.00,0.08,2.10,0.92,0.00,0.00,0.00,6.81,2.61,1.93,57.4,Matches
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,22.1,0.18,0.00,0.00,0.59,0.50,0.00,0.27,0.59,0.45,0.00,0.05,0.00,4.21,1.67,1.40,54.4,Matches
77,Cole Bassett,us USA,"MF,FW",Colorado Rapids,21,2001,21.1,0.24,0.00,0.00,1.71,0.62,0.00,1.52,0.38,1.09,0.00,0.00,0.00,4.31,0.71,1.04,40.5,Matches
78,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,25,1997,22.2,0.05,0.05,0.00,1.17,1.80,0.32,1.85,0.50,0.32,0.00,0.00,0.00,4.77,0.05,0.45,9.1,Matches
79,Jesús Batiz,hn HON,"MF,FW",Toronto FC,23,1999,0.7,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,1.43,0.00,0.00,0.00,2.86,0.00,0.00,,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,5.8,0.34,0.00,0.00,0.69,1.21,0.00,0.17,1.90,1.03,0.00,0.00,0.00,4.48,2.24,1.90,54.2,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,15.6,0.06,0.06,0.00,0.13,0.51,0.06,0.06,1.54,0.64,0.00,0.06,0.00,5.19,2.24,0.58,79.5,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.15,0.00,100.0,Matches
83,Simon Becher,us USA,"FW,MF",Vancouver W'caps,23,1999,6.8,0.00,0.00,0.00,1.47,1.62,0.59,0.29,0.00,0.44,0.00,0.00,0.00,2.35,2.21,4.26,34.1,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,22.3,0.27,0.00,0.00,1.48,0.22,0.58,1.57,1.03,0.99,0.00,0.00,0.00,4.89,2.56,3.59,41.6,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,6.7,0.00,0.00,0.00,1.04,1.19,0.00,0.30,0.30,0.60,0.00,0.00,0.00,4.18,1.19,0.75,61.5,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,1.6,1.25,0.00,0.00,2.50,1.25,0.00,0.00,1.25,0.63,0.00,0.00,0.00,8.75,0.63,2.50,20.0,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,0.2,5.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.0,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
89,Ben Bender,us USA,"MF,FW",Charlotte,21,2001,10.1,0.10,0.00,0.00,1.58,0.99,0.10,3.17,0.50,0.79,0.00,0.00,0.00,5.64,1.29,1.98,39.4,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.13,0.00,100.0,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31.0,0.26,0.00,0.00,2.16,1.39,1.19,0.06,0.13,0.19,0.03,0.00,0.00,1.61,7.77,3.97,66.2,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,14.4,0.42,0.00,0.00,2.15,0.56,0.00,3.33,1.32,1.67,0.00,0.00,0.00,6.74,0.97,1.11,46.7,Matches
93,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,28,1994,28.9,0.24,0.03,0.03,1.14,1.59,0.42,3.81,0.42,0.38,0.00,0.00,0.00,4.12,0.14,0.10,57.1,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,11.5,0.09,0.00,0.00,1.13,1.04,0.00,0.26,0.17,0.43,0.00,0.00,0.00,1.39,1.57,2.26,40.9,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,0.3,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00,100.0,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,0.11,0.00,0.00,0.00,0.11,0.00,0.00,0.16,0.00,0.00,0.00,0.00,1.42,0.16,0.00,100.0,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,17.9,0.11,0.06,0.00,1.06,0.67,0.11,0.00,1.28,0.50,0.00,0.00,0.00,3.91,4.86,1.28,79.1,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,14.9,0.13,0.00,0.00,1.07,1.01,0.54,1.01,0.54,0.54,0.00,0.00,0.00,4.50,0.94,1.01,48.3,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,28.0,0.18,0.00,0.00,0.61,0.57,0.11,0.00,1.21,0.36,0.00,0.00,0.04,4.39,1.93,1.18,62.1,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,0.04,0.00,0.00,0.04,0.11,0.00,0.00,0.00,0.00,0.00,0.04,0.00,1.06,0.27,0.00,100.0,Matches
101,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,34,1988,4.9,0.41,0.00,0.00,1.84,1.22,0.20,7.35,0.41,0.00,0.00,0.00,0.00,2.65,0.20,0.61,25.0,Matches
102,Latif Blessing,gh GHA,"FW,MF",Toronto FC,26,1996,1.7,0.00,0.00,0.00,0.59,1.76,1.76,0.00,0.00,0.59,0.00,0.00,0.00,7.06,0.59,3.53,14.3,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,11.5,0.35,0.09,0.00,2.35,1.57,0.17,0.17,1.22,1.74,0.00,0.00,0.00,8.00,1.13,0.78,59.1,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,21.3,0.28,0.00,0.00,0.99,1.03,0.00,0.28,2.30,0.89,0.00,0.00,0.00,8.69,0.38,0.75,33.3,Matches
105,Emmanuel Boateng,gh GHA,"FW,MF",NE Revolution,29,1994,16.0,0.06,0.00,0.00,0.50,0.44,0.19,4.75,0.63,0.44,0.00,0.00,0.00,4.81,0.19,1.13,14.3,Matches
106,Israel Boatwright,do DOM,"MF,DF",Inter Miami,17,2005,0.8,0.00,0.00,0.00,3.75,2.50,0.00,3.75,0.00,0.00,0.00,0.00,0.00,7.50,0.00,1.25,0.0,Matches
107,Mateusz Bogusz,pl POL,"MF,FW",LAFC,21,2001,19.3,0.31,0.00,0.00,2.07,2.28,0.26,3.89,0.31,1.24,0.00,0.00,0.00,5.54,0.41,0.78,34.8,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,16.2,0.31,0.00,0.00,0.93,0.86,0.12,0.31,0.00,0.31,0.00,0.00,0.00,2.90,0.80,1.85,30.2,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,8.3,0.72,0.12,0.12,1.81,0.36,0.12,0.24,1.33,1.20,0.00,0.00,0.00,4.70,2.05,1.45,58.6,Matches
111,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.96,0.26,0.04,85.7,Matches
112,Pablo Bonilla,ve VEN,DF,Portland Timbers,23,1999,0.8,1.25,0.00,0.00,3.75,1.25,0.00,6.25,0.00,2.50,0.00,0.00,0.00,5.00,0.00,0.00,,Matches
113,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.11,0.00,100.0,Matches
114,Shanyder Borgelin,ht HAI,FW,Inter Miami,21,2001,1.6,0.00,0.00,0.00,2.50,3.13,0.00,0.00,0.63,0.00,0.00,0.00,0.00,3.75,5.63,4.38,56.3,Matches
115,Dylan Borrero,co COL,"FW,MF",NE Revolution,21,2002,5.7,0.35,0.18,0.18,0.70,1.58,0.00,5.09,0.53,0.70,0.00,0.00,0.00,5.61,0.00,0.35,0.0,Matches
116,Gustavo Bou,ar ARG,"FW,MF",NE Revolution,32,1990,14.0,0.00,0.00,0.00,0.79,0.64,0.86,3.21,0.50,0.50,0.00,0.07,0.00,3.43,0.43,0.86,33.3,Matches
117,Denis Bouanga,ga GAB,FW,LAFC,28,1994,28.1,0.11,0.00,0.00,1.14,1.25,0.39,2.63,0.14,0.78,0.07,0.00,0.00,4.59,0.85,1.28,40.0,Matches
118,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,22,2000,1.7,1.18,0.00,0.00,5.88,0.00,0.59,1.76,1.18,0.00,0.00,0.00,0.00,4.12,4.12,2.35,63.6,Matches
119,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,1996,6.7,0.30,0.00,0.00,0.90,1.04,1.34,0.30,0.15,0.60,0.00,0.00,0.00,4.48,1.64,1.19,57.9,Matches
120,Michael Boxall,nz NZL,DF,Minnesota Utd,34,1988,31.7,0.28,0.00,0.00,0.95,0.57,0.06,0.06,1.51,0.76,0.00,0.00,0.00,5.17,1.29,0.73,64.1,Matches
121,Tyler Boyd,us USA,"FW,MF",LA Galaxy,28,1994,25.8,0.12,0.00,0.00,1.82,1.36,0.08,4.42,0.47,0.89,0.00,0.00,0.00,3.68,0.23,1.05,18.2,Matches
122,Michael Bradley,us USA,"MF,DF",Toronto FC,35,1987,16.0,0.13,0.00,0.00,0.38,0.19,0.06,0.06,1.19,1.06,0.00,0.00,0.00,6.56,0.13,0.38,25.0,Matches
123,Chris Brady,us USA,GK,Chicago Fire,18,2004,29.3,0.10,0.00,0.00,0.03,0.31,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.68,0.20,0.03,85.7,Matches
124,Zachary Brault-Guillard,ca CAN,"DF,MF",CF Montréal,24,1998,14.5,0.00,0.00,0.00,0.55,0.62,0.21,4.41,0.83,0.62,0.00,0.00,0.00,4.55,1.03,0.48,68.2,Matches
125,Claudio Bravo,ar ARG,DF,Portland Timbers,25,1997,25.9,0.31,0.00,0.00,2.51,0.46,0.00,2.39,1.51,1.51,0.00,0.04,0.00,8.11,0.69,0.77,47.4,Matches
126,Luke Brennan,us USA,MF,Atlanta Utd,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
127,Brenner,br BRA,FW,FC Cincinnati,23,2000,5.9,0.34,0.00,0.00,0.68,1.36,0.51,0.17,0.34,0.85,0.00,0.00,0.00,4.92,0.34,0.17,66.7,Matches
128,Ethan Bristow,kn SKN,DF,Minnesota Utd,21,2001,6.0,0.33,0.17,0.17,2.00,0.50,0.00,2.67,0.33,1.17,0.00,0.00,0.00,5.17,0.17,0.83,16.7,Matches
