0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,1.02,1.01,0.85,0.00,0.00,0.17,0.00,0.00,0.34,0.34,0.34,0.00,0.00,0.00,0.00,0.00,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,1.78,1.78,1.53,0.00,0.12,0.00,0.00,0.12,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,3.3,1.21,1.20,0.91,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,10.6,2.83,2.84,2.36,0.00,0.00,0.38,0.09,0.00,0.28,0.28,0.19,0.00,0.00,0.09,0.00,0.00,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,22.0,3.50,3.49,2.14,0.41,0.27,0.27,0.23,0.18,0.27,0.27,0.18,0.05,0.00,0.00,0.05,0.00,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,5.3,2.26,2.25,2.26,0.00,0.00,0.00,0.00,0.00,0.57,0.56,0.57,0.00,0.00,0.00,0.00,0.00,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,8.7,2.41,2.40,1.84,0.11,0.11,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,2.73,2.73,1.47,0.00,0.47,0.47,0.13,0.20,0.27,0.27,0.07,0.00,0.13,0.00,0.07,0.00,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,2.38,2.39,1.90,0.16,0.00,0.32,0.00,0.00,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,2.36,2.36,1.78,0.00,0.06,0.32,0.00,0.19,0.19,0.19,0.13,0.00,0.00,0.06,0.00,0.00,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,8.3,1.69,1.68,1.33,0.00,0.12,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,1.09,1.08,0.86,0.07,0.00,0.13,0.03,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,0.32,0.32,0.21,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,28.5,3.19,3.19,2.53,0.04,0.11,0.39,0.04,0.11,0.49,0.49,0.39,0.00,0.00,0.07,0.00,0.04,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,5.55,5.55,4.16,0.96,0.04,0.25,0.11,0.04,0.46,0.46,0.28,0.11,0.04,0.00,0.04,0.00,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,13.9,2.73,2.74,2.30,0.07,0.07,0.00,0.22,0.07,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,0.53,0.53,0.48,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,0.61,0.61,0.55,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,2.13,2.14,1.64,0.00,0.00,0.00,0.49,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.16,0.00,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,3.09,3.09,2.78,0.06,0.06,0.19,0.00,0.00,0.31,0.31,0.31,0.00,0.00,0.00,0.00,0.00,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,0.19,0.18,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,20.0,18.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Ben Bender,us USA,"MF,FW",Charlotte,22,2001,2.2,2.27,2.31,2.27,0.00,0.00,0.00,0.00,0.00,0.45,0.46,0.45,0.00,0.00,0.00,0.00,0.00,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,2.67,2.67,1.84,0.03,0.14,0.49,0.17,0.00,0.35,0.35,0.17,0.00,0.03,0.10,0.03,0.00,Matches
87,Nimfasha Berchimas,us USA,"FW,MF",Charlotte,15,2008,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Sebastian Berhalter,us USA,"MF,DF",Vancouver W'caps,22,2001,20.7,4.25,4.24,2.66,1.16,0.10,0.29,0.05,0.00,0.34,0.34,0.29,0.00,0.00,0.05,0.00,0.00,Matches
89,Federico Bernardeschi,it ITA,"DF,MF",Toronto FC,29,1994,27.3,5.02,5.02,3.11,0.66,0.70,0.29,0.18,0.07,0.59,0.59,0.29,0.04,0.07,0.11,0.04,0.04,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,2.39,2.40,2.28,0.00,0.00,0.00,0.11,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,Matches
91,Pep Biel,es ESP,"FW,MF",Charlotte,27,1996,6.8,3.97,3.96,3.24,0.29,0.15,0.29,0.00,0.00,0.59,0.59,0.59,0.00,0.00,0.00,0.00,0.00,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,5.00,5.63,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,1.05,1.04,0.79,0.00,0.26,0.00,0.00,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,1.42,1.42,1.22,0.04,0.04,0.04,0.08,0.00,0.12,0.12,0.08,0.00,0.00,0.00,0.04,0.00,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,1.29,1.29,0.86,0.29,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Latif Blessing,gh GHA,"FW,MF",Houston Dynamo,27,1996,11.0,2.18,2.19,1.91,0.00,0.09,0.00,0.09,0.09,0.27,0.27,0.09,0.00,0.00,0.00,0.09,0.09,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,1.75,1.75,1.44,0.10,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,2.31,2.29,2.18,0.00,0.00,0.13,0.00,0.00,0.26,0.25,0.26,0.00,0.00,0.00,0.00,0.00,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,4.17,4.17,2.31,0.93,0.21,0.38,0.24,0.10,0.34,0.34,0.24,0.03,0.00,0.03,0.03,0.00,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,0.81,0.81,0.64,0.00,0.00,0.12,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,0.24,0.24,0.14,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
104,Shanyder Borgelin,ht HAI,"FW,MF",Inter Miami,22,2001,1.5,1.33,1.31,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Dylan Borrero,co COL,"FW,MF",NE Revolution,22,2002,10.5,2.95,2.96,2.38,0.00,0.10,0.48,0.00,0.00,0.29,0.29,0.29,0.00,0.00,0.00,0.00,0.00,Matches
106,Denis Bouanga,ga GAB,FW,LAFC,29,1994,30.6,5.10,5.10,2.39,0.39,1.24,0.72,0.33,0.03,0.92,0.92,0.39,0.00,0.26,0.07,0.16,0.03,Matches
107,Ousseni Bouda,bf BFA,FW,SJ Earthquakes,23,2000,4.2,0.95,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Aaron Boupendza,ga GAB,"FW,MF",FC Cincinnati,27,1996,6.1,1.80,1.79,1.31,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
109,Giuseppe Bovalina,au AUS,"DF,FW",Vancouver W'caps,19,2004,1.9,2.63,2.60,1.58,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Michael Boxall,nz NZL,DF,Minnesota Utd,35,1988,31.5,0.73,0.73,0.60,0.00,0.03,0.03,0.00,0.06,0.10,0.10,0.06,0.00,0.00,0.03,0.00,0.00,Matches
111,Tyler Boyd,us USA,"FW,MF",Nashville SC,29,1994,12.6,2.70,2.71,1.98,0.00,0.16,0.24,0.24,0.08,0.48,0.48,0.32,0.00,0.00,0.00,0.08,0.08,Matches
112,Chris Brady,us USA,GK,Chicago Fire,19,2004,33.0,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches
113,Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,4.8,1.25,1.26,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Claudio Bravo,ar ARG,DF,Portland Timbers,26,1997,17.7,1.86,1.87,1.24,0.28,0.00,0.11,0.06,0.17,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
115,David Brekalo,si SVN,DF,Orlando City,25,1998,12.6,0.63,0.64,0.48,0.00,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
116,Luke Brennan,us USA,"FW,DF",Atlanta Utd,18,2005,1.7,2.35,2.40,1.76,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
117,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
118,Yannick Bright,it ITA,MF,Inter Miami,22,2001,15.6,1.54,1.53,1.35,0.00,0.00,0.00,0.06,0.13,0.32,0.32,0.32,0.00,0.00,0.00,0.00,0.00,Matches
119,Andrew Brody,us USA,DF,Real Salt Lake,28,1995,23.4,1.45,1.45,1.41,0.00,0.04,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
120,Brandt Bronico,us USA,MF,Charlotte,28,1995,19.3,1.81,1.82,1.50,0.05,0.10,0.05,0.05,0.05,0.36,0.36,0.21,0.05,0.00,0.05,0.00,0.05,Matches
121,Lachlan Brook,au AUS,FW,Real Salt Lake,22,2001,2.6,2.69,2.69,2.69,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.00,Matches
122,Javain Brown,jm JAM,DF,Vancouver W'caps,24,1999,10.8,1.48,1.49,1.02,0.19,0.00,0.19,0.09,0.00,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Matches
123,Javain Brown,jm JAM,DF,Real Salt Lake,24,1999,3.7,1.08,1.08,0.81,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
124,Gastón Brugman,uy URU,MF,LA Galaxy,31,1992,13.2,2.95,2.96,2.35,0.15,0.00,0.15,0.23,0.08,0.30,0.30,0.23,0.08,0.00,0.00,0.00,0.00,Matches
125,Pavel Bucha,cz CZE,MF,FC Cincinnati,25,1998,32.4,2.13,2.13,1.85,0.00,0.12,0.12,0.03,0.00,0.28,0.28,0.25,0.00,0.00,0.03,0.00,0.00,Matches
126,Noel Buck,eng ENG,"MF,FW",NE Revolution,18,2005,6.0,2.00,2.01,1.83,0.00,0.00,0.17,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
127,Dawid Bugaj,pl POL,DF,CF Montréal,19,2004,1.8,1.11,1.13,1.11,0.00,0.00,0.00,0.00,0.00,0.56,0.56,0.56,0.00,0.00,0.00,0.00,0.00,Matches
128,Osman Bukari,gh GHA,"FW,MF",Austin,25,1998,6.8,4.26,4.26,3.24,0.00,0.74,0.00,0.15,0.15,0.59,0.59,0.44,0.00,0.15,0.00,0.00,0.00,Matches
129,Teal Bunbury,us USA,FW,Nashville SC,33,1990,12.8,1.41,1.41,1.25,0.00,0.00,0.16,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
