0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,20_Int,21_Tkl+Int,22_Clr,23_Err,24_Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,1.07,0.71,0.36,0.71,0.00,0.36,0.71,50.0,0.36,1.79,0.71,1.07,2.50,3.57,3.93,0.00,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,0.61,0.37,0.12,0.37,0.12,0.12,1.34,9.1,1.22,0.37,0.00,0.37,0.00,0.61,0.98,0.00,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,2.02,1.08,0.70,0.99,0.33,1.13,2.35,48.0,1.22,1.08,0.14,0.94,1.27,3.29,1.36,0.00,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,1.86,1.19,1.00,0.86,0.00,1.05,1.90,55.0,0.86,1.33,0.52,0.81,2.14,4.00,3.14,0.14,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,1.67,0.67,0.67,0.67,0.33,0.67,1.33,50.0,0.67,1.00,0.33,0.67,0.33,2.00,5.33,0.00,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,2.56,1.48,1.48,0.94,0.15,1.53,2.76,55.4,1.23,1.28,0.49,0.79,1.63,4.19,0.89,0.05,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,27.6,1.16,0.62,0.62,0.36,0.18,0.51,1.30,38.9,0.80,1.16,0.11,1.05,0.62,1.78,0.69,0.00,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,2.30,1.72,1.15,0.92,0.23,1.03,1.84,56.3,0.80,1.38,0.11,1.26,1.61,3.91,0.57,0.23,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,1.00,1.00,0.50,0.50,0.00,0.00,0.50,0.0,0.50,2.00,0.00,2.00,0.50,1.50,0.50,0.00,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,5.3,1.89,0.94,0.38,1.13,0.38,1.13,2.83,40.0,1.70,1.32,0.19,1.13,0.94,2.83,1.70,0.00,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,2.8,1.43,1.07,0.36,1.07,0.00,1.07,3.57,30.0,2.50,1.43,0.00,1.43,1.07,2.50,0.36,0.00,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,2.22,1.59,1.11,0.95,0.16,1.27,2.70,47.1,1.43,0.95,0.48,0.48,1.75,3.97,0.63,0.00,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,1.31,0.95,0.24,0.36,0.71,0.60,0.95,62.5,0.36,0.83,0.12,0.71,0.24,1.55,0.95,0.00,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,1.68,1.02,0.66,0.76,0.26,0.96,3.00,31.9,2.05,1.32,0.23,1.09,0.76,2.44,1.02,0.00,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,1.42,0.85,0.50,0.85,0.07,0.50,1.42,35.0,0.92,0.50,0.00,0.50,0.57,1.99,0.07,0.00,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,2.11,1.05,0.53,1.05,0.53,1.05,1.05,100.0,0.00,0.53,0.53,0.00,1.05,3.16,0.53,0.00,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,4.6,0.43,0.43,0.00,0.22,0.22,0.00,0.87,0.0,0.87,1.96,0.22,1.74,0.65,1.09,0.87,0.00,Matches
48,Max Arfsten,us USA,"DF,MF",Columbus Crew,21,2001,3.1,2.26,0.97,1.29,0.97,0.00,1.61,2.90,55.6,1.29,0.00,0.00,0.00,2.26,4.52,0.65,0.00,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,2.01,1.41,0.82,0.82,0.38,0.76,1.58,48.3,0.82,1.03,0.16,0.87,1.58,3.59,1.36,0.00,Matches
50,Xavier Arreaga,ec ECU,"DF,MF",Seattle Sounders,28,1994,3.9,1.54,1.54,1.03,0.51,0.00,0.77,1.03,75.0,0.26,0.51,0.26,0.26,0.26,1.79,1.54,0.00,Matches
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,1.23,0.77,0.54,0.69,0.00,0.38,1.46,26.3,1.08,1.08,0.38,0.69,1.08,2.31,2.23,0.23,Matches
52,Paul Arriola,us USA,"FW,MF",FC Dallas,27,1995,18.4,1.20,0.87,0.38,0.60,0.22,0.60,1.52,39.3,0.92,0.49,0.05,0.43,0.54,1.74,0.49,0.00,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,2.06,1.61,0.95,0.95,0.15,1.01,3.12,32.3,2.11,1.46,0.40,1.06,1.36,3.42,1.21,0.00,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,2.31,1.45,1.16,0.89,0.26,0.89,1.75,50.9,0.86,1.09,0.36,0.73,1.45,3.76,1.39,0.00,Matches
55,Yamil Asad,ar ARG,"MF,FW",D.C. United,28,1994,5.8,1.72,0.69,0.17,1.03,0.52,0.86,3.97,21.7,3.10,1.55,0.00,1.55,0.69,2.41,0.52,0.17,Matches
56,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,30,1992,16.1,1.43,0.87,0.56,0.50,0.37,0.50,1.61,30.8,1.12,1.12,0.00,1.12,0.62,2.05,0.81,0.00,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,3.76,2.57,1.10,1.93,0.73,1.93,3.49,55.3,1.56,1.38,0.18,1.19,1.47,5.23,1.28,0.00,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,2.03,1.35,1.28,0.68,0.08,1.43,2.86,50.0,1.43,1.50,0.38,1.13,1.43,3.46,2.18,0.00,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,2.47,1.55,1.65,0.72,0.10,1.65,2.78,59.3,1.13,0.93,0.52,0.41,1.96,4.43,1.03,0.00,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,4.44,2.78,1.11,2.78,0.56,1.11,3.33,33.3,2.22,2.22,0.00,2.22,2.22,6.67,1.67,0.00,Matches
61,Edison Azcona,do DOM,"MF,DF",Inter Miami,19,2003,0.6,5.00,1.67,0.00,3.33,1.67,0.00,5.00,0.0,5.00,1.67,0.00,1.67,0.00,5.00,0.00,0.00,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,1.18,0.69,0.29,0.39,0.49,0.49,1.18,41.7,0.69,0.69,0.00,0.69,0.10,1.27,0.78,0.00,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,0.89,0.66,0.27,0.46,0.15,0.54,1.81,29.8,1.27,0.58,0.00,0.58,0.31,1.20,0.54,0.00,Matches
64,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,17,2005,5.5,1.27,1.09,0.55,0.36,0.36,0.55,0.91,60.0,0.36,0.00,0.00,0.00,0.18,1.45,0.00,0.00,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,2.37,1.71,1.45,0.79,0.13,1.45,2.24,64.7,0.79,0.92,0.39,0.53,0.53,2.89,2.63,0.00,Matches
66,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,17,2005,7.1,2.82,1.97,1.83,0.85,0.14,1.13,2.25,50.0,1.13,1.13,0.00,1.13,0.85,3.66,2.39,0.00,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,0.24,0.00,0.00,0.24,0.00,0.00,0.12,0.0,0.12,0.24,0.00,0.24,0.24,0.48,0.48,0.00,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,3.33,1.82,1.21,2.12,0.00,1.52,4.24,35.7,2.73,2.12,0.61,1.52,1.52,4.85,2.42,0.00,Matches
69,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,25,1998,1.7,0.59,0.00,0.00,0.59,0.00,0.00,2.35,0.0,2.35,1.76,0.00,1.76,0.00,0.59,1.76,0.00,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,0.54,0.29,0.15,0.29,0.10,0.20,0.63,30.8,0.44,0.49,0.05,0.44,0.24,0.78,0.54,0.00,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.04,0.04,0.50,0.04,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,31.3,1.60,1.09,0.89,0.54,0.16,0.89,2.24,40.0,1.34,1.66,0.13,1.53,1.15,2.75,1.66,0.00,Matches
73,Michael Barrios,co COL,"FW,MF",Colorado Rapids,31,1991,9.3,0.54,0.32,0.32,0.22,0.00,0.43,1.29,33.3,0.86,0.75,0.00,0.75,0.54,1.08,0.22,0.00,Matches
74,Michael Barrios,co COL,"FW,MF",LA Galaxy,31,1991,1.3,2.31,2.31,0.00,0.77,1.54,1.54,1.54,100.0,0.00,0.77,0.00,0.77,0.00,2.31,0.77,0.00,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,11.9,1.51,0.92,1.09,0.42,0.00,1.18,1.85,63.6,0.67,2.02,0.76,1.26,2.10,3.61,4.29,0.00,Matches
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,22.1,0.63,0.45,0.41,0.18,0.05,0.23,0.59,38.5,0.36,1.00,0.77,0.23,0.59,1.22,4.62,0.05,Matches
77,Cole Bassett,us USA,"MF,FW",Colorado Rapids,21,2001,21.1,1.75,1.09,1.00,0.47,0.28,0.52,1.61,32.4,1.09,0.71,0.09,0.62,0.38,2.13,0.71,0.00,Matches
78,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,25,1997,22.2,0.63,0.32,0.14,0.36,0.14,0.36,1.08,33.3,0.72,0.68,0.05,0.63,0.50,1.13,0.14,0.05,Matches
79,Jesús Batiz,hn HON,"MF,FW",Toronto FC,23,1999,0.7,1.43,1.43,0.00,1.43,0.00,0.00,0.00,,0.00,2.86,1.43,1.43,0.00,1.43,0.00,0.00,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,5.8,1.38,1.03,0.52,0.86,0.00,0.69,0.69,100.0,0.00,1.55,1.38,0.17,1.90,3.28,2.59,0.00,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,15.6,1.09,0.64,0.77,0.32,0.00,0.90,1.35,66.7,0.45,1.35,1.09,0.26,1.54,2.63,4.36,0.06,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.15,Matches
83,Simon Becher,us USA,"FW,MF",Vancouver W'caps,23,1999,6.8,0.44,0.44,0.00,0.00,0.44,0.00,0.44,0.0,0.44,0.44,0.00,0.44,0.00,0.44,1.18,0.00,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,22.3,1.61,0.99,0.81,0.54,0.27,0.72,2.20,32.7,1.48,1.12,0.36,0.76,1.03,2.65,0.85,0.04,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,6.7,0.90,0.60,0.60,0.30,0.00,0.75,1.49,50.0,0.75,0.45,0.30,0.15,0.30,1.19,2.69,0.00,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,1.6,1.25,0.63,0.63,0.63,0.00,0.63,1.88,33.3,1.25,1.88,1.25,0.63,1.25,2.50,3.13,0.00,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,0.2,5.00,5.00,0.00,0.00,5.00,0.00,5.00,0.0,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,10.0,0.00,10.0,10.0,0.00,0.00,Matches
89,Ben Bender,us USA,"MF,FW",Charlotte,21,2001,10.1,1.49,0.79,0.40,0.69,0.40,0.89,1.78,50.0,0.89,0.99,0.00,0.99,0.50,1.98,0.59,0.00,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31.0,0.48,0.19,0.00,0.26,0.23,0.10,0.39,25.0,0.29,0.48,0.10,0.39,0.13,0.61,0.97,0.00,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,14.4,2.64,1.67,1.32,1.11,0.21,1.11,2.01,55.2,0.90,1.60,0.35,1.25,1.32,3.96,1.88,0.00,Matches
93,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,28,1994,28.9,0.55,0.38,0.14,0.21,0.21,0.24,0.87,28.0,0.62,0.55,0.00,0.55,0.42,0.97,0.07,0.07,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,11.5,0.78,0.43,0.52,0.17,0.09,0.35,0.70,50.0,0.35,0.35,0.00,0.35,0.17,0.96,0.35,0.00,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.0,0.05,0.05,0.00,0.05,0.16,0.16,0.68,0.05,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,17.9,0.89,0.50,0.56,0.22,0.11,0.39,0.61,63.6,0.22,0.84,0.50,0.34,1.28,2.18,4.19,0.00,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,14.9,0.87,0.54,0.47,0.20,0.20,0.40,1.81,22.2,1.41,0.94,0.07,0.87,0.54,1.41,0.60,0.00,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,28.0,0.61,0.36,0.43,0.14,0.04,0.39,0.68,57.9,0.29,0.86,0.61,0.25,1.21,1.82,4.14,0.04,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.04,Matches
101,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,34,1988,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.0,0.82,0.20,0.00,0.20,0.41,0.41,0.00,0.00,Matches
102,Latif Blessing,gh GHA,"FW,MF",Toronto FC,26,1996,1.7,1.18,0.59,0.59,0.59,0.00,0.59,0.59,100.0,0.00,1.18,0.00,1.18,0.00,1.18,0.00,0.00,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,11.5,3.13,1.74,1.48,1.48,0.17,1.30,3.13,41.7,1.83,1.30,0.26,1.04,1.22,4.35,0.61,0.09,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,21.3,2.11,0.89,1.03,0.70,0.38,0.85,2.21,38.3,1.36,1.41,0.23,1.17,2.30,4.41,1.03,0.00,Matches
105,Emmanuel Boateng,gh GHA,"FW,MF",NE Revolution,29,1994,16.0,0.88,0.44,0.44,0.31,0.13,0.13,0.69,18.2,0.56,0.88,0.25,0.63,0.63,1.50,0.75,0.00,Matches
106,Israel Boatwright,do DOM,"MF,DF",Inter Miami,17,2005,0.8,1.25,0.00,1.25,0.00,0.00,1.25,3.75,33.3,2.50,1.25,1.25,0.00,0.00,1.25,5.00,0.00,Matches
107,Mateusz Bogusz,pl POL,"MF,FW",LAFC,21,2001,19.3,1.81,1.24,0.62,0.83,0.36,0.62,1.87,33.3,1.24,0.62,0.00,0.62,0.31,2.12,0.73,0.00,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,16.2,0.68,0.31,0.06,0.31,0.31,0.06,0.43,14.3,0.37,0.37,0.00,0.37,0.00,0.68,0.19,0.00,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,0.3,6.67,6.67,3.33,3.33,0.00,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,8.3,2.29,1.20,1.57,0.60,0.12,1.93,2.05,94.1,0.12,1.08,0.24,0.84,1.33,3.61,4.58,0.00,Matches
111,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.04,0.00,0.04,0.09,0.09,0.75,0.22,Matches
112,Pablo Bonilla,ve VEN,DF,Portland Timbers,23,1999,0.8,2.50,2.50,0.00,1.25,1.25,2.50,5.00,50.0,2.50,2.50,1.25,1.25,0.00,2.50,2.50,0.00,Matches
113,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,0.11,0.00,0.11,0.00,0.00,0.11,0.11,100.0,0.00,0.00,0.00,0.00,0.00,0.11,0.32,0.00,Matches
114,Shanyder Borgelin,ht HAI,FW,Inter Miami,21,2001,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.0,0.63,0.63,0.00,0.63,0.63,0.63,0.63,0.00,Matches
115,Dylan Borrero,co COL,"FW,MF",NE Revolution,21,2002,5.7,1.23,0.70,0.53,0.35,0.35,0.88,1.58,55.6,0.70,1.05,0.00,1.05,0.53,1.75,0.18,0.00,Matches
116,Gustavo Bou,ar ARG,"FW,MF",NE Revolution,32,1990,14.0,0.86,0.50,0.36,0.36,0.14,0.29,1.14,25.0,0.86,0.79,0.07,0.71,0.50,1.36,0.29,0.00,Matches
117,Denis Bouanga,ga GAB,FW,LAFC,28,1994,28.1,1.10,0.78,0.28,0.64,0.18,0.50,1.57,31.8,1.07,0.64,0.07,0.57,0.14,1.25,0.64,0.00,Matches
118,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,22,2000,1.7,1.18,0.00,0.00,0.59,0.59,0.00,0.00,,0.00,1.18,0.59,0.59,1.18,2.35,0.00,0.00,Matches
119,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,1996,6.7,1.04,0.60,0.00,0.75,0.30,0.30,0.90,33.3,0.60,1.94,0.00,1.94,0.15,1.19,0.15,0.00,Matches
120,Michael Boxall,nz NZL,DF,Minnesota Utd,34,1988,31.7,1.32,0.76,0.88,0.35,0.09,0.54,0.76,70.8,0.22,1.67,0.98,0.69,1.51,2.84,4.35,0.06,Matches
121,Tyler Boyd,us USA,"FW,MF",LA Galaxy,28,1994,25.8,1.36,0.89,0.54,0.54,0.27,0.66,1.67,39.5,1.01,0.97,0.12,0.85,0.47,1.82,0.43,0.00,Matches
122,Michael Bradley,us USA,"MF,DF",Toronto FC,35,1987,16.0,1.25,1.06,0.88,0.38,0.00,0.88,1.44,60.9,0.56,0.75,0.19,0.56,1.19,2.44,3.31,0.06,Matches
123,Chris Brady,us USA,GK,Chicago Fire,18,2004,29.3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.0,0.07,0.00,0.00,0.00,0.03,0.03,0.68,0.10,Matches
124,Zachary Brault-Guillard,ca CAN,"DF,MF",CF Montréal,24,1998,14.5,1.03,0.62,0.69,0.14,0.21,0.55,1.38,40.0,0.83,1.38,0.34,1.03,0.83,1.86,1.45,0.00,Matches
125,Claudio Bravo,ar ARG,DF,Portland Timbers,25,1997,25.9,2.63,1.51,1.74,0.81,0.08,1.39,3.55,39.1,2.16,1.97,0.27,1.70,1.51,4.13,2.39,0.00,Matches
126,Luke Brennan,us USA,MF,Atlanta Utd,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Brenner,br BRA,FW,FC Cincinnati,23,2000,5.9,1.02,0.85,0.51,0.34,0.17,0.68,1.53,44.4,0.85,1.02,0.00,1.02,0.34,1.36,0.34,0.00,Matches
128,Ethan Bristow,kn SKN,DF,Minnesota Utd,21,2001,6.0,1.83,1.17,1.33,0.50,0.00,1.00,1.67,60.0,0.67,0.83,0.50,0.33,0.33,2.17,2.50,0.17,Matches
129,Andrew Brody,us USA,DF,Real Salt Lake,27,1995,25.2,1.07,0.75,0.63,0.32,0.12,0.56,1.07,51.9,0.52,1.07,0.52,0.56,0.99,2.06,2.14,0.00,Matches
130,Brandt Bronico,us USA,MF,Charlotte,27,1995,28.8,1.67,1.04,0.63,0.76,0.28,0.94,2.26,41.5,1.32,1.11,0.31,0.80,0.80,2.47,1.25,0.00,Matches
