0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Yellow CardsYellow Cards,Red CardsRed Cards,Second Yellow CardSecond Yellow Card,Fouls CommittedFouls Committed,Fouls DrawnFouls Drawn,OffsidesOffsides,CrossesCrosses,InterceptionsInterceptions,Tackles WonTackles in which the tackler's team won possession of the ball,Penalty Kicks WonPenalty Kicks Won,Penalty Kicks ConcededPenalty Kicks Conceded,Own GoalsOwn Goals,Ball RecoveriesNumber of loose balls recovered,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,24_Matches
12,Stephen Afrifa,ca CAN,FW,Sporting KC,22,2001,8.8,0.00,0.00,0.00,1.93,1.36,0.45,0.80,0.23,0.68,0.00,0.00,0.00,3.98,1.14,1.93,37.0,Matches
13,William Agada,ng NGA,FW,Sporting KC,24,1999,19.2,0.05,0.05,0.00,2.40,0.99,0.99,0.42,0.26,0.26,0.00,0.00,0.00,2.34,2.19,2.45,47.2,Matches
14,London Aghedo,us USA,DF,FC Cincinnati,23,2000,0.1,0.00,0.00,0.00,20.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,Matches
15,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,24,1999,1.2,0.00,0.00,0.00,0.83,1.67,0.00,0.83,0.83,0.83,0.00,0.00,0.00,7.50,2.50,0.83,75.0,Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,20.4,0.20,0.05,0.00,2.16,1.76,0.34,0.20,0.05,0.39,0.00,0.00,0.00,2.45,1.57,1.67,48.5,Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,15.0,0.20,0.00,0.00,1.27,2.53,0.20,3.07,1.60,1.13,0.00,0.00,0.00,6.20,0.20,0.60,25.0,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,0.48,0.00,0.00,2.62,1.43,1.19,1.19,0.95,0.71,0.00,0.00,0.00,2.38,3.33,3.57,48.3,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,0.39,0.00,0.00,1.18,1.85,0.00,1.35,1.80,1.46,0.00,0.00,0.00,5.39,2.08,1.69,55.2,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,0.61,0.20,0.20,1.43,0.20,0.20,0.61,2.04,1.43,0.00,0.20,0.00,2.86,0.82,1.02,44.4,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,1.0,1.00,0.00,0.00,4.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,5.00,16.7,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,0.32,0.00,0.00,0.40,0.48,0.60,3.91,0.60,0.69,0.00,0.00,0.00,5.81,0.08,0.20,28.6,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,10.3,0.49,0.00,0.00,1.07,0.87,0.00,0.49,0.87,1.46,0.00,0.10,0.00,5.63,0.49,1.17,29.4,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,9.3,0.32,0.00,0.00,2.04,1.08,0.22,2.15,0.65,1.40,0.00,0.00,0.00,3.76,1.40,1.08,56.5,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,15.5,0.32,0.00,0.00,0.65,1.35,0.00,5.29,0.06,0.58,0.00,0.00,0.00,5.68,0.06,0.52,11.1,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,0.13,0.00,0.00,0.67,0.21,0.00,0.08,1.34,0.88,0.00,0.00,0.00,3.28,1.18,1.30,47.5,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,0.00,0.00,0.00,0.67,0.67,0.11,4.11,1.44,1.22,0.00,0.00,0.00,4.67,0.78,1.67,31.8,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,0.22,0.00,0.00,1.51,1.06,0.00,0.78,1.34,1.34,0.00,0.00,0.00,5.08,0.50,0.50,50.0,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,0.27,0.00,0.00,0.59,0.59,0.00,0.67,1.88,1.06,0.00,0.00,0.00,5.14,1.41,1.14,55.4,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,1.1,0.00,0.00,0.00,3.64,3.64,0.00,0.00,0.91,0.00,0.00,0.00,0.00,4.55,1.82,0.91,66.7,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,0.18,0.00,0.00,0.89,1.07,0.00,1.43,1.07,0.89,0.00,0.00,0.00,2.50,0.71,0.89,44.4,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,0.35,0.00,0.00,1.77,1.86,0.00,1.33,1.33,1.15,0.00,0.00,0.00,8.23,1.59,1.06,60.0,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,0.6,0.00,0.00,0.00,1.67,1.67,0.00,1.67,0.00,1.67,0.00,0.00,0.00,5.00,1.67,5.00,25.0,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,30.7,0.13,0.00,0.00,0.78,1.17,0.20,1.30,0.62,0.94,0.07,0.03,0.00,4.76,0.23,0.39,36.8,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,4.8,0.00,0.00,0.00,2.29,0.63,0.63,1.67,0.42,1.04,0.00,0.00,0.00,2.29,1.25,2.71,31.6,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,0.42,0.00,0.00,0.63,0.63,0.00,0.63,1.25,2.08,0.00,0.21,0.00,8.33,2.29,1.46,61.1,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,21.0,0.00,0.00,0.00,1.33,1.43,0.24,1.71,0.90,1.81,0.05,0.00,0.00,5.14,0.48,0.62,43.5,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,0.19,0.06,0.00,1.86,0.75,0.06,0.43,1.74,1.49,0.00,0.06,0.00,6.34,0.62,0.87,41.7,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,25.4,0.28,0.00,0.00,1.69,1.85,0.87,1.61,0.12,0.47,0.00,0.00,0.00,2.72,1.22,1.26,49.2,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,0.45,0.00,0.00,1.75,2.64,0.04,0.41,1.08,1.41,0.00,0.07,0.00,5.91,0.67,1.04,39.1,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,0.12,0.00,0.00,0.99,0.18,0.06,0.06,1.35,1.05,0.00,0.06,0.00,4.04,1.40,1.05,57.1,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,4.2,0.48,0.24,0.00,1.90,0.71,0.24,0.00,0.24,0.24,0.00,0.00,0.00,4.05,0.00,1.67,0.0,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,0.09,0.00,0.00,0.96,0.83,0.50,3.58,0.64,1.10,0.00,0.00,0.00,5.73,0.64,0.55,53.8,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,0.26,0.00,0.00,1.37,1.46,0.09,2.36,0.82,1.20,0.00,0.04,0.00,4.59,0.77,1.29,37.5,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,0.00,0.00,0.00,1.32,0.79,0.26,0.46,0.07,0.46,0.00,0.00,0.00,2.05,2.52,2.72,48.1,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,1.4,0.71,0.00,0.00,1.43,0.71,0.00,1.43,0.00,0.00,0.00,0.00,0.00,3.57,1.43,0.00,100.0,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,0.28,0.00,0.00,1.16,0.60,0.14,0.09,1.81,1.12,0.00,0.05,0.00,4.56,1.26,1.12,52.9,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,0.36,0.00,0.00,1.07,0.36,0.00,0.00,2.14,1.07,0.00,0.00,0.00,2.86,0.71,2.14,25.0,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,9.8,0.31,0.00,0.00,1.02,1.33,0.00,0.10,0.92,1.43,0.00,0.00,0.00,7.04,3.78,2.24,62.7,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,27.3,0.26,0.00,0.00,1.25,1.28,0.18,1.94,0.37,0.92,0.04,0.00,0.00,3.70,0.59,0.84,41.0,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,0.12,0.00,0.00,0.98,1.01,0.03,0.21,1.01,1.69,0.00,0.09,0.00,6.07,0.38,0.68,36.1,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,0.11,0.00,0.00,1.24,2.47,0.22,1.01,0.67,1.46,0.00,0.00,0.00,5.28,0.67,1.01,40.0,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,7.6,0.13,0.00,0.00,2.24,2.50,0.79,1.71,0.66,0.26,0.00,0.00,0.00,5.26,2.63,3.82,40.8,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,0.25,0.08,0.08,1.26,0.92,0.00,1.76,2.10,1.60,0.00,0.00,0.00,6.47,2.10,2.35,47.2,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,0.37,0.04,0.04,1.73,1.36,0.04,4.24,1.69,0.82,0.04,0.04,0.00,6.34,0.74,0.99,42.9,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,0.16,0.00,0.00,0.90,2.07,0.05,1.01,1.12,1.60,0.00,0.05,0.00,3.83,1.22,0.90,57.5,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,0.61,0.08,0.08,1.15,0.16,0.00,0.12,1.56,1.19,0.00,0.04,0.00,4.55,0.57,0.53,51.9,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,0.51,0.00,0.00,2.20,0.68,0.00,0.17,0.85,0.51,0.00,0.00,0.00,6.44,2.71,0.68,80.0,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,0.12,0.00,0.00,1.10,0.98,0.00,0.55,1.96,1.78,0.00,0.00,0.00,6.75,1.60,0.98,61.9,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,5.00,0.00,2.00,0.0,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,3.3,0.61,0.00,0.00,3.64,0.91,1.21,0.91,0.61,0.00,0.00,0.00,0.00,3.33,3.33,1.52,68.8,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,10.6,0.09,0.00,0.00,1.13,1.60,0.85,0.28,0.28,0.47,0.00,0.00,0.00,2.92,0.57,1.23,31.6,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,22.0,0.05,0.00,0.00,0.77,1.32,0.05,3.55,0.23,0.91,0.00,0.00,0.00,4.18,0.18,0.36,33.3,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,5.3,0.19,0.00,0.00,0.38,1.51,0.00,2.64,0.75,2.64,0.00,0.00,0.00,3.77,0.75,1.32,36.4,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,8.7,0.46,0.11,0.11,1.72,0.80,0.34,3.33,1.72,1.49,0.00,0.00,0.00,4.48,1.26,0.57,68.8,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,0.20,0.00,0.00,1.60,1.27,0.93,1.00,0.20,0.67,0.00,0.00,0.00,2.80,1.13,1.87,37.8,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,0.00,0.00,0.00,6.67,0.00,0.00,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,0.16,0.00,0.00,0.95,0.32,0.32,3.97,0.16,0.48,0.00,0.00,0.00,2.38,0.00,0.63,0.0,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,0.13,0.00,0.00,1.46,1.21,0.19,0.00,0.45,0.89,0.00,0.00,0.00,2.87,1.91,2.48,43.5,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,8.3,0.24,0.00,0.00,1.93,1.20,0.84,1.08,0.36,0.60,0.00,0.00,0.00,2.89,2.77,2.29,54.8,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,0.20,0.03,0.00,1.22,0.95,0.10,0.13,1.15,0.72,0.00,0.00,0.00,4.84,3.62,1.84,66.3,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,0.00,0.00,0.00,0.74,0.63,0.00,0.32,0.42,1.26,0.00,0.00,0.00,3.58,2.11,1.47,58.8,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,28.5,0.04,0.00,0.00,0.84,1.12,0.04,2.00,0.67,1.19,0.00,0.00,0.00,4.63,1.12,1.09,50.8,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,0.18,0.00,0.00,1.17,1.81,0.36,3.95,0.25,0.39,0.04,0.00,0.00,3.52,0.28,0.64,30.8,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,13.9,0.22,0.07,0.00,2.66,0.72,0.00,2.37,0.94,2.01,0.00,0.14,0.00,4.60,1.15,1.15,50.0,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,0.24,0.00,0.00,0.97,0.53,0.00,0.34,1.06,1.21,0.00,0.05,0.00,3.38,1.93,1.16,62.5,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,0.06,0.00,0.00,0.17,0.77,0.00,0.22,0.94,0.39,0.00,0.00,0.06,3.20,1.60,1.44,52.7,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,100.0,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,0.09,0.00,100.0,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,0.16,0.00,0.00,1.97,2.79,0.49,0.00,0.33,0.66,0.16,0.00,0.00,2.62,2.13,2.46,46.4,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,0.37,0.00,0.00,1.67,0.37,0.31,1.36,0.99,1.23,0.00,0.00,0.00,4.20,3.33,3.70,47.4,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,0.00,0.00,0.00,0.37,0.00,0.00,0.56,1.30,0.56,0.00,0.00,0.00,4.26,2.59,2.41,51.9,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
85,Ben Bender,us USA,"MF,FW",Charlotte,22,2001,2.2,0.45,0.00,0.00,1.36,0.45,0.45,1.36,0.00,0.00,0.00,0.00,0.00,2.73,0.91,0.91,50.0,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,0.28,0.03,0.00,2.43,1.28,0.73,0.07,0.07,0.17,0.03,0.00,0.00,1.35,10.8,3.92,73.3,Matches
87,Nimfasha Berchimas,us USA,"FW,MF",Charlotte,15,2008,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches
88,Sebastian Berhalter,us USA,"MF,DF",Vancouver W'caps,22,2001,20.7,0.24,0.00,0.00,1.59,0.77,0.14,6.62,1.01,1.30,0.00,0.00,0.05,3.67,0.72,1.01,41.7,Matches
89,Federico Bernardeschi,it ITA,"DF,MF",Toronto FC,29,1994,27.3,0.48,0.11,0.11,0.81,1.50,0.22,5.57,0.81,0.55,0.07,0.00,0.00,5.24,0.44,0.55,44.4,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,0.11,0.00,0.00,0.98,0.87,0.11,0.11,0.11,0.22,0.00,0.00,0.00,2.17,2.39,4.24,36.1,Matches
91,Pep Biel,es ESP,"FW,MF",Charlotte,27,1996,6.8,0.15,0.00,0.00,0.74,0.29,0.00,3.82,1.18,0.59,0.00,0.00,0.00,3.53,0.15,1.03,12.5,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,0.53,0.00,0.00,1.58,1.05,0.00,0.26,1.05,0.26,0.00,0.00,0.00,2.89,5.79,3.68,61.1,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,0.24,0.04,0.00,1.26,1.30,0.12,1.85,0.98,1.18,0.00,0.00,0.00,3.86,1.61,1.50,51.9,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,0.19,0.00,0.00,0.43,0.38,0.10,0.33,0.95,0.38,0.00,0.00,0.00,3.48,1.81,1.52,54.3,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,0.08,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.08,0.00,0.00,0.00,1.53,0.24,0.00,100.0,Matches
97,Latif Blessing,gh GHA,"FW,MF",Houston Dynamo,27,1996,11.0,0.09,0.00,0.00,1.45,1.91,0.73,0.27,0.82,1.27,0.00,0.00,0.00,4.91,1.18,1.45,44.8,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,0.41,0.00,0.00,1.34,1.13,0.00,0.72,1.65,1.24,0.00,0.00,0.00,6.49,0.62,0.21,75.0,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,0.38,0.00,0.00,1.54,0.77,0.00,4.10,1.03,0.90,0.00,0.00,0.00,3.85,0.64,1.03,38.5,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,Matches
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,0.21,0.00,0.00,1.38,1.03,0.34,3.90,0.34,0.72,0.00,0.00,0.00,3.41,0.28,0.59,32.0,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,0.17,0.00,0.00,0.99,0.47,0.00,0.12,1.16,1.16,0.00,0.00,0.00,5.00,2.21,1.45,60.3,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.21,0.00,100.0,Matches
104,Shanyder Borgelin,ht HAI,"FW,MF",Inter Miami,22,2001,1.5,0.00,0.00,0.00,4.00,4.00,0.00,2.67,0.00,1.33,0.00,0.00,0.00,1.33,3.33,4.00,45.5,Matches
105,Dylan Borrero,co COL,"FW,MF",NE Revolution,22,2002,10.5,0.38,0.10,0.10,0.57,0.48,0.29,3.14,1.05,0.48,0.00,0.00,0.00,4.86,0.10,0.48,16.7,Matches
106,Denis Bouanga,ga GAB,FW,LAFC,29,1994,30.6,0.10,0.00,0.00,1.50,0.82,0.52,2.91,0.26,0.65,0.16,0.00,0.03,4.05,0.62,0.95,39.6,Matches
107,Ousseni Bouda,bf BFA,FW,SJ Earthquakes,23,2000,4.2,0.24,0.00,0.00,3.57,1.43,0.71,1.19,0.24,0.48,0.00,0.00,0.00,2.62,1.43,2.14,40.0,Matches
108,Aaron Boupendza,ga GAB,"FW,MF",FC Cincinnati,27,1996,6.1,0.33,0.00,0.00,1.15,1.31,1.15,0.49,0.49,0.33,0.00,0.00,0.00,2.95,2.13,3.28,39.4,Matches
109,Giuseppe Bovalina,au AUS,"DF,FW",Vancouver W'caps,19,2004,1.9,0.00,0.00,0.00,0.00,0.53,0.00,2.63,0.00,1.05,0.00,0.00,0.00,3.68,0.53,3.68,12.5,Matches
110,Michael Boxall,nz NZL,DF,Minnesota Utd,35,1988,31.5,0.29,0.00,0.00,1.24,0.73,0.13,0.10,0.89,0.51,0.00,0.00,0.00,3.84,1.59,0.79,66.7,Matches
111,Tyler Boyd,us USA,"FW,MF",Nashville SC,29,1994,12.6,0.16,0.00,0.00,1.03,1.11,0.16,1.75,0.40,0.95,0.08,0.00,0.00,4.44,0.79,0.56,58.8,Matches
112,Chris Brady,us USA,GK,Chicago Fire,19,2004,33.0,0.06,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.76,0.15,0.00,100.0,Matches
113,Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,4.8,0.63,0.00,0.00,2.08,2.29,0.21,1.25,1.04,0.63,0.00,0.00,0.21,5.00,1.25,1.04,54.5,Matches
114,Claudio Bravo,ar ARG,DF,Portland Timbers,26,1997,17.7,0.17,0.00,0.00,1.47,0.79,0.00,2.82,1.47,2.09,0.00,0.06,0.00,5.65,0.62,0.68,47.8,Matches
115,David Brekalo,si SVN,DF,Orlando City,25,1998,12.6,0.08,0.00,0.00,0.79,0.56,0.00,0.00,1.43,0.32,0.00,0.00,0.00,3.41,1.98,2.86,41.0,Matches
116,Luke Brennan,us USA,"FW,DF",Atlanta Utd,18,2005,1.7,0.59,0.00,0.00,2.94,2.35,0.59,1.76,0.00,0.59,0.00,0.00,0.00,4.71,0.00,1.76,0.0,Matches
117,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,Matches
118,Yannick Bright,it ITA,MF,Inter Miami,22,2001,15.6,0.26,0.00,0.00,2.05,1.67,0.06,0.00,2.05,2.18,0.00,0.06,0.00,6.47,1.15,0.64,64.3,Matches
119,Andrew Brody,us USA,DF,Real Salt Lake,28,1995,23.4,0.00,0.00,0.00,0.09,0.38,0.09,1.03,1.15,0.68,0.00,0.00,0.04,4.10,1.03,1.11,48.0,Matches
120,Brandt Bronico,us USA,MF,Charlotte,28,1995,19.3,0.21,0.00,0.00,1.76,0.47,0.16,0.78,0.67,0.78,0.00,0.00,0.00,2.69,0.47,0.73,39.1,Matches
121,Lachlan Brook,au AUS,FW,Real Salt Lake,22,2001,2.6,0.38,0.00,0.00,0.77,1.15,0.00,1.54,1.54,0.38,0.00,0.00,0.00,3.46,0.77,0.00,100.0,Matches
122,Javain Brown,jm JAM,DF,Vancouver W'caps,24,1999,10.8,0.09,0.00,0.00,0.65,1.30,0.00,3.06,0.93,0.83,0.00,0.09,0.00,3.89,2.04,1.30,61.1,Matches
123,Javain Brown,jm JAM,DF,Real Salt Lake,24,1999,3.7,0.27,0.00,0.00,1.35,0.27,0.00,2.16,0.81,0.81,0.00,0.00,0.00,2.97,2.16,0.54,80.0,Matches
124,Gastón Brugman,uy URU,MF,LA Galaxy,31,1992,13.2,0.38,0.00,0.00,2.65,1.59,0.00,0.68,2.27,1.36,0.00,0.00,0.00,5.83,0.68,0.76,47.4,Matches
125,Pavel Bucha,cz CZE,MF,FC Cincinnati,25,1998,32.4,0.15,0.00,0.00,0.74,0.52,0.03,0.22,1.23,1.05,0.00,0.00,0.00,6.39,0.43,0.68,38.9,Matches
126,Noel Buck,eng ENG,"MF,FW",NE Revolution,18,2005,6.0,0.00,0.00,0.00,1.00,0.83,0.17,0.33,0.50,0.67,0.00,0.00,0.00,3.83,0.67,0.67,50.0,Matches
127,Dawid Bugaj,pl POL,DF,CF Montréal,19,2004,1.8,0.00,0.00,0.00,1.11,0.56,0.00,1.11,0.00,0.56,0.00,0.00,0.00,4.44,0.56,2.78,16.7,Matches
