0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
16,Patrick Agyemang,us USA,FW,Charlotte,23,2000,31,19,1838,20.4,0.49,0.15,0.64,0.49,0.00,0.00,0.20,0.05,0.40,0.40,0.07,0.46,2.40,1.37,4.61,0.49,0.15,0.64,0.49,0.64,0.40,0.07,0.46,0.40,0.46,Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,22,15,1350,15.0,0.07,0.00,0.07,0.07,0.00,0.00,0.20,0.00,0.07,0.07,0.19,0.25,4.87,4.47,9.80,0.07,0.00,0.07,0.07,0.07,0.07,0.19,0.25,0.07,0.25,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,12,3,379,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.33,0.33,0.14,0.48,0.95,0.71,6.67,0.00,0.00,0.00,0.00,0.00,0.33,0.15,0.48,0.33,0.48,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,21,20,1601,17.8,0.00,0.06,0.06,0.00,0.00,0.00,0.39,0.00,0.04,0.04,0.03,0.07,2.08,4.21,2.75,0.00,0.06,0.06,0.00,0.06,0.05,0.03,0.07,0.05,0.07,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,8,4,438,4.9,0.00,0.20,0.20,0.00,0.00,0.00,0.61,0.20,0.00,0.00,0.02,0.02,0.41,2.86,0.41,0.00,0.21,0.21,0.00,0.21,0.00,0.01,0.01,0.00,0.01,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,5,0,87,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.30,0.30,0.30,0.60,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.35,0.31,0.66,0.35,0.66,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,28,24,2234,24.8,0.16,0.40,0.56,0.16,0.00,0.00,0.32,0.00,0.08,0.08,0.32,0.40,2.06,6.90,8.71,0.16,0.40,0.56,0.16,0.56,0.09,0.32,0.40,0.09,0.40,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,18,8,927,10.3,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.01,0.01,0.01,0.02,1.36,3.20,0.58,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,20,11,836,9.3,0.22,0.22,0.43,0.22,0.00,0.00,0.32,0.00,0.10,0.10,0.16,0.26,0.65,2.58,6.56,0.22,0.22,0.43,0.22,0.43,0.10,0.16,0.26,0.10,0.26,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,17,16,1392,15.5,0.39,0.06,0.45,0.26,0.13,0.13,0.32,0.00,0.37,0.26,0.23,0.49,4.00,9.48,4.97,0.39,0.06,0.45,0.26,0.32,0.37,0.22,0.59,0.26,0.49,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,27,24,2140,23.8,0.04,0.04,0.08,0.04,0.00,0.00,0.13,0.00,0.01,0.01,0.02,0.04,0.80,2.61,0.17,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.04,0.01,0.04,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9,9,809,9.0,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.19,0.22,2.33,4.44,3.44,0.00,0.44,0.44,0.00,0.44,0.03,0.19,0.22,0.03,0.22,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,20,18,1608,17.9,0.06,0.11,0.17,0.06,0.00,0.00,0.22,0.00,0.05,0.05,0.06,0.11,1.12,5.75,1.51,0.06,0.11,0.17,0.06,0.17,0.05,0.06,0.11,0.05,0.11,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,31,26,2295,25.5,0.04,0.08,0.12,0.04,0.00,0.00,0.27,0.00,0.00,0.00,0.06,0.06,0.94,5.53,1.06,0.04,0.08,0.12,0.04,0.12,0.00,0.06,0.06,0.00,0.06,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,4,2,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.36,2.73,0.91,4.55,0.00,0.00,0.00,0.00,0.00,0.28,0.04,0.32,0.28,0.32,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,9,5,507,5.6,0.00,0.18,0.18,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.25,0.29,1.61,3.57,4.11,0.00,0.18,0.18,0.00,0.18,0.02,0.26,0.28,0.02,0.28,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,16,13,1016,11.3,0.00,0.09,0.09,0.00,0.00,0.00,0.35,0.00,0.03,0.03,0.09,0.12,1.06,5.93,1.06,0.00,0.09,0.09,0.00,0.09,0.02,0.09,0.11,0.02,0.11,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,5,0,51,0.6,1.67,0.00,1.67,1.67,0.00,0.00,0.00,0.00,2.33,2.33,0.00,2.33,1.67,1.67,5.00,1.76,0.00,1.76,1.76,1.76,2.47,0.01,2.48,2.47,2.48,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,34,34,2759,30.7,0.16,0.20,0.36,0.16,0.00,0.00,0.13,0.00,0.16,0.16,0.16,0.32,3.52,4.76,9.51,0.16,0.20,0.36,0.16,0.36,0.16,0.16,0.32,0.16,0.32,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,17,5,434,4.8,0.21,0.00,0.21,0.21,0.00,0.00,0.00,0.00,0.25,0.25,0.21,0.46,2.08,1.67,6.46,0.21,0.00,0.21,0.21,0.21,0.26,0.20,0.46,0.26,0.46,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,7,4,434,4.8,0.00,0.21,0.21,0.00,0.00,0.00,0.42,0.00,0.04,0.04,0.25,0.29,0.63,2.08,0.63,0.00,0.21,0.21,0.00,0.21,0.03,0.25,0.28,0.03,0.28,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,33,20,1886,21.0,0.29,0.19,0.48,0.29,0.00,0.00,0.00,0.00,0.23,0.23,0.14,0.37,4.19,1.90,9.62,0.29,0.19,0.48,0.29,0.48,0.23,0.14,0.37,0.23,0.37,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,30,17,1453,16.1,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.01,0.01,0.02,0.03,0.68,3.29,1.30,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,30,26,2286,25.4,0.67,0.24,0.91,0.59,0.08,0.08,0.28,0.00,0.59,0.53,0.27,0.80,2.68,3.86,6.61,0.67,0.24,0.91,0.59,0.83,0.59,0.27,0.86,0.53,0.80,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,30,28,2418,26.9,0.04,0.04,0.07,0.04,0.00,0.00,0.45,0.00,0.06,0.06,0.08,0.13,1.00,5.39,1.00,0.04,0.04,0.07,0.04,0.07,0.06,0.08,0.13,0.06,0.13,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,22,17,1543,17.1,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.05,0.05,0.04,0.09,0.18,2.75,0.18,0.00,0.12,0.12,0.00,0.12,0.05,0.04,0.09,0.05,0.09,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,14,4,381,4.2,0.00,0.24,0.24,0.00,0.00,0.00,0.48,0.24,0.14,0.14,0.05,0.19,0.71,3.33,4.76,0.00,0.24,0.24,0.00,0.24,0.13,0.05,0.18,0.13,0.18,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,31,23,1966,21.8,0.18,0.23,0.41,0.18,0.00,0.00,0.09,0.00,0.15,0.15,0.25,0.40,3.30,3.62,10.0,0.18,0.23,0.41,0.18,0.41,0.15,0.25,0.40,0.15,0.40,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,28,25,2096,23.3,0.04,0.00,0.04,0.04,0.00,0.00,0.26,0.00,0.05,0.05,0.06,0.12,2.15,2.58,4.94,0.04,0.00,0.04,0.04,0.04,0.05,0.07,0.12,0.05,0.12,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,27,16,1359,15.1,0.46,0.20,0.66,0.46,0.00,0.07,0.00,0.00,0.41,0.36,0.10,0.46,0.93,1.99,4.57,0.46,0.20,0.66,0.46,0.66,0.41,0.10,0.52,0.36,0.46,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,6,1,128,1.4,0.71,0.00,0.71,0.71,0.00,0.00,0.71,0.00,0.29,0.29,0.43,0.71,2.14,7.14,7.86,0.70,0.00,0.70,0.70,0.70,0.31,0.42,0.73,0.31,0.73,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,23,22,1934,21.5,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.07,0.07,0.02,0.09,0.37,2.23,0.23,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.09,0.07,0.09,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,5,2,255,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.04,0.04,0.00,0.04,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,13,9,880,9.8,0.31,0.00,0.31,0.31,0.00,0.00,0.31,0.00,0.08,0.08,0.01,0.09,0.51,3.57,0.31,0.31,0.00,0.31,0.31,0.31,0.09,0.01,0.09,0.09,0.09,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,31,28,2456,27.3,0.18,0.07,0.26,0.11,0.07,0.07,0.26,0.00,0.17,0.11,0.11,0.22,2.20,3.88,5.75,0.18,0.07,0.26,0.11,0.18,0.17,0.11,0.28,0.11,0.22,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,34,34,3038,33.8,0.00,0.03,0.03,0.00,0.00,0.00,0.12,0.00,0.04,0.04,0.01,0.06,0.41,7.07,0.71,0.00,0.03,0.03,0.00,0.03,0.04,0.01,0.06,0.04,0.06,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,23,8,800,8.9,0.34,0.56,0.90,0.34,0.00,0.00,0.11,0.00,0.13,0.13,0.27,0.40,3.37,6.52,11.6,0.34,0.56,0.90,0.34,0.90,0.14,0.27,0.41,0.14,0.41,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,19,7,687,7.6,0.13,0.13,0.26,0.13,0.00,0.00,0.13,0.00,0.09,0.09,0.12,0.21,1.71,1.58,6.58,0.13,0.13,0.26,0.13,0.26,0.09,0.12,0.22,0.09,0.22,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,22,12,1069,11.9,0.00,0.08,0.08,0.00,0.00,0.00,0.25,0.08,0.11,0.11,0.09,0.20,2.27,6.39,3.95,0.00,0.08,0.08,0.00,0.08,0.11,0.09,0.20,0.11,0.20,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,28,25,2190,24.3,0.16,0.08,0.25,0.16,0.00,0.00,0.37,0.04,0.12,0.12,0.11,0.22,1.52,8.81,2.96,0.16,0.08,0.25,0.16,0.25,0.12,0.11,0.22,0.12,0.22,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,25,21,1692,18.8,0.05,0.11,0.16,0.05,0.00,0.00,0.16,0.00,0.04,0.04,0.07,0.11,1.38,2.93,3.56,0.05,0.11,0.16,0.05,0.16,0.04,0.07,0.11,0.04,0.11,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,27,26,2200,24.4,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.08,0.02,0.02,0.02,0.04,0.61,2.99,0.16,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,7,7,533,5.9,0.00,0.34,0.34,0.00,0.00,0.00,0.51,0.00,0.08,0.08,0.08,0.17,1.53,7.97,1.19,0.00,0.34,0.34,0.00,0.34,0.08,0.09,0.17,0.08,0.17,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,30,19,1468,16.3,0.06,0.06,0.12,0.06,0.00,0.00,0.12,0.00,0.07,0.07,0.07,0.14,0.43,6.07,1.23,0.06,0.06,0.12,0.06,0.12,0.07,0.08,0.14,0.07,0.14,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,9,3,299,3.3,0.30,0.00,0.30,0.30,0.00,0.00,0.61,0.00,0.27,0.27,0.00,0.27,2.73,2.73,6.67,0.30,0.00,0.30,0.30,0.30,0.26,0.00,0.26,0.26,0.26,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,22,11,952,10.6,0.28,0.19,0.47,0.28,0.00,0.00,0.09,0.00,0.27,0.27,0.09,0.37,0.66,1.79,4.62,0.28,0.19,0.47,0.28,0.47,0.28,0.09,0.37,0.28,0.37,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,29,22,1984,22.0,0.14,0.05,0.18,0.14,0.00,0.00,0.05,0.00,0.13,0.13,0.10,0.23,3.18,3.05,7.05,0.14,0.05,0.18,0.14,0.18,0.13,0.10,0.23,0.13,0.23,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,13,4,479,5.3,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.11,0.11,2.45,4.53,5.85,0.00,0.19,0.19,0.00,0.19,0.01,0.11,0.11,0.01,0.11,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,22,6,786,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.11,0.01,0.01,0.05,0.06,2.41,4.14,7.13,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.06,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,28,14,1350,15.0,0.27,0.00,0.27,0.27,0.00,0.00,0.20,0.00,0.42,0.42,0.05,0.47,1.67,1.33,8.33,0.27,0.00,0.27,0.27,0.27,0.42,0.05,0.47,0.42,0.47,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,2,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,17,5,564,6.3,0.00,0.32,0.32,0.00,0.00,0.00,0.16,0.00,0.17,0.17,0.11,0.29,2.86,2.86,9.52,0.00,0.32,0.32,0.00,0.32,0.18,0.11,0.28,0.18,0.28,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,20,16,1409,15.7,0.57,0.13,0.70,0.57,0.00,0.00,0.13,0.00,0.65,0.65,0.08,0.73,0.51,1.40,4.14,0.57,0.13,0.70,0.57,0.70,0.65,0.08,0.74,0.65,0.74,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,28,5,749,8.3,0.24,0.00,0.24,0.24,0.00,0.00,0.24,0.00,0.52,0.52,0.08,0.60,1.08,1.33,5.90,0.24,0.00,0.24,0.24,0.24,0.52,0.08,0.60,0.52,0.60,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,1,0,79,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,32,31,2740,30.4,0.07,0.10,0.16,0.07,0.00,0.00,0.20,0.03,0.07,0.07,0.05,0.13,0.43,3.42,0.46,0.07,0.10,0.16,0.07,0.16,0.07,0.05,0.12,0.07,0.12,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,16,9,851,9.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.42,3.26,0.21,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,30,29,2569,28.5,0.32,0.25,0.56,0.28,0.04,0.04,0.04,0.00,0.22,0.19,0.17,0.36,2.70,7.82,4.81,0.32,0.25,0.56,0.28,0.53,0.22,0.17,0.40,0.19,0.36,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,31,30,2533,28.1,0.11,0.21,0.32,0.11,0.00,0.00,0.18,0.00,0.22,0.22,0.19,0.40,3.31,8.58,7.30,0.11,0.21,0.32,0.11,0.32,0.22,0.18,0.40,0.22,0.40,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,21,14,1248,13.9,0.00,0.07,0.07,0.00,0.00,0.00,0.22,0.07,0.01,0.01,0.18,0.19,1.87,5.54,3.38,0.00,0.07,0.07,0.00,0.07,0.01,0.18,0.19,0.01,0.19,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,26,19,1861,20.7,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.08,0.08,0.01,0.09,0.63,2.51,0.68,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,26,17,1625,18.1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.02,0.04,0.06,0.11,1.66,0.28,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
