0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0.00,0.50,0.00,0.0,0.49,0.00,0.00,,8.0,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,0.00,1.77,0.48,27.3,1.77,0.48,0.00,0.00,17.3,0.00,0.00,0.00,0.16,0.16,0.10,-0.16,-0.16,Matches
20,Ayo Akinola,ca CAN,"FW,MF",SJ Earthquakes,23,2000,0.6,0.00,1.67,0.00,0.0,1.64,0.00,0.00,,17.5,0.00,0.00,0.00,0.17,0.17,0.07,-0.17,-0.17,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,0.20,0.20,0.20,100.0,0.21,0.21,1.00,1.00,12.5,0.00,0.00,0.00,0.12,0.12,0.58,0.08,0.08,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,0.00,0.24,0.00,0.0,0.24,0.00,0.00,,11.9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
25,Noah Allen,gr GRE,DF,Inter Miami,18,2004,13.9,0.07,0.65,0.29,44.4,0.65,0.29,0.11,0.25,21.4,0.07,0.00,0.00,0.06,0.06,0.09,0.01,0.01,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,0.25,1.07,0.66,61.5,1.07,0.66,0.23,0.38,15.5,0.00,0.00,0.00,0.14,0.14,0.13,0.11,0.11,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,0.36,3.50,1.35,38.7,3.50,1.35,0.08,0.22,23.5,0.63,0.07,0.10,0.31,0.24,0.07,0.05,0.06,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,0.00,1.82,0.00,0.0,1.86,0.00,0.00,,19.3,0.00,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,2.3,0.43,1.74,0.87,50.0,1.77,0.89,0.25,0.50,9.0,0.00,0.00,0.00,0.52,0.52,0.30,-0.09,-0.09,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,0.00,1.90,0.48,25.0,1.91,0.48,0.00,0.00,17.6,0.00,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,0.00,0.36,0.00,0.0,0.35,0.00,0.00,,6.8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,0.24,2.44,0.73,30.0,2.43,0.73,0.00,0.00,16.4,0.00,0.24,0.24,0.39,0.21,0.08,-0.15,-0.21,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,0.23,1.78,0.42,23.7,1.78,0.42,0.13,0.56,22.2,0.00,0.00,0.00,0.09,0.09,0.05,0.14,0.14,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,0.14,0.57,0.14,25.0,0.57,0.14,0.25,1.00,12.5,0.00,0.00,0.00,0.06,0.06,0.10,0.09,0.09,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,0.00,0.33,0.00,0.0,0.33,0.00,0.00,,20.9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,0.15,1.08,0.20,18.2,1.09,0.20,0.14,0.75,30.9,0.00,0.00,0.00,0.04,0.04,0.04,0.11,0.11,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,27.6,0.18,1.63,0.54,33.3,1.63,0.54,0.11,0.33,16.6,0.00,0.00,0.00,0.18,0.18,0.11,0.00,0.00,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,0.00,0.92,0.00,0.0,0.92,0.00,0.00,,23.7,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,0.50,4.00,2.00,50.0,4.00,2.00,0.13,0.25,13.1,0.00,0.00,0.00,0.60,0.60,0.15,-0.10,-0.10,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,5.3,0.00,0.38,0.19,50.0,0.37,0.19,0.00,0.00,17.6,0.00,0.00,0.00,0.04,0.04,0.10,-0.04,-0.04,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,2.8,0.36,1.43,0.71,50.0,1.42,0.71,0.25,0.50,11.7,0.00,0.00,0.00,0.14,0.14,0.10,0.21,0.21,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,0.00,0.16,0.16,100.0,0.16,0.16,0.00,0.00,31.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,0.71,3.10,1.67,53.8,3.09,1.66,0.23,0.43,14.5,0.12,0.00,0.00,0.36,0.36,0.11,0.36,0.36,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,0.03,0.69,0.20,28.6,0.69,0.20,0.05,0.17,18.2,0.00,0.00,0.00,0.05,0.05,0.07,-0.01,-0.01,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,0.21,2.84,0.85,30.0,2.84,0.85,0.08,0.25,22.1,0.00,0.00,0.07,0.22,0.16,0.06,-0.01,0.05,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,0.00,0.53,0.00,0.0,0.52,0.00,0.00,,9.2,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,4.6,0.43,2.39,0.65,27.3,2.39,0.65,0.18,0.67,19.7,0.00,0.00,0.00,0.20,0.20,0.08,0.24,0.24,Matches
48,Max Arfsten,us USA,"DF,MF",Columbus Crew,21,2001,3.1,0.65,1.94,0.97,50.0,1.96,0.98,0.33,0.67,12.1,0.00,0.00,0.00,0.32,0.32,0.16,0.32,0.32,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,0.11,1.25,0.60,47.8,1.25,0.60,0.09,0.18,17.2,0.00,0.00,0.00,0.16,0.16,0.13,-0.05,-0.05,Matches
50,Xavier Arreaga,ec ECU,"DF,MF",Seattle Sounders,28,1994,3.9,0.00,1.28,0.00,0.0,1.27,0.00,0.00,,6.2,0.00,0.00,0.00,0.23,0.23,0.20,-0.23,-0.23,Matches
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,0.15,1.31,0.23,17.6,1.31,0.23,0.12,0.67,23.5,0.46,0.00,0.00,0.07,0.07,0.05,0.08,0.08,Matches
52,Paul Arriola,us USA,"FW,MF",FC Dallas,27,1995,18.4,0.11,1.52,0.49,32.1,1.52,0.49,0.07,0.22,14.5,0.00,0.00,0.00,0.20,0.20,0.13,-0.09,-0.09,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,0.05,0.65,0.20,30.8,0.65,0.20,0.08,0.25,24.7,0.00,0.00,0.00,0.04,0.04,0.05,0.02,0.02,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,0.07,0.63,0.17,26.3,0.63,0.17,0.11,0.40,24.1,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.03,Matches
55,Yamil Asad,ar ARG,"MF,FW",D.C. United,28,1994,5.8,0.00,1.90,0.69,36.4,1.89,0.69,0.00,0.00,22.6,0.17,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
56,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,30,1992,16.1,0.31,2.17,0.56,25.7,2.17,0.56,0.14,0.56,16.0,0.00,0.00,0.00,0.18,0.18,0.08,0.13,0.13,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,0.09,1.01,0.28,27.3,1.01,0.27,0.09,0.33,20.8,0.00,0.00,0.00,0.08,0.08,0.08,0.01,0.01,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,0.00,0.83,0.08,9.1,0.83,0.08,0.00,0.00,22.2,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,0.10,0.62,0.21,33.3,0.62,0.21,0.17,0.50,17.7,0.00,0.00,0.00,0.04,0.04,0.07,0.06,0.06,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,0.00,2.22,0.56,25.0,2.25,0.56,0.00,0.00,17.4,0.00,0.00,0.00,0.17,0.17,0.09,-0.17,-0.17,Matches
61,Edison Azcona,do DOM,"MF,DF",Inter Miami,19,2003,0.6,0.00,3.33,3.33,100.0,3.53,3.53,0.00,0.00,15.3,0.00,0.00,0.00,0.17,0.17,0.04,-0.17,-0.17,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,0.49,2.06,1.18,57.1,2.06,1.18,0.24,0.42,12.9,0.00,0.00,0.00,0.38,0.38,0.19,0.11,0.11,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,0.31,1.39,0.66,47.2,1.39,0.66,0.22,0.47,14.0,0.00,0.00,0.00,0.28,0.28,0.22,0.03,0.03,Matches
64,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,17,2005,5.5,0.00,2.73,0.91,33.3,2.73,0.91,0.00,0.00,14.5,0.00,0.00,0.00,0.33,0.33,0.12,-0.33,-0.33,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,0.00,0.13,0.00,0.0,0.13,0.00,0.00,,25.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
66,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,17,2005,7.1,0.00,0.42,0.14,33.3,0.42,0.14,0.00,0.00,16.7,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,0.36,3.21,0.95,29.6,3.22,0.95,0.11,0.38,14.7,0.00,0.00,0.12,0.69,0.62,0.19,-0.33,-0.26,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
69,Tai Baribo,il ISR,"FW,MF",Philadelphia Union,25,1998,1.7,0.00,1.18,0.59,50.0,1.18,0.59,0.00,0.00,12.6,0.00,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,0.15,1.56,0.73,46.9,1.56,0.73,0.09,0.20,12.1,0.00,0.00,0.00,0.34,0.34,0.22,-0.19,-0.19,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,31.3,0.16,1.85,0.42,22.4,1.86,0.42,0.09,0.38,21.7,0.22,0.00,0.00,0.10,0.10,0.05,0.06,0.06,Matches
73,Michael Barrios,co COL,"FW,MF",Colorado Rapids,31,1991,9.3,0.22,1.94,0.97,50.0,1.93,0.97,0.11,0.22,16.3,0.00,0.00,0.00,0.29,0.29,0.15,-0.08,-0.08,Matches
74,Michael Barrios,co COL,"FW,MF",LA Galaxy,31,1991,1.3,0.77,3.85,2.31,60.0,3.95,2.37,0.20,0.33,13.6,0.00,0.00,0.00,0.46,0.46,0.11,0.31,0.31,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,11.9,0.00,0.50,0.17,33.3,0.51,0.17,0.00,0.00,7.2,0.00,0.00,0.00,0.07,0.07,0.13,-0.07,-0.07,Matches
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,22.1,0.00,0.50,0.09,18.2,0.50,0.09,0.00,0.00,13.6,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
77,Cole Bassett,us USA,"MF,FW",Colorado Rapids,21,2001,21.1,0.28,1.85,0.66,35.9,1.85,0.66,0.15,0.43,16.5,0.09,0.00,0.00,0.18,0.18,0.10,0.10,0.10,Matches
78,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,25,1997,22.2,0.45,1.58,0.50,31.4,1.58,0.50,0.11,0.36,22.5,0.05,0.27,0.27,0.41,0.20,0.13,0.04,-0.02,Matches
79,Jesús Batiz,hn HON,"MF,FW",Toronto FC,23,1999,0.7,0.00,1.43,0.00,0.0,1.41,0.00,0.00,,17.5,0.00,0.00,0.00,0.14,0.14,0.07,-0.14,-0.14,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,5.8,0.00,0.34,0.00,0.0,0.35,0.00,0.00,,9.0,0.00,0.00,0.00,0.05,0.05,0.14,-0.05,-0.05,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,15.6,0.00,0.51,0.06,12.5,0.51,0.06,0.00,0.00,10.3,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
83,Simon Becher,us USA,"FW,MF",Vancouver W'caps,23,1999,6.8,0.59,2.50,1.03,41.2,2.50,1.03,0.24,0.57,11.4,0.00,0.00,0.00,0.35,0.35,0.14,0.24,0.24,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,22.3,0.00,1.26,0.49,39.3,1.26,0.49,0.00,0.00,12.0,0.00,0.00,0.00,0.10,0.10,0.08,-0.10,-0.10,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,6.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,1.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
89,Ben Bender,us USA,"MF,FW",Charlotte,21,2001,10.1,0.30,1.68,0.50,29.4,1.69,0.50,0.18,0.60,17.6,0.00,0.00,0.00,0.15,0.15,0.09,0.15,0.15,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31.0,0.45,3.42,1.19,34.9,3.42,1.19,0.12,0.35,11.9,0.00,0.03,0.03,0.53,0.50,0.15,-0.07,-0.08,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,14.4,0.14,1.11,0.42,37.5,1.11,0.42,0.13,0.33,25.2,0.14,0.00,0.00,0.06,0.06,0.06,0.08,0.08,Matches
93,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,28,1994,28.9,0.17,2.73,1.07,39.2,2.73,1.07,0.05,0.13,22.1,0.48,0.03,0.03,0.17,0.15,0.05,0.00,-0.01,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,11.5,0.09,0.78,0.26,33.3,0.78,0.26,0.11,0.33,15.9,0.00,0.00,0.00,0.05,0.05,0.06,0.03,0.03,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,0.3,0.00,3.33,0.00,0.0,3.91,0.00,0.00,,14.6,0.00,0.00,0.00,0.33,0.33,0.06,-0.33,-0.33,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,17.9,0.06,0.84,0.22,26.7,0.84,0.22,0.07,0.25,9.6,0.00,0.00,0.00,0.06,0.06,0.08,-0.01,-0.01,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,14.9,0.20,1.95,0.81,41.4,1.94,0.80,0.10,0.25,15.0,0.00,0.00,0.00,0.23,0.23,0.12,-0.03,-0.03,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,28.0,0.07,0.57,0.14,25.0,0.57,0.14,0.13,0.50,9.8,0.00,0.00,0.00,0.05,0.05,0.09,0.02,0.02,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
101,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,34,1988,4.9,0.20,1.22,0.20,16.7,1.23,0.21,0.17,1.00,14.9,0.00,0.00,0.00,0.14,0.14,0.12,0.06,0.06,Matches
102,Latif Blessing,gh GHA,"FW,MF",Toronto FC,26,1996,1.7,0.00,0.59,0.00,0.0,0.58,0.00,0.00,,10.1,0.00,0.00,0.00,0.18,0.18,0.27,-0.18,-0.18,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,11.5,0.00,0.43,0.17,40.0,0.44,0.17,0.00,0.00,22.4,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,21.3,0.05,0.61,0.14,23.1,0.61,0.14,0.08,0.33,26.1,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.03,Matches
105,Emmanuel Boateng,gh GHA,"FW,MF",NE Revolution,29,1994,16.0,0.13,1.06,0.38,35.3,1.06,0.38,0.12,0.33,16.6,0.00,0.00,0.00,0.21,0.21,0.22,-0.08,-0.08,Matches
106,Israel Boatwright,do DOM,"MF,DF",Inter Miami,17,2005,0.8,0.00,1.25,1.25,100.0,1.18,1.18,0.00,0.00,21.1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
107,Mateusz Bogusz,pl POL,"MF,FW",LAFC,21,2001,19.3,0.16,3.01,1.24,41.4,3.00,1.24,0.03,0.08,22.2,0.36,0.05,0.05,0.20,0.16,0.05,-0.05,-0.06,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,16.2,0.43,3.21,1.23,38.5,3.21,1.24,0.13,0.35,15.3,0.00,0.00,0.00,0.41,0.41,0.13,0.02,0.02,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,0.3,0.00,3.33,0.00,0.0,3.33,0.00,0.00,,26.9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,8.3,0.00,0.96,0.24,25.0,0.96,0.24,0.00,0.00,12.5,0.00,0.00,0.00,0.17,0.17,0.18,-0.17,-0.17,Matches
111,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
112,Pablo Bonilla,ve VEN,DF,Portland Timbers,23,1999,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
113,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
114,Shanyder Borgelin,ht HAI,FW,Inter Miami,21,2001,1.6,0.63,5.63,2.50,44.4,5.63,2.50,0.11,0.25,11.8,0.00,0.00,0.00,0.81,0.81,0.18,-0.19,-0.19,Matches
115,Dylan Borrero,co COL,"FW,MF",NE Revolution,21,2002,5.7,0.35,2.81,1.23,43.8,2.82,1.24,0.13,0.29,18.5,0.00,0.00,0.00,0.18,0.18,0.06,0.18,0.18,Matches
116,Gustavo Bou,ar ARG,"FW,MF",NE Revolution,32,1990,14.0,0.50,3.86,1.36,35.2,3.85,1.35,0.11,0.32,19.4,0.21,0.07,0.07,0.34,0.29,0.07,0.16,0.14,Matches
117,Denis Bouanga,ga GAB,FW,LAFC,28,1994,28.1,0.71,4.77,1.81,38.1,4.77,1.81,0.13,0.33,18.6,0.39,0.11,0.11,0.51,0.43,0.09,0.20,0.18,Matches
118,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,22,2000,1.7,0.59,4.71,0.59,12.5,4.80,0.60,0.13,1.00,8.8,0.00,0.00,0.00,0.53,0.53,0.11,0.06,0.06,Matches
119,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,1996,6.7,0.75,4.18,2.09,50.0,4.16,2.08,0.18,0.36,14.1,0.00,0.00,0.00,0.82,0.82,0.20,-0.07,-0.07,Matches
120,Michael Boxall,nz NZL,DF,Minnesota Utd,34,1988,31.7,0.06,0.41,0.09,23.1,0.41,0.09,0.15,0.67,12.6,0.00,0.00,0.00,0.05,0.05,0.13,0.01,0.01,Matches
