0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
11,Roman Celentano,us USA,GK,FC Cincinnati,22,2000,33.0,1.12,0.15,0.00,0.06,0.06,1.07,0.26,0.01,+0.01,4.18,11.1,37.8,16.9,4.15,41.9,35.8,7.88,50.4,38.8,13.5,0.64,4.7,0.61,0.61,12.1,Matches
12,Steve Clark,us USA,GK,Houston Dynamo,36,1986,33.0,1.15,0.18,0.00,0.09,0.03,1.15,0.29,0.02,+0.03,3.39,8.91,38.1,26.6,5.48,23.6,28.4,6.73,39.2,35.5,15.0,0.73,4.8,0.82,0.82,13.1,Matches
13,Stefan Cleveland,us USA,GK,Seattle Sounders,28,1994,2.0,2.00,0.50,0.00,0.50,0.00,1.80,0.32,-0.20,-0.22,1.50,3.50,42.9,14.0,4.00,17.9,26.5,9.00,11.1,30.2,14.5,0.50,3.4,0.00,0.00,3.8,Matches
14,Carlos Coronel,py PAR,GK,NY Red Bulls,26,1996,34.0,1.15,0.18,0.00,0.18,0.06,1.09,0.34,0.00,0.00,5.82,19.5,29.9,23.8,3.06,59.8,43.1,5.91,89.1,61.2,9.68,0.29,3.0,2.12,2.12,20.7,Matches
15,Maxime Crépeau,ca CAN,GK,LAFC,28,1994,7.0,1.00,0.00,0.00,0.00,0.14,0.93,0.32,0.07,+0.07,3.00,8.71,34.4,24.6,5.29,27.3,29.9,6.43,31.1,33.4,13.4,1.29,9.6,0.57,0.57,12.4,Matches
16,Daniel,br BRA,GK,SJ Earthquakes,28,1994,21.6,1.30,0.14,0.05,0.19,0.00,1.63,0.29,0.34,+0.34,3.33,8.43,39.6,15.7,3.94,33.9,33.0,8.70,35.6,31.9,15.0,0.56,3.7,0.69,0.69,13.0,Matches
17,Clément Diop,sn SEN,GK,Atlanta Utd,29,1993,1.5,2.67,0.00,0.00,0.67,0.00,2.33,0.52,-0.33,-0.34,6.00,7.33,81.8,24.7,3.33,27.0,30.4,6.00,11.1,23.8,18.7,0.00,0.0,1.33,1.33,21.0,Matches
18,C.J. dos Santos,us USA,GK,Inter Miami,22,2000,1.0,1.00,0.00,0.00,0.00,0.00,1.90,0.48,0.90,+0.92,3.00,17.0,17.6,53.0,8.00,26.4,30.4,5.00,60.0,46.2,9.00,2.00,22.2,6.00,6.00,23.2,Matches
19,Earl Edwards Jr.,us USA,GK,NE Revolution,31,1992,10.0,1.50,0.00,0.00,0.30,0.00,1.24,0.28,-0.26,-0.26,6.10,15.5,39.4,24.3,5.70,39.5,35.3,10.0,59.0,45.5,14.2,0.60,4.2,0.50,0.50,12.4,Matches
20,Matt Freese,us USA,GK,NYCFC,24,1998,10.0,0.80,0.20,0.10,0.10,0.00,0.94,0.20,0.14,+0.14,3.90,12.6,31.0,30.7,6.00,28.0,31.4,8.10,49.4,39.7,12.7,0.30,2.4,0.40,0.40,14.6,Matches
21,Stefan Frei,ch SUI,GK,Seattle Sounders,36,1986,32.0,0.88,0.00,0.00,0.13,0.06,0.91,0.29,0.10,+0.10,4.13,12.0,34.3,19.6,3.16,44.2,36.8,7.13,47.4,40.7,13.6,0.78,5.7,0.69,0.69,13.1,Matches
22,Pedro Gallese,pe PER,GK,Orlando City,32,1990,30.0,1.10,0.07,0.00,0.10,0.03,1.11,0.28,0.05,+0.05,3.50,10.1,34.5,20.9,3.23,36.0,32.6,7.73,33.6,29.4,12.2,0.80,6.6,1.23,1.23,15.7,Matches
23,Luka Gavran,ca CAN,GK,Toronto FC,22,2000,4.0,3.00,0.50,0.00,0.00,0.00,3.17,0.31,0.17,+0.18,4.25,17.3,24.6,26.0,5.50,45.2,37.5,10.0,55.0,45.7,16.5,1.25,7.6,0.75,0.75,12.3,Matches
24,Brad Guzan,us USA,GK,Atlanta Utd,38,1984,27.0,1.44,0.04,0.00,0.04,0.00,1.27,0.33,-0.18,-0.18,5.52,12.2,45.2,27.7,4.00,31.6,32.5,8.00,43.5,36.2,13.9,0.81,5.9,1.04,1.04,14.3,Matches
25,Thomas Hasal,ca CAN,GK,Vancouver W'caps,23,1999,1.0,3.00,0.00,1.00,0.00,1.00,3.20,0.49,1.20,+1.16,5.00,13.0,38.5,33.0,8.00,21.2,27.1,9.00,66.7,48.8,19.0,0.00,0.0,0.00,0.00,13.0,Matches
26,Marko Ilić,rs SRB,GK,Colorado Rapids,24,1998,13.0,2.15,0.08,0.15,0.38,0.00,1.77,0.33,-0.38,-0.38,4.38,11.8,37.3,20.0,3.23,27.7,30.7,9.00,69.2,45.4,17.8,0.31,1.7,0.85,0.85,13.3,Matches
27,Clint Irwin,us USA,GK,Minnesota Utd,33,1989,4.0,2.00,0.25,0.00,0.00,0.00,2.13,0.35,0.13,+0.11,5.00,11.3,44.4,19.3,5.00,37.7,33.5,10.8,37.2,33.8,17.8,1.00,5.6,1.00,1.00,11.4,Matches
28,Aljaž Ivačič,si SVN,GK,Portland Timbers,29,1993,15.0,1.93,0.07,0.07,0.13,0.20,1.51,0.27,-0.23,-0.23,6.13,20.4,30.1,21.7,2.53,63.8,45.4,9.27,70.5,52.6,16.9,0.27,1.6,1.00,1.00,14.5,Matches
29,Jacob Jackson,us USA,GK,NE Revolution,22,2000,2.0,2.00,0.00,0.00,0.00,0.00,1.95,0.30,-0.05,-0.07,2.50,8.00,31.3,22.5,6.00,26.7,32.9,9.00,22.2,31.3,13.0,0.50,3.8,1.00,1.00,17.3,Matches
30,Eldin Jakupović,ch SUI,GK,LAFC,38,1984,2.0,0.50,0.00,0.00,0.00,0.00,0.25,0.06,-0.25,-0.27,3.00,8.50,35.3,17.0,3.00,35.3,34.7,4.00,62.5,48.6,10.0,1.00,10.0,0.00,0.00,11.5,Matches
31,Sean Johnson,us USA,GK,Toronto FC,33,1989,20.0,1.20,0.00,0.00,0.15,0.05,1.01,0.27,-0.14,-0.14,3.20,11.1,28.8,24.4,4.55,30.9,32.3,8.20,43.3,38.1,15.1,0.75,5.0,0.50,0.50,11.6,Matches
32,Kristijan Kahlina,hr CRO,GK,Charlotte,30,1992,24.0,1.38,0.21,0.08,0.13,0.04,1.52,0.30,0.19,+0.19,5.38,15.8,34.1,34.2,3.71,38.4,35.3,6.63,39.6,36.3,12.0,0.63,5.2,1.67,1.67,16.2,Matches
33,Alec Kann,us USA,GK,FC Cincinnati,32,1990,1.0,2.00,0.00,0.00,0.00,0.00,0.70,0.14,-1.30,-1.30,1.00,2.00,50.0,21.0,8.00,9.5,25.9,9.00,0.0,21.7,12.0,0.00,0.0,2.00,2.00,22.7,Matches
34,Jonathan Klinsmann,us USA,GK,LA Galaxy,25,1997,9.2,1.63,0.22,0.11,0.33,0.00,1.50,0.33,-0.13,-0.13,2.50,7.61,32.9,20.1,5.22,28.6,30.6,5.98,30.9,31.5,11.2,0.98,8.7,0.76,0.76,11.7,Matches
35,Benjamin Lundt,de GER,GK,St. Louis,27,1995,1.0,3.00,0.00,0.00,0.00,0.00,1.60,0.22,-1.40,-1.45,1.00,5.00,20.0,18.0,7.00,22.2,28.1,10.0,10.0,23.6,22.0,1.00,4.5,1.00,1.00,13.5,Matches
36,Zac MacMath,us USA,GK,Real Salt Lake,31,1991,27.5,1.31,0.07,0.07,0.15,0.04,1.27,0.27,-0.00,0.00,4.91,13.9,35.2,27.6,4.44,34.7,34.3,7.49,57.8,44.4,12.1,0.73,6.0,2.25,2.25,17.7,Matches
37,J.T. Marcinkowski,us USA,GK,SJ Earthquakes,25,1997,12.4,1.21,0.16,0.00,0.16,0.00,1.32,0.30,0.11,+0.11,4.11,11.5,35.7,19.4,4.27,41.3,36.1,8.06,44.0,36.9,14.0,0.97,6.9,0.16,0.16,8.5,Matches
38,George Marks,us USA,GK,Charlotte,23,1999,7.0,1.71,0.14,0.00,0.29,0.00,1.71,0.27,0.00,0.00,5.14,12.6,40.9,29.0,3.57,32.0,32.9,7.57,43.4,40.1,11.4,0.43,3.8,0.14,0.14,11.3,Matches
39,Jimmy Maurer,us USA,GK,FC Dallas,34,1988,4.8,1.67,0.00,0.00,0.21,0.00,1.21,0.28,-0.46,-0.45,4.38,12.9,33.9,28.5,3.54,28.5,30.4,6.46,74.2,48.8,15.8,0.21,1.3,2.29,2.28,22.6,Matches
40,John McCarthy,us USA,GK,LAFC,30,1992,25.0,1.24,0.12,0.00,0.16,0.00,1.30,0.30,0.06,+0.06,3.92,11.2,35.0,19.7,4.60,40.0,35.0,7.00,47.4,38.3,12.8,0.60,4.7,0.92,0.92,15.2,Matches
41,Kendall McIntosh,us USA,GK,Sporting KC,29,1994,13.2,1.52,0.15,0.00,0.15,0.00,1.27,0.26,-0.25,-0.25,2.20,8.71,25.2,24.0,3.71,24.3,29.9,6.21,46.3,41.8,9.47,0.38,4.0,0.30,0.30,11.0,Matches
42,Tim Melia,us USA,GK,Sporting KC,36,1986,15.8,1.52,0.19,0.00,0.13,0.00,1.74,0.34,0.22,+0.22,3.67,12.2,30.1,23.9,3.61,34.9,34.6,6.90,56.0,44.9,10.5,0.25,2.4,0.89,0.89,14.0,Matches
43,Novak Mićović,rs SRB,GK,LA Galaxy,21,2001,2.0,3.00,0.00,0.00,0.00,0.00,2.00,0.33,-1.00,-1.01,2.50,6.00,41.7,26.0,6.50,21.2,26.0,2.00,25.0,24.5,14.5,0.50,3.4,1.00,1.00,16.4,Matches
44,Tyler Miller,us USA,GK,D.C. United,29,1993,24.5,1.55,0.12,0.08,0.12,0.04,1.38,0.32,-0.13,-0.14,9.55,21.2,45.0,42.0,4.04,39.9,34.7,7.14,62.3,47.6,12.9,1.02,7.9,4.33,4.33,23.7,Matches
45,Maarten Paes,id IDN,GK,FC Dallas,24,1998,29.1,1.00,0.03,0.00,0.10,0.14,1.02,0.24,0.16,+0.16,4.36,13.4,32.6,27.1,3.95,35.0,33.3,7.32,53.1,40.7,14.0,0.41,2.9,1.20,1.20,15.9,Matches
46,Elliot Panicco,us USA,GK,Nashville SC,26,1996,2.0,0.50,0.00,0.00,0.00,0.00,0.85,0.19,0.35,+0.36,5.00,13.5,37.0,22.5,6.00,37.8,34.4,8.50,58.8,47.1,12.5,0.50,4.0,0.50,0.50,10.0,Matches
47,James Pantemis,ca CAN,GK,CF Montréal,25,1997,1.9,2.63,0.00,0.00,0.53,0.00,2.53,0.40,-0.11,-0.11,2.11,6.32,33.3,23.7,4.74,22.2,25.4,10.0,10.5,22.3,12.1,0.00,0.0,1.05,1.05,11.4,Matches
48,Đorđe Petrović,rs SRB,GK,NE Revolution,23,1999,22.0,1.23,0.14,0.00,0.09,0.05,1.45,0.23,0.27,+0.27,4.05,13.4,30.3,23.2,5.32,36.4,35.4,8.73,56.3,45.5,14.5,1.00,6.9,0.64,0.64,12.8,Matches
49,John Pulskamp,us USA,GK,Sporting KC,21,2001,5.0,1.40,0.00,0.00,0.00,0.00,1.40,0.35,0.00,-0.01,3.40,8.60,39.5,18.4,4.20,28.3,31.5,6.00,56.7,40.5,10.8,0.40,3.7,1.40,1.40,16.9,Matches
50,Greg Ranjitsingh,tt TRI,GK,Toronto FC,29,1993,4.0,2.50,0.00,0.00,0.50,0.00,1.77,0.31,-0.72,-0.74,6.75,17.3,39.1,29.5,6.75,38.1,33.5,8.50,70.6,49.6,11.5,0.75,6.5,4.00,4.00,19.3,Matches
51,Spencer Richey,us USA,GK,Chicago Fire,30,1992,4.7,1.49,0.21,0.00,0.21,0.00,1.00,0.22,-0.49,-0.49,3.40,7.87,43.2,16.4,2.55,31.2,31.2,8.09,34.2,33.6,12.3,0.85,6.9,2.77,2.78,20.0,Matches
52,Abraham Rodriguez,us USA,GK,Colorado Rapids,20,2002,1.0,1.00,0.00,0.00,0.00,0.00,1.40,0.27,0.40,+0.37,3.00,7.00,42.9,24.0,7.00,20.8,26.8,4.00,50.0,40.8,10.0,1.00,10.0,1.00,1.00,10.3,Matches
53,Tomas Romero,sv SLV,GK,Toronto FC,22,2000,6.0,2.17,0.17,0.00,0.17,0.17,2.13,0.34,0.13,+0.13,4.83,10.8,44.6,21.8,5.50,32.8,32.9,9.33,39.3,33.3,15.7,0.83,5.3,1.33,1.33,14.9,Matches
54,Eloy Room,cw CUW,GK,Columbus Crew,33,1989,3.0,1.00,0.00,0.00,0.00,0.00,0.63,0.19,-0.37,-0.37,2.33,6.33,36.8,24.3,3.33,19.2,29.5,7.00,23.8,26.1,10.7,0.33,3.1,2.33,2.33,19.2,Matches
55,Patrick Schulte,us USA,GK,Columbus Crew,21,2001,31.0,1.39,0.10,0.00,0.23,0.03,1.33,0.30,-0.02,-0.02,2.16,7.81,27.7,30.7,5.84,19.5,27.1,5.71,32.2,31.9,9.97,0.39,3.9,1.58,1.58,19.2,Matches
56,Jonathan Sirois,ca CAN,GK,CF Montréal,21,2001,32.1,1.46,0.09,0.00,0.09,0.09,1.36,0.29,-0.01,-0.01,4.17,11.8,35.3,27.0,5.67,30.5,31.4,7.66,46.7,37.1,11.7,0.44,3.7,1.65,1.65,17.7,Matches
57,Pablo Sisniega,mx MEX,GK,Charlotte,27,1995,3.0,2.33,0.33,0.00,0.00,0.33,1.37,0.21,-0.63,-0.63,2.67,8.67,30.8,18.7,3.67,35.7,34.5,4.33,46.2,38.6,10.3,0.33,3.2,0.33,0.33,11.6,Matches
58,Dayne St. Clair,ca CAN,GK,Minnesota Utd,25,1997,30.0,1.43,0.00,0.00,0.27,0.03,1.32,0.30,-0.08,-0.08,3.37,9.93,33.9,21.6,3.97,28.5,30.6,9.23,40.8,37.0,15.0,0.23,1.6,0.77,0.77,15.5,Matches
59,Mason Stajduhar,us USA,GK,Orlando City,25,1997,4.0,1.50,0.00,0.00,0.00,0.00,1.40,0.31,-0.10,-0.09,4.75,12.8,37.3,19.3,6.50,49.4,38.6,9.25,35.1,32.3,17.5,1.75,10.0,1.25,1.25,10.8,Matches
60,Brad Stuver,us USA,GK,Austin,31,1991,34.0,1.62,0.09,0.00,0.26,0.03,1.64,0.30,0.06,+0.06,4.06,12.9,31.4,32.3,4.88,25.9,30.0,8.76,52.3,42.5,15.3,0.94,6.1,0.94,0.94,13.6,Matches
61,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,26,1996,33.0,1.36,0.00,0.06,0.21,0.00,1.39,0.33,0.02,+0.02,3.85,11.8,32.6,22.6,3.00,35.7,34.5,7.09,52.6,47.0,13.6,0.79,5.8,0.61,0.61,11.6,Matches
62,Andrew Tarbell,us USA,GK,Houston Dynamo,29,1993,1.0,0.00,0.00,0.00,0.00,0.00,0.40,0.11,0.40,+0.44,1.00,1.00,100.0,19.0,5.00,5.3,21.8,5.00,0.0,17.0,18.0,2.00,11.1,0.00,0.00,7.8,Matches
63,Quentin Westberg,us USA,GK,Atlanta Utd,36,1986,5.5,1.82,0.36,0.00,0.00,0.18,1.45,0.32,-0.18,-0.18,2.36,5.45,43.3,32.2,3.45,13.6,26.1,4.55,24.0,29.5,10.5,0.18,1.7,1.82,1.82,18.2,Matches
64,Joe Willis,us USA,GK,Nashville SC,34,1988,32.0,0.97,0.16,0.00,0.13,0.03,1.06,0.23,0.12,+0.12,5.81,15.2,38.4,22.0,4.44,47.5,37.2,8.03,58.8,42.9,13.2,1.38,10.4,0.59,0.59,13.5,Matches
65,William Yarbrough,us USA,GK,Colorado Rapids,33,1989,20.0,1.25,0.05,0.05,0.15,0.00,1.28,0.28,0.03,+0.03,3.50,11.3,31.1,23.6,4.80,33.3,32.2,9.05,37.6,34.9,13.1,0.60,4.6,1.75,1.75,17.1,Matches
