0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG/ShotNon-Penalty Expected Goals per shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum .395 shots per squad game to qualify as a leader","Goals - xGGoals minus Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Non-Penalty Goals - npxGNon-Penalty Goals minus Non-Penalty Expected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",25_Matches
17,Ali Ahmed,ca CAN,"MF,DF",Vancouver W'caps,23,2000,15.0,0.07,1.07,0.27,25.0,1.07,0.27,0.06,0.25,16.9,0.07,0.00,0.00,0.07,0.07,0.06,0.00,0.00,Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,0.00,2.38,0.71,30.0,2.37,0.71,0.00,0.00,12.9,0.00,0.00,0.00,0.33,0.33,0.14,-0.33,-0.33,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,0.00,0.56,0.11,20.0,0.56,0.11,0.00,0.00,20.5,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,1.0,0.00,2.00,0.00,0.0,2.07,0.00,0.00,,9.8,0.00,0.00,0.00,0.30,0.30,0.17,-0.30,-0.30,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,0.16,0.73,0.28,38.9,0.73,0.28,0.22,0.57,20.3,0.00,0.00,0.00,0.08,0.08,0.12,0.08,0.08,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,10.3,0.00,0.10,0.00,0.0,0.10,0.00,0.00,,10.9,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,9.3,0.22,1.40,0.22,15.4,1.40,0.22,0.15,1.00,19.5,0.00,0.00,0.00,0.10,0.10,0.07,0.12,0.12,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,15.5,0.39,3.35,1.16,34.6,3.36,1.16,0.08,0.22,22.3,0.45,0.13,0.13,0.37,0.26,0.08,0.02,-0.01,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,0.04,0.17,0.04,25.0,0.17,0.04,0.25,1.00,13.2,0.00,0.00,0.00,0.01,0.01,0.09,0.03,0.03,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,0.00,0.89,0.11,12.5,0.89,0.11,0.00,0.00,26.9,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,0.06,1.17,0.50,42.9,1.18,0.50,0.05,0.11,26.6,0.00,0.00,0.00,0.05,0.05,0.04,0.01,0.01,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,0.04,0.12,0.04,33.3,0.12,0.04,0.33,1.00,20.0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,1.1,0.00,1.82,0.00,0.0,1.86,0.00,0.00,,8.6,0.00,0.00,0.00,0.27,0.27,0.15,-0.27,-0.27,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,4.3,0.00,0.00,0.00,0.02,0.02,0.11,-0.02,-0.02,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,0.00,1.24,0.35,28.6,1.24,0.35,0.00,0.00,29.7,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,0.6,1.67,6.67,1.67,25.0,7.06,1.76,0.25,1.00,13.5,0.00,0.00,0.00,2.33,2.33,0.35,-0.67,-0.67,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,30.7,0.16,1.04,0.29,28.1,1.04,0.29,0.16,0.56,15.4,0.00,0.00,0.00,0.16,0.16,0.15,0.00,0.00,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,4.8,0.21,2.71,1.46,53.8,2.70,1.45,0.08,0.14,18.0,0.00,0.00,0.00,0.25,0.25,0.10,-0.04,-0.04,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,0.00,0.42,0.00,0.0,0.41,0.00,0.00,,10.5,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,21.0,0.29,1.81,0.62,34.2,1.81,0.62,0.16,0.46,17.3,0.00,0.00,0.00,0.23,0.23,0.13,0.05,0.05,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,0.00,0.31,0.06,20.0,0.31,0.06,0.00,0.00,21.9,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,25.4,0.67,4.57,1.69,37.1,4.57,1.69,0.13,0.35,18.1,0.12,0.08,0.08,0.59,0.53,0.12,0.07,0.06,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,0.04,0.97,0.07,7.7,0.97,0.07,0.04,0.50,20.9,0.11,0.00,0.00,0.06,0.06,0.06,-0.02,-0.02,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,0.00,0.53,0.06,11.1,0.52,0.06,0.00,0.00,10.9,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,4.2,0.00,1.67,0.48,28.6,1.65,0.47,0.00,0.00,18.4,0.24,0.00,0.00,0.14,0.14,0.08,-0.14,-0.14,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,0.18,1.88,0.55,29.3,1.88,0.55,0.10,0.33,16.7,0.09,0.00,0.00,0.15,0.15,0.08,0.04,0.04,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,0.04,0.77,0.21,27.8,0.77,0.21,0.06,0.20,18.4,0.00,0.00,0.00,0.05,0.05,0.07,-0.01,-0.01,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,0.46,2.78,1.39,50.0,2.78,1.39,0.17,0.33,14.4,0.00,0.00,0.07,0.41,0.36,0.13,0.05,0.11,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,1.4,0.71,2.86,0.71,25.0,2.81,0.70,0.25,1.00,23.9,0.00,0.00,0.00,0.29,0.29,0.11,0.43,0.43,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,0.00,0.51,0.14,27.3,0.51,0.14,0.00,0.00,11.1,0.00,0.00,0.00,0.07,0.07,0.13,-0.07,-0.07,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,0.00,0.36,0.00,0.0,0.35,0.00,0.00,,9.7,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,9.8,0.31,1.63,0.41,25.0,1.64,0.41,0.19,0.75,18.1,0.41,0.00,0.00,0.08,0.08,0.05,0.22,0.22,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,27.3,0.18,1.72,0.73,42.6,1.72,0.73,0.06,0.15,18.8,0.00,0.07,0.07,0.17,0.11,0.07,0.01,-0.00,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,0.00,0.95,0.27,28.1,0.95,0.27,0.00,0.00,26.3,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,0.34,2.02,1.01,50.0,2.03,1.01,0.17,0.33,18.8,0.00,0.00,0.00,0.13,0.13,0.07,0.20,0.20,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,7.6,0.13,1.18,0.26,22.2,1.18,0.26,0.11,0.50,18.0,0.00,0.00,0.00,0.09,0.09,0.08,0.04,0.04,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,0.00,2.18,0.50,23.1,2.19,0.51,0.00,0.00,20.5,0.00,0.00,0.00,0.11,0.11,0.05,-0.11,-0.11,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,0.16,1.48,0.53,36.1,1.48,0.53,0.11,0.31,21.2,0.21,0.00,0.00,0.12,0.12,0.08,0.05,0.05,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,0.05,0.64,0.11,16.7,0.64,0.11,0.08,0.50,21.0,0.00,0.00,0.00,0.04,0.04,0.07,0.02,0.02,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,0.00,0.33,0.08,25.0,0.33,0.08,0.00,0.00,15.1,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,0.00,1.19,0.17,14.3,1.18,0.17,0.00,0.00,12.0,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,0.06,0.92,0.18,20.0,0.92,0.18,0.07,0.33,22.0,0.00,0.00,0.00,0.07,0.07,0.07,-0.01,-0.01,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,3.3,0.30,2.42,0.91,37.5,2.41,0.90,0.13,0.33,11.4,0.00,0.00,0.00,0.27,0.27,0.11,0.03,0.03,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,10.6,0.28,1.70,0.66,38.9,1.70,0.66,0.17,0.43,11.7,0.00,0.00,0.00,0.27,0.27,0.16,0.01,0.01,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,22.0,0.14,2.09,0.73,34.8,2.09,0.73,0.07,0.19,17.5,0.00,0.00,0.00,0.13,0.13,0.06,0.01,0.01,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,5.3,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,27.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,8.7,0.00,0.57,0.11,20.0,0.57,0.11,0.00,0.00,21.0,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,0.27,4.00,1.33,33.3,4.00,1.33,0.07,0.20,14.4,0.00,0.00,0.00,0.42,0.42,0.11,-0.15,-0.15,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,0.00,2.54,0.95,37.5,2.55,0.96,0.00,0.00,18.2,0.00,0.00,0.00,0.17,0.17,0.07,-0.17,-0.17,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,0.57,3.12,1.34,42.9,3.13,1.34,0.18,0.43,11.2,0.00,0.00,0.00,0.65,0.65,0.21,-0.08,-0.08,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,8.3,0.24,3.01,1.20,40.0,3.00,1.20,0.08,0.20,13.6,0.00,0.00,0.00,0.52,0.52,0.17,-0.28,-0.28,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,0.07,0.76,0.16,21.7,0.76,0.16,0.09,0.40,9.4,0.00,0.00,0.00,0.07,0.07,0.09,-0.01,-0.01,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,13.8,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,28.5,0.32,2.39,0.81,33.8,2.38,0.81,0.12,0.35,17.6,0.14,0.04,0.04,0.22,0.19,0.08,0.09,0.09,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,0.11,2.03,0.53,26.3,2.03,0.53,0.05,0.20,21.3,0.11,0.00,0.00,0.22,0.22,0.11,-0.11,-0.11,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,13.9,0.00,0.29,0.00,0.0,0.29,0.00,0.00,,21.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,0.00,0.48,0.05,10.0,0.48,0.05,0.00,0.00,9.2,0.00,0.00,0.00,0.08,0.08,0.16,-0.08,-0.08,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,0.00,0.33,0.06,16.7,0.33,0.06,0.00,0.00,11.4,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,0.66,1.48,0.98,66.7,1.48,0.99,0.44,0.67,14.1,0.00,0.00,0.00,0.26,0.26,0.18,0.39,0.39,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,0.12,1.30,0.49,38.1,1.30,0.49,0.10,0.25,13.8,0.00,0.00,0.00,0.09,0.09,0.07,0.03,0.03,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,0.19,0.37,0.19,50.0,0.37,0.18,0.50,1.00,10.3,0.00,0.00,0.00,0.02,0.02,0.04,0.17,0.17,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
85,Ben Bender,us USA,"MF,FW",Charlotte,22,2001,2.2,0.45,1.82,1.82,100.0,1.86,1.86,0.25,0.25,20.8,0.00,0.00,0.00,0.09,0.09,0.04,0.36,0.36,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,0.80,3.16,1.46,46.2,3.16,1.46,0.22,0.48,11.6,0.00,0.10,0.10,0.63,0.54,0.17,0.17,0.15,Matches
87,Nimfasha Berchimas,us USA,"FW,MF",Charlotte,15,2008,0.3,0.00,3.33,3.33,100.0,3.91,3.91,0.00,0.00,22.8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
88,Sebastian Berhalter,us USA,"MF,DF",Vancouver W'caps,22,2001,20.7,0.10,1.55,0.34,21.9,1.54,0.34,0.06,0.29,22.5,0.24,0.00,0.00,0.09,0.09,0.06,0.01,0.01,Matches
89,Federico Bernardeschi,it ITA,"DF,MF",Toronto FC,29,1994,27.3,0.29,3.48,1.17,33.7,3.48,1.17,0.08,0.25,21.0,0.29,0.00,0.11,0.28,0.19,0.05,0.01,0.10,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,0.22,1.20,0.33,27.3,1.20,0.33,0.18,0.67,11.6,0.00,0.00,0.00,0.29,0.29,0.24,-0.08,-0.08,Matches
91,Pep Biel,es ESP,"FW,MF",Charlotte,27,1996,6.8,0.29,2.50,1.03,41.2,2.50,1.03,0.12,0.29,18.8,0.00,0.00,0.00,0.26,0.26,0.11,0.03,0.03,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,0.00,0.53,0.00,0.0,0.52,0.00,0.00,,14.1,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,0.12,0.79,0.16,20.0,0.79,0.16,0.15,0.75,18.0,0.04,0.00,0.00,0.09,0.09,0.12,0.03,0.03,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,0.00,0.43,0.05,11.1,0.43,0.05,0.00,0.00,11.0,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
97,Latif Blessing,gh GHA,"FW,MF",Houston Dynamo,27,1996,11.0,0.45,1.82,0.64,35.0,1.83,0.64,0.25,0.71,11.5,0.00,0.00,0.00,0.52,0.52,0.29,-0.06,-0.06,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,0.10,0.31,0.21,66.7,0.31,0.21,0.33,0.50,24.2,0.00,0.00,0.00,0.01,0.01,0.02,0.09,0.09,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,0.26,1.54,0.77,50.0,1.53,0.76,0.17,0.33,14.0,0.00,0.00,0.00,0.19,0.19,0.12,0.06,0.06,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,0.52,2.93,1.31,44.7,2.93,1.31,0.18,0.39,19.4,0.21,0.00,0.00,0.29,0.29,0.10,0.23,0.23,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,0.12,0.64,0.29,45.5,0.64,0.29,0.18,0.40,12.7,0.00,0.00,0.00,0.05,0.05,0.08,0.06,0.06,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
104,Shanyder Borgelin,ht HAI,"FW,MF",Inter Miami,22,2001,1.5,0.00,2.00,0.00,0.0,1.97,0.00,0.00,,11.4,0.00,0.00,0.00,0.40,0.40,0.20,-0.40,-0.40,Matches
105,Dylan Borrero,co COL,"FW,MF",NE Revolution,22,2002,10.5,0.10,2.67,0.86,32.1,2.67,0.86,0.04,0.11,21.0,0.00,0.00,0.00,0.12,0.12,0.05,-0.03,-0.03,Matches
106,Denis Bouanga,ga GAB,FW,LAFC,29,1994,30.6,0.65,4.71,1.63,34.7,4.71,1.63,0.09,0.26,18.7,0.20,0.23,0.26,0.69,0.48,0.10,-0.04,-0.06,Matches
107,Ousseni Bouda,bf BFA,FW,SJ Earthquakes,23,2000,4.2,0.24,2.38,0.71,30.0,2.41,0.72,0.10,0.33,15.1,0.00,0.00,0.00,0.19,0.19,0.08,0.05,0.05,Matches
108,Aaron Boupendza,ga GAB,"FW,MF",FC Cincinnati,27,1996,6.1,0.33,2.95,1.48,50.0,2.93,1.46,0.11,0.22,19.0,0.16,0.00,0.00,0.38,0.38,0.13,-0.05,-0.05,Matches
109,Giuseppe Bovalina,au AUS,"DF,FW",Vancouver W'caps,19,2004,1.9,0.00,4.21,1.58,37.5,4.16,1.56,0.00,0.00,18.9,0.00,0.00,0.00,0.21,0.21,0.06,-0.21,-0.21,Matches
110,Michael Boxall,nz NZL,DF,Minnesota Utd,35,1988,31.5,0.03,0.38,0.06,16.7,0.38,0.06,0.08,0.50,12.6,0.00,0.00,0.00,0.06,0.06,0.16,-0.03,-0.03,Matches
111,Tyler Boyd,us USA,"FW,MF",Nashville SC,29,1994,12.6,0.16,1.35,0.63,47.1,1.35,0.64,0.12,0.25,18.3,0.00,0.00,0.00,0.15,0.15,0.11,0.01,0.01,Matches
112,Chris Brady,us USA,GK,Chicago Fire,19,2004,33.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
113,Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,4.8,0.21,1.67,0.42,25.0,1.67,0.42,0.13,0.50,25.8,0.00,0.00,0.00,0.17,0.17,0.10,0.04,0.04,Matches
114,Claudio Bravo,ar ARG,DF,Portland Timbers,26,1997,17.7,0.00,0.56,0.00,0.0,0.56,0.00,0.00,,21.0,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
115,David Brekalo,si SVN,DF,Orlando City,25,1998,12.6,0.08,0.63,0.24,37.5,0.64,0.24,0.13,0.33,8.5,0.00,0.00,0.00,0.10,0.10,0.17,-0.02,-0.02,Matches
116,Luke Brennan,us USA,"FW,DF",Atlanta Utd,18,2005,1.7,0.00,1.18,0.00,0.0,1.20,0.00,0.00,,15.4,0.00,0.00,0.00,0.18,0.18,0.16,-0.18,-0.18,Matches
117,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
118,Yannick Bright,it ITA,MF,Inter Miami,22,2001,15.6,0.00,0.19,0.00,0.0,0.19,0.00,0.00,,21.2,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
119,Andrew Brody,us USA,DF,Real Salt Lake,28,1995,23.4,0.00,0.30,0.04,14.3,0.30,0.04,0.00,0.00,17.1,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
