0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.",Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,33_Matches
14,Josh Cohen,us USA,GK,Atlanta Utd,31,1992,2.3,2.17,0.00,0.43,0.00,0.43,0.65,0.15,-1.09,-1.07,6.52,10.4,62.5,32.2,6.09,31.1,29.5,3.91,11.1,22.1,10.9,0.43,4.0,0.00,0.00,10.7,Matches
15,Carlos Coronel,py PAR,GK,NY Red Bulls,27,1996,27.0,1.63,0.22,0.07,0.15,0.07,1.45,0.30,-0.11,-0.11,4.48,16.0,27.9,26.2,3.74,43.4,37.8,6.74,69.2,52.0,13.1,0.74,5.7,1.26,1.26,14.1,Matches
16,Maxime Crépeau,ca CAN,GK,Portland Timbers,29,1994,19.5,1.95,0.10,0.00,0.36,0.05,1.71,0.36,-0.18,-0.18,6.00,13.4,44.8,32.2,5.08,32.6,33.0,6.82,42.1,38.3,13.5,1.38,10.2,1.69,1.69,15.5,Matches
17,Daniel,br BRA,GK,SJ Earthquakes,29,1994,12.0,2.00,0.00,0.00,0.50,0.00,1.77,0.30,-0.23,-0.23,3.67,9.42,38.9,25.1,3.58,30.6,32.8,7.83,22.3,26.8,15.8,0.58,3.7,1.00,1.00,12.4,Matches
18,C.J. dos Santos,us USA,GK,Inter Miami,23,2000,1.0,4.00,0.00,0.00,0.00,0.00,2.40,0.39,-1.60,-1.64,2.00,4.00,50.0,25.0,2.00,16.0,30.6,11.0,0.0,21.6,14.0,0.00,0.0,1.00,1.00,17.5,Matches
19,Earl Edwards Jr.,us USA,GK,NE Revolution,32,1992,1.0,1.00,0.00,0.00,0.00,0.00,1.10,0.57,0.10,+0.14,5.00,7.00,71.4,33.0,2.00,18.2,25.8,8.00,12.5,30.4,9.00,0.00,0.0,0.00,0.00,8.0,Matches
20,Matt Freese,us USA,GK,NYCFC,25,1998,33.1,1.36,0.12,0.03,0.15,0.00,1.54,0.29,0.18,+0.18,2.51,9.67,25.9,32.8,6.19,22.5,28.4,6.74,34.1,33.5,12.5,0.85,6.8,1.00,1.00,14.6,Matches
21,Stefan Frei,ch SUI,GK,Seattle Sounders,37,1986,27.4,0.99,0.11,0.00,0.04,0.00,0.97,0.27,-0.01,-0.01,3.80,11.0,34.4,21.4,3.58,35.0,35.2,7.66,46.2,41.0,13.7,0.99,7.2,0.40,0.40,10.2,Matches
22,Pedro Gallese,pe PER,GK,Orlando City,33,1990,29.0,1.34,0.14,0.03,0.10,0.00,1.31,0.32,-0.04,-0.04,3.52,8.86,39.7,17.9,3.17,36.1,33.1,6.41,37.6,33.1,11.4,0.62,5.4,1.07,1.07,15.5,Matches
23,Luka Gavran,ca CAN,GK,Toronto FC,23,2000,9.0,2.00,0.00,0.11,0.11,0.00,1.83,0.33,-0.17,-0.17,3.89,10.0,38.9,24.4,4.56,32.7,33.5,7.00,28.6,29.9,11.9,0.67,5.6,1.22,1.22,13.8,Matches
24,Brad Guzan,us USA,GK,Atlanta Utd,39,1984,31.7,1.39,0.09,0.03,0.25,0.00,1.53,0.28,0.14,+0.14,7.03,15.0,46.8,31.3,4.29,38.0,35.6,6.21,50.3,41.7,13.4,0.76,5.6,0.91,0.92,14.0,Matches
25,Nicholas Hagen,gt GUA,GK,Columbus Crew,27,1996,3.6,1.39,0.28,0.00,0.56,0.00,1.72,0.24,0.33,+0.33,1.11,7.22,15.4,29.2,4.44,17.1,25.8,6.94,32.0,34.0,11.4,0.28,2.4,0.56,0.55,12.3,Matches
26,Thomas Hasal,ca CAN,GK,LAFC,24,1999,1.0,3.00,0.00,0.00,0.00,0.00,2.50,0.36,-0.50,-0.47,3.00,12.0,25.0,24.0,4.00,37.5,33.4,8.00,37.5,36.0,3.00,0.00,0.0,0.00,0.00,10.3,Matches
27,Clint Irwin,us USA,GK,Minnesota Utd,34,1989,5.0,2.40,0.20,0.00,0.20,0.00,2.30,0.32,-0.10,-0.10,3.40,9.20,37.0,21.2,7.20,33.0,31.2,8.20,26.8,25.7,11.0,1.00,9.1,1.60,1.60,17.4,Matches
28,Aljaž Ivačič,si SVN,GK,NE Revolution,30,1993,25.0,2.24,0.16,0.04,0.24,0.00,2.13,0.31,-0.11,-0.11,4.52,14.0,32.3,23.0,2.72,38.0,35.2,8.40,62.9,50.2,13.8,0.36,2.6,0.40,0.40,10.5,Matches
29,Jacob Jackson,us USA,GK,SJ Earthquakes,23,2000,3.0,3.00,0.00,0.00,0.00,0.00,1.73,0.29,-1.27,-1.27,3.00,10.7,28.1,23.3,5.33,25.7,30.2,10.0,46.7,40.7,13.7,0.67,4.9,0.67,0.67,13.5,Matches
30,Sean Johnson,us USA,GK,Toronto FC,34,1989,25.0,1.72,0.20,0.00,0.12,0.04,1.62,0.33,-0.06,-0.05,3.48,11.9,29.2,27.5,4.00,32.3,32.4,6.88,44.2,40.0,12.4,0.68,5.5,1.36,1.36,16.8,Matches
31,Kristijan Kahlina,hr CRO,GK,Charlotte,31,1992,34.0,1.09,0.00,0.03,0.18,0.00,1.40,0.31,0.31,+0.31,3.79,10.3,36.8,28.1,4.91,27.5,30.9,6.65,39.4,38.0,15.1,1.03,6.8,1.74,1.74,16.7,Matches
32,Alec Kann,us USA,GK,FC Cincinnati,33,1990,3.0,1.33,0.00,0.00,0.33,0.00,0.90,0.27,-0.43,-0.42,2.67,8.33,32.0,19.7,5.33,22.0,28.2,7.67,52.2,38.0,16.3,0.00,0.0,0.00,0.00,10.6,Matches
33,Hugo Lloris,fr FRA,GK,LAFC,37,1986,33.0,1.21,0.03,0.06,0.18,0.09,1.16,0.28,0.04,+0.04,5.03,13.2,38.1,26.5,3.73,38.7,36.0,6.76,43.9,38.0,14.4,0.88,6.1,0.79,0.79,13.8,Matches
34,Evan Louro,us USA,GK,FC Cincinnati,28,1996,1.0,2.00,0.00,0.00,0.00,0.00,1.80,0.18,-0.20,-0.18,2.00,8.00,25.0,17.0,4.00,41.2,34.0,6.00,16.7,20.8,15.0,0.00,0.0,0.00,0.00,,Matches
35,Benjamin Lundt,de GER,GK,St. Louis,28,1995,2.7,2.96,0.00,0.00,0.00,0.00,1.89,0.34,-1.07,-1.10,5.93,15.2,39.0,21.9,4.44,47.5,38.5,9.26,52.0,44.6,16.3,1.11,6.8,1.48,1.51,16.3,Matches
36,Zac MacMath,us USA,GK,Real Salt Lake,32,1991,23.0,1.22,0.04,0.00,0.04,0.04,1.11,0.26,-0.07,-0.07,5.00,12.4,40.4,34.7,5.26,30.0,32.3,6.48,30.2,32.4,11.0,0.87,7.9,1.39,1.39,15.5,Matches
37,Jimmy Maurer,us USA,GK,FC Dallas,35,1988,4.0,1.00,0.00,0.00,0.00,0.00,1.65,0.32,0.65,+0.66,5.25,10.3,51.2,37.8,4.25,25.2,30.5,2.75,27.3,29.3,14.0,0.00,0.0,0.75,0.75,11.7,Matches
38,John McCarthy,us USA,GK,LA Galaxy,31,1992,32.0,1.50,0.13,0.00,0.34,0.03,1.62,0.28,0.15,+0.15,2.75,10.3,26.8,22.1,4.53,36.2,32.8,7.09,31.7,32.5,14.9,0.69,4.6,0.31,0.31,9.8,Matches
39,Ryan Meara,us USA,GK,NY Red Bulls,33,1990,7.0,0.86,0.00,0.14,0.00,0.00,0.71,0.33,-0.14,-0.15,2.86,12.4,23.0,20.1,5.00,39.0,34.8,6.29,72.7,52.2,8.00,0.57,7.1,1.29,1.29,16.1,Matches
40,Tim Melia,us USA,GK,Sporting KC,37,1986,28.0,1.89,0.07,0.00,0.21,0.11,1.76,0.38,-0.03,-0.03,3.68,13.5,27.2,24.3,4.18,38.1,35.2,6.86,62.0,48.6,10.0,0.46,4.6,0.75,0.75,13.2,Matches
41,Novak Mićović,rs SRB,GK,LA Galaxy,22,2001,2.0,1.00,0.00,0.00,0.00,0.00,0.45,0.16,-0.55,-0.53,1.50,4.00,37.5,25.5,6.00,9.8,21.6,9.50,15.8,27.3,10.0,0.00,0.0,1.00,1.00,15.0,Matches
42,Tyler Miller,us USA,GK,D.C. United,30,1993,5.0,3.00,0.40,0.00,0.40,0.00,2.14,0.30,-0.86,-0.86,11.6,33.2,34.9,31.8,1.80,77.4,51.0,8.60,100.0,67.2,13.0,0.80,6.2,3.00,3.00,18.4,Matches
43,Javier Otero,ve VEN,GK,Orlando City,21,2002,0.7,4.29,0.00,0.00,0.00,0.00,3.00,0.70,-1.29,-1.31,4.29,10.0,42.9,22.9,5.71,25.0,30.1,7.14,60.0,41.0,5.71,1.43,25.0,1.43,1.45,14.6,Matches
44,Maarten Paes,id IDN,GK,FC Dallas,25,1998,30.0,1.73,0.17,0.00,0.20,0.07,1.64,0.25,-0.03,-0.03,3.70,9.53,38.8,27.0,4.13,25.7,29.1,6.93,37.5,33.8,12.8,0.40,3.1,1.30,1.30,16.0,Matches
45,Elliot Panicco,us USA,GK,Nashville SC,27,1996,4.8,2.08,0.00,0.00,0.63,0.00,2.17,0.28,0.08,+0.08,4.79,13.5,35.4,22.7,6.25,39.4,33.7,6.46,71.0,48.3,12.3,0.83,6.8,0.42,0.42,17.5,Matches
46,James Pantemis,ca CAN,GK,Portland Timbers,26,1997,14.5,1.24,0.00,0.07,0.34,0.07,1.39,0.33,0.21,+0.21,5.24,15.2,34.5,31.0,3.17,39.6,35.6,6.48,44.7,40.9,14.6,0.55,3.8,1.10,1.11,12.6,Matches
47,John Pulskamp,us USA,GK,Sporting KC,22,2001,6.0,2.17,0.00,0.17,0.33,0.17,1.48,0.41,-0.52,-0.52,2.83,10.7,26.6,17.8,3.33,43.9,38.1,6.50,43.6,39.2,11.2,0.17,1.5,0.83,0.83,16.2,Matches
48,Henrich Ravas,sk SVK,GK,NE Revolution,26,1997,8.0,2.13,0.25,0.13,0.13,0.00,2.10,0.34,-0.03,-0.03,3.13,11.3,27.8,20.6,3.50,31.5,32.4,8.50,55.9,44.4,10.3,0.63,6.1,0.25,0.25,12.4,Matches
49,Spencer Richey,us USA,GK,Chicago Fire,31,1992,1.0,1.00,0.00,0.00,0.00,0.00,1.30,0.37,0.30,+0.32,3.00,14.0,21.4,21.0,5.00,38.1,33.9,9.00,66.7,40.7,17.0,0.00,0.0,2.00,2.00,17.0,Matches
50,Andrew Rick,us USA,GK,Philadelphia Union,18,2006,6.0,2.00,0.00,0.17,0.17,0.17,1.82,0.34,-0.02,-0.02,6.67,17.8,37.4,18.2,3.00,61.5,44.0,8.50,78.4,49.5,13.0,0.50,3.8,1.00,1.00,17.8,Matches
51,Abraham Romero,mx MEX,GK,Columbus Crew,25,1998,1.5,0.00,0.00,0.00,0.00,0.00,0.27,0.13,0.27,+0.27,1.33,4.00,33.3,21.3,1.33,12.5,24.3,2.00,66.7,52.3,4.67,0.00,0.0,0.67,0.67,13.7,Matches
52,Patrick Schulte,us USA,GK,Columbus Crew,22,2001,27.0,1.07,0.07,0.04,0.07,0.00,1.19,0.30,0.11,+0.12,2.74,7.67,35.7,29.8,5.00,21.1,28.2,5.19,26.4,29.2,10.5,0.48,4.6,0.96,0.96,14.5,Matches
53,Oliver Semmle,de GER,GK,Philadelphia Union,25,1998,15.6,1.86,0.13,0.06,0.13,0.00,1.88,0.36,0.02,+0.02,4.42,12.5,35.4,21.5,4.10,36.9,33.7,6.73,67.6,48.1,13.0,0.45,3.4,0.77,0.77,15.8,Matches
54,Jonathan Sirois,ca CAN,GK,CF Montréal,22,2001,33.0,1.88,0.12,0.09,0.24,0.03,1.86,0.34,0.02,+0.02,2.24,8.24,27.2,30.4,6.82,19.2,26.3,7.82,30.6,29.3,15.1,0.82,5.4,1.36,1.36,15.4,Matches
55,Alec Smir,us USA,GK,Minnesota Utd,24,1999,3.0,2.00,0.00,0.00,0.67,0.00,1.77,0.41,-0.23,-0.24,2.67,9.67,27.6,17.3,4.00,44.2,35.2,6.67,30.0,33.6,12.3,0.33,2.7,0.67,0.67,9.2,Matches
56,Dayne St. Clair,ca CAN,GK,Minnesota Utd,26,1997,26.0,1.19,0.04,0.00,0.19,0.04,1.23,0.31,0.08,+0.08,4.23,17.0,24.9,25.3,3.69,48.2,39.1,6.73,71.4,50.1,14.9,0.27,1.8,1.54,1.54,16.5,Matches
57,Mason Stajduhar,us USA,GK,Orlando City,26,1997,4.3,1.86,0.47,0.00,0.00,0.00,2.33,0.29,0.47,+0.45,2.56,6.51,39.3,17.4,5.81,32.0,31.8,5.12,18.2,31.0,8.84,0.93,10.5,0.93,0.93,13.3,Matches
58,Zack Steffen,us USA,GK,Colorado Rapids,28,1995,33.0,1.73,0.06,0.00,0.18,0.06,1.39,0.29,-0.28,-0.27,4.21,12.7,33.3,24.3,4.55,33.8,34.8,7.64,58.3,46.4,12.2,0.45,3.7,2.27,2.27,18.7,Matches
59,Brad Stuver,us USA,GK,Austin,32,1991,34.0,1.41,0.24,0.06,0.09,0.00,1.61,0.26,0.19,+0.20,5.32,14.1,37.6,34.5,5.94,29.4,31.3,7.41,54.0,43.3,14.2,1.03,7.3,1.18,1.18,13.1,Matches
60,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,27,1996,33.0,1.42,0.15,0.00,0.12,0.03,1.48,0.33,0.08,+0.08,4.00,11.2,35.6,23.5,2.97,32.8,34.4,5.97,58.9,49.8,13.6,0.64,4.7,0.55,0.55,12.2,Matches
61,Andrew Tarbell,us USA,GK,Houston Dynamo,30,1993,3.2,1.56,0.00,0.00,0.00,0.00,1.72,0.24,0.16,+0.15,3.75,9.38,40.0,24.7,5.63,27.8,30.8,4.38,57.1,41.6,14.1,0.31,2.2,0.00,0.00,6.9,Matches
62,Andrew Thomas,ru RUS,GK,Seattle Sounders,25,1998,6.6,1.21,0.15,0.00,0.15,0.00,1.18,0.21,-0.03,-0.03,3.79,12.6,30.1,18.3,3.48,52.9,40.2,5.00,57.6,43.8,14.5,1.82,12.5,0.45,0.46,11.1,Matches
63,Óscar Ustari,ar ARG,GK,Inter Miami,37,1986,1.0,0.00,0.00,0.00,0.00,0.00,1.10,0.18,1.10,+1.10,4.00,8.00,50.0,38.0,9.00,15.8,24.8,9.00,22.2,26.0,11.0,1.00,9.1,2.00,2.00,14.3,Matches
64,Joe Willis,us USA,GK,Nashville SC,35,1988,29.2,1.51,0.07,0.03,0.24,0.10,1.36,0.29,-0.04,-0.04,4.97,12.7,39.1,24.3,5.21,37.2,34.2,7.64,48.0,39.6,13.2,0.82,6.3,0.75,0.75,14.0,Matches
65,William Yarbrough,us USA,GK,SJ Earthquakes,34,1989,19.0,2.37,0.37,0.00,0.21,0.05,1.90,0.30,-0.42,-0.42,5.68,12.1,47.2,21.9,4.84,32.1,32.6,7.42,67.4,47.2,16.0,1.11,6.9,0.58,0.58,11.5,Matches
