0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,20_Int,21_Tkl+Int,22_Clr,23_Err,24_Matches
18,Forster Ajago,gh GHA,FW,Nashville SC,22,2001,4.2,1.90,0.71,0.48,1.43,0.00,0.95,1.43,66.7,0.48,0.95,0.00,0.95,0.95,2.86,0.95,0.00,Matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,2.92,1.46,1.74,0.73,0.45,1.35,2.53,53.3,1.18,1.01,0.28,0.73,1.80,4.72,3.88,0.00,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,2.04,1.43,1.02,0.82,0.20,1.02,1.22,83.3,0.20,1.43,0.82,0.61,2.04,4.08,3.47,0.00,Matches
21,Ayo Akinola,ca CAN,"FW,MF",Toronto FC,24,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.0,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,1.13,0.69,0.52,0.44,0.16,0.56,1.37,41.2,0.81,0.81,0.28,0.52,0.60,1.73,1.57,0.08,Matches
23,Noah Allen,gr GRE,DF,Inter Miami,19,2004,10.3,2.33,1.46,1.94,0.29,0.10,1.17,1.84,63.2,0.68,1.75,0.78,0.97,0.87,3.20,3.30,0.10,Matches
24,Rasmus Alm,se SWE,"FW,MF",St. Louis,28,1995,9.3,2.04,1.40,0.65,0.97,0.43,1.29,2.26,57.1,0.97,1.40,0.00,1.40,0.65,2.69,0.75,0.00,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,22,2001,15.5,1.16,0.58,0.58,0.32,0.26,0.45,1.29,35.0,0.84,0.32,0.00,0.32,0.06,1.23,0.32,0.06,Matches
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,1.26,0.88,0.88,0.38,0.00,0.88,1.26,70.0,0.38,0.97,0.55,0.42,1.34,2.61,3.66,0.00,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,1.78,1.22,1.00,0.56,0.22,1.00,2.11,47.4,1.11,2.11,0.44,1.67,1.44,3.22,3.67,0.00,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,1.90,1.34,0.50,1.06,0.34,0.73,1.90,38.2,1.17,1.06,0.22,0.84,1.34,3.24,1.28,0.00,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,1.88,1.06,1.25,0.55,0.08,1.18,1.96,60.0,0.78,1.14,0.39,0.75,1.88,3.76,2.47,0.04,Matches
30,Markus Anderson,us USA,"MF,FW",Philadelphia Union,20,2003,1.1,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.0,1.82,1.82,0.00,1.82,0.91,0.91,1.82,0.00,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,1.07,0.89,0.54,0.54,0.00,0.89,3.04,29.4,2.14,0.89,0.18,0.71,1.07,2.14,3.57,0.00,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,2.39,1.15,0.97,1.15,0.27,1.06,2.04,52.2,0.97,0.80,0.44,0.35,1.33,3.72,0.62,0.09,Matches
33,Tomas Ángel,co COL,"FW,MF",LAFC,20,2003,0.6,1.67,1.67,0.00,0.00,1.67,0.00,5.00,0.0,5.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,Matches
34,Iván Angulo,co COL,"FW,MF",Orlando City,24,1999,30.7,1.53,0.94,0.68,0.62,0.23,0.42,0.94,44.8,0.52,0.72,0.07,0.65,0.62,2.15,0.49,0.00,Matches
35,Eugene Ansah,gh GHA,"FW,MF",FC Dallas,29,1994,4.8,1.04,1.04,0.42,0.63,0.00,0.21,0.21,100.0,0.00,0.42,0.00,0.42,0.42,1.46,0.83,0.00,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,3.33,2.08,2.08,1.04,0.21,1.67,2.71,61.5,1.04,1.67,0.63,1.04,1.25,4.58,3.54,0.00,Matches
37,Antony,br BRA,"FW,MF",Portland Timbers,22,2001,21.0,2.48,1.81,1.10,1.05,0.33,0.95,2.05,46.5,1.10,1.00,0.05,0.95,0.90,3.38,0.81,0.00,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,2.67,1.49,1.30,1.06,0.31,1.12,1.99,56.3,0.87,1.43,0.25,1.18,1.74,4.41,0.93,0.00,Matches
39,Cristian Arango,co COL,"FW,MF",Real Salt Lake,28,1995,25.4,0.75,0.47,0.20,0.31,0.24,0.31,0.75,42.1,0.43,0.75,0.04,0.71,0.12,0.87,0.12,0.00,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,2.38,1.41,1.04,0.97,0.37,1.30,2.86,45.5,1.56,1.52,0.30,1.23,1.08,3.46,0.82,0.00,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,1.81,1.05,1.05,0.70,0.06,0.76,1.17,65.0,0.41,1.40,0.94,0.47,1.35,3.16,4.27,0.00,Matches
42,Scott Arfield,ca CAN,"MF,FW",Charlotte,35,1988,4.2,0.48,0.24,0.24,0.24,0.00,0.24,0.71,33.3,0.48,1.19,0.00,1.19,0.24,0.71,0.48,0.00,Matches
43,Max Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,1.88,1.10,0.73,0.87,0.28,1.15,2.29,50.0,1.15,1.06,0.09,0.96,0.64,2.52,1.51,0.00,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,1.63,1.20,0.86,0.47,0.30,1.03,1.59,64.9,0.56,1.50,0.21,1.29,0.82,2.45,2.06,0.00,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,0.73,0.46,0.13,0.53,0.07,0.20,0.66,30.0,0.46,0.93,0.13,0.79,0.07,0.79,0.99,0.00,Matches
46,Stuart Armstrong,sct SCO,"MF,FW",Vancouver W'caps,31,1992,1.4,0.71,0.00,0.71,0.00,0.00,0.00,0.71,0.0,0.71,0.71,0.71,0.00,0.00,0.71,1.43,0.00,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,2.09,1.12,1.53,0.56,0.00,1.40,1.77,78.9,0.37,1.30,0.51,0.79,1.81,3.91,5.21,0.09,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,1.43,1.07,0.71,0.71,0.00,0.71,1.79,40.0,1.07,1.79,1.07,0.71,2.14,3.57,2.50,0.36,Matches
49,Kervin Arriaga,hn HON,"DF,MF",Minnesota Utd,26,1998,9.8,1.63,1.43,1.12,0.51,0.00,0.92,1.73,52.9,0.82,1.43,0.71,0.71,0.92,2.55,4.08,0.00,Matches
50,Paul Arriola,us USA,"DF,MF",FC Dallas,28,1995,27.3,1.50,0.92,0.92,0.44,0.15,0.73,1.98,37.0,1.25,1.03,0.11,0.92,0.37,1.87,1.17,0.00,Matches
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,2.43,1.69,1.12,0.95,0.36,1.30,2.25,57.9,0.95,1.04,0.27,0.77,1.01,3.43,1.63,0.09,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,2.13,1.46,1.35,0.67,0.11,1.46,2.47,59.1,1.01,1.80,0.22,1.57,0.67,2.81,0.79,0.11,Matches
53,Dairon Asprilla,co COL,"FW,DF",Portland Timbers,31,1992,7.6,1.45,0.26,0.79,0.53,0.13,0.66,1.84,35.7,1.18,0.66,0.00,0.66,0.66,2.11,1.71,0.00,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,3.11,1.60,1.18,1.26,0.67,1.60,3.36,47.5,1.76,2.27,0.34,1.93,2.10,5.21,1.43,0.08,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,1.77,0.82,0.95,0.53,0.29,0.95,2.39,39.7,1.44,1.03,0.16,0.86,1.69,3.46,0.53,0.08,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,2.61,1.60,1.76,0.74,0.11,1.76,3.30,53.2,1.54,1.65,0.37,1.28,1.12,3.72,3.40,0.05,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,1.97,1.19,1.48,0.41,0.08,0.70,1.43,48.6,0.74,1.15,0.61,0.53,1.56,3.52,2.95,0.16,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,0.68,0.51,0.17,0.51,0.00,0.34,0.51,66.7,0.17,1.02,0.34,0.68,0.85,1.53,2.54,0.00,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,3.13,1.78,1.72,1.10,0.31,1.29,3.13,41.2,1.84,1.53,0.18,1.35,1.96,5.09,2.15,0.06,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,2.00,1.00,0.00,2.00,0.00,1.00,2.00,50.0,1.00,0.00,0.00,0.00,3.00,5.00,2.00,0.00,Matches
61,Dominique Badji,sn SEN,"MF,FW",D.C. United,31,1992,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.0,0.61,0.91,0.00,0.91,0.61,0.61,0.91,0.00,Matches
62,Corey Baird,us USA,"FW,MF",FC Cincinnati,28,1996,10.6,0.94,0.47,0.75,0.19,0.00,0.38,1.04,36.4,0.66,0.47,0.00,0.47,0.28,1.23,0.57,0.00,Matches
63,Esmir Bajraktarevic,ba BIH,"FW,MF",NE Revolution,18,2005,22.0,1.50,0.91,0.41,0.77,0.32,0.45,1.27,35.7,0.82,0.82,0.05,0.77,0.23,1.73,0.50,0.00,Matches
64,Cody Baker,us USA,"DF,MF",Seattle Sounders,20,2004,5.3,3.02,2.64,1.70,0.94,0.38,1.89,2.26,83.3,0.38,0.75,0.19,0.57,0.75,3.77,2.64,0.00,Matches
65,Reed Baker-Whiting,us USA,"DF,FW",Seattle Sounders,18,2005,8.7,2.99,1.49,1.61,0.92,0.46,1.72,2.53,68.2,0.80,1.84,0.11,1.72,1.72,4.71,2.30,0.11,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,1.27,0.67,0.20,0.33,0.73,0.60,1.00,60.0,0.40,1.60,0.07,1.53,0.20,1.47,0.67,0.00,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,13.3,0.00,3.33,10.0,0.00,6.67,13.3,50.0,6.67,0.00,0.00,0.00,6.67,20.0,6.67,0.00,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,0.79,0.48,0.32,0.16,0.32,0.16,0.63,25.0,0.48,0.32,0.00,0.32,0.16,0.95,0.32,0.00,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,1.53,0.89,0.32,0.83,0.38,0.64,1.40,45.5,0.76,0.76,0.00,0.76,0.45,1.97,0.19,0.00,Matches
70,Tom Barlow,us USA,"FW,MF",Chicago Fire,28,1995,8.3,0.84,0.60,0.24,0.36,0.24,0.36,1.08,33.3,0.72,0.60,0.12,0.48,0.36,1.20,0.72,0.00,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,1.12,0.72,0.66,0.46,0.00,0.59,0.99,60.0,0.39,1.48,0.79,0.69,1.15,2.27,3.85,0.03,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,1.89,1.26,1.47,0.32,0.11,1.26,1.58,80.0,0.32,2.11,1.26,0.84,0.42,2.32,4.11,0.00,Matches
74,Cole Bassett,us USA,"MF,FW",Colorado Rapids,22,2001,28.5,2.32,1.19,0.91,1.12,0.28,1.30,2.77,46.8,1.47,1.16,0.14,1.02,0.67,2.98,0.88,0.07,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,0.64,0.39,0.04,0.36,0.25,0.21,0.71,30.0,0.50,0.60,0.00,0.60,0.25,0.89,0.25,0.00,Matches
76,Zorhan Bassong,ca CAN,"DF,MF",Sporting KC,24,1999,13.9,2.66,2.01,1.58,0.86,0.22,1.15,1.80,64.0,0.65,1.29,0.29,1.01,0.94,3.60,1.87,0.00,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,1.74,1.21,1.30,0.34,0.10,0.97,1.45,66.7,0.48,1.16,0.82,0.34,1.06,2.80,3.24,0.05,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,0.99,0.39,0.83,0.17,0.00,0.55,0.83,66.7,0.28,1.71,1.27,0.44,0.94,1.93,5.75,0.00,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,0.66,0.66,0.16,0.33,0.16,0.33,0.66,50.0,0.33,0.49,0.00,0.49,0.33,0.98,0.49,0.00,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,2.16,1.23,0.62,1.17,0.37,0.86,1.48,58.3,0.62,0.93,0.06,0.86,0.99,3.15,1.11,0.00,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,1.48,0.56,0.74,0.56,0.19,0.74,1.11,66.7,0.37,1.67,1.11,0.56,1.30,2.78,4.63,0.00,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,5.00,5.00,0.00,5.00,0.00,5.00,5.00,100.0,0.00,5.00,0.00,5.00,0.00,5.00,0.00,0.00,Matches
85,Ben Bender,us USA,"MF,FW",Charlotte,22,2001,2.2,0.91,0.00,0.91,0.00,0.00,0.00,0.91,0.0,0.91,0.91,0.00,0.91,0.00,0.91,0.45,0.00,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,0.21,0.17,0.03,0.10,0.07,0.07,0.28,25.0,0.21,0.49,0.14,0.35,0.07,0.28,1.18,0.00,Matches
87,Nimfasha Berchimas,us USA,"FW,MF",Charlotte,15,2008,0.3,3.33,0.00,3.33,0.00,0.00,3.33,3.33,100.0,0.00,6.67,0.00,6.67,0.00,3.33,0.00,0.00,Matches
88,Sebastian Berhalter,us USA,"MF,DF",Vancouver W'caps,22,2001,20.7,2.46,1.30,0.72,1.30,0.43,1.06,2.27,46.8,1.21,1.69,0.39,1.30,1.01,3.48,1.64,0.10,Matches
89,Federico Bernardeschi,it ITA,"DF,MF",Toronto FC,29,1994,27.3,0.88,0.55,0.37,0.26,0.26,0.59,1.14,51.6,0.55,0.55,0.11,0.44,0.81,1.68,0.62,0.00,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,0.98,0.22,0.22,0.33,0.43,0.11,0.33,33.3,0.22,0.98,0.22,0.76,0.11,1.09,1.30,0.00,Matches
91,Pep Biel,es ESP,"FW,MF",Charlotte,27,1996,6.8,0.88,0.59,0.44,0.29,0.15,0.29,1.32,22.2,1.03,1.18,0.00,1.18,1.18,2.06,0.15,0.00,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,5.00,5.00,0.00,5.00,0.00,5.00,5.00,100.0,0.00,0.00,0.00,0.00,5.00,10.0,0.00,0.00,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,0.53,0.26,0.26,0.26,0.00,0.00,0.79,0.0,0.79,1.05,1.05,0.00,1.05,1.58,3.68,0.00,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,1.93,1.18,0.98,0.55,0.39,1.06,1.61,65.9,0.55,1.34,0.47,0.87,0.98,2.91,2.28,0.00,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,0.52,0.38,0.38,0.14,0.00,0.24,0.29,83.3,0.05,0.86,0.48,0.38,0.95,1.48,4.19,0.00,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,0.16,0.08,0.16,0.00,0.00,0.16,0.16,100.0,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.08,Matches
97,Latif Blessing,gh GHA,"FW,MF",Houston Dynamo,27,1996,11.0,1.64,1.27,0.64,0.82,0.18,0.27,1.27,21.4,1.00,0.64,0.00,0.64,0.82,2.45,0.73,0.09,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,1.65,1.24,0.62,0.82,0.21,0.82,1.86,44.4,1.03,0.93,0.21,0.72,1.65,3.30,0.31,0.10,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,1.79,0.90,0.77,0.77,0.26,0.38,0.77,50.0,0.38,1.79,0.13,1.67,1.03,2.82,0.77,0.00,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,1.28,0.72,0.45,0.48,0.34,0.45,1.38,32.5,0.93,0.28,0.00,0.28,0.34,1.62,0.28,0.00,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,1.86,1.16,1.34,0.47,0.06,1.05,1.40,75.0,0.35,0.81,0.58,0.23,1.16,3.02,4.07,0.06,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,0.07,0.00,0.07,0.00,0.00,0.07,0.10,66.7,0.03,0.00,0.00,0.00,0.00,0.07,0.59,0.03,Matches
104,Shanyder Borgelin,ht HAI,"FW,MF",Inter Miami,22,2001,1.5,1.33,1.33,0.67,0.67,0.00,0.00,0.67,0.0,0.67,0.00,0.00,0.00,0.00,1.33,2.00,0.00,Matches
105,Dylan Borrero,co COL,"FW,MF",NE Revolution,22,2002,10.5,0.48,0.48,0.19,0.10,0.19,0.19,0.76,25.0,0.57,0.76,0.00,0.76,1.05,1.52,0.48,0.00,Matches
106,Denis Bouanga,ga GAB,FW,LAFC,29,1994,30.6,1.05,0.65,0.33,0.20,0.52,0.39,1.08,36.4,0.69,0.78,0.00,0.78,0.26,1.31,0.42,0.00,Matches
107,Ousseni Bouda,bf BFA,FW,SJ Earthquakes,23,2000,4.2,0.71,0.48,0.00,0.48,0.24,0.48,0.71,66.7,0.24,0.48,0.00,0.48,0.24,0.95,1.67,0.00,Matches
108,Aaron Boupendza,ga GAB,"FW,MF",FC Cincinnati,27,1996,6.1,0.66,0.33,0.00,0.49,0.16,0.16,1.15,14.3,0.98,0.66,0.33,0.33,0.49,1.15,0.98,0.00,Matches
109,Giuseppe Bovalina,au AUS,"DF,FW",Vancouver W'caps,19,2004,1.9,1.58,1.05,1.05,0.53,0.00,1.05,1.05,100.0,0.00,0.00,0.00,0.00,0.00,1.58,2.63,0.00,Matches
110,Michael Boxall,nz NZL,DF,Minnesota Utd,35,1988,31.5,0.95,0.51,0.67,0.19,0.10,0.57,0.89,64.3,0.32,1.27,0.76,0.51,0.89,1.84,4.92,0.06,Matches
111,Tyler Boyd,us USA,"FW,MF",Nashville SC,29,1994,12.6,1.11,0.95,0.40,0.48,0.24,0.79,1.83,43.5,1.03,0.87,0.08,0.79,0.40,1.51,0.48,0.00,Matches
112,Chris Brady,us USA,GK,Chicago Fire,19,2004,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.61,0.12,Matches
113,Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,4.8,1.46,0.63,0.42,0.83,0.21,0.83,1.88,44.4,1.04,1.46,0.21,1.25,1.04,2.50,0.63,0.00,Matches
114,Claudio Bravo,ar ARG,DF,Portland Timbers,26,1997,17.7,3.45,2.09,1.92,1.07,0.45,1.86,3.95,47.1,2.09,2.49,0.51,1.98,1.47,4.92,2.88,0.06,Matches
115,David Brekalo,si SVN,DF,Orlando City,25,1998,12.6,1.51,0.32,0.87,0.63,0.00,1.03,1.43,72.2,0.40,0.95,0.40,0.56,1.43,2.94,3.25,0.00,Matches
116,Luke Brennan,us USA,"FW,DF",Atlanta Utd,18,2005,1.7,0.59,0.59,0.00,0.59,0.00,0.59,1.18,50.0,0.59,1.18,0.00,1.18,0.00,0.59,0.00,0.00,Matches
117,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Matches
118,Yannick Bright,it ITA,MF,Inter Miami,22,2001,15.6,3.14,2.18,1.15,1.60,0.38,1.35,2.95,45.7,1.60,1.99,0.83,1.15,2.05,5.19,2.31,0.00,Matches
119,Andrew Brody,us USA,DF,Real Salt Lake,28,1995,23.4,0.85,0.68,0.56,0.30,0.00,0.38,1.03,37.5,0.64,0.85,0.47,0.38,1.15,2.01,2.35,0.04,Matches
120,Brandt Bronico,us USA,MF,Charlotte,28,1995,19.3,1.40,0.78,0.67,0.41,0.31,0.62,1.45,42.9,0.83,1.14,0.31,0.83,0.67,2.07,1.24,0.00,Matches
121,Lachlan Brook,au AUS,FW,Real Salt Lake,22,2001,2.6,1.54,0.38,0.38,0.77,0.38,0.38,1.54,25.0,1.15,0.38,0.38,0.00,1.54,3.08,1.15,0.00,Matches
122,Javain Brown,jm JAM,DF,Vancouver W'caps,24,1999,10.8,1.30,0.83,0.74,0.56,0.00,0.93,1.11,83.3,0.19,1.30,0.74,0.56,0.93,2.22,3.43,0.09,Matches
123,Javain Brown,jm JAM,DF,Real Salt Lake,24,1999,3.7,1.35,0.81,0.54,0.81,0.00,0.54,0.81,66.7,0.27,1.08,0.54,0.54,0.81,2.16,6.49,0.00,Matches
124,Gastón Brugman,uy URU,MF,LA Galaxy,31,1992,13.2,2.88,1.36,1.59,0.98,0.30,1.59,2.42,65.6,0.83,1.82,0.91,0.91,2.27,5.15,1.74,0.00,Matches
125,Pavel Bucha,cz CZE,MF,FC Cincinnati,25,1998,32.4,1.70,1.05,0.46,1.05,0.19,1.05,2.04,51.5,0.99,1.42,0.40,1.02,1.23,2.93,0.71,0.06,Matches
126,Noel Buck,eng ENG,"MF,FW",NE Revolution,18,2005,6.0,1.83,0.67,0.83,0.83,0.17,0.67,0.83,80.0,0.17,1.17,0.50,0.67,0.50,2.33,0.67,0.00,Matches
127,Dawid Bugaj,pl POL,DF,CF Montréal,19,2004,1.8,1.67,0.56,0.00,1.67,0.00,0.56,0.56,100.0,0.00,1.11,0.56,0.56,0.00,1.67,3.33,0.00,Matches
128,Osman Bukari,gh GHA,"FW,MF",Austin,25,1998,6.8,1.03,0.44,0.44,0.44,0.15,0.44,1.18,37.5,0.74,1.03,0.15,0.88,0.44,1.47,0.44,0.00,Matches
129,Teal Bunbury,us USA,FW,Nashville SC,33,1990,12.8,0.86,0.31,0.55,0.31,0.00,0.23,0.63,37.5,0.39,0.55,0.08,0.47,0.63,1.48,0.86,0.00,Matches
