team,name,roster_designation,current_status,contract_thru,option_years,category,roster_model,team_gam_2025
CHICAGO FIRE FC,Brian Gutiérrez,U22 Initiative,,2028,,U22 Initiative,U22 Initiative Player Model,
CHICAGO FIRE FC,Andrew Gutman,,,2026,2027,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Maren Haile-Selassie,,,2026,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Fabian Herbers,,,2024,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Georgios Koutsias,U22 Initiative,,2026,2027,U22 Initiative,U22 Initiative Player Model,
CHICAGO FIRE FC,Ariel Lassiter,,,2024,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Chris Mueller,TAM Player,,2025,2026,TAM Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Federico Navarro,U22 Initiative,,2027,2028,U22 Initiative,U22 Initiative Player Model,
CHICAGO FIRE FC,Wyatt Omsberg,,,2024,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Mauricio Pineda,Homegrown Player,,2026,2027,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Tobias Salquist,TAM Player,,2025,2026,TAM Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Arnaud Souquet,TAM Player,,2025,,TAM Player,U22 Initiative Player Model,
CHICAGO FIRE FC,Carlos Terán,,,2026,2027,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Victor Bezerra,Homegrown Player,Unavailable – On Loan,2024,2025,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Javier Casas,Homegrown Player,,2024,"2025, 2026",Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Jonathan Dean,,,2024,2025,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Bryan Dowd,,Unavailable – On Loan,2024,"2025, 2026, 2027",Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Jeffrey Gal,,,2024,2025,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Chase Gasper,,,2025,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Sergio Oregel,Homegrown Player,,2025,2026,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Justin Reynolds,Homegrown Player,,2026,2027,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Spencer Richey,,,2024,,Standard,U22 Initiative Player Model,
CHICAGO FIRE FC,Missael Rodríguez,Homegrown Player,Unavailable – On Loan,2025,2026,Homegrown,U22 Initiative Player Model,
CHICAGO FIRE FC,Laurence Wootton,,Unavailable – On Loan,2024,"2025, 2026, 2027",Standard,U22 Initiative Player Model,
FC CINCINNATI,Luciano Acosta,Designated Player,,2026,2027,Designated Player,Designated Player Model,
FC CINCINNATI,Marco Angulo,U22 Initiative,Unavailable – On Loan,2025,"2026, 2027",U22 Initiative,Designated Player Model,
FC CINCINNATI,Chidozie Awaziem,TAM Player,,2025,"2026, 2027",TAM Player,Designated Player Model,
FC CINCINNATI,Corey Baird,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC CINCINNATI,Álvaro Barreal,TAM Player,Unavailable – On Loan,2024,2025,TAM Player,Designated Player Model,
FC CINCINNATI,Pavel Bucha,TAM Player,,2026,2027,TAM Player,Designated Player Model,
FC CINCINNATI,Roman Celentano,,,2027,,Standard,Designated Player Model,
FC CINCINNATI,Isaiah Foster,,,2024,"2025, 2026",Standard,Designated Player Model,
FC CINCINNATI,Nicholas Gioacchini,Designated Player,Loan Player,2024,,Designated Player,Designated Player Model,
FC CINCINNATI,Teenage Hadebe,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC CINCINNATI,Nick Hagglund,,,2024,,Standard,Designated Player Model,
FC CINCINNATI,Alec Kann,,,2025,,Standard,Designated Player Model,
FC CINCINNATI,Kevin Kelsy,U22 Initiative,Loan Player,2024,"PT: 2027; 2028, 2029",U22 Initiative,Designated Player Model,
FC CINCINNATI,Yuya Kubo,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC CINCINNATI,Evan Louro,,,2025,2026,Standard,Designated Player Model,
FC CINCINNATI,Matt Miazga,TAM Player,Unavailable - SEI,2025,2026,TAM Player,Designated Player Model,
FC CINCINNATI,Obinna Nwobodo,Designated Player,,2024,2025,Designated Player,Designated Player Model,
FC CINCINNATI,Luca Orellano,TAM Player,Loan Player,2024,PT: 2026; 2027,TAM Player,Designated Player Model,
FC CINCINNATI,Alvas Powell,,,2025,2026,Standard,Designated Player Model,
FC CINCINNATI,Miles Robinson,TAM Player,,2024,2025,TAM Player,Designated Player Model,
FC CINCINNATI,Sergio Santos,TAM Player,,2024,"2025, 2026",TAM Player,Designated Player Model,
FC CINCINNATI,DeAndre Yedlin,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC CINCINNATI,London Aghedo,,,2024,"2025, 2026",Standard,Designated Player Model,
FC CINCINNATI,Yamil Asad,,,2024,2025,Standard,Designated Player Model,
FC CINCINNATI,Bret Halsey,,,2024,"2025, 2026",Standard,Designated Player Model,
FC CINCINNATI,Stiven Jimenez,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
FC CINCINNATI,Kipp Keller,,,2024,"2025, 2026",Standard,Designated Player Model,
FC CINCINNATI,Ian Murphy,,,2026,2027,Standard,Designated Player Model,
FC CINCINNATI,Quimi Ordoñez,Homegrown Player,Unavailable – On Loan,2024,2025,Homegrown,Designated Player Model,
FC CINCINNATI,Malik Pinto,,,2024,"2025, 2026",Standard,Designated Player Model,
FC CINCINNATI,Gerardo Valenzuela,Homegrown Player,,2026,"2027, 2028",Homegrown,Designated Player Model,
FC CINCINNATI,Paul Walters,Homegrown Player,,2026,2027,Homegrown,Designated Player Model,
FC CINCINNATI,Joey Akpunonu,Generation adidas,Unavailable – On Loan,2024,"2025, 2026",Generation Adidas,Designated Player Model,
COLORADO RAPIDS,Lalas Abubakar,,,2024,2025,Standard,Designated Player Model,
COLORADO RAPIDS,Cole Bassett,U22 Initiative,,2027,,U22 Initiative,Designated Player Model,
COLORADO RAPIDS,Kévin Cabral,Designated Player,,2025,2026,Designated Player,Designated Player Model,
COLORADO RAPIDS,Remi Cabral,,Unavailable – On Loan,2024,2025,Standard,Designated Player Model,
COLORADO RAPIDS,Reggie Cannon,TAM Player,,2027,2028,TAM Player,Designated Player Model,
COLORADO RAPIDS,Daniel Chacón,,Unavailable - Injured List,2025,2026,Standard,Designated Player Model,
COLORADO RAPIDS,Omir Fernández,,,2026,2027,Standard,Designated Player Model,
COLORADO RAPIDS,Calvin Harris,,,2024,2025,Standard,Designated Player Model,
COLORADO RAPIDS,Jonathan Lewis,,,2024,,Standard,Designated Player Model,
COLORADO RAPIDS,Jasper Löffelsend,,,2025,2026,Standard,Designated Player Model,
COLORADO RAPIDS,Andreas Maxsø,TAM Player,,2025,2026,TAM Player,Designated Player Model,
COLORADO RAPIDS,Djordje Mihailovic,Designated Player,,2027,2028,Designated Player,Designated Player Model,
COLORADO RAPIDS,Miguel Navarro,,Unavailable – On Loan,2024,2025,Standard,Designated Player Model,
COLORADO RAPIDS,Rafael Navarro,Designated Player,,2027,2028,Designated Player,Designated Player Model,
COLORADO RAPIDS,Connor Ronan,,,2026,2027,Standard,Designated Player Model,
COLORADO RAPIDS,Keegan Rosenberry,,,2024,2025,Standard,Designated Player Model,
COLORADO RAPIDS,Zack Steffen,TAM Player,,2026,2027,TAM Player,Designated Player Model,
COLORADO RAPIDS,Sam Vines,TAM Player,,2027,,TAM Player,Designated Player Model,
COLORADO RAPIDS,Darren Yapi,,,2025,2026,Standard,Designated Player Model,
COLORADO RAPIDS,Sebastian Anderson,Homegrown Player,,2024,"2025, 2026",Homegrown,Designated Player Model,
COLORADO RAPIDS,Ethan Bandré,,,2024,"2025, 2026",Standard,Designated Player Model,
COLORADO RAPIDS,Adam Beaudry,Homegrown Player,,2027,"2028, 2029",Homegrown,Designated Player Model,
COLORADO RAPIDS,Michael Edwards,Homegrown Player,,2024,2025,Homegrown,Designated Player Model,
COLORADO RAPIDS,Wayne Frederick,,,2026,"2027, 2028",Standard,Designated Player Model,
COLORADO RAPIDS,Nate Jones,,,2024,"2025, 2026, 2027",Standard,Designated Player Model,
COLORADO RAPIDS,Oliver Larraz,Homegrown Player,,2024,2025,Homegrown,Designated Player Model,
COLORADO RAPIDS,Kimani Stewart-Baynes,Generation adidas,,2026,"2027, 2028",Generation Adidas,Designated Player Model,
COLORADO RAPIDS,Jackson Travis,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
COLUMBUS CREW,Malte Amundsen,,,2027,,Standard,Designated Player Model,
COLUMBUS CREW,Max Arfsten,,,2024,"2025, 2026",Standard,Designated Player Model,
COLUMBUS CREW,Rudy Camacho,,,2025,,Standard,Designated Player Model,
COLUMBUS CREW,Dylan Chambost,,,2026,2027,Standard,Designated Player Model,
COLUMBUS CREW,Yevhen Cheberko,TAM Player,,June 2026,2026,TAM Player,Designated Player Model,
COLUMBUS CREW,Mohamed Farsi,,,2027,2028,Standard,Designated Player Model,
COLUMBUS CREW,Cucho Hernández,Designated Player,,2025,2026,Designated Player,Designated Player Model,
COLUMBUS CREW,Andrés Herrera,TAM Player,Loan Player,June 2025,PT: 2027; 2028,TAM Player,Designated Player Model,
COLUMBUS CREW,Marino Hinestroza,U22 Initiative,Unavailable – On Loan,2026,2027,U22 Initiative,Designated Player Model,
COLUMBUS CREW,DeJuan Jones,TAM Player,,2027,,TAM Player,Designated Player Model,
COLUMBUS CREW,Derrick Jones,,,2025,2026,Standard,Designated Player Model,
COLUMBUS CREW,Alexandru Matan,U22 Initiative,,2024,,U22 Initiative,Designated Player Model,
COLUMBUS CREW,Steven Moreira,TAM Player,,2025,2026,TAM Player,Designated Player Model,
COLUMBUS CREW,Darlington Nagbe,Designated Player,,2025,2026,Designated Player,Designated Player Model,
COLUMBUS CREW,Christian Ramírez,,,2024,2025,Standard,Designated Player Model,
COLUMBUS CREW,Diego Rossi,Designated Player,,2026,2027,Designated Player,Designated Player Model,
COLUMBUS CREW,Yaw Yeboah,TAM Player,,2024,2025,TAM Player,Designated Player Model,
COLUMBUS CREW,Sean Zawadzki,Homegrown Player,,2027,,Homegrown,Designated Player Model,
COLUMBUS CREW,Evan Bush,,,2024,,Standard,Designated Player Model,
COLUMBUS CREW,Taha Habroune,Homegrown Player,,2027,2028,Homegrown,Designated Player Model,
COLUMBUS CREW,Nicholas Hagen,,,2024,"2025, 2026",Standard,Designated Player Model,
COLUMBUS CREW,Aziel Jackson,,,2024,2025,Standard,Designated Player Model,
COLUMBUS CREW,Cole Mrowka,Homegrown Player,Unavailable – On Loan,2026,"2027, 2028",Homegrown,Designated Player Model,
COLUMBUS CREW,Abraham Romero,,,2024,2025,Standard,Designated Player Model,
COLUMBUS CREW,Jacen Russell-Rowe,Homegrown Player,,2024,"2025, 2026",Homegrown,Designated Player Model,
COLUMBUS CREW,Patrick Schulte,Generation adidas,,2024,2025,Generation Adidas,Designated Player Model,
COLUMBUS CREW,Keegan Hughes,Homegrown Player,Unavailable – On Loan,2024,"2025, 2026",Homegrown,Designated Player Model,
FC DALLAS,Eugene Ansah,,,2024,2025,Standard,Designated Player Model,
FC DALLAS,Paul Arriola,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC DALLAS,Manuel Cafumana,,Loan Player,June 2025,,Standard,Designated Player Model,
FC DALLAS,Geovane de Jesus,U22 Initiative,,2026,2027,U22 Initiative,Designated Player Model,
FC DALLAS,Patrickson Delgado,,Loan Player,2024,,Standard,Designated Player Model,
FC DALLAS,Marco Farfan,,,2025,2026,Standard,Designated Player Model,
FC DALLAS,Jesús Ferreira,Designated Player,,2025,2026,Designated Player,Designated Player Model,
FC DALLAS,Liam Fraser,,Unavailable – SEI,2024,2025,Standard,Designated Player Model,
FC DALLAS,Sebastien Ibeagha,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Asier Illarramendi,,,2024,,Standard,Designated Player Model,
FC DALLAS,Sam Junqua,,,2024,2025,Standard,Designated Player Model,
FC DALLAS,Bernard Kamungo,,,2025,"2026, 2027",Standard,Designated Player Model,
FC DALLAS,Sebastian Lletget,TAM Player,,2025,2026,TAM Player,Designated Player Model,
FC DALLAS,Petar Musa,Designated Player,,2027,2028,Designated Player,Designated Player Model,
FC DALLAS,Maarten Paes,,,2026,"2027, 2028",Standard,Designated Player Model,
FC DALLAS,Paxton Pomykal,TAM Player,Unavailable – SEI,2026,2027,TAM Player,Designated Player Model,
FC DALLAS,Ruan,,,2024,,Standard,Designated Player Model,
FC DALLAS,Enes Sali,U22 Initiative,,2027,2028,U22 Initiative,Designated Player Model,
FC DALLAS,Dante Sealy,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Nkosi Tafari,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Ema Twumasi,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Alan Velasco,Young Designated Player,,2025,2026,Designated Player,Designated Player Model,
FC DALLAS,Antonio Carrera,Homegrown Player,,2024,"2025, 2026",Homegrown,Designated Player Model,
FC DALLAS,Herbert Endeley,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Logan Farrington,,,2024,"2025, 2026, 2027",Standard,Designated Player Model,
FC DALLAS,Omar Gonzalez,,,2024,2025,Standard,Designated Player Model,
FC DALLAS,Amet Korça,,,2024,"2025, 2026",Standard,Designated Player Model,
FC DALLAS,Jimmy Maurer,,,2024,,Standard,Designated Player Model,
FC DALLAS,Nolan Norris,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
FC DALLAS,Tsiki Ntsabeleng,,,2024,2025,Standard,Designated Player Model,
FC DALLAS,Tomas Pondeca,,,2025,"2026, 2027",Standard,Designated Player Model,
FC DALLAS,Carl Sainté,,,2025,"2026, 2027",Standard,Designated Player Model,
FC DALLAS,Isaiah Parker,Generation adidas,Unavailable – On Loan,2024,"2025, 2026",Generation Adidas,Designated Player Model,
FC DALLAS,Malik Henry-Scott,Homegrown Player,,2024,"2025, 2026, 2027",Homegrown,Designated Player Model,
FC DALLAS,Tarik Scott,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
FC DALLAS,Alejandro Urzua,Homegrown Player,,2025,"2026, 2027, 2028",Homegrown,Designated Player Model,
D.C. UNITED,Conner Antley,,,2025,2026,Standard,Designated Player Model,
D.C. UNITED,Dominique Badji,,,2026,2027,Standard,Designated Player Model,
D.C. UNITED,Christian Benteke,Designated Player,,2025,2026,Designated Player,Designated Player Model,
D.C. UNITED,Alex Bono,,,2024,2025,Standard,Designated Player Model,
D.C. UNITED,Russell Canouse,,,2024,,Standard,Designated Player Model,
D.C. UNITED,Cristian Dájome,,,2024,2025,Standard,Designated Player Model,
D.C. UNITED,Boris Enow,TAM Player,,2027,2028,TAM Player,Designated Player Model,
D.C. UNITED,Aaron Herrera,,,2024,"2025, 2026",Standard,Designated Player Model,
D.C. UNITED,Mateusz Klich,Designated Player,,2024,2025,Designated Player,Designated Player Model,
D.C. UNITED,Theodore Ku-Dipietro,U22 Initiative,,2027,2028,U22 Initiative,Designated Player Model,
D.C. UNITED,Christopher McVey,,,2024,2025,Standard,Designated Player Model,
D.C. UNITED,Tyler Miller,,,2024,2025,Standard,Designated Player Model,
D.C. UNITED,Matti Peltola,Young Designated Player,,2027,2028,Designated Player,Designated Player Model,
D.C. UNITED,Gabriel Pirani,U22 Initiative,,2025,"2026, 2027",U22 Initiative,Designated Player Model,
D.C. UNITED,Martín Rodríguez,TAM Player,,2024,2025,TAM Player,Designated Player Model,
D.C. UNITED,Pedro Santos,TAM Player,,2024,,TAM Player,Designated Player Model,
D.C. UNITED,David Schnegg,,,2026,2027,Standard,Designated Player Model,
D.C. UNITED,Jared Stroud,,,2026,2027,Standard,Designated Player Model,
D.C. UNITED,Luis Zamudio,,,2024,2025,Standard,Designated Player Model,
D.C. UNITED,Matai Akinmboni,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
D.C. UNITED,Lucas Bartlett,,,2027,2028,Standard,Designated Player Model,
D.C. UNITED,Nathan Crockford,,,2024,"2025, 2026, 2027",Standard,Designated Player Model,
D.C. UNITED,Kristian Fletcher,Homegrown Player,Unavailable – On Loan,2025,2026,Homegrown,Designated Player Model,
D.C. UNITED,Jeremy Garay,Homegrown Player,,2024,"2025, 2026",Homegrown,Designated Player Model,
D.C. UNITED,Jackson Hopkins,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
D.C. UNITED,Jacob Murrell,,,2026,"2027, 2028",Standard,Designated Player Model,
D.C. UNITED,Hayden Sargis,,,2024,"2025, 2026",Standard,Designated Player Model,
D.C. UNITED,Garrison Tubbs,Homegrown Player,,2024,"2025, 2026, 2027",Homegrown,Designated Player Model,
HOUSTON DYNAMO FC,Ibrahim Aliyu,U22 Initiative,,2025,"2026, 2027",U22 Initiative,Designated Player Model,
HOUSTON DYNAMO FC,Artur,TAM Player,,2025,"2026, 2027",TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Exon Arzú,,,2026,"2027, 2028, 2029",Standard,Designated Player Model,
HOUSTON DYNAMO FC,Ethan Bartlow,,,2025,2026,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Amine Bassi,TAM Player,,2024,"2025, 2026",TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Latif Blessing,TAM Player,,2024,2025,TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Adalberto Carrasquilla,TAM Player,,2025,"2026, 2027",TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Steve Clark,TAM Player,,2024,2025,TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Griffin Dorsey,,,2025,2026,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Lawrence Ennali,U22 Initiative,Unavailable – SEI,2026,2027,U22 Initiative,Designated Player Model,
HOUSTON DYNAMO FC,Franco Escobar,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Sebastián Ferreira,Designated Player,,2025,2026,Designated Player,Designated Player Model,
HOUSTON DYNAMO FC,Héctor Herrera,Designated Player,,2024,2025,Designated Player,Designated Player Model,
HOUSTON DYNAMO FC,Sebastian Kowalczyk,TAM Player,,2024,"2025, 2026",TAM Player,Designated Player Model,
HOUSTON DYNAMO FC,Micael,,,2024,"2025, 2026",Standard,Designated Player Model,
HOUSTON DYNAMO FC,Junior Moreno,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Ezequiel Ponce,Designated Player,,June 2027,"2027, 2028",Designated Player,Designated Player Model,
HOUSTON DYNAMO FC,Nelson Quiñones,U22 Initiative,Unavailable – SEI,2025,2026,U22 Initiative,Designated Player Model,
HOUSTON DYNAMO FC,Brad Smith,,,2024,"2025, 2026",Standard,Designated Player Model,
HOUSTON DYNAMO FC,Daniel Steres,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Erik Sviatchenko,Designated Player,,2024,2025,Designated Player,Designated Player Model,
HOUSTON DYNAMO FC,Andrew Tarbell,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Stephen Annor Gyamfi,Generation adidas,Unavailable – On Loan,2025,"2026, 2027",Generation Adidas,Designated Player Model,
HOUSTON DYNAMO FC,McKinze Gaines,,,2024,,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Ján Greguš,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Brooklyn Raines,Homegrown Player,,2025,2026,Homegrown,Designated Player Model,
HOUSTON DYNAMO FC,Kieran Sargeant,Homegrown Player,,2025,"2026, 2027",Homegrown,Designated Player Model,
HOUSTON DYNAMO FC,Tate Schmitt,Homegrown Player,,2024,2025,Homegrown,Designated Player Model,
HOUSTON DYNAMO FC,Gabe Segal,,,2024,2025,Standard,Designated Player Model,
HOUSTON DYNAMO FC,Ousmane Sylla,,Unavailable – On Loan,2024,"2025, 2026, 2027",Standard,Designated Player Model,
HOUSTON DYNAMO FC,Xavier Valdez,Homegrown Player,,2024,2025,Homegrown,Designated Player Model,
HOUSTON DYNAMO FC,Jefferson Valverde,,,2025,"2026, 2027",Standard,Designated Player Model,
SPORTING KANSAS CITY,William Agada,,,2024,2025,Standard,Designated Player Model,
SPORTING KANSAS CITY,Zorhan Bassong,,,2024,"2025, 2026",Standard,Designated Player Model,
SPORTING KANSAS CITY,Joaquin Fernandez,,,2025,,Standard,Designated Player Model,
SPORTING KANSAS CITY,Andreu Fontàs,,,2024,,Standard,Designated Player Model,
SPORTING KANSAS CITY,Tim Leibold,,,2025,2026,Standard,Designated Player Model,
SPORTING KANSAS CITY,Tim Melia,,,2024,,Standard,Designated Player Model,
SPORTING KANSAS CITY,Logan Ndenbe,U22 Initiative,,2024,2025,U22 Initiative,Designated Player Model,
SPORTING KANSAS CITY,Alan Pulido,Designated Player,,2026,,Designated Player,Designated Player Model,
SPORTING KANSAS CITY,John Pulskamp,,,2025,2026,Standard,Designated Player Model,
SPORTING KANSAS CITY,Nemanja Radoja,Designated Player,,2025,2026,Designated Player,Designated Player Model,
SPORTING KANSAS CITY,Dany Rosero,TAM Player,,2025,2026,TAM Player,Designated Player Model,
