0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Matches PlayedMatches Played by the player or squad,Game or games started by player,Minutes,90s Played90s playedMinutes played divided by 90,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Penalty Kicks MadePenalty Kicks Made,Penalty Kicks AttemptedPenalty Kicks Attempted,Yellow CardsYellow Cards,Red CardsRed Cards,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",Progression_PrgC,Progression_PrgP,Progression_PrgR,GoalsGoals scored or allowed,AssistsAssists,Goals + AssistsGoals and Assists,Non-Penalty GoalsNon-Penalty Goals,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader","npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.","npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader",36_Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,10,4,518,5.8,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.05,0.05,0.00,0.05,0.17,1.90,0.17,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,23,15,1406,15.6,0.00,0.06,0.06,0.00,0.00,0.00,0.06,0.06,0.05,0.05,0.01,0.06,0.06,1.22,0.00,0.00,0.06,0.06,0.00,0.06,0.05,0.01,0.06,0.05,0.06,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,7,6,585,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Simon Becher,us USA,"FW,MF",Vancouver W'caps,23,1999,19,5,613,6.8,0.59,0.15,0.74,0.59,0.00,0.00,0.00,0.00,0.35,0.35,0.18,0.53,0.88,1.76,7.06,0.59,0.15,0.73,0.59,0.73,0.35,0.18,0.53,0.35,0.53,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,28,25,2007,22.3,0.00,0.18,0.18,0.00,0.00,0.00,0.27,0.00,0.10,0.10,0.14,0.24,1.97,5.02,6.41,0.00,0.18,0.18,0.00,0.18,0.10,0.14,0.24,0.10,0.24,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,12,7,607,6.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.60,3.13,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,3,2,142,1.6,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,1,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.50,0.50,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Ben Bender,us USA,"MF,FW",Charlotte,21,2001,17,11,906,10.1,0.30,0.20,0.50,0.30,0.00,0.00,0.10,0.00,0.15,0.15,0.13,0.27,2.48,4.85,9.31,0.30,0.20,0.50,0.30,0.50,0.15,0.13,0.27,0.15,0.27,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,8,7,688,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31,31,2788,31.0,0.45,0.10,0.55,0.42,0.03,0.03,0.26,0.00,0.53,0.50,0.14,0.64,1.13,2.42,5.29,0.45,0.10,0.55,0.42,0.52,0.53,0.14,0.66,0.50,0.64,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,28,11,1299,14.4,0.14,0.14,0.28,0.14,0.00,0.00,0.42,0.00,0.06,0.06,0.13,0.20,0.83,5.56,1.60,0.14,0.14,0.28,0.14,0.28,0.07,0.13,0.20,0.07,0.20,Matches
93,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,28,1994,31,31,2601,28.9,0.17,0.07,0.24,0.14,0.03,0.03,0.24,0.03,0.17,0.15,0.19,0.34,4.05,3.91,9.13,0.17,0.07,0.24,0.14,0.21,0.17,0.20,0.37,0.15,0.34,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,27,10,1037,11.5,0.09,0.00,0.09,0.09,0.00,0.00,0.09,0.00,0.05,0.05,0.05,0.10,0.70,1.22,2.96,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.10,0.05,0.10,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,2,0,23,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.24,0.23,0.47,0.24,0.47,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19,19,1710,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,22,20,1610,17.9,0.06,0.00,0.06,0.06,0.00,0.00,0.11,0.06,0.06,0.06,0.04,0.11,0.11,1.90,0.34,0.06,0.00,0.06,0.06,0.06,0.06,0.04,0.11,0.06,0.11,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,30,13,1345,14.9,0.20,0.07,0.27,0.20,0.00,0.00,0.13,0.00,0.23,0.23,0.17,0.41,5.17,2.28,10.3,0.20,0.07,0.27,0.20,0.27,0.24,0.17,0.40,0.24,0.40,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,30,28,2520,28.0,0.07,0.00,0.07,0.07,0.00,0.00,0.18,0.00,0.05,0.05,0.01,0.06,0.64,3.39,0.11,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,27,27,2372,26.4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,34,1988,17,2,438,4.9,0.20,0.20,0.41,0.20,0.00,0.00,0.41,0.00,0.14,0.14,0.27,0.43,3.88,4.08,12.2,0.21,0.21,0.41,0.21,0.41,0.15,0.27,0.42,0.15,0.42,Matches
102,Latif Blessing,gh GHA,"FW,MF",Toronto FC,26,1996,5,1,155,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.06,0.24,0.59,3.53,6.47,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.16,0.22,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,15,14,1033,11.5,0.00,0.09,0.09,0.00,0.00,0.00,0.35,0.09,0.03,0.03,0.05,0.09,0.78,3.39,1.48,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.09,0.03,0.09,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,26,21,1915,21.3,0.05,0.00,0.05,0.05,0.00,0.00,0.28,0.00,0.02,0.02,0.01,0.03,0.38,3.80,0.80,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03,Matches
105,Emmanuel Boateng,gh GHA,"FW,MF",NE Revolution,29,1994,27,16,1437,16.0,0.13,0.13,0.25,0.13,0.00,0.00,0.06,0.00,0.21,0.21,0.19,0.39,2.88,2.69,9.25,0.13,0.13,0.25,0.13,0.25,0.21,0.19,0.39,0.21,0.39,Matches
106,Israel Boatwright,do DOM,"MF,DF",Inter Miami,17,2005,2,0,76,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.25,8.75,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
107,Mateusz Bogusz,pl POL,"MF,FW",LAFC,21,2001,28,20,1739,19.3,0.16,0.16,0.31,0.10,0.05,0.05,0.31,0.00,0.20,0.16,0.22,0.38,2.90,5.70,6.58,0.16,0.16,0.31,0.10,0.26,0.20,0.22,0.42,0.16,0.38,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,29,18,1457,16.2,0.43,0.06,0.49,0.43,0.00,0.00,0.31,0.00,0.41,0.41,0.07,0.48,1.73,1.79,6.60,0.43,0.06,0.49,0.43,0.49,0.41,0.07,0.48,0.41,0.48,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,1,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,11,8,751,8.3,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.12,0.17,0.17,0.06,0.24,1.45,3.86,1.33,0.00,0.00,0.00,0.00,0.00,0.17,0.06,0.23,0.17,0.23,Matches
111,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,24,24,2049,22.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
112,Pablo Bonilla,ve VEN,DF,Portland Timbers,23,1999,2,1,75,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.13,0.13,1.25,2.50,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches
113,Alex Bono,us USA,GK,D.C. United,28,1994,10,9,855,9.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Shanyder Borgelin,ht HAI,FW,Inter Miami,21,2001,10,0,144,1.6,0.63,0.00,0.63,0.63,0.00,0.00,0.00,0.00,0.81,0.81,0.13,0.94,0.63,1.25,5.00,0.62,0.00,0.62,0.62,0.62,0.83,0.12,0.94,0.83,0.94,Matches
115,Dylan Borrero,co COL,"FW,MF",NE Revolution,21,2002,8,7,510,5.7,0.35,0.00,0.35,0.35,0.00,0.00,0.35,0.18,0.18,0.18,0.11,0.28,4.91,3.86,9.12,0.35,0.00,0.35,0.35,0.35,0.17,0.11,0.29,0.17,0.29,Matches
116,Gustavo Bou,ar ARG,"FW,MF",NE Revolution,32,1990,19,14,1263,14.0,0.50,0.29,0.79,0.43,0.07,0.07,0.00,0.00,0.34,0.29,0.16,0.44,2.86,2.79,7.71,0.50,0.29,0.78,0.43,0.71,0.34,0.16,0.50,0.28,0.44,Matches
117,Denis Bouanga,ga GAB,FW,LAFC,28,1994,31,28,2530,28.1,0.71,0.21,0.93,0.60,0.11,0.11,0.11,0.00,0.51,0.43,0.29,0.72,5.16,2.88,11.5,0.71,0.21,0.92,0.60,0.82,0.51,0.29,0.80,0.43,0.72,Matches
118,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,22,2000,15,0,150,1.7,0.59,0.00,0.59,0.59,0.00,0.00,1.18,0.00,0.53,0.53,0.06,0.59,1.18,1.18,7.65,0.60,0.00,0.60,0.60,0.60,0.55,0.05,0.60,0.55,0.60,Matches
119,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,1996,10,6,606,6.7,0.75,0.00,0.75,0.75,0.00,0.00,0.30,0.00,0.82,0.82,0.10,0.93,2.24,3.28,5.67,0.74,0.00,0.74,0.74,0.74,0.81,0.11,0.92,0.81,0.92,Matches
120,Michael Boxall,nz NZL,DF,Minnesota Utd,34,1988,32,32,2855,31.7,0.06,0.00,0.06,0.06,0.00,0.00,0.28,0.00,0.05,0.05,0.01,0.07,0.57,2.46,0.13,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.07,0.05,0.07,Matches
121,Tyler Boyd,us USA,"FW,MF",LA Galaxy,28,1994,34,28,2319,25.8,0.27,0.16,0.43,0.27,0.00,0.00,0.12,0.00,0.16,0.16,0.28,0.44,4.03,3.26,10.1,0.27,0.16,0.43,0.27,0.43,0.16,0.28,0.44,0.16,0.44,Matches
122,Michael Bradley,us USA,"MF,DF",Toronto FC,35,1987,17,17,1441,16.0,0.06,0.06,0.13,0.06,0.00,0.00,0.13,0.00,0.05,0.05,0.03,0.07,0.19,2.81,0.50,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07,Matches
123,Chris Brady,us USA,GK,Chicago Fire,18,2004,30,30,2639,29.3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
124,Zachary Brault-Guillard,ca CAN,"DF,MF",CF Montréal,24,1998,24,14,1308,14.5,0.07,0.07,0.14,0.07,0.00,0.00,0.00,0.00,0.10,0.10,0.21,0.30,1.86,3.38,8.48,0.07,0.07,0.14,0.07,0.14,0.09,0.21,0.30,0.09,0.30,Matches
125,Claudio Bravo,ar ARG,DF,Portland Timbers,25,1997,29,27,2328,25.9,0.08,0.04,0.12,0.08,0.00,0.00,0.31,0.00,0.03,0.03,0.03,0.07,2.36,5.83,2.20,0.08,0.04,0.12,0.08,0.12,0.03,0.03,0.07,0.03,0.07,Matches
126,Luke Brennan,us USA,MF,Atlanta Utd,17,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
127,Brenner,br BRA,FW,FC Cincinnati,23,2000,8,6,534,5.9,0.17,0.00,0.17,0.17,0.00,0.00,0.34,0.00,0.37,0.37,0.14,0.51,1.36,4.24,6.44,0.17,0.00,0.17,0.17,0.17,0.37,0.13,0.50,0.37,0.50,Matches
128,Ethan Bristow,kn SKN,DF,Minnesota Utd,21,2001,9,6,541,6.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.00,0.00,0.02,0.02,2.00,2.50,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
129,Andrew Brody,us USA,DF,Real Salt Lake,27,1995,29,25,2265,25.2,0.00,0.08,0.08,0.00,0.00,0.00,0.12,0.00,0.04,0.04,0.08,0.13,3.25,5.32,5.28,0.00,0.08,0.08,0.00,0.08,0.04,0.08,0.13,0.04,0.13,Matches
130,Brandt Bronico,us USA,MF,Charlotte,27,1995,32,30,2590,28.8,0.03,0.03,0.07,0.03,0.00,0.00,0.17,0.00,0.05,0.05,0.06,0.11,1.67,4.38,3.85,0.03,0.03,0.07,0.03,0.07,0.05,0.06,0.11,0.05,0.11,Matches
131,Javain Brown,jm JAM,DF,Vancouver W'caps,23,1999,25,21,1767,19.6,0.05,0.05,0.10,0.05,0.00,0.00,0.20,0.00,0.08,0.07,0.05,0.12,1.17,2.86,3.21,0.05,0.05,0.10,0.05,0.10,0.08,0.05,0.13,0.07,0.12,Matches
132,Gastón Brugman,uy URU,MF,LA Galaxy,30,1992,22,21,1895,21.1,0.09,0.05,0.14,0.05,0.05,0.05,0.14,0.00,0.09,0.05,0.10,0.15,2.42,9.10,1.75,0.09,0.05,0.14,0.05,0.09,0.09,0.10,0.19,0.05,0.15,Matches
133,Will Bruin,us USA,FW,Austin,33,1989,19,2,353,3.9,0.77,0.26,1.03,0.77,0.00,0.00,0.51,0.00,0.54,0.54,0.08,0.62,0.26,1.03,2.56,0.76,0.25,1.02,0.76,1.02,0.54,0.07,0.61,0.54,0.61,Matches
134,Noel Buck,eng ENG,"MF,FW",NE Revolution,17,2005,25,20,1754,19.5,0.15,0.05,0.21,0.15,0.00,0.00,0.21,0.00,0.04,0.04,0.06,0.10,2.46,3.90,2.82,0.15,0.05,0.21,0.15,0.21,0.04,0.06,0.10,0.04,0.10,Matches
135,Teal Bunbury,us USA,FW,Nashville SC,32,1990,31,20,1648,18.3,0.16,0.05,0.22,0.16,0.00,0.00,0.38,0.00,0.34,0.34,0.07,0.42,1.04,1.09,6.17,0.16,0.05,0.22,0.16,0.22,0.35,0.07,0.41,0.35,0.41,Matches
136,Cory Burke,jm JAM,FW,NY Red Bulls,31,1991,23,11,975,10.8,0.19,0.00,0.19,0.19,0.00,0.00,0.28,0.00,0.44,0.44,0.08,0.53,1.39,1.57,3.89,0.18,0.00,0.18,0.18,0.18,0.44,0.08,0.52,0.44,0.52,Matches
137,Roman Bürki,ch SUI,GK,St. Louis,32,1990,33,33,2970,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
138,Kendall Burks,us USA,"DF,MF",Chicago Fire,23,1999,9,5,510,5.7,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.07,0.07,0.00,0.07,0.70,1.23,0.35,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
139,Sergio Busquets,es ESP,MF,Inter Miami,34,1988,11,10,931,10.3,0.00,0.10,0.10,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.09,0.09,0.97,6.89,1.07,0.00,0.10,0.10,0.00,0.10,0.00,0.08,0.09,0.00,0.09,Matches
140,Brandon Bye,us USA,DF,NE Revolution,27,1995,19,19,1665,18.5,0.11,0.05,0.16,0.11,0.00,0.00,0.05,0.00,0.09,0.09,0.13,0.22,2.65,3.78,5.03,0.11,0.05,0.16,0.11,0.16,0.09,0.13,0.22,0.09,0.22,Matches
141,Nathan Byrne,eng ENG,DF,Charlotte,30,1992,31,29,2599,28.9,0.00,0.03,0.03,0.00,0.00,0.00,0.24,0.00,0.01,0.01,0.02,0.03,1.38,5.05,1.73,0.00,0.03,0.03,0.00,0.03,0.01,0.02,0.03,0.01,0.03,Matches
142,Jorge Cabezas,co COL,"FW,MF",NY Red Bulls,19,2003,5,1,120,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,0.77,1.54,4.62,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
143,Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,23,1999,27,14,1177,13.1,0.15,0.00,0.15,0.15,0.00,0.00,0.61,0.00,0.27,0.27,0.06,0.33,1.76,1.15,4.27,0.15,0.00,0.15,0.15,0.15,0.27,0.06,0.33,0.27,0.33,Matches
144,Rémi Cabral,fr FRA,DF,Colorado Rapids,23,1999,1,0,12,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
145,Martín Cáceres,uy URU,DF,LA Galaxy,35,1987,15,15,1308,14.5,0.14,0.00,0.14,0.14,0.00,0.00,0.21,0.07,0.03,0.03,0.00,0.03,0.21,2.76,0.21,0.14,0.00,0.14,0.14,0.14,0.03,0.00,0.04,0.03,0.04,Matches
146,Deiber Caicedo,co COL,"MF,FW",Vancouver W'caps,22,2000,15,0,196,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.45,0.09,0.55,5.45,4.09,9.55,0.00,0.00,0.00,0.00,0.00,0.48,0.09,0.57,0.48,0.57,Matches
147,Luís Caicedo,co COL,MF,Houston Dynamo,26,1996,25,11,1214,13.5,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.01,0.01,0.00,0.01,0.07,3.56,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
148,Scott Caldwell,us USA,MF,Real Salt Lake,31,1991,4,3,174,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
149,Lucas Calegari,br BRA,DF,LA Galaxy,20,2002,22,22,1934,21.5,0.00,0.05,0.05,0.00,0.00,0.00,0.09,0.00,0.03,0.03,0.10,0.13,1.49,4.42,4.56,0.00,0.05,0.05,0.00,0.05,0.03,0.10,0.14,0.03,0.14,Matches
150,Noel Caliskan,de GER,MF,Portland Timbers,22,2000,4,2,265,2.9,0.00,0.34,0.34,0.00,0.00,0.00,0.34,0.00,0.03,0.03,0.07,0.14,1.38,3.10,2.07,0.00,0.34,0.34,0.00,0.34,0.04,0.08,0.12,0.04,0.12,Matches
151,Drake Callender,us USA,GK,Inter Miami,25,1997,33,33,2970,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
152,Rudy Camacho,fr FRA,DF,Columbus Crew,31,1991,11,8,788,8.8,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.01,0.01,0.00,0.01,0.34,3.52,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
153,Rudy Camacho,fr FRA,"DF,MF",CF Montréal,31,1991,20,19,1610,17.9,0.06,0.00,0.06,0.06,0.00,0.00,0.28,0.06,0.03,0.03,0.01,0.03,0.28,2.85,0.34,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.04,0.03,0.04,Matches
154,Brandon Cambridge,us USA,"FW,DF",Charlotte,20,2002,9,0,136,1.5,1.33,0.00,1.33,1.33,0.00,0.00,0.00,0.00,0.53,0.53,0.00,0.53,6.00,0.00,13.3,1.32,0.00,1.32,1.32,1.32,0.53,0.00,0.53,0.53,0.53,Matches
155,Leonardo Campana,ec ECU,FW,Inter Miami,22,2000,26,17,1636,18.2,0.49,0.16,0.66,0.38,0.11,0.16,0.22,0.00,0.48,0.35,0.12,0.47,0.93,2.14,5.00,0.50,0.17,0.66,0.39,0.55,0.48,0.12,0.60,0.35,0.47,Matches
156,George Campbell,us USA,DF,CF Montréal,21,2001,26,21,1854,20.6,0.05,0.10,0.15,0.05,0.00,0.00,0.24,0.00,0.02,0.02,0.01,0.03,1.17,4.56,0.53,0.05,0.10,0.15,0.05,0.15,0.02,0.01,0.03,0.02,0.03,Matches
157,Russell Canouse,us USA,MF,D.C. United,27,1995,27,27,2210,24.6,0.00,0.04,0.04,0.00,0.00,0.00,0.33,0.00,0.02,0.02,0.01,0.02,0.37,4.31,0.93,0.00,0.04,0.04,0.00,0.04,0.02,0.01,0.03,0.02,0.03,Matches
158,Antonio Carlos,br BRA,DF,Orlando City,29,1993,18,16,1412,15.7,0.06,0.00,0.06,0.06,0.00,0.00,0.38,0.00,0.06,0.06,0.00,0.06,0.76,4.01,0.13,0.06,0.00,0.06,0.06,0.06,0.05,0.00,0.05,0.05,0.05,Matches
159,Wikelman Carmona,ve VEN,"FW,MF",NY Red Bulls,19,2003,17,6,666,7.4,0.14,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.18,0.18,0.08,0.26,1.76,2.57,7.16,0.14,0.00,0.14,0.14,0.14,0.17,0.08,0.25,0.17,0.25,Matches
160,Julián Carranza,ar ARG,FW,Philadelphia Union,22,2000,31,28,2487,27.6,0.51,0.18,0.69,0.51,0.00,0.00,0.29,0.07,0.44,0.44,0.14,0.59,1.23,2.36,7.28,0.51,0.18,0.69,0.51,0.69,0.44,0.14,0.59,0.44,0.59,Matches
161,Adalberto Carrasquilla,pa PAN,"FW,MF",Houston Dynamo,24,1998,25,22,2030,22.6,0.13,0.22,0.35,0.13,0.00,0.00,0.40,0.00,0.13,0.13,0.16,0.29,2.70,7.08,4.87,0.13,0.22,0.35,0.13,0.35,0.13,0.16,0.29,0.13,0.29,Matches
162,Wilder Cartagena,pe PER,MF,Orlando City,28,1994,24,23,1902,21.1,0.05,0.05,0.09,0.05,0.00,0.00,0.38,0.05,0.03,0.03,0.07,0.10,0.38,5.69,0.71,0.05,0.05,0.09,0.05,0.09,0.03,0.07,0.10,0.03,0.10,Matches
163,Javier Casas,us USA,MF,Chicago Fire,19,2003,3,0,55,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,6.67,5.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
164,Julio Cascante,cr CRC,DF,Austin,29,1993,24,24,2063,22.9,0.09,0.09,0.17,0.09,0.00,0.00,0.22,0.00,0.08,0.08,0.03,0.11,0.39,3.76,0.09,0.09,0.09,0.17,0.09,0.17,0.08,0.03,0.11,0.08,0.11,Matches
165,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,23,2000,17,16,1440,16.0,0.06,0.06,0.13,0.06,0.00,0.00,0.44,0.00,0.07,0.07,0.22,0.29,1.69,7.63,2.50,0.06,0.06,0.12,0.06,0.12,0.08,0.22,0.29,0.08,0.29,Matches
166,Robert Castellanos,us USA,DF,Sporting KC,24,1998,12,7,701,7.8,0.13,0.00,0.13,0.13,0.00,0.00,0.13,0.13,0.04,0.04,0.00,0.04,0.00,1.92,0.13,0.13,0.00,0.13,0.13,0.13,0.04,0.00,0.04,0.04,0.04,Matches
