0_Rk,1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,7_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,24_Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-257,1995,14.9,1.34,1.34,0.94,0.13,0.07,0.07,0.13,0.00,0.20,0.20,0.07,0.00,0.07,0.00,0.07,0.00,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-087,2001,24.5,2.98,2.98,2.33,0.00,0.41,0.08,0.16,0.00,0.41,0.41,0.33,0.00,0.08,0.00,0.00,0.00,Matches
35,Seth Antwi,gh GHA,MF,St. Louis,26-025,1999,0.2,5.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-116,1996,18.9,1.01,1.01,0.85,0.05,0.05,0.00,0.05,0.00,0.21,0.21,0.16,0.00,0.05,0.00,0.00,0.00,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-103,2007,2.1,0.95,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-270,1995,28.3,3.43,3.42,2.12,0.11,0.25,0.60,0.28,0.07,0.53,0.53,0.39,0.00,0.04,0.04,0.07,0.00,Matches
39,César Araujo,uy URU,MF,Orlando City,24-246,2001,20.0,2.65,2.65,1.95,0.10,0.00,0.25,0.20,0.15,0.35,0.35,0.25,0.00,0.00,0.05,0.05,0.00,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-229,2001,28.5,3.09,3.09,2.49,0.11,0.28,0.11,0.07,0.04,0.42,0.42,0.42,0.00,0.00,0.00,0.00,0.00,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-285,1995,15.7,1.91,1.90,1.02,0.00,0.13,0.64,0.13,0.00,0.25,0.25,0.13,0.00,0.00,0.13,0.00,0.00,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-302,1995,0.8,1.25,1.20,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-268,1996,31.7,1.58,1.58,1.51,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-307,2002,19.7,1.88,1.88,1.83,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-169,1997,25.2,4.09,4.09,3.25,0.44,0.08,0.16,0.12,0.04,0.60,0.60,0.52,0.00,0.00,0.00,0.04,0.04,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-255,2003,13.6,2.13,2.14,1.76,0.07,0.00,0.07,0.07,0.15,0.07,0.07,0.00,0.00,0.00,0.07,0.00,0.00,Matches
47,Tomás Avilés,ar ARG,DF,Inter Miami,21-304,2004,13.3,0.53,0.53,0.45,0.08,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-337,1997,19.7,0.66,0.66,0.56,0.00,0.00,0.10,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-243,2001,17.2,0.35,0.35,0.29,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-131,2002,29.2,1.68,1.68,1.23,0.00,0.07,0.17,0.07,0.14,0.07,0.07,0.00,0.00,0.00,0.07,0.00,0.00,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-049,1992,8.3,1.20,1.20,0.96,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-268,2006,10.0,2.10,2.10,1.40,0.00,0.00,0.20,0.30,0.20,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,Matches
53,Corey Baird,us USA,FW,San Diego FC,29-308,1996,2.9,1.38,1.37,1.03,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-308,1996,4.7,2.98,2.99,2.13,0.43,0.00,0.43,0.00,0.00,0.43,0.43,0.00,0.00,0.00,0.43,0.00,0.00,Matches
55,Cody Baker,us USA,"DF,MF",Seattle Sounders,21-331,2004,1.3,0.77,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Reed Baker-Whiting,us USA,DF,Seattle Sounders,20-248,2005,6.0,2.00,1.98,1.83,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,Matches
57,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-325,2001,6.7,2.24,2.25,1.79,0.00,0.00,0.30,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
58,Alexandru Băluță,ro ROU,"MF,FW",LAFC,32-082,1993,0.2,5.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
59,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-253,1996,27.3,4.14,4.14,3.30,0.07,0.18,0.29,0.26,0.04,0.48,0.48,0.33,0.00,0.07,0.00,0.04,0.04,Matches
60,Fidel Barajas,mx MEX,FW,D.C. United,19-243,2006,0.4,7.50,7.11,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Jesús Barea,es ESP,FW,Real Salt Lake,23-220,2002,2.9,3.79,3.76,1.38,0.34,0.00,1.03,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Tai Baribo,il ISR,FW,Philadelphia Union,27-323,1998,20.7,2.17,2.17,1.79,0.05,0.05,0.19,0.10,0.00,0.19,0.19,0.14,0.00,0.00,0.05,0.00,0.00,Matches
63,Tom Barlow,us USA,"FW,MF",Chicago Fire,30-149,1995,4.1,1.46,1.45,0.98,0.00,0.00,0.24,0.24,0.00,0.24,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Matches
64,Luis Barraza,us USA,GK,D.C. United,29-026,1996,23.2,0.22,0.22,0.17,0.04,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,Matches
65,Leonardo Barroso,pt POR,DF,Chicago Fire,20-175,2005,11.6,1.64,1.64,1.29,0.00,0.09,0.26,0.00,0.00,0.34,0.34,0.17,0.00,0.00,0.17,0.00,0.00,Matches
66,Jacob Bartlett,us USA,MF,Sporting KC,20-058,2005,21.5,1.58,1.58,0.65,0.84,0.00,0.05,0.00,0.05,0.14,0.14,0.09,0.05,0.00,0.00,0.00,0.00,Matches
67,Lucas Bartlett,us USA,DF,D.C. United,28-131,1997,28.9,0.69,0.69,0.66,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches
68,Ethan Bartlow,us USA,DF,Houston Dynamo,25-305,2000,14.7,1.16,1.15,0.95,0.00,0.07,0.07,0.00,0.07,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
69,Cole Bassett,us USA,"MF,FW",Colorado Rapids,24-129,2001,24.4,3.24,3.24,2.66,0.29,0.04,0.12,0.04,0.08,0.41,0.41,0.33,0.00,0.00,0.04,0.04,0.00,Matches
70,Sam Bassett,us USA,"FW,MF",Colorado Rapids,22-235,2003,3.8,1.84,1.86,1.32,0.00,0.00,0.26,0.26,0.00,0.26,0.27,0.26,0.00,0.00,0.00,0.00,0.00,Matches
71,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,28-007,1997,19.4,3.76,3.76,2.94,0.46,0.00,0.10,0.21,0.05,0.26,0.26,0.15,0.00,0.00,0.10,0.00,0.00,Matches
72,Zorhan Bassong,ca CAN,"MF,DF",Sporting KC,26-211,1999,18.5,2.00,2.00,1.78,0.11,0.00,0.11,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
73,Andy Batioja,co COL,FW,Houston Dynamo,19-307,2006,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Josh Bauer,us USA,DF,Nashville SC,27-135,1998,9.4,2.02,2.03,1.81,0.21,0.00,0.00,0.00,0.00,0.32,0.32,0.21,0.11,0.00,0.00,0.00,0.00,Matches
75,Timo Baumgartl,de GER,DF,St. Louis,29-275,1996,19.5,0.82,0.82,0.77,0.00,0.00,0.00,0.05,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,Matches
76,Tanner Beason,us USA,DF,NE Revolution,28-256,1997,21.6,0.60,0.60,0.46,0.00,0.05,0.05,0.00,0.05,0.14,0.14,0.09,0.00,0.05,0.00,0.00,0.00,Matches
77,Adam Beaudry,us USA,GK,Colorado Rapids,19-230,2006,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Simon Becher,us USA,"FW,MF",St. Louis,26-137,1999,13.9,3.02,3.02,1.73,0.07,0.29,0.58,0.29,0.07,0.58,0.58,0.14,0.00,0.14,0.22,0.07,0.00,Matches
79,Alejandro Bedoya,us USA,"MF,DF",Philadelphia Union,38-219,1987,8.3,2.89,2.88,2.53,0.12,0.00,0.12,0.00,0.12,0.36,0.36,0.36,0.00,0.00,0.00,0.00,0.00,Matches
80,Jon Bell,jm JAM,DF,Seattle Sounders,28-100,1997,14.7,0.68,0.68,0.61,0.00,0.00,0.07,0.00,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Matches
81,Ben Bender,us USA,"MF,FW",Philadelphia Union,24-272,2001,3.6,2.22,2.24,1.39,0.28,0.00,0.56,0.00,0.00,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,Matches
82,Ramiro Benetti,br BRA,"MF,DF",FC Dallas,32-196,1993,25.6,1.91,1.92,1.68,0.08,0.00,0.08,0.08,0.00,0.35,0.35,0.31,0.04,0.00,0.00,0.00,0.00,Matches
83,Christian Benteke,be BEL,FW,D.C. United,35-001,1990,20.9,2.20,2.21,1.53,0.00,0.10,0.48,0.10,0.00,0.24,0.24,0.19,0.00,0.00,0.00,0.05,0.00,Matches
84,Gustav Berggren,se SWE,MF,NY Red Bulls,28-088,1997,3.9,2.31,2.29,2.05,0.26,0.00,0.00,0.00,0.00,0.26,0.25,0.26,0.00,0.00,0.00,0.00,0.00,Matches
85,Sebastian Berhalter,us USA,MF,Vancouver W'caps,24-201,2001,25.5,5.22,5.22,2.86,2.00,0.04,0.24,0.00,0.08,0.67,0.67,0.31,0.27,0.00,0.08,0.00,0.00,Matches
86,Federico Bernardeschi,it ITA,"FW,MF",Toronto FC,31-291,1994,14.4,4.03,4.02,2.71,0.35,0.49,0.35,0.14,0.00,0.42,0.42,0.28,0.07,0.00,0.07,0.00,0.00,Matches
87,Juan Berrocal,es ESP,DF,Atlanta Utd,26-214,1999,6.4,0.78,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Matches
88,Miguel Berry,es ESP,FW,LA Galaxy,28-079,1997,7.6,2.50,2.52,2.24,0.00,0.13,0.00,0.13,0.00,0.26,0.27,0.26,0.00,0.00,0.00,0.00,0.00,Matches
89,Pep Biel,es ESP,"MF,FW",Charlotte,29-090,1996,22.3,3.90,3.90,3.00,0.63,0.13,0.09,0.00,0.04,0.63,0.63,0.45,0.13,0.04,0.00,0.00,0.00,Matches
90,David Bingham,us USA,GK,Charlotte,36-046,1989,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Guilherme Biro,br BRA,DF,Austin,25-217,2000,29.1,1.51,1.51,1.31,0.14,0.03,0.00,0.03,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches
92,Tristan Blackmon,us USA,DF,Vancouver W'caps,29-114,1996,23.0,1.22,1.22,1.04,0.13,0.00,0.00,0.04,0.00,0.17,0.17,0.13,0.00,0.00,0.00,0.04,0.00,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,35-013,1990,20.3,0.20,0.20,0.10,0.10,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,Matches
94,Emmanuel Boateng,gh GHA,FW,San Diego FC,31-321,1994,2.7,1.85,1.86,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,Wiktor Bogacz,pl POL,FW,NY Red Bulls,21-143,2004,3.5,3.14,3.13,2.29,0.00,0.57,0.29,0.00,0.00,0.29,0.28,0.29,0.00,0.00,0.00,0.00,0.00,Matches
96,Luca Bombino,us USA,DF,San Diego FC,19-147,2006,23.6,1.82,1.82,1.36,0.04,0.08,0.08,0.08,0.17,0.17,0.17,0.13,0.00,0.00,0.00,0.00,0.04,Matches
97,Jonathan Bond,eng ENG,GK,Houston Dynamo,32-199,1993,26.0,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Denis Bouanga,ga GAB,FW,LAFC,31-023,1994,29.5,4.75,4.75,2.51,0.34,0.78,0.64,0.41,0.07,0.71,0.71,0.34,0.03,0.10,0.07,0.17,0.00,Matches
99,Ousseni Bouda,bf BFA,"FW,MF",SJ Earthquakes,25-220,2000,14.8,3.24,3.26,2.36,0.07,0.07,0.41,0.27,0.07,0.14,0.14,0.07,0.00,0.00,0.07,0.00,0.00,Matches
100,Giuseppe Bovalina,au AUS,DF,Vancouver W'caps,21-023,2004,2.3,2.61,2.63,2.17,0.00,0.00,0.43,0.00,0.00,0.87,0.88,0.87,0.00,0.00,0.00,0.00,0.00,Matches
101,Michael Boxall,nz NZL,DF,Minnesota Utd,37-108,1988,29.5,1.08,1.09,0.71,0.31,0.00,0.03,0.03,0.00,0.14,0.14,0.07,0.07,0.00,0.00,0.00,0.00,Matches
102,Tyler Boyd,us USA,MF,Nashville SC,30-339,1994,1.8,3.33,3.35,2.22,0.00,0.00,0.00,1.11,0.00,0.56,0.56,0.56,0.00,0.00,0.00,0.00,0.00,Matches
103,Chris Brady,us USA,GK,Chicago Fire,21-276,2004,27.4,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
104,Claudio Bravo,ar ARG,DF,Portland Timbers,28-266,1997,3.7,1.89,1.91,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,David Brekalo,si SVN,DF,Orlando City,27-001,1998,26.7,1.46,1.46,1.24,0.04,0.07,0.04,0.00,0.07,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.00,Matches
106,Luke Brennan,us USA,"FW,MF",Atlanta Utd,20-283,2005,5.9,2.37,2.37,1.53,0.00,0.34,0.17,0.34,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.17,0.00,Matches
107,Brenner,br BRA,"FW,MF",FC Cincinnati,25-322,2000,5.7,3.33,3.31,2.63,0.00,0.18,0.53,0.00,0.00,0.70,0.70,0.35,0.00,0.18,0.18,0.00,0.00,Matches
108,Sebastian Breza,ca CAN,GK,CF Montréal,27-264,1998,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
109,Yannick Bright,it ITA,MF,Inter Miami,24-092,2001,15.0,1.27,1.26,1.07,0.00,0.00,0.07,0.13,0.00,0.33,0.33,0.27,0.00,0.00,0.07,0.00,0.00,Matches
110,Andrew Brody,us USA,DF,Sporting KC,30-215,1995,5.5,1.82,1.83,1.64,0.00,0.18,0.00,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,Matches
111,Brandt Bronico,us USA,MF,Charlotte,30-167,1995,25.8,1.67,1.67,1.32,0.00,0.08,0.12,0.08,0.08,0.35,0.35,0.16,0.00,0.08,0.04,0.08,0.00,Matches
112,Lachlan Brook,au AUS,FW,Real Salt Lake,24-299,2001,1.1,3.64,3.60,1.82,0.00,0.00,0.91,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
113,Javain Brown,jm JAM,DF,Real Salt Lake,26-270,1999,2.2,0.91,0.93,0.00,0.45,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
114,Tristan Brown,us USA,"DF,FW",Columbus Crew,18-048,2007,0.5,4.00,4.39,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
115,Gastón Brugman,uy URU,MF,Nashville SC,33-088,1992,14.2,3.94,3.94,3.24,0.07,0.14,0.21,0.07,0.21,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,Matches
116,Snyder Brunell,us USA,"MF,FW",Seattle Sounders,18-256,2007,3.3,3.64,3.69,2.42,0.00,0.30,0.61,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
117,Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-221,1999,14.8,1.55,1.55,0.68,0.00,0.07,0.20,0.47,0.14,0.14,0.13,0.07,0.00,0.00,0.07,0.00,0.00,Matches
118,Pavel Bucha,cz CZE,MF,FC Cincinnati,27-268,1998,32.0,3.03,3.03,2.69,0.06,0.06,0.06,0.09,0.06,0.28,0.28,0.25,0.00,0.03,0.00,0.00,0.00,Matches
119,Noel Buck,eng ENG,"MF,DF",NE Revolution,20-243,2005,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
120,Noel Buck,eng ENG,"MF,DF",SJ Earthquakes,20-243,2005,1.7,4.12,4.20,2.94,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
121,Dawid Bugaj,pl POL,DF,CF Montréal,21-148,2004,19.2,1.25,1.25,1.04,0.05,0.00,0.00,0.10,0.05,0.16,0.16,0.10,0.00,0.00,0.00,0.05,0.00,Matches
122,Osman Bukari,gh GHA,"FW,MF",Austin,26-356,1998,25.8,3.57,3.57,2.64,0.04,0.43,0.27,0.16,0.04,0.27,0.27,0.23,0.00,0.04,0.00,0.00,0.00,Matches
123,Teal Bunbury,us USA,"FW,MF",Nashville SC,35-280,1990,2.3,0.87,0.86,0.43,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
124,Roman Bürki,ch SUI,GK,St. Louis,35-020,1990,25.0,0.16,0.16,0.08,0.08,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,Matches
125,Evan Bush,us USA,GK,Columbus Crew,39-273,1986,6.0,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
126,Sergio Busquets,es ESP,MF,Inter Miami,37-141,1988,31.9,2.82,2.83,2.38,0.13,0.00,0.09,0.13,0.09,0.47,0.47,0.38,0.06,0.00,0.03,0.00,0.00,Matches
127,Brandon Bye,us USA,DF,NE Revolution,30-005,1995,12.3,1.79,1.79,1.63,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
