alpha2,countryCallingCodes,currencies,ioc,languages,status
CU,['+53'],"['CUP', 'CUC']",CUB,['spa'],assigned
CW,['+599'],['ANG'],,['dut'],assigned
CY,['+357'],['EUR'],CYP,"['gre', 'tur']",assigned
CZ,['+420'],['CZK'],CZE,['cze'],assigned
CD,['+243'],['CDF'],COD,"['fre', 'lin', 'kon', 'swa']",assigned
DK,['+45'],['DKK'],DEN,['dan'],assigned
DG,[],['USD'],,[],reserved
DJ,['+253'],['DJF'],DJI,"['ara', 'fre']",assigned
DM,['+1 767'],['XCD'],DMA,['eng'],assigned
DO,"['+1 809', '+1 829', '+1 849']",['DOP'],DOM,['spa'],assigned
TL,['+670'],['USD'],TLS,['por'],assigned
EC,['+593'],['USD'],ECU,"['spa', 'que']",assigned
EG,['+20'],['EGP'],EGY,['ara'],assigned
SV,['+503'],['USD'],ESA,['spa'],assigned
GQ,['+240'],['XAF'],GEQ,"['spa', 'fre', 'por']",assigned
ER,['+291'],['ERN'],ERI,"['eng', 'ara', 'tir']",assigned
EE,['+372'],['EUR'],EST,['est'],assigned
ET,['+251'],['ETB'],ETH,['amh'],assigned
EU,['+388'],['EUR'],,[],reserved
FK,['+500'],['FKP'],,['eng'],assigned
FO,['+298'],['DKK'],FAI,"['fao', 'dan']",assigned
FJ,['+679'],['FJD'],FIJ,"['eng', 'fij']",assigned
FI,['+358'],['EUR'],FIN,"['fin', 'swe']",assigned
FR,['+33'],['EUR'],FRA,['fre'],assigned
FX,['+241'],['EUR'],,['fre'],reserved
GF,['+594'],['EUR'],,['fre'],assigned
PF,['+689'],['XPF'],,['fre'],assigned
TF,[],['EUR'],,['fre'],assigned
GA,['+241'],['XAF'],GAB,['fre'],assigned
GM,['+220'],['GMD'],GAM,['eng'],assigned
GE,['+995'],['GEL'],GEO,['geo'],assigned
DE,['+49'],['EUR'],GER,['ger'],assigned
GH,['+233'],['GHS'],GHA,['eng'],assigned
GI,['+350'],['GIP'],,['eng'],assigned
GR,['+30'],['EUR'],GRE,['gre'],assigned
GL,['+299'],['DKK'],,['kal'],assigned
GD,['+473'],['XCD'],GRN,['eng'],assigned
GP,['+590'],['EUR'],,['fre'],assigned
GU,['+1 671'],['USD'],GUM,['eng'],assigned
GT,['+502'],['GTQ'],GUA,['spa'],assigned
GG,['+44'],['GBP'],GCI,['fre'],assigned
GN,['+224'],['GNF'],GUI,['fre'],assigned
GW,['+245'],['XOF'],GBS,['por'],assigned
GY,['+592'],['GYD'],GUY,['eng'],assigned
HT,['+509'],"['HTG', 'USD']",HAI,"['fre', 'hat']",assigned
HM,[],['AUD'],,[],assigned
HN,['+504'],['HNL'],HON,['spa'],assigned
HK,['+852'],['HKD'],HKG,"['chi', 'eng']",assigned
HU,['+36'],['HUF'],HUN,['hun'],assigned
IS,['+354'],['ISK'],ISL,['ice'],assigned
IN,['+91'],['INR'],IND,"['eng', 'hin']",assigned
ID,['+62'],['IDR'],INA,['ind'],assigned
IR,['+98'],['IRR'],IRI,['per'],assigned
IQ,['+964'],['IQD'],IRQ,"['ara', 'kur']",assigned
IE,['+353'],['EUR'],IRL,"['eng', 'gle']",assigned
IM,['+44'],['GBP'],,"['eng', 'glv']",assigned
IL,['+972'],['ILS'],ISR,"['heb', 'ara', 'eng']",assigned
IT,['+39'],['EUR'],ITA,['ita'],assigned
JM,['+1 876'],['JMD'],JAM,['eng'],assigned
JP,['+81'],['JPY'],JPN,['jpn'],assigned
JE,['+44'],['GBP'],JCI,"['eng', 'fre']",assigned
JO,['+962'],['JOD'],JOR,['ara'],assigned
KZ,"['+7', '+7 6', '+7 7']",['KZT'],KAZ,"['kaz', 'rus']",assigned
KE,['+254'],['KES'],KEN,"['eng', 'swa']",assigned
KI,['+686'],['AUD'],KIR,['eng'],assigned
KP,['+850'],['KPW'],PRK,['kor'],assigned
KR,['+82'],['KRW'],KOR,['kor'],assigned
KW,['+965'],['KWD'],KUW,['ara'],assigned
KG,['+996'],['KGS'],KGZ,['rus'],assigned
LA,['+856'],['LAK'],LAO,['lao'],assigned
LV,['+371'],['EUR'],LAT,['lav'],assigned
LB,['+961'],['LBP'],LIB,"['ara', 'arm']",assigned
LS,['+266'],"['LSL', 'ZAR']",LES,"['eng', 'sot']",assigned
LR,['+231'],['LRD'],LBR,['eng'],assigned
LY,['+218'],['LYD'],LBA,['ara'],assigned
LI,['+423'],['CHF'],LIE,['ger'],assigned
LT,['+370'],['EUR'],LTU,['lit'],assigned
LU,['+352'],['EUR'],LUX,"['fre', 'ger', 'ltz']",assigned
MO,['+853'],['MOP'],MAC,"['chi', 'por']",assigned
MK,['+389'],['MKD'],MKD,['mac'],assigned
MG,['+261'],['MGA'],MAD,"['fre', 'mlg']",assigned
MW,['+265'],['MWK'],MAW,"['eng', 'nya']",assigned
MY,['+60'],['MYR'],MAS,"['msa', 'eng']",assigned
MV,['+960'],['MVR'],MDV,['div'],assigned
ML,['+223'],['XOF'],MLI,['fre'],assigned
MT,['+356'],['EUR'],MLT,"['mlt', 'eng']",assigned
MH,['+692'],['USD'],MHL,"['eng', 'mah']",assigned
MQ,['+596'],['EUR'],,[],assigned
MR,['+222'],['MRO'],MTN,"['ara', 'fre']",assigned
MU,['+230'],['MUR'],MRI,"['eng', 'fre']",assigned
YT,['+262'],['EUR'],,['fre'],assigned
MX,['+52'],"['MXN', 'MXV']",MEX,['spa'],assigned
FM,['+691'],['USD'],,['eng'],assigned
MD,['+373'],['MDL'],MDA,['rum'],assigned
MC,['+377'],['EUR'],MON,['fre'],assigned
MN,['+976'],['MNT'],MGL,['mon'],assigned
ME,['+382'],['EUR'],MNE,['mot'],assigned
MS,['+1 664'],['XCD'],,[],assigned
MA,['+212'],['MAD'],MAR,['ara'],assigned
MZ,['+258'],['MZN'],MOZ,['por'],assigned
MM,['+95'],['MMK'],MYA,['bur'],assigned
NA,['+264'],"['NAD', 'ZAR']",NAM,['eng'],assigned
NR,['+674'],['AUD'],NRU,"['eng', 'nau']",assigned
NP,['+977'],['NPR'],NEP,['nep'],assigned
NL,['+31'],['EUR'],NED,['dut'],assigned
NC,['+687'],['XPF'],,['fre'],assigned
NZ,['+64'],['NZD'],NZL,['eng'],assigned
NI,['+505'],['NIO'],NCA,['spa'],assigned
NE,['+227'],['XOF'],NIG,['fre'],assigned
NG,['+234'],['NGN'],NGR,['eng'],assigned
NU,['+683'],['NZD'],,['eng'],assigned
NF,['+672'],['AUD'],,['eng'],assigned
MP,['+1 670'],['USD'],,['eng'],assigned
NO,['+47'],['NOK'],NOR,['nor'],assigned
OM,['+968'],['OMR'],OMA,['ara'],assigned
PK,['+92'],['PKR'],PAK,"['urd', 'eng']",assigned
PW,['+680'],['USD'],PLW,['eng'],assigned
PS,['+970'],"['JOD', 'EGP', 'ILS']",PLE,['ara'],assigned
PA,['+507'],"['PAB', 'USD']",PAN,['spa'],assigned
PG,['+675'],['PGK'],PNG,['eng'],assigned
PY,['+595'],['PYG'],PAR,['spa'],assigned
PE,['+51'],['PEN'],PER,"['spa', 'aym', 'que']",assigned
PH,['+63'],['PHP'],PHI,['eng'],assigned
PN,['+872'],['NZD'],,['eng'],assigned
PL,['+48'],['PLN'],POL,['pol'],assigned
PT,['+351'],['EUR'],POR,['por'],assigned
PR,"['+1 787', '+1 939']",['USD'],PUR,"['spa', 'eng']",assigned
QA,['+974'],['QAR'],QAT,['ara'],assigned
CG,['+242'],['XAF'],CGO,"['fre', 'lin']",assigned
RE,['+262'],['EUR'],,['fre'],assigned
RO,['+40'],['RON'],ROU,['rum'],assigned
RU,"['+7', '+7 3', '+7 4', '+7 8']",['RUB'],RUS,['rus'],assigned
RW,['+250'],['RWF'],RWA,"['eng', 'fre', 'kin']",assigned
BL,['+590'],['EUR'],,['fre'],assigned
SH,['+290'],['SHP'],,['eng'],assigned
KN,['+1 869'],['XCD'],SKN,['eng'],assigned
LC,['+1 758'],['XCD'],LCA,['eng'],assigned
MF,['+590'],['EUR'],,['fre'],assigned
PM,['+508'],['EUR'],,['eng'],assigned
VC,['+1 784'],['XCD'],VIN,['eng'],assigned
WS,['+685'],['WST'],SAM,"['eng', 'smo']",assigned
SM,['+378'],['EUR'],SMR,['ita'],assigned
SA,['+966'],['SAR'],KSA,['ara'],assigned
SN,['+221'],['XOF'],SEN,['fre'],assigned
RS,['+381'],['RSD'],SRB,['srp'],assigned
SC,['+248'],['SCR'],SEY,"['eng', 'fre']",assigned
SL,['+232'],['SLL'],SLE,['eng'],assigned
SG,['+65'],['SGD'],SIN,"['eng', 'chi', 'may', 'tam']",assigned
SX,['+1 721'],['ANG'],,['dut'],assigned
SK,['+421'],['EUR'],SVK,['slo'],assigned
SI,['+386'],['EUR'],SLO,['slv'],assigned
SB,['+677'],['SBD'],SOL,['eng'],assigned
SO,['+252'],['SOS'],SOM,['som'],assigned
ZA,['+27'],['ZAR'],RSA,"['afr', 'eng', 'nbl', 'som', 'tso', 'ven', 'xho', 'zul']",assigned
GS,[],['GBP'],,['eng'],assigned
SS,['+211'],['SSP'],,['eng'],assigned
ES,['+34'],['EUR'],ESP,['spa'],assigned
LK,['+94'],['LKR'],SRI,"['sin', 'tam']",assigned
SD,['+249'],['SDG'],SUD,"['ara', 'eng']",assigned
SR,['+597'],['SRD'],SUR,['dut'],assigned
SJ,['+47'],['NOK'],,[],assigned
SZ,['+268'],['SZL'],SWZ,"['eng', 'ssw']",assigned
SE,['+46'],['SEK'],SWE,['swe'],assigned
CH,['+41'],"['CHF', 'CHE', 'CHW']",SUI,"['ger', 'fre', 'ita', 'roh']",assigned
SY,['+963'],['SYP'],SYR,['ara'],assigned
ST,['+239'],['STD'],STP,['por'],assigned
TW,['+886'],['TWD'],TPE,['chi'],assigned
TJ,['+992'],['TJS'],TJK,"['tgk', 'rus']",assigned
TZ,['+255'],['TZS'],TAN,"['swa', 'eng']",assigned
TH,['+66'],['THB'],THA,['tha'],assigned
TG,['+228'],['XOF'],TOG,['fre'],assigned
TK,['+690'],['NZD'],,['eng'],assigned
TO,['+676'],['TOP'],TGA,['eng'],assigned
TT,['+1 868'],['TTD'],TRI,['eng'],assigned
TA,['+290'],['GBP'],,[],reserved
TN,['+216'],['TND'],TUN,['ara'],assigned
TR,['+90'],['TRY'],TUR,['tur'],assigned
TM,['+993'],['TMT'],TKM,"['tuk', 'rus']",assigned
TC,['+1 649'],['USD'],,['eng'],assigned
TV,['+688'],['AUD'],TUV,['eng'],assigned
SU,[],['RUB'],,['rus'],reserved
UG,['+256'],['UGX'],UGA,"['eng', 'swa']",assigned
UA,['+380'],['UAH'],UKR,"['ukr', 'rus']",assigned
AE,['+971'],['AED'],UAE,['ara'],assigned
GB,['+44'],['GBP'],GBR,"['eng', 'cor', 'gle', 'gla', 'wel']",assigned
UK,[],['GBP'],,"['eng', 'cor', 'gle', 'gla', 'wel']",reserved
US,['+1'],['USD'],USA,['eng'],assigned
UM,['+1'],['USD'],,['eng'],assigned
UY,['+598'],"['UYU', 'UYI']",URU,['spa'],assigned
UZ,['+998'],['UZS'],UZB,"['uzb', 'rus']",assigned
VU,['+678'],['VUV'],VAN,"['bis', 'eng', 'fre']",assigned
VA,"['+379', '+39']",['EUR'],,['ita'],assigned
VE,['+58'],['VEF'],VEN,['spa'],assigned
VN,['+84'],['VND'],VIE,['vie'],assigned
VG,['+1 284'],['USD'],ISV,['eng'],assigned
VI,['+1 340'],['USD'],ISV,['eng'],assigned
WF,['+681'],['XPF'],,['fre'],assigned
EH,['+212'],['MAD'],,[],assigned
YE,['+967'],['YER'],YEM,['ara'],assigned
ZM,['+260'],['ZMW'],ZAM,['eng'],assigned
ZW,['+263'],"['USD', 'ZAR', 'BWP', 'GBP', 'EUR']",ZIM,"['eng', 'sna', 'nde']",assigned
AX,['+358'],['EUR'],,['swe'],assigned
