from_,id,kind,roles,to,type
Person-89,Person-Movie-130,edge,Little Bill Daggett,Movie-97,ACTED_IN
Person-2,Person-Movie-1,edge,Trinity,Movie-0,ACTED_IN
Person-68,Person-Movie-87,edge,Patricia Eden,Movie-67,ACTED_IN
Person-86,Person-Movie-111,edge,Faye Dolan,Movie-85,ACTED_IN
Person-142,Person-Movie-217,edge,Martini,Movie-152,ACTED_IN
Person-4,Person-Movie-3,edge,Agent Smith,Movie-0,ACTED_IN
Person-53,Person-Movie-209,edge,Dr. Jo Harding,Movie-147,ACTED_IN
Person-18,Person-Movie-28,edge,Lt. Cdr. JoAnne Galloway,Movie-15,ACTED_IN
Person-84,Person-Movie-105,edge,Jess,Movie-81,ACTED_IN
Person-19,Person-Movie-203,edge,Jack Swigert,Movie-144,ACTED_IN
Person-22,Person-Movie-49,edge,Rod Tidwell,Movie-37,ACTED_IN
Person-60,Person-Movie-225,edge,Andrew Marin,Movie-157,ACTED_IN
Person-71,Person-Movie-202,edge,Jim Lovell,Movie-144,ACTED_IN
Person-133,Person-Movie-195,edge,"James Reston, Jr.",Movie-137,ACTED_IN
Person-140,Person-Movie-194,edge,Bob Zelnick,Movie-137,ACTED_IN
Person-120,Person-Movie-168,edge,Cass Jones,Movie-121,ACTED_IN
Person-41,Person-Movie-53,edge,Bob Sugar,Movie-37,ACTED_IN
Person-127,Person-Movie-167,edge,Taejo Togokahn,Movie-121,ACTED_IN
Person-25,Person-Movie-35,edge,Pfc. Louden Downey,Movie-15,ACTED_IN
Person-20,Person-Movie-30,edge,Lt. Jonathan Kendrick,Movie-15,ACTED_IN
