# Bleem+ (2015) Fiducial SPT-SZ 2500d catalog
# https://pole.uchicago.edu/public/data/sptsz-clusters/
# Columns:
# (1) SPT name
# (2) redshift
# (3) M500 [1e14 msun]
# (4) Y_SZ [arcmin^2]
SPT-CLJ0112-5030 0.000 0.000 5.80e-05
SPT-CLJ0113-6105 0.340 3.117 4.17e-05
SPT-CLJ0114-4123 0.380 7.002 1.28e-04
SPT-CLJ0117-6032 0.930 3.917 7.78e-05
SPT-CLJ0117-4617 0.000 0.000 7.14e-05
SPT-CLJ0118-5638 0.210 3.619 5.39e-05
SPT-CLJ0118-5156 0.705 3.760 8.11e-05
SPT-CLJ0118-4457 0.000 0.000 6.42e-05
SPT-CLJ0119-5919 0.620 3.090 6.01e-05
SPT-CLJ0123-4821 0.620 4.457 9.11e-05
SPT-CLJ0124-4301 0.470 3.417 6.18e-05
SPT-CLJ0124-5937 0.210 4.226 6.34e-05
SPT-CLJ0129-6432 0.326 6.612 1.01e-04
SPT-CLJ0131-5921 0.959 3.364 8.91e-05
SPT-CLJ0131-5604 0.687 4.081 8.23e-05
SPT-CLJ0133-6434 0.290 6.112 1.09e-04
SPT-CLJ0135-5902 0.510 3.248 6.51e-05
SPT-CLJ0135-5904 0.490 2.890 6.47e-05
SPT-CLJ0139-5204 0.762 3.083 7.24e-05
SPT-CLJ0139-5508 0.000 0.000 5.48e-05
SPT-CLJ0140-4833 0.885 2.643 5.68e-05
SPT-CLJ0142-5032 0.730 5.750 1.17e-04
SPT-CLJ0143-4452 0.270 3.464 5.68e-05
SPT-CLJ0144-4157 0.000 0.000 5.45e-05
SPT-CLJ0144-4807 0.310 3.271 5.75e-05
SPT-CLJ0145-5301 0.117 5.295 8.44e-05
SPT-CLJ0145-4426 0.590 2.974 5.84e-05
SPT-CLJ0145-6033 0.179 7.138 1.19e-04
SPT-CLJ0145-5040 0.000 0.000 5.64e-05
SPT-CLJ0146-6126 0.000 0.000 6.64e-05
SPT-CLJ0147-5622 0.640 3.033 6.24e-05
SPT-CLJ0148-4518 0.620 3.157 5.86e-05
SPT-CLJ0148-4700 0.745 2.657 4.54e-05
SPT-CLJ0150-4511 0.320 4.907 8.13e-05
SPT-CLJ0151-5654 0.290 3.243 6.08e-05
SPT-CLJ0151-4300 0.000 0.000 6.32e-05
SPT-CLJ0151-5954 1.035 4.200 1.04e-04
SPT-CLJ0152-5303 0.550 4.393 7.83e-05
SPT-CLJ0154-4824 1.296 2.690 7.89e-05
SPT-CLJ0156-5541 1.221 3.626 9.67e-05
SPT-CLJ0157-4007 0.550 3.693 6.31e-05
SPT-CLJ0157-6442 0.838 3.314 7.50e-05
SPT-CLJ0200-4852 0.498 4.764 8.35e-05
SPT-CLJ0201-6051 0.000 0.000 6.62e-05
SPT-CLJ0202-5401 0.550 3.626 5.94e-05
SPT-CLJ0202-4309 0.000 0.000 4.78e-05
SPT-CLJ0202-4437 0.000 0.000 5.24e-05
SPT-CLJ0203-5651 0.000 0.000 6.11e-05
SPT-CLJ0205-4937 0.000 0.000 4.77e-05
SPT-CLJ0205-6432 0.744 3.405 6.62e-05
SPT-CLJ0205-5829 1.322 4.736 1.32e-04
SPT-CLJ0206-4206 0.000 0.000 5.52e-05
SPT-CLJ0208-4425 0.000 0.000 5.49e-05
SPT-CLJ0211-5712 0.000 0.000 5.94e-05
SPT-CLJ0212-4657 0.655 5.883 1.15e-04
SPT-CLJ0214-4638 0.270 4.538 6.33e-05
SPT-CLJ0216-4219 0.620 3.633 5.96e-05
SPT-CLJ0216-4816 0.171 3.514 6.70e-05
SPT-CLJ0216-4830 0.470 4.110 7.09e-05
SPT-CLJ0216-4627 0.540 3.024 6.54e-05
SPT-CLJ0216-5730 0.000 0.000 5.74e-05
SPT-CLJ0216-6409 0.650 3.195 5.89e-05
SPT-CLJ0217-5014 0.570 2.876 5.50e-05
SPT-CLJ0217-5245 0.343 4.421 7.75e-05
SPT-CLJ0217-4310 0.520 4.212 6.89e-05
SPT-CLJ0218-4233 0.681 2.683 5.85e-05
SPT-CLJ0218-4315 0.560 5.907 1.09e-04
SPT-CLJ0219-4934 0.580 4.060 8.05e-05
SPT-CLJ0220-5445 0.000 0.000 5.32e-05
SPT-CLJ0221-4446 0.560 3.286 6.93e-05
SPT-CLJ0225-4327 0.230 3.769 5.82e-05
SPT-CLJ0225-4155 0.220 4.848 9.33e-05
SPT-CLJ0230-6028 0.681 3.588 7.39e-05
SPT-CLJ0231-4427 0.620 3.360 6.30e-05
SPT-CLJ0231-5403 0.590 3.264 6.03e-05
SPT-CLJ0232-4421 0.284 12.007 2.54e-04
SPT-CLJ0232-5257 0.556 5.362 9.66e-05
SPT-CLJ0233-5819 0.663 3.926 7.31e-05
SPT-CLJ0234-5831 0.415 8.045 1.69e-04
SPT-CLJ0235-5121 0.278 6.412 1.16e-04
SPT-CLJ0236-4938 0.334 3.986 6.73e-05
SPT-CLJ0237-4151 0.400 3.224 5.38e-05
SPT-CLJ0238-4904 0.490 3.779 6.26e-05
SPT-CLJ0240-5946 0.400 5.538 1.00e-04
SPT-CLJ0240-5952 0.590 2.757 5.48e-05
SPT-CLJ0242-4150 0.710 2.986 6.04e-05
SPT-CLJ0242-4944 0.727 3.793 8.31e-05
SPT-CLJ0242-6039 0.000 0.000 5.55e-05
SPT-CLJ0243-5930 0.635 4.579 9.50e-05
SPT-CLJ0243-4833 0.500 7.802 1.53e-04
SPT-CLJ0244-4755 0.000 0.000 6.81e-05
SPT-CLJ0244-4857 0.450 3.933 7.21e-05
SPT-CLJ0249-5658 0.235 3.731 6.05e-05
SPT-CLJ0250-4714 0.000 0.000 6.01e-05
SPT-CLJ0252-4824 0.421 4.793 8.61e-05
SPT-CLJ0253-6046 0.450 3.107 5.08e-05
SPT-CLJ0254-5857 0.438 7.790 1.51e-04
SPT-CLJ0254-6051 0.440 4.212 7.04e-05
SPT-CLJ0256-4243 0.590 3.150 6.32e-05
SPT-CLJ0256-4221 0.000 0.000 6.23e-05
SPT-CLJ0256-5617 0.580 4.540 8.72e-05
SPT-CLJ0256-4736 0.230 4.938 7.75e-05
SPT-CLJ0257-6050 0.510 2.917 7.88e-05
SPT-CLJ0257-5732 0.434 3.200 6.01e-05
SPT-CLJ0257-5842 0.440 3.412 6.06e-05
SPT-CLJ0257-4817 0.460 3.338 6.64e-05
SPT-CLJ0258-5355 0.925 2.733 5.00e-05
SPT-CLJ0259-4556 0.360 3.917 7.31e-05
SPT-CLJ0300-6315 0.000 0.000 5.57e-05
SPT-CLJ0301-4852 0.000 0.000 6.71e-05
SPT-CLJ0301-6456 0.700 2.850 6.00e-05
SPT-CLJ0304-4921 0.392 7.567 1.35e-04
SPT-CLJ0304-4401 0.458 8.555 1.73e-04
SPT-CLJ0304-4748 0.510 4.150 7.63e-05
SPT-CLJ0304-5404 0.797 2.779 6.10e-05
SPT-CLJ0306-4749 0.370 3.133 6.06e-05
SPT-CLJ0307-6225 0.579 5.062 9.18e-05
SPT-CLJ0307-4123 0.670 3.152 5.58e-05
SPT-CLJ0307-5042 0.550 5.264 9.53e-05
SPT-CLJ0309-4958 0.530 3.657 6.43e-05
SPT-CLJ0310-4647 0.709 4.312 8.01e-05
SPT-CLJ0311-6354 0.250 4.831 7.41e-05
SPT-CLJ0313-5645 0.660 2.652 5.17e-05
SPT-CLJ0313-5334 1.372 2.974 7.73e-05
SPT-CLJ0314-6130 0.470 2.876 5.26e-05
SPT-CLJ0314-4019 0.680 2.900 4.92e-05
SPT-CLJ0315-4359 0.000 0.000 6.99e-05
SPT-CLJ0317-5935 0.469 4.000 7.04e-05
SPT-CLJ0317-4849 0.164 3.495 5.83e-05
SPT-CLJ0319-5212 0.000 0.000 5.64e-05
SPT-CLJ0319-5417 0.000 0.000 4.62e-05
SPT-CLJ0320-5800 0.000 0.000 4.44e-05
SPT-CLJ0321-4846 0.000 0.000 6.00e-05
SPT-CLJ0322-4335 0.000 0.000 5.37e-05
SPT-CLJ0323-4913 0.000 0.000 4.63e-05
SPT-CLJ0324-6236 0.730 4.969 9.68e-05
SPT-CLJ0325-5132 0.000 0.000 5.65e-05
SPT-CLJ0326-5054 0.000 0.000 5.29e-05
SPT-CLJ0327-4633 0.000 0.000 6.63e-05
SPT-CLJ0328-5541 0.084 5.140 8.17e-05
SPT-CLJ0329-4029 0.000 0.000 6.61e-05
SPT-CLJ0330-5228 0.442 6.667 1.21e-04
SPT-CLJ0332-4100 0.000 0.000 6.20e-05
SPT-CLJ0332-5304 0.510 2.838 4.26e-05
SPT-CLJ0333-5842 0.400 2.969 5.21e-05
SPT-CLJ0334-4659 0.485 5.521 9.61e-05
SPT-CLJ0334-4645 1.700 2.074 4.97e-05
SPT-CLJ0334-4815 0.590 4.357 8.69e-05
SPT-CLJ0336-4704 0.888 3.290 6.40e-05
SPT-CLJ0336-4005 0.520 3.236 5.05e-05
SPT-CLJ0337-4442 0.000 0.000 6.10e-05
SPT-CLJ0337-4928 0.530 3.448 6.08e-05
SPT-CLJ0337-6300 0.480 3.243 5.56e-05
SPT-CLJ0337-6207 0.000 0.000 5.62e-05
SPT-CLJ0338-4013 0.000 0.000 6.06e-05
SPT-CLJ0338-4711 0.000 0.000 4.92e-05
SPT-CLJ0339-3952 0.000 0.000 1.42e-05
SPT-CLJ0339-4545 0.750 3.052 5.81e-05
SPT-CLJ0341-5027 0.390 3.005 4.93e-05
SPT-CLJ0341-6143 0.650 3.419 8.81e-05
SPT-CLJ0341-5731 0.670 3.112 6.71e-05
SPT-CLJ0342-5354 0.530 3.431 5.63e-05
SPT-CLJ0342-4028 0.500 4.460 7.91e-05
SPT-CLJ0343-5518 0.550 3.750 7.10e-05
SPT-CLJ0344-5452 1.006 4.169 9.71e-05
SPT-CLJ0344-5518 0.320 3.429 8.54e-05
SPT-CLJ0345-6419 0.913 3.040 6.09e-05
SPT-CLJ0346-5839 0.681 2.807 5.59e-05
SPT-CLJ0346-5439 0.530 5.469 9.56e-05
SPT-CLJ0348-4515 0.358 6.171 1.06e-04
SPT-CLJ0350-4620 0.790 3.674 7.22e-05
SPT-CLJ0351-4109 0.680 5.319 1.01e-04
SPT-CLJ0351-5636 0.380 2.881 5.51e-05
SPT-CLJ0352-5647 0.670 4.240 7.89e-05
SPT-CLJ0353-4818 0.000 0.000 4.77e-05
SPT-CLJ0353-5312 0.000 0.000 5.14e-05
SPT-CLJ0353-5043 0.000 0.000 6.57e-05
SPT-CLJ0354-5904 0.410 4.169 7.16e-05
SPT-CLJ0354-5151 0.620 3.510 6.71e-05
SPT-CLJ0354-4058 0.861 2.755 6.86e-05
SPT-CLJ0354-6032 1.099 2.381 5.93e-05
SPT-CLJ0356-5337 0.902 3.310 7.73e-05
SPT-CLJ0357-4521 1.030 2.555 4.86e-05
SPT-CLJ0359-5218 0.580 3.831 6.58e-05
SPT-CLJ0402-4611 0.320 3.660 6.11e-05
SPT-CLJ0402-6130 0.510 2.948 5.96e-05
SPT-CLJ0403-5535 0.000 0.000 6.63e-05
SPT-CLJ0403-5719 0.466 3.750 6.46e-05
SPT-CLJ0404-6510 0.120 3.252 5.60e-05
SPT-CLJ0404-4418 0.873 4.221 9.84e-05
SPT-CLJ0405-4648 0.390 4.286 7.25e-05
SPT-CLJ0405-4916 0.320 4.698 7.68e-05
SPT-CLJ0406-5118 0.000 0.000 5.71e-05
SPT-CLJ0406-5455 0.740 3.464 7.36e-05
SPT-CLJ0406-4805 0.737 4.614 8.69e-05
SPT-CLJ0408-4456 0.572 2.833 5.62e-05
SPT-CLJ0410-6343 0.520 3.521 6.28e-05
SPT-CLJ0410-5454 0.000 0.000 6.96e-05
SPT-CLJ0411-4819 0.424 8.179 1.60e-04
SPT-CLJ0411-6340 0.140 4.460 6.95e-05
SPT-CLJ0412-5743 0.340 3.498 5.88e-05
SPT-CLJ0412-5106 0.280 3.419 5.61e-05
SPT-CLJ0415-4621 0.000 0.000 6.05e-05
SPT-CLJ0416-4938 0.000 0.000 4.34e-05
SPT-CLJ0416-6359 0.320 4.081 6.48e-05
SPT-CLJ0417-4748 0.581 7.407 1.73e-04
SPT-CLJ0417-4427 0.430 5.783 1.06e-04
SPT-CLJ0418-4552 0.710 3.205 5.93e-05
SPT-CLJ0420-5245 0.000 0.000 6.01e-05
SPT-CLJ0421-4845 1.424 2.679 7.74e-05
SPT-CLJ0422-5140 0.590 3.574 5.99e-05
SPT-CLJ0422-4608 0.700 2.902 5.62e-05
SPT-CLJ0423-6143 0.520 2.836 5.98e-05
SPT-CLJ0424-4406 0.430 4.236 6.84e-05
SPT-CLJ0426-5455 0.630 5.174 1.09e-04
SPT-CLJ0426-5416 1.053 2.369 5.73e-05
SPT-CLJ0428-6049 0.640 3.038 5.43e-05
SPT-CLJ0429-4355 0.380 3.262 6.68e-05
SPT-CLJ0429-5233 0.530 2.755 4.67e-05
SPT-CLJ0430-6251 0.000 0.000 5.90e-05
SPT-CLJ0431-6126 0.058 4.440 1.77e-04
SPT-CLJ0432-6150 0.983 2.393 5.50e-05
SPT-CLJ0433-5630 0.692 3.131 5.89e-05
SPT-CLJ0437-5307 0.000 0.000 5.50e-05
SPT-CLJ0438-5419 0.421 10.798 2.37e-04
SPT-CLJ0439-4600 0.340 5.286 9.78e-05
SPT-CLJ0439-5330 0.430 3.593 6.07e-05
SPT-CLJ0440-4657 0.350 4.633 7.90e-05
SPT-CLJ0441-4855 0.790 4.743 9.22e-05
SPT-CLJ0442-4309 0.000 0.000 4.30e-05
SPT-CLJ0442-6138 1.162 2.283 5.58e-05
SPT-CLJ0444-5603 0.971 2.750 7.13e-05
SPT-CLJ0444-4352 0.570 3.110 5.75e-05
SPT-CLJ0445-4926 0.000 0.000 4.58e-05
SPT-CLJ0445-4230 0.370 4.736 7.93e-05
SPT-CLJ0446-5849 1.186 3.614 9.03e-05
SPT-CLJ0446-4606 1.700 2.405 7.76e-05
SPT-CLJ0447-5041 0.000 0.000 5.19e-05
SPT-CLJ0447-5055 0.390 3.871 6.52e-05
SPT-CLJ0448-4036 0.000 0.000 5.94e-05
SPT-CLJ0448-4332 0.790 2.674 5.73e-05
SPT-CLJ0449-4901 0.792 4.898 9.63e-05
SPT-CLJ0451-4952 0.390 3.117 5.66e-05
SPT-CLJ0452-4806 0.370 2.869 4.96e-05
SPT-CLJ0452-4002 0.000 0.000 6.76e-05
SPT-CLJ0454-4211 0.693 4.069 8.76e-05
SPT-CLJ0455-4159 0.310 3.457 5.59e-05
SPT-CLJ0456-5116 0.562 5.088 9.00e-05
SPT-CLJ0456-4906 0.930 3.260 6.38e-05
SPT-CLJ0456-6141 0.370 3.083 5.60e-05
SPT-CLJ0456-5623 0.660 2.688 5.62e-05
SPT-CLJ0458-5741 0.190 3.317 6.04e-05
SPT-CLJ0459-4947 1.700 2.667 7.35e-05
SPT-CLJ0500-4713 0.000 0.000 5.25e-05
SPT-CLJ0500-4551 0.000 0.000 5.89e-05
SPT-CLJ0500-5116 0.110 4.157 5.84e-05
SPT-CLJ0501-4455 0.000 0.000 6.36e-05
SPT-CLJ0502-6113 0.680 2.993 5.74e-05
SPT-CLJ0502-6048 0.000 0.000 7.00e-05
SPT-CLJ0504-4929 0.200 4.033 5.96e-05
SPT-CLJ0505-4204 0.380 3.260 5.77e-05
SPT-CLJ0505-6145 0.250 4.843 8.08e-05
SPT-CLJ0508-6149 0.330 3.276 5.46e-05
SPT-CLJ0509-5342 0.461 5.060 9.21e-05
SPT-CLJ0509-6118 0.350 6.602 1.19e-04
SPT-CLJ0510-4519 0.200 6.829 1.17e-04
SPT-CLJ0511-5154 0.645 4.086 7.90e-05
SPT-CLJ0512-5139 0.600 3.662 6.42e-05
SPT-CLJ0516-6312 0.140 3.398 1.60e-05
SPT-CLJ0516-5430 0.295 7.098 1.53e-04
SPT-CLJ0516-5755 0.940 3.010 5.93e-05
SPT-CLJ0517-6119 0.751 4.298 9.94e-05
SPT-CLJ0517-6311 0.320 3.526 6.53e-05
SPT-CLJ0519-4248 0.590 3.055 6.48e-05
SPT-CLJ0521-5104 0.675 4.117 7.66e-05
SPT-CLJ0522-5026 0.520 3.112 5.33e-05
SPT-CLJ0522-4818 0.296 3.476 5.48e-05
SPT-CLJ0524-4037 0.000 0.000 5.88e-05
SPT-CLJ0525-4715 0.191 7.198 1.15e-04
SPT-CLJ0526-5018 0.580 2.845 4.77e-05
SPT-CLJ0528-5300 0.768 3.652 7.50e-05
SPT-CLJ0528-4417 0.690 3.240 5.46e-05
SPT-CLJ0529-6051 0.715 3.390 7.13e-05
SPT-CLJ0529-5322 0.000 0.000 5.75e-05
SPT-CLJ0529-4138 0.646 4.143 7.86e-05
SPT-CLJ0530-4139 0.730 3.998 8.38e-05
SPT-CLJ0532-5450 0.430 3.226 5.76e-05
SPT-CLJ0533-5005 0.881 3.786 8.44e-05
SPT-CLJ0534-5937 0.576 2.750 5.34e-05
SPT-CLJ0534-4847 0.000 0.000 6.95e-05
SPT-CLJ0535-5956 0.580 3.048 6.00e-05
SPT-CLJ0535-4801 0.895 3.871 8.51e-05
SPT-CLJ0536-6109 1.053 3.495 8.85e-05
SPT-CLJ0537-6504 0.200 6.960 1.22e-04
SPT-CLJ0539-6013 0.000 0.000 5.42e-05
SPT-CLJ0540-5744 0.760 3.762 7.82e-05
SPT-CLJ0542-4100 0.642 5.162 9.71e-05
SPT-CLJ0543-6219 0.380 5.433 9.48e-05
SPT-CLJ0543-4250 0.590 4.498 8.39e-05
SPT-CLJ0544-3950 0.450 4.467 1.04e-04
SPT-CLJ0545-5052 0.000 0.000 5.38e-05
SPT-CLJ0546-4752 0.460 3.295 6.28e-05
SPT-CLJ0546-3952 0.000 0.000 6.92e-05
SPT-CLJ0546-5345 1.066 5.052 1.21e-04
SPT-CLJ0546-6040 0.000 0.000 6.12e-05
SPT-CLJ0547-5026 0.600 2.740 5.60e-05
SPT-CLJ0548-4340 0.000 0.000 5.98e-05
SPT-CLJ0549-6205 0.376 12.405 3.02e-04
SPT-CLJ0550-5019 0.650 2.786 5.52e-05
SPT-CLJ0550-6358 0.670 3.407 6.89e-05
SPT-CLJ0551-4940 0.000 0.000 5.96e-05
SPT-CLJ0551-4339 0.350 4.374 7.13e-05
SPT-CLJ0551-5709 0.423 4.971 8.36e-05
SPT-CLJ0552-4937 0.000 0.000 6.50e-05
SPT-CLJ0555-6406 0.345 7.688 1.42e-04
SPT-CLJ0556-5403 0.930 3.048 7.02e-05
SPT-CLJ0557-5116 0.921 2.557 5.78e-05
SPT-CLJ0557-4113 0.895 3.212 6.46e-05
SPT-CLJ0559-5249 0.609 5.776 1.06e-04
SPT-CLJ0559-6022 0.000 0.000 8.00e-05
SPT-CLJ0600-4104 0.000 0.000 5.61e-05
SPT-CLJ0600-4353 0.360 4.948 7.72e-05
SPT-CLJ0601-5204 0.000 0.000 4.17e-05
SPT-CLJ0601-4122 0.230 3.298 4.83e-05
SPT-CLJ0603-4714 0.320 5.257 8.48e-05
SPT-CLJ0604-4317 0.000 0.000 5.28e-05
SPT-CLJ0604-4144 0.000 0.000 6.61e-05
SPT-CLJ0607-4448 1.429 3.138 9.18e-05
SPT-CLJ0611-6000 0.000 0.000 5.08e-05
SPT-CLJ0611-5938 0.390 3.160 5.41e-05
SPT-CLJ0611-4724 0.490 3.726 6.55e-05
SPT-CLJ0612-4317 0.540 4.024 7.43e-05
SPT-CLJ0613-5627 0.730 4.307 1.00e-04
SPT-CLJ0615-5746 0.972 10.533 3.11e-04
SPT-CLJ0616-4407 0.700 3.474 7.31e-05
SPT-CLJ0617-5507 0.873 3.212 8.01e-05
SPT-CLJ0619-5802 0.540 4.114 7.63e-05
SPT-CLJ0620-4715 0.230 3.721 6.28e-05
SPT-CLJ0622-4645 0.650 3.210 6.89e-05
SPT-CLJ0623-5035 0.000 0.000 4.59e-05
SPT-CLJ0625-6335 0.000 0.000 5.73e-05
SPT-CLJ0625-4728 0.000 0.000 5.39e-05
SPT-CLJ0625-4330 0.570 3.305 7.56e-05
SPT-CLJ0626-4446 0.410 4.117 6.95e-05
SPT-CLJ0628-4143 0.176 8.671 1.66e-04
SPT-CLJ0630-4521 0.000 0.000 5.74e-05
SPT-CLJ0633-4854 0.000 0.000 5.33e-05
SPT-CLJ0633-4413 0.000 0.000 6.23e-05
SPT-CLJ0636-4942 0.350 5.062 7.94e-05
SPT-CLJ0637-6112 0.000 0.000 6.69e-05
SPT-CLJ0637-4327 0.000 0.000 6.34e-05
SPT-CLJ0637-4829 0.203 6.757 1.28e-04
SPT-CLJ0637-4750 0.000 0.000 6.78e-05
SPT-CLJ0638-4243 0.350 3.148 5.43e-05
SPT-CLJ0638-5358 0.226 12.007 2.62e-04
SPT-CLJ0640-5113 1.250 3.552 8.33e-05
SPT-CLJ0641-4733 0.641 4.483 8.61e-05
SPT-CLJ0641-5950 0.510 4.660 7.91e-05
SPT-CLJ0641-5001 0.123 3.257 5.91e-05
SPT-CLJ0642-6310 0.000 0.000 5.87e-05
SPT-CLJ0643-4535 0.873 2.881 7.16e-05
SPT-CLJ0643-5056 0.000 0.000 6.68e-05
SPT-CLJ0645-5413 0.164 10.550 2.19e-04
SPT-CLJ0646-6236 1.200 4.400 1.10e-04
SPT-CLJ0647-5828 0.460 4.202 6.48e-05
SPT-CLJ0648-4622 1.290 2.448 6.38e-05
SPT-CLJ0649-4510 0.440 3.460 5.24e-05
SPT-CLJ0650-4503 0.410 6.002 1.12e-04
SPT-CLJ0651-4037 0.270 4.721 7.58e-05
SPT-CLJ0652-4133 0.000 0.000 6.17e-05
SPT-CLJ0653-5744 0.240 5.410 8.37e-05
SPT-CLJ0655-4429 0.340 3.183 6.22e-05
SPT-CLJ0655-4135 0.000 0.000 5.18e-05
SPT-CLJ0655-5541 0.290 3.983 7.60e-05
SPT-CLJ0655-5234 0.470 5.095 9.10e-05
SPT-CLJ0658-4601 0.000 0.000 6.50e-05
SPT-CLJ0658-5556 0.296 16.862 4.91e-04
SPT-CLJ0659-5300 0.470 3.376 6.05e-05
SPT-CLJ2005-5635 0.210 3.121 7.57e-05
SPT-CLJ2006-5325 0.000 0.000 5.55e-05
SPT-CLJ2009-5756 0.000 0.000 5.57e-05
SPT-CLJ2009-4518 0.060 3.574 6.50e-05
SPT-CLJ2011-5340 0.000 0.000 6.23e-05
SPT-CLJ2011-5228 0.960 2.590 5.30e-05
SPT-CLJ2011-5725 0.279 3.517 6.01e-05
SPT-CLJ2011-4900 0.000 0.000 6.21e-05
SPT-CLJ2012-4130 0.150 4.233 6.43e-05
SPT-CLJ2012-5649 0.055 4.462 7.38e-05
SPT-CLJ2013-5432 0.000 0.000 6.97e-05
SPT-CLJ2015-5504 0.000 0.000 5.99e-05
SPT-CLJ2016-4517 0.450 3.193 5.20e-05
SPT-CLJ2016-4954 0.280 3.283 5.51e-05
SPT-CLJ2017-6258 0.535 3.867 6.77e-05
SPT-CLJ2019-5642 0.230 3.581 5.91e-05
SPT-CLJ2020-6314 0.536 3.274 5.97e-05
SPT-CLJ2020-4646 0.190 3.643 5.67e-05
SPT-CLJ2021-5257 0.138 3.669 1.34e-04
SPT-CLJ2022-6323 0.383 4.162 7.50e-05
SPT-CLJ2023-5535 0.232 7.862 1.58e-04
