#%		Only M/G boundary	Min tun Muller/MacDo	Age model Tiedemann
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
2.0400	27.0600	71.7501	2.8432	0.5693	62.8874	3.0309	0.6069	47.6000	2.4862	0.4978
2.1100	32.9600	74.2122	2.8432	0.6935	65.1970	3.0309	0.7392	50.4156	2.4862	0.6064
2.1600	39.1000	75.9707	2.8432	0.8227	66.8467	3.0309	0.8769	52.4267	2.4862	0.7194
2.2200	36.4900	78.0810	2.8432	0.7677	68.8263	3.0309	0.8184	54.8400	2.3893	0.6452
2.2900	45.8000	80.5431	2.8432	0.9636	71.1359	3.0309	1.0272	57.8675	2.3121	0.7836
2.4300	58.2000	85.4671	2.8432	1.2245	75.7551	3.0309	1.3053	63.9225	2.3121	0.9958
2.4600	60.1200	86.5222	2.8432	1.2820	76.7449	3.0309	1.3666	65.2200	2.4230	1.0925
2.5400	51.2300	89.3360	2.8432	1.0924	79.3844	3.0309	1.1645	68.4624	2.4673	0.9480
2.7200	57.9900	95.6669	2.8432	1.2366	85.3234	3.0309	1.3182	75.7576	2.4673	1.0731
2.8000	21.7000	98.4806	2.8432	0.4689	87.9629	3.0309	0.4998	79.0000	1.8254	0.3010
2.9200	46.6900	102.7012	2.8432	1.0089	91.9222	3.0309	1.0755	86.7143	1.5556	0.5520
2.9400	49.3000	103.4046	2.8432	1.0653	92.5820	3.0309	1.1356	88.0000	2.0402	0.7644
3.0600	31.4000	107.6252	2.8432	0.6785	96.5413	3.0309	0.7233	93.5765	2.1519	0.5135
3.1400	40.3100	110.4389	2.8432	0.8825	99.1808	3.0309	0.9407	97.2941	2.1519	0.6679
3.2100	45.9000	112.9010	2.8432	1.0049	101.4904	3.0309	1.0712	100.5471	2.1519	0.7605
3.2800	29.5800	115.3630	2.8432	0.6560	103.8000	3.0309	0.6993	103.8000	3.1742	0.7324
3.4300	24.0000	120.6387	2.8432	0.5322	108.7491	3.0309	0.5674	107.4780	4.0783	0.7635
3.4800	41.2700	122.3973	2.8432	0.9270	110.3988	3.0309	0.9882	108.7040	4.0783	1.3297
3.6000	49.5000	126.6179	2.8432	1.1118	114.3581	3.0309	1.1852	111.6464	4.0783	1.5948
3.6100	54.5700	126.9696	2.8432	1.2257	114.6880	3.0309	1.3066	111.8916	4.0783	1.7582
3.6500	51.7000	128.3765	2.8432	1.1612	116.0078	3.0308	1.2379	112.8724	4.0783	1.6657
3.7000	44.3700	130.1351	2.8432	0.9966	117.6575	3.0308	1.0624	114.0984	4.0783	1.4295
3.8500	58.7900	135.4108	2.8432	1.3038	122.6066	3.0309	1.3898	117.7764	4.0783	1.8702
3.9300	45.3900	138.2245	2.8432	1.0066	125.2461	3.0309	1.0730	119.7380	4.0783	1.4439
4.0300	23.0300	141.7417	2.8432	0.5042	128.5455	3.0309	0.5375	122.1900	3.3554	0.5950
4.1400	32.6800	145.6106	2.8432	0.7155	132.1749	3.0309	0.7627	125.9966	2.8897	0.7272
4.2800	36.5300	150.5346	2.8432	0.7894	136.7940	3.0309	0.8414	130.8413	2.8897	0.8023
4.4100	46.0900	155.1069	2.8432	0.9959	141.0832	3.0309	1.0617	135.3400	2.9611	1.0372
4.4200	46.8000	155.4586	2.8432	1.0113	141.4132	3.0309	1.0780	135.5694	4.3601	1.5508
4.5100	40.0200	158.6241	2.8432	0.8534	144.3826	3.0309	0.9097	137.6335	4.3601	1.3087
4.6800	48.8200	164.6033	2.8432	1.0272	149.9916	3.0308	1.0949	141.5325	4.3601	1.5752
4.7000	47.8000	165.3067	2.8432	1.0057	150.6515	3.0309	1.0721	141.9912	4.3601	1.5423
4.8500	50.5000	170.5824	2.8432	1.0625	155.6006	3.0309	1.1326	145.4314	4.3601	1.6294
4.8700	50.5200	171.2859	2.8432	1.0629	156.2605	3.0309	1.1331	145.8901	4.3601	1.6300
5.0900	53.1000	179.0236	2.8432	1.0568	163.5192	3.0309	1.1266	150.9358	4.3601	1.6207
5.1200	55.6000	180.0788	2.8432	1.1066	164.5090	3.0309	1.1796	151.6239	4.3601	1.6970
5.1800	54.7900	182.1891	2.8432	1.1060	166.4886	3.0309	1.1790	153.0000	3.3336	1.2968
5.2600	62.9100	185.0028	2.8432	1.2878	169.1281	3.0309	1.3728	155.8235	2.8333	1.2834
5.3400	69.8100	187.8165	2.8432	1.4489	171.7677	3.0308	1.5446	158.6471	2.8333	1.4439
5.4300	60.2700	190.9820	2.8432	1.2681	174.7371	3.0308	1.3518	161.8235	2.8333	1.2637
5.5400	32.5700	194.8509	2.8432	0.7038	178.3665	3.0309	0.7502	165.7059	2.8333	0.7013
5.6300	26.8400	198.0163	2.8432	0.5876	181.3359	3.0309	0.6264	168.8824	2.5187	0.5205
5.7100	38.2800	200.8301	2.8432	0.8489	183.9755	3.0309	0.9050	172.4553	1.6591	0.4954
5.8100	41.8000	204.3472	2.8432	0.9389	187.2749	3.0309	1.0008	179.7318	1.6335	0.5394
5.9100	49.0800	207.8644	2.8432	1.1303	190.5743	3.0309	1.2049	184.6988	2.7310	1.0857
6.0400	48.2100	212.4367	2.8432	1.1240	194.8635	3.0309	1.1982	188.1535	3.7629	1.4876
6.1400	57.0000	215.9539	2.8432	1.3613	198.1629	3.0308	1.4512	190.8110	3.7629	1.8017
6.2600	40.0000	220.1745	2.8432	0.9667	202.1222	3.0308	1.0305	194.0000	2.5158	0.8554
6.3600	32.1900	223.6916	2.8432	0.7871	205.4216	3.0309	0.8390	199.5556	1.8000	0.4983
6.4600	42.9800	227.2088	2.8432	1.0754	208.7210	3.0309	1.1463	205.1111	1.8000	0.6808
6.5500	42.7000	230.3742	2.8432	1.0805	211.6904	3.0309	1.1518	210.1111	1.8000	0.6841
6.6200	47.1000	232.8362	2.8432	1.1918	214.0000	3.2734	1.3722	214.0000	2.6735	1.1207
6.7300	43.4800	236.7051	2.8432	1.1002	217.1894	3.4490	1.3347	216.8439	3.8679	1.4968
6.8600	22.9800	241.2774	2.8432	0.5815	220.9586	3.4490	0.7054	220.2049	3.8679	0.7911
6.9300	46.0900	243.7394	2.8432	1.1663	222.9882	3.4490	1.4148	222.0146	3.8679	1.5866
7.0300	57.9700	247.2566	2.8432	1.4669	225.8876	3.4490	1.7794	224.6000	3.4958	1.8036
7.1600	46.0300	251.8289	2.8432	1.1648	229.6568	3.4490	1.4129	228.5939	3.2550	1.3335
7.3100	39.5000	257.1047	2.8432	0.9995	234.0059	3.4490	1.2125	233.2022	3.2550	1.1443
7.4100	39.0100	260.6218	2.8432	0.9871	236.9053	3.4490	1.1974	236.2744	3.2550	1.1301
7.5700	31.2300	266.2493	2.8432	0.7903	241.5444	3.4490	0.9586	241.1900	2.7424	0.7622
7.7300	29.5500	271.8768	2.8432	0.7477	246.1834	3.4490	0.9071	247.9431	2.3693	0.6231
7.8600	40.9200	276.4491	2.8432	1.0355	249.9527	3.4490	1.2561	253.4300	2.6312	0.9583
7.9800	40.7400	280.6697	2.8432	1.0309	253.4320	3.4490	1.2506	257.4443	2.9893	1.0839
8.1200	48.2000	285.5937	2.8432	1.2197	257.4911	3.4490	1.4795	262.1276	2.9893	1.2824
8.2500	39.2100	290.1660	2.8432	0.9922	261.2604	3.4490	1.2036	266.4764	3.2458	1.1327
8.3400	41.4400	293.3315	2.8432	1.0486	263.8698	3.4490	1.2720	268.9056	3.9770	1.4668
8.4600	48.2800	297.5521	2.8432	1.2217	267.3491	3.4490	1.4820	271.7568	4.2088	1.8085
8.5300	51.0300	300.0141	2.8432	1.2913	269.3787	3.4490	1.5664	273.4200	3.8346	1.7416
8.6800	55.9400	305.2898	2.8432	1.4155	273.7278	3.4490	1.7171	277.4940	3.6819	1.8331
8.9100	54.6500	313.3793	2.8432	1.3829	280.3965	3.4490	1.6775	283.7408	3.6819	1.7908
9.0300	21.9900	317.5999	2.8432	0.5564	283.8757	3.4490	0.6750	287.0000	3.3209	0.6499
9.1400	16.7900	321.4688	2.8432	0.4249	287.0651	3.4490	0.5154	290.6667	3.0000	0.4483
9.2300	28.4000	324.6342	2.8432	0.7186	289.6746	3.4490	0.8718	293.6667	3.0000	0.7583
9.3600	33.7200	329.2065	2.8432	0.8533	293.4438	3.4490	1.0351	298.0000	3.3653	1.0100
9.4200	58.1800	331.3168	2.8432	1.4722	295.1834	3.4490	1.7859	299.3125	4.5714	2.3671
9.5500	37.3000	335.8891	2.8432	0.9439	298.9527	3.4490	1.1450	302.1563	4.5714	1.5176
9.6600	39.7700	339.7580	2.8432	1.0064	302.1420	3.4490	1.2208	304.5625	4.5714	1.6181
9.7500	52.8000	342.9235	2.8432	1.3361	304.7515	3.4490	1.6207	306.5313	4.5714	2.1482
9.8000	63.8900	344.6820	2.8432	1.6167	306.2012	3.4490	1.9612	307.6250	4.5714	2.5994
9.9000	28.8000	348.1992	2.8432	0.7288	309.1006	3.4490	0.8840	309.8125	4.5714	1.1717
10.0000	33.6400	351.7164	2.8432	0.8512	312.0000	3.4644	1.0372	312.0000	3.1342	0.9384
10.0800	40.1500	354.5301	2.8432	1.0046	314.2963	3.4839	1.2309	315.5556	2.2500	0.7950
10.1800	48.2000	358.0473	2.8432	1.2060	317.1667	3.4839	1.4777	320.0000	2.3272	0.9871
10.2200	37.4200	359.4541	2.8432	0.9363	318.3148	3.4839	1.1472	321.5714	2.5455	0.8382
10.3600	43.9200	364.3782	2.8432	1.0864	322.3333	3.4839	1.3312	327.0714	2.5455	0.9726
10.4600	25.4000	367.8953	2.8432	0.6283	325.2037	3.4839	0.7699	331.0000	3.6284	0.8018
10.6600	28.1000	374.9297	2.8432	0.6871	330.9444	3.4839	0.8419	335.3396	4.6087	1.1137
10.9100	40.9300	383.7226	2.8432	0.9892	338.1204	3.4839	1.2121	340.7642	4.6087	1.6034
10.9900	41.2000	386.5363	2.8432	0.9957	340.4167	3.4839	1.2201	342.5000	5.4214	1.8986
11.1700	44.9900	392.8672	2.8432	1.0745	345.5833	3.4839	1.3166	345.5600	5.8824	2.2230
11.2500	39.2000	395.6809	2.8432	0.9362	347.8796	3.4839	1.1472	346.9200	5.8824	1.9369
11.3600	39.0800	399.5498	2.8432	0.9222	351.0370	3.4839	1.1300	348.7900	5.8824	1.9080
11.4000	40.0000	400.9567	2.8432	0.9439	352.1852	3.4839	1.1566	349.4700	5.8824	1.9529
11.5800	49.8500	407.2876	2.8432	1.2047	357.3519	3.4839	1.4762	352.5300	5.8824	2.4925
11.7200	47.1100	412.2116	2.8432	1.1519	361.3704	3.4839	1.4115	354.9100	5.8824	2.3832
11.8100	42.1000	415.3770	2.8432	1.0414	363.9537	3.4839	1.2760	356.4400	5.8824	2.1545
11.8600	46.9400	417.1356	2.8432	1.1611	365.3889	3.4839	1.4227	357.2900	5.8824	2.4022
12.0200	35.0900	422.7631	2.8432	0.8879	369.9815	3.4839	1.0880	360.0100	5.8824	1.8371
12.1600	33.5000	427.6871	2.8432	0.8572	374.0000	3.4839	1.0504	362.3900	5.8824	1.7735
12.2900	33.6000	432.2594	2.8432	0.8693	377.7315	3.4839	1.0652	364.6000	5.8824	1.7986
12.4000	55.6600	436.1283	2.8432	1.4559	380.8889	3.4839	1.7840	366.4700	5.8824	3.0122
12.4900	43.4000	439.2938	2.8432	1.1476	383.4722	3.4839	1.4062	368.0000	2.6876	1.0848
12.6400	44.7100	444.5695	2.8432	1.1949	387.7778	3.4839	1.4642	375.4000	2.0270	0.8519
12.7800	41.2100	449.4935	2.8432	1.1131	391.7963	3.4839	1.3639	382.3067	2.0270	0.7936
12.9100	43.1000	454.0658	2.8432	1.1764	395.5278	3.4839	1.4415	388.7200	2.0270	0.8387
12.9100	38.6000	454.0658	2.8432	1.0536	395.5278	3.4839	1.2910	388.7200	2.0270	0.7511
13.1000	43.5100	460.7485	2.8432	1.1629	400.9815	3.4839	1.4249	398.0933	2.0270	0.8290
13.2400	20.4400	465.6725	2.8432	0.5347	405.0000	3.6122	0.6793	405.0000	2.5349	0.4767
13.3900	30.4400	470.9482	2.8432	0.7789	409.0099	3.7407	1.0248	409.5337	3.3085	0.9064
13.4000	22.9000	471.2999	2.8432	0.5860	409.2772	3.7407	0.7710	409.8360	3.3086	0.6819
13.5200	18.3600	475.5205	2.8432	0.4594	412.4852	3.7407	0.6044	413.4629	3.3086	0.5346
13.7000	29.1000	481.8514	2.8432	0.7033	417.2970	3.7407	0.9253	418.9034	3.3086	0.8184
13.8300	24.4000	486.4237	2.8432	0.5758	420.7723	3.7407	0.7576	422.8326	3.3085	0.6700
13.9300	43.7100	489.9409	2.8432	1.0191	423.4455	3.7407	1.3408	425.8551	3.3085	1.1859
14.0600	38.2000	494.5132	2.8432	0.8689	426.9208	3.7407	1.1432	429.7843	3.3086	1.0111
14.1300	50.4700	496.9752	2.8432	1.1336	428.7921	3.7407	1.4915	431.9000	3.3194	1.3235
14.2700	48.6800	501.8993	2.8432	1.0657	432.5347	3.7407	1.4022	436.1108	3.3248	1.2463
14.4100	64.2400	506.8233	2.8432	1.3699	436.2772	3.7407	1.8023	440.3215	3.3248	1.6019
14.5300	62.4700	511.0439	2.8432	1.2966	439.4852	3.7407	1.7059	443.9308	3.3248	1.5162
14.5700	55.4000	512.4508	2.8432	1.1341	440.5545	3.7407	1.4921	445.1339	3.3248	1.3262
14.6400	48.9700	514.9128	2.8432	1.0164	442.4257	3.7407	1.3372	447.2392	3.3248	1.1886
14.7900	37.8800	520.1885	2.8432	0.7970	446.4356	3.7407	1.0486	451.7508	3.3248	0.9320
14.9000	45.4000	524.0574	2.8432	0.9681	449.3762	3.7407	1.2737	455.0592	3.3248	1.1321
15.1100	45.6200	531.4434	2.8432	1.0117	454.9901	3.7407	1.3311	461.3754	3.3248	1.1831
15.2900	58.0200	537.7743	2.8432	1.3197	459.8020	3.7407	1.7363	466.7892	3.3248	1.5432
15.4300	56.4000	542.6984	2.8432	1.2989	463.5446	3.7407	1.7089	471.0000	3.3801	1.5441
15.4400	57.6000	543.0501	2.8432	1.3265	463.8119	3.7407	1.7453	471.2270	4.4048	2.0551
15.5900	27.7100	548.3258	2.8432	0.6539	467.8218	3.7407	0.8603	474.6324	4.4048	1.0131
15.8400	43.3000	557.1187	2.8432	1.0464	474.5050	3.7407	1.3768	480.3081	4.4048	1.6212
15.8700	43.8400	558.1739	2.8432	1.0720	475.3069	3.7407	1.4103	480.9892	4.4048	1.6607
15.9100	47.0900	559.5808	2.8432	1.1514	476.3762	3.7407	1.5149	481.8973	4.4048	1.7838
15.9500	52.4200	560.9876	2.8432	1.2967	477.4455	3.7407	1.7060	482.8054	4.4048	2.0088
16.0500	47.0600	564.5048	2.8432	1.1774	480.1188	3.7407	1.5491	485.0757	4.4048	1.8241
16.0600	45.2800	564.8565	2.8432	1.1329	480.3861	3.7407	1.4906	485.3027	4.4048	1.7551
16.0800	48.5000	565.5599	2.8432	1.2135	480.9208	3.7407	1.5965	485.7568	4.4047	1.8799
16.1500	42.7300	568.0219	2.8432	1.0813	482.7921	3.7407	1.4226	487.3460	4.4048	1.6751
16.2600	21.2900	571.8908	2.8432	0.5448	485.7327	3.7407	0.7168	489.8432	4.4048	0.8440
16.3500	21.8000	575.0563	2.8432	0.5640	488.1386	3.7407	0.7421	491.8865	4.4048	0.8738
16.4000	32.9000	576.8149	2.8432	0.8512	489.4753	3.7407	1.1199	493.0216	4.4048	1.3187
16.5000	31.6000	580.3320	2.8432	0.8176	492.1485	3.7407	1.0757	495.2919	4.4048	1.2666
16.6100	33.1300	584.2009	2.8432	0.8572	495.0891	3.7407	1.1278	497.7892	4.4048	1.3280
16.7400	30.9300	588.7732	2.8432	0.8003	498.5644	3.7407	1.0529	500.7405	4.4048	1.2398
16.8400	24.2800	592.2904	2.8432	0.6282	501.2376	3.7407	0.8265	503.0108	4.4048	0.9732
16.9300	28.0200	595.4558	2.8432	0.7250	503.6436	3.7407	0.9538	505.0541	4.4048	1.1231
17.0600	21.7200	600.0281	2.8432	0.5681	507.1188	3.7407	0.7475	508.0054	4.4048	0.8802
17.1800	26.3100	604.2487	2.8432	0.6882	510.3267	3.7407	0.9055	510.7297	4.4048	1.0662
17.2800	25.4400	607.7659	2.8432	0.6654	513.0000	3.0928	0.7239	513.0000	3.4238	0.8013
17.4100	29.2800	612.3382	2.8432	0.7659	517.7632	2.7292	0.7352	517.4474	2.9231	0.7874
17.5600	24.6200	617.6140	2.8432	0.6440	523.2593	2.7292	0.6182	522.5790	2.9231	0.6621
17.6600	18.3800	621.1311	2.8432	0.4808	526.9233	2.7292	0.4615	526.0000	2.8380	0.4799
17.7800	27.8200	625.3517	2.8432	0.7277	531.3202	2.7292	0.6985	530.3308	2.7708	0.7092
17.9000	21.8000	629.5723	2.8432	0.5702	535.7170	2.7292	0.5474	534.6617	2.7708	0.5557
18.0400	35.0700	634.4963	2.8432	0.9173	540.8466	2.7292	0.8806	539.7143	2.7708	0.8940
18.1800	31.6300	639.4204	2.8432	0.8364	545.9763	2.7292	0.8028	544.7669	2.7708	0.8151
18.4300	38.1700	648.2133	2.8432	1.0093	555.1364	2.7292	0.9688	553.7895	2.7708	0.9836
18.5600	35.7600	652.7856	2.8432	0.9456	559.8996	2.7292	0.9077	558.4812	2.7708	0.9215
18.7300	49.5700	658.7648	2.8432	1.3107	566.1285	2.7292	1.2582	564.6165	2.7708	1.2774
18.9100	44.4300	665.0957	2.8432	1.1748	572.7237	2.7292	1.1277	571.1128	2.7708	1.1449
18.9900	50.0700	667.9094	2.8432	1.3239	575.6549	2.7292	1.2709	574.0000	3.2404	1.5089
19.3600	24.4200	680.9229	2.8432	0.6527	589.2119	2.7292	0.6265	585.0000	2.3636	0.5426
19.5100	29.7200	686.1986	2.8432	0.7943	594.7079	2.7292	0.7625	596.0000	1.8927	0.5288
19.6600	28.0600	691.4744	2.8432	0.7499	600.2040	2.7292	0.7199	600.8500	3.0928	0.8158
19.8100	33.1300	696.7501	2.8432	0.8854	605.7000	2.8009	0.8723	605.7000	3.1817	0.9908
19.8900	37.9000	699.5639	2.8432	1.0129	608.4155	2.9460	1.0495	608.0790	3.3628	1.1980
20.0300	64.6900	704.4879	2.8432	1.7105	613.1677	2.9460	1.7724	612.2421	3.3628	2.0231
20.1900	34.8900	710.1154	2.8432	0.9126	618.5988	2.9460	0.9456	617.0000	3.9694	1.2741
20.3300	54.7200	715.0394	2.8432	1.4313	623.3509	2.9460	1.4831	619.8000	5.0000	2.5171
20.4700	28.2400	719.9634	2.8432	0.7307	628.1031	2.9460	0.7571	622.6000	5.0000	1.2849
20.6100	33.6000	724.8875	2.8432	0.8598	632.8553	2.9460	0.8909	625.4000	5.0000	1.5120
20.7200	50.0400	728.7563	2.8432	1.2805	636.5891	2.9460	1.3268	627.6000	5.0000	2.2518
20.8500	42.7300	733.3286	2.8432	1.0813	641.0019	2.9460	1.1204	630.2000	5.0000	1.9015
20.9400	44.2000	736.4941	2.8432	1.1059	644.0568	2.9460	1.1459	632.0000	1.7609	0.6849
21.1700	50.4100	744.5836	2.8432	1.2469	651.8640	2.9460	1.2920	648.3729	1.4048	0.6161
21.3500	45.0000	750.9145	2.8432	1.1003	657.9739	2.9460	1.1401	661.1864	1.4048	0.5436
21.5300	52.7500	757.2454	2.8432	1.2898	664.0839	2.9460	1.3365	674.0000	2.1189	0.9612
21.6900	69.6800	762.8728	2.8432	1.7038	669.5149	2.9460	1.7654	677.2323	4.9500	2.9663
21.8300	36.4200	767.7968	2.8432	0.9009	674.2671	2.9460	0.9335	680.0606	4.9500	1.5684
21.9600	37.8400	772.3692	2.8432	0.9360	678.6798	2.9460	0.9699	682.6869	4.9500	1.6296
22.1100	58.4000	777.6449	2.8432	1.4446	683.7714	2.9460	1.4968	685.7172	4.9500	2.5150
22.3400	30.7300	785.7344	2.8432	0.7601	691.5786	2.9460	0.7876	690.3636	4.9500	1.3234
22.4400	24.5000	789.2515	2.8432	0.6060	694.9730	2.9460	0.6279	692.3838	4.9500	1.0551
22.5200	30.5500	792.0653	2.8432	0.7644	697.6885	2.9460	0.7920	694.0000	3.5374	0.9510
22.5700	27.0200	793.8239	2.8432	0.6760	699.3857	2.9460	0.7005	696.0588	2.4286	0.5775
22.6800	27.5700	797.6927	2.8432	0.6898	703.1196	2.9460	0.7148	700.5882	2.4286	0.5892
22.7700	22.0000	800.8582	2.8432	0.5504	706.1745	2.9460	0.5704	704.2941	2.4286	0.4702
22.8500	37.0000	803.6719	2.8432	0.9257	708.8901	2.9460	0.9592	707.5882	2.4286	0.7907
22.9800	54.2200	808.2442	2.8432	1.3566	713.3028	2.9460	1.4057	712.9412	2.4286	1.1588
23.0300	65.5700	810.0028	2.8432	1.6406	715.0000	2.7594	1.5922	715.0000	2.1271	1.2273
23.1900	46.3500	815.6303	2.8432	1.1597	720.9130	2.7059	1.1037	722.8140	2.0476	0.8352
23.3300	25.8500	820.5543	2.8432	0.6468	726.0870	2.7059	0.6155	729.6512	2.0476	0.4658
23.4600	28.7800	825.1266	2.8432	0.7201	730.8913	2.7059	0.6853	736.0000	2.0666	0.5234
23.6100	41.9000	830.4024	2.8432	1.0483	736.4348	2.7059	0.9977	743.2000	2.0833	0.7682
23.8600	40.4000	839.1953	2.8432	1.0108	745.6739	2.7059	0.9620	755.2000	2.4477	0.8702
24.0200	39.2000	844.8227	2.8432	0.9808	751.5870	2.7059	0.9334	759.9505	3.3681	1.1618
24.2000	58.3000	851.1536	2.8432	1.4587	758.2391	2.7059	1.3882	765.2949	3.3681	1.7279
24.3100	39.3300	855.0225	2.8432	0.9840	762.3044	2.7059	0.9365	768.5608	3.3681	1.1657
24.3500	38.3000	856.4294	2.8432	0.9583	763.7826	2.7059	0.9120	769.7485	3.3681	1.1352
24.5300	42.1100	862.7603	2.8432	1.0536	770.4348	2.7059	1.0027	775.0928	3.3681	1.2481
24.6900	37.1400	868.3877	2.8432	0.9292	776.3478	2.7059	0.8844	779.8433	3.3681	1.1008
24.8300	28.0800	873.3118	2.8432	0.7105	781.5217	2.7059	0.6762	784.0000	3.2465	0.8113
24.9600	33.7000	877.8841	2.8432	0.8528	786.3261	2.7059	0.8116	788.1600	3.1250	0.9373
25.0200	40.7600	879.9944	2.8432	1.0314	788.5435	2.7059	0.9816	790.0800	3.1250	1.1336
25.1100	49.5000	883.1598	2.8432	1.2526	791.8696	2.7059	1.1921	792.9600	3.1250	1.3767
25.2200	69.1800	887.0287	2.8432	1.7506	795.9348	2.7059	1.6660	796.4800	3.1250	1.9241
25.3300	54.4900	890.8976	2.8432	1.3788	800.0000	2.6749	1.2972	800.0000	2.1405	1.0381
25.4200	35.0800	894.0630	2.8432	0.8877	803.4118	2.6379	0.8236	805.8235	1.5455	0.4825
25.5200	43.8500	897.5802	2.8432	1.1221	807.2026	2.6379	1.0411	812.2941	1.5455	0.6099
25.5700	39.6600	899.3388	2.8432	1.0149	809.0980	2.6379	0.9416	815.5294	1.5455	0.5516
25.6700	26.8600	902.8559	2.8432	0.6873	812.8889	2.6379	0.6377	822.0000	2.0937	0.5061
25.7500	21.6100	905.6697	2.8432	0.5530	815.9216	2.6379	0.5131	824.1266	3.7619	0.7317
25.8500	31.1000	909.1868	2.8432	0.7958	819.7124	2.6379	0.7384	826.7848	3.7619	1.0530
26.0300	34.2600	915.5177	2.8432	0.8767	826.5360	2.6379	0.8134	831.5696	3.7619	1.1599
26.1900	46.8100	921.1452	2.8432	1.1978	832.6013	2.6379	1.1113	835.8228	3.7619	1.5849
26.3300	34.3600	926.0692	2.8432	0.8792	837.9085	2.6379	0.8158	839.5443	3.7619	1.1633
26.4600	34.2600	930.6415	2.8432	0.8767	842.8366	2.6379	0.8134	843.0000	2.5038	0.7720
26.6100	41.6000	935.9173	2.8432	1.0645	848.5229	2.6379	0.9876	850.7273	1.9412	0.7268
26.7900	48.8600	942.2482	2.8432	1.2642	855.3464	2.6379	1.1729	860.0000	2.4809	1.1031
27.1700	59.5700	955.6134	2.8432	1.5413	869.7516	2.6379	1.4300	873.3000	2.8571	1.5488
27.3500	58.6000	961.9443	2.8432	1.5162	876.5752	2.6379	1.4067	879.6000	2.8571	1.5236
27.4700	43.0500	966.1649	2.8432	1.1138	881.1242	2.6379	1.0334	883.8000	2.8571	1.1193
27.5600	60.5300	969.3303	2.8432	1.5661	884.5360	2.6379	1.4530	886.9500	2.8571	1.5738
27.6500	63.5400	972.4958	2.8432	1.6440	887.9477	2.6379	1.5253	890.1000	2.8571	1.6520
27.6600	62.1900	972.8475	2.8432	1.6090	888.3268	2.6379	1.4929	890.4500	2.8571	1.6169
27.7300	59.3600	975.3095	2.8432	1.5358	890.9804	2.6379	1.4249	892.9000	2.8571	1.5434
27.8300	44.9600	978.8267	2.8432	1.1633	894.7712	2.6379	1.0793	896.4000	2.8571	1.1690
27.8600	19.4700	979.8818	2.8432	0.5093	895.9085	2.6379	0.4725	897.4500	2.8571	0.5118
27.9900	18.0000	984.4541	2.8432	0.4708	900.8366	2.6379	0.4368	902.0000	2.8571	0.4731
28.0400	18.6400	986.2127	2.8432	0.4876	902.7320	2.6379	0.4524	903.7500	2.8571	0.4900
28.1500	15.9900	990.0816	2.8432	0.4183	906.9020	2.6379	0.3881	907.6000	2.8571	0.4203
28.1900	31.7400	991.4885	2.8432	0.8302	908.4183	2.6379	0.7703	909.0000	2.8571	0.8343
28.2500	34.6700	993.5988	2.8432	0.9069	910.6928	2.6379	0.8414	911.1000	2.8571	0.9113
28.2600	54.6500	993.9505	2.8432	1.4295	911.0719	2.6379	1.3263	911.4500	2.8571	1.4365
28.3900	50.5500	998.5228	2.8432	1.3223	916.0000	2.8014	1.3028	916.0000	2.5399	1.1812
28.5700	46.5500	1004.8537	2.8432	1.2176	922.1379	2.9326	1.2559	923.6552	2.3514	1.0070
28.8600	37.0900	1015.0535	2.8432	0.9702	932.0268	2.9326	1.0007	935.9885	2.3514	0.8023
